quantity,frame,representation,direction,quantile,mode,tp,fp,risk_recall,timely_fpr,precision,low_prior_tp,low_prior_fp,low_prior_precision,low_prior_share,mean_alarm_prior,lift
shape_pr,shape_spectrum,L2,high,0.75,global,182,599,0.3737166324435318,0.041850066373227135,0.2330345710627401,43,551,0.0723905723905724,0.23626373626373626,0.19751004094849897,1.1798618943302441
shape_pr,shape_spectrum,L2,high,0.8,per_task,140,91,0.2874743326488706,0.006357856494096276,0.6060606060606061,39,75,0.34210526315789475,0.2785714285714286,0.45672241113411327,1.3269780314823236
shape_pr,shape_spectrum,L2,high,0.8,global,152,466,0.31211498973305957,0.032557814574163346,0.2459546925566343,29,431,0.06304347826086956,0.19078947368421054,0.21582314766387348,1.1396122020224086
shape_pr,shape_spectrum,L2,high,0.85,per_task,123,60,0.25256673511293637,0.004191993292810731,0.6721311475409836,35,47,0.4268292682926829,0.2845528455284553,0.5102718453600713,1.3172021024728435
shape_pr,shape_spectrum,L2,high,0.85,global,112,316,0.2299794661190965,0.02207783134213652,0.2616822429906542,16,297,0.051118210862619806,0.14285714285714285,0.24451372574238786,1.0702149427241339
shape_pr,shape_spectrum,L2,high,0.9,per_task,77,34,0.15811088295687886,0.0023754628659260813,0.6936936936936937,32,23,0.5818181818181818,0.4155844155844156,0.46596190539376625,1.4887347778086713
shape_pr,shape_spectrum,L2,high,0.9,global,71,195,0.1457905544147844,0.013623978201634877,0.2669172932330827,10,183,0.05181347150259067,0.14084507042253522,0.2684154201937712,0.9944186255781916
shape_pr,shape_spectrum,L2,high,0.925,per_task,60,19,0.12320328542094455,0.0013274645427233983,0.759493670886076,29,10,0.7435897435897436,0.48333333333333334,0.4768684684762582,1.5926690924080018
shape_pr,shape_spectrum,L2,high,0.925,global,48,145,0.09856262833675565,0.010130650457625935,0.24870466321243523,8,138,0.0547945205479452,0.16666666666666666,0.25914536049451314,0.9597110391551888
shape_pr,shape_spectrum,L2,high,0.95,per_task,43,10,0.08829568788501027,0.0006986655488017886,0.8113207547169812,28,5,0.8484848484848485,0.6511627906976745,0.3955996637374346,2.050863105018883
shape_pr,shape_spectrum,L2,high,0.95,global,20,96,0.04106776180698152,0.00670718926849717,0.1724137931034483,4,92,0.041666666666666664,0.2,0.2052641363706383,0.8399606290313019
shape_pr,shape_spectrum,L2,high,0.96,per_task,37,8,0.07597535934291581,0.0005589324390414309,0.8222222222222222,27,4,0.8709677419354839,0.7297297297297297,0.3502244109304948,2.347701064119713
shape_pr,shape_spectrum,L2,high,0.96,global,15,73,0.030800821355236138,0.005100258506253057,0.17045454545454544,2,71,0.0273972602739726,0.13333333333333333,0.21788037163307325,0.7823308918418937
shape_pr,shape_spectrum,L2,high,0.975,per_task,19,3,0.039014373716632446,0.00020959966464053657,0.8636363636363636,9,1,0.9,0.47368421052631576,0.5616107029016784,1.5377847309073829
shape_pr,shape_spectrum,L2,high,0.975,global,4,36,0.008213552361396304,0.0025151959756864388,0.1,2,35,0.05405405405405406,0.5,0.15675689392239206,0.6379304762794578
shape_pr,shape_spectrum,L2,high,0.98,per_task,14,2,0.028747433264887063,0.00013973310976035772,0.875,5,0,1.0,0.35714285714285715,0.7028531626420778,1.244925749086494
shape_pr,shape_spectrum,L2,high,0.98,global,4,23,0.008213552361396304,0.0016069307622441137,0.14814814814814814,1,22,0.043478260869565216,0.25,0.19634770678932958,0.7545193706138013
shape_pr,shape_spectrum,L2,high,0.99,per_task,10,1,0.02053388090349076,6.986655488017886e-05,0.9090909090909091,4,0,1.0,0.4,0.6816546177261883,1.3336532687527087
shape_pr,shape_spectrum,L2,high,0.99,global,2,4,0.004106776180698152,0.00027946621952071543,0.3333333333333333,1,3,0.25,0.5,0.27662443565246636,1.2050032114737415
shape_pr,shape_spectrum,L2,high,0.995,per_task,5,1,0.01026694045174538,6.986655488017886e-05,0.8333333333333334,3,0,1.0,0.6,0.5665237035271904,1.4709593405271124
shape_pr,shape_spectrum,L2,high,0.995,global,2,0,0.004106776180698152,0.0,1.0,1,0,1.0,0.5,0.4967404873087059,2.0131236038719287
shape_pr,shape_spectrum,L3,low,0.5,per_task,26,199,0.053388090349075976,0.013903444421155592,0.11555555555555555,11,163,0.06321839080459771,0.4230769230769231,0.16164561608150746,0.714869715348719
shape_pr,shape_spectrum,L3,low,0.5,global,40,403,0.08213552361396304,0.02815622161671208,0.09029345372460497,23,368,0.058823529411764705,0.575,0.12427726947013994,0.7265484195909192
shape_pr,shape_spectrum,L3,low,0.6,per_task,17,103,0.03490759753593429,0.007196255152658423,0.14166666666666666,8,79,0.09195402298850575,0.47058823529411764,0.18886662318354502,0.7500884183702043
shape_pr,shape_spectrum,L3,low,0.6,global,25,265,0.0513347022587269,0.0185146370432474,0.08620689655172414,14,249,0.053231939163498096,0.56,0.12208734853932163,0.7061083526108262
shape_pr,shape_spectrum,L3,low,0.7,per_task,12,48,0.024640657084188913,0.003353594634248585,0.2,6,32,0.15789473684210525,0.5,0.25355403022238165,0.7887865155390682
shape_pr,shape_spectrum,L3,low,0.7,global,17,166,0.03490759753593429,0.011597848110109691,0.09289617486338798,10,154,0.06097560975609756,0.5882352941176471,0.1362111372318844,0.6820013161276417
shape_pr,shape_spectrum,L3,low,0.75,per_task,9,38,0.018480492813141684,0.0026549290854467967,0.19148936170212766,4,22,0.15384615384615385,0.4444444444444444,0.30342356900091355,0.6310958714665673
shape_pr,shape_spectrum,L3,low,0.75,global,14,117,0.028747433264887063,0.008174386920980926,0.10687022900763359,9,110,0.07563025210084033,0.6428571428571429,0.13787415040992593,0.7751288308206301
shape_pr,shape_spectrum,L3,low,0.8,per_task,7,29,0.014373716632443531,0.002026130091525187,0.19444444444444445,3,15,0.16666666666666666,0.42857142857142855,0.33763327642584856,0.5759042666138051
