dataset,outcome,axis,mixed_snapshots,mean_within_snapshot_auc_high,bootstrap_95_low,bootstrap_95_high,wilcoxon_p_vs_half
rolling_star_k16,loop,fork|action_shape|back|d0,18,0.49643708914542256,0.389803904621613,0.6017690546336378,0.8788222483689953
rolling_star_k16,loop,fork|action_shape|back|d9,18,0.45321218133718133,0.3533680054513388,0.5469591500320666,0.4722941755398442
rolling_star_k16,loop,fork|action_shape|back|log_ratio,18,0.4835720799262465,0.39869420269159855,0.578718089876944,0.4858209758865495
rolling_star_k16,loop,fork|action_shape|back|path,18,0.48447345478595477,0.373357683982684,0.5963906112213405,0.7938117351773128
rolling_star_k16,loop,fork|action_shape|back|terminal_z,18,0.45321218133718133,0.3530227247675164,0.5482572626062207,0.4722941755398442
rolling_star_k16,loop,fork|action_conditional|front|d0,18,0.5021860469777137,0.41264181998557,0.5962915614478114,0.6631220058840048
rolling_star_k16,loop,fork|action_conditional|front|d9,18,0.5340495731120731,0.43596329740861,0.6295834648569023,0.37180364974669
rolling_star_k16,loop,fork|action_conditional|front|log_ratio,18,0.5369380812089146,0.4534426669973545,0.6153904997394581,0.33169613087134386
rolling_star_k16,loop,fork|action_conditional|front|path,18,0.5240187089145423,0.42141112889810806,0.6213669745570786,0.6698589312419732
rolling_star_k16,loop,fork|action_conditional|front|terminal_z,18,0.5340495731120731,0.4354599504469296,0.6282268430836139,0.37180364974669
rolling_star_k16,loop,fork|action_conditional|back|d0,18,0.5485750360750362,0.45802699615199616,0.6338487554112554,0.09363995743739122
rolling_star_k16,loop,fork|action_conditional|back|d9,18,0.48034136002885996,0.3768063321709155,0.5825399080086581,0.7770918466455509
rolling_star_k16,loop,fork|action_conditional|back|log_ratio,18,0.39323492865159526,0.31955281986531986,0.4627196819384319,0.015068922059404823
rolling_star_k16,loop,fork|action_conditional|back|path,18,0.42736892736892734,0.32030172759339426,0.5311997955747955,0.32708652476329503
rolling_star_k16,loop,fork|action_conditional|back|terminal_z,18,0.48034136002885996,0.3774603174603175,0.5831398496372452,0.7770918466455509
rolling_star_k16,loop,fork|action_partial|front|d0,18,0.4464471099887766,0.3433768363195447,0.5493909206148789,0.3060456527573018
rolling_star_k16,loop,fork|action_partial|front|d9,18,0.4502928591470259,0.3655991650132275,0.5318305826118326,0.2459383946306649
rolling_star_k16,loop,fork|action_partial|front|log_ratio,18,0.487924883758217,0.376886373657207,0.6001152146464644,0.9057415169718909
rolling_star_k16,loop,fork|action_partial|front|path,18,0.42010607062690397,0.3144333588864839,0.5208209074875739,0.16969335010491138
rolling_star_k16,loop,fork|action_partial|front|terminal_z,18,0.4502928591470259,0.3656463443963444,0.5312488476030143,0.2459383946306649
rolling_star_k16,loop,fork|action_partial|back|d0,18,0.475130772005772,0.3700158830367164,0.584328403078403,0.6630470035956342
rolling_star_k16,loop,fork|action_partial|back|d9,18,0.4736652236652237,0.3704104036395703,0.5757287157287156,0.6790011752236758
rolling_star_k16,loop,fork|action_partial|back|log_ratio,18,0.4853219696969697,0.3873289442039442,0.5945724356661857,0.6790650431418295
rolling_star_k16,loop,fork|action_partial|back|path,18,0.5129058441558442,0.39966232263107254,0.6258833874458872,0.5013044015719108
rolling_star_k16,loop,fork|action_partial|back|terminal_z,18,0.4736652236652237,0.36815343414301743,0.5731861521965687,0.6790011752236758
rolling_star_k16,loop,fork|action_relation|conversion|log_ratio,18,0.510275122254289,0.423155287999038,0.6012828808922558,0.7945301391541367
rolling_star_k16,loop,fork|action_shape|conversion|log_ratio,18,0.5047531365239699,0.40769895758177,0.6071872933201058,0.9652587087271087
rolling_star_k16,loop,fork|action_conditional|conversion|log_ratio,18,0.4331885321468654,0.34551396905563575,0.5189103460197211,0.15545019128394752
rolling_star_k16,loop,fork|action_partial|conversion|log_ratio,18,0.4904531425364758,0.3983531495510662,0.5883282227032227,0.9245614770136981
rolling_star_k16,loop,single|flow|action_relation|gap_initial,18,0.47345503647586973,0.38556159937670353,0.563757797468735,0.4723466980102624
rolling_star_k16,loop,single|flow|action_relation|gap_terminal,18,0.47099767516434177,0.3792211800545134,0.5635364057239057,0.6705245971679688
rolling_star_k16,loop,single|flow|action_relation|gap_log_ratio,18,0.49267751924001923,0.40347710112033025,0.5723867769961519,0.8128454193330219
rolling_star_k16,loop,single|flow|action_relation|gap_path,18,0.4488804212762545,0.34038709891574476,0.5587344990079364,0.23078263845735536
rolling_star_k16,loop,single|flow|action_relation|gap_endpoint,18,0.4757144861311528,0.395131097683181,0.5659158800304632,0.36829265902215547
rolling_star_k16,loop,single|flow|action_relation|gap_efficiency,18,0.515231180856181,0.40749991231762067,0.6180965909090909,0.7945864126678862
rolling_star_k16,loop,single|flow|action_relation|gap_curvature,18,0.4383151956068623,0.31918977723665226,0.5608342101571269,0.3836374897745267
rolling_star_k16,loop,single|flow|action_relation|gap_settling_log_ratio,18,0.4359768318101651,0.35975461459836455,0.5199412778579445,0.049436621878748865
rolling_star_k16,loop,single|flow|action_relation|front_path,18,0.44433020683020685,0.33621830908289235,0.5525764590347924,0.3060456527573018
rolling_star_k16,loop,single|flow|action_relation|back_path,18,0.3988533649991984,0.29175247013788685,0.5072205625200417,0.1625128965963779
