budget_dev_fp_lead4,pool,arm,selected_for,n_folds,tp_drop,tp_grasp,tp_all,fp,n_drop,n_grasp,n_risk
57,headline,any,grasp,39,37,9,69,5,241,143,564
57,flagged,any,all,39,21,16,76,59,241,143,564
57,flagged,any,drop,39,118,20,183,45,241,143,564
57,flagged,any,grasp,39,38,25,123,4,241,143,564
57,null_noise,any,all,39,18,32,87,34,241,143,564
57,null_noise,any,drop,39,20,48,106,60,241,143,564
57,null_noise,any,grasp,39,15,32,86,33,241,143,564
57,null_elapsed,any,all,39,50,112,274,14,241,143,564
57,null_elapsed,any,drop,39,50,112,274,14,241,143,564
57,null_elapsed,any,grasp,39,50,112,274,14,241,143,564
76,headline,threshold,all,39,29,16,81,21,241,143,564
76,headline,threshold,drop,39,71,19,159,218,241,143,564
76,headline,threshold,grasp,39,86,16,144,57,241,143,564
76,headline,change_point,all,39,22,15,73,88,241,143,564
76,headline,change_point,drop,39,121,21,194,53,241,143,564
76,headline,change_point,grasp,39,58,17,122,44,241,143,564
76,headline,persistence,all,39,46,25,135,141,241,143,564
76,headline,persistence,drop,39,100,35,187,154,241,143,564
76,headline,persistence,grasp,39,38,22,101,15,241,143,564
76,flagged,threshold,all,39,18,21,80,25,241,143,564
76,flagged,threshold,drop,39,71,19,159,218,241,143,564
76,flagged,threshold,grasp,39,51,19,111,46,241,143,564
76,flagged,change_point,all,39,28,15,79,107,241,143,564
76,flagged,change_point,drop,39,121,21,194,53,241,143,564
76,flagged,change_point,grasp,39,64,16,125,63,241,143,564
76,flagged,persistence,all,39,29,22,106,7,241,143,564
76,flagged,persistence,drop,39,100,35,187,154,241,143,564
76,flagged,persistence,grasp,39,38,25,123,4,241,143,564
76,null_noise,threshold,all,39,5,4,13,73,241,143,564
76,null_noise,threshold,drop,39,3,4,9,70,241,143,564
76,null_noise,threshold,grasp,39,4,2,10,72,241,143,564
76,null_noise,change_point,all,39,3,8,14,74,241,143,564
76,null_noise,change_point,drop,39,6,6,14,71,241,143,564
76,null_noise,change_point,grasp,39,2,4,10,55,241,143,564
76,null_noise,persistence,all,39,17,49,117,82,241,143,564
76,null_noise,persistence,drop,39,20,48,105,60,241,143,564
76,null_noise,persistence,grasp,39,15,32,85,34,241,143,564
76,null_elapsed,threshold,all,0,0,0,0,0,241,143,564
76,null_elapsed,threshold,drop,0,0,0,0,0,241,143,564
76,null_elapsed,threshold,grasp,0,0,0,0,0,241,143,564
76,null_elapsed,change_point,all,0,0,0,0,0,241,143,564
76,null_elapsed,change_point,drop,0,0,0,0,0,241,143,564
76,null_elapsed,change_point,grasp,0,0,0,0,0,241,143,564
76,null_elapsed,persistence,all,39,50,112,274,14,241,143,564
76,null_elapsed,persistence,drop,39,50,112,274,14,241,143,564
76,null_elapsed,persistence,grasp,39,50,112,274,14,241,143,564
76,headline,any,all,39,22,15,73,88,241,143,564
76,headline,any,drop,39,121,21,194,53,241,143,564
76,headline,any,grasp,39,34,21,103,36,241,143,564
76,flagged,any,all,39,27,14,75,107,241,143,564
76,flagged,any,drop,39,121,21,194,53,241,143,564
76,flagged,any,grasp,39,38,25,123,4,241,143,564
76,null_noise,any,all,39,17,49,117,82,241,143,564
76,null_noise,any,drop,39,20,48,105,60,241,143,564
76,null_noise,any,grasp,39,15,32,85,34,241,143,564
76,null_elapsed,any,all,39,50,112,274,14,241,143,564
76,null_elapsed,any,drop,39,50,112,274,14,241,143,564
76,null_elapsed,any,grasp,39,50,112,274,14,241,143,564
