detector,cohort,budget_dev_fp_lead4,arm,config,n_drop,n_grasp,n_risk,alarms,median_lead_at_lead4,tp_lead0,fp_lead0,tp_drop_lead0,tp_grasp_lead0,tp_other_lead0,tp_lead2,fp_lead2,tp_drop_lead2,tp_grasp_lead2,tp_other_lead2,tp_lead4,fp_lead4,tp_drop_lead4,tp_grasp_lead4,tp_other_lead4,tp_lead8,fp_lead8,tp_drop_lead8,tp_grasp_lead8,tp_other_lead8,tp_lead12,fp_lead12,tp_drop_lead12,tp_grasp_lead12,tp_other_lead12,base_protocol_tp_all,excess_protocol_tp_all,base_protocol_tp_drop,excess_protocol_tp_drop,base_protocol_tp_grasp,excess_protocol_tp_grasp
grasp_head_only,development_main,38,threshold,token_differentiation_d0|L2|sign-1|threshold|k215,218,116,487,215,9.0,167,48,87,38,42,167,24,87,38,42,167,15,87,38,42,144,5,79,31,34,35,4,5,14,16,0,167,0,87,0,38
union_of_two_mode_heads,development_main,38,threshold,hb_entropy_action|L2|sign-1|threshold|k860 OR token_differentiation_d0|L2|sign-1|threshold|k215,218,116,487,1077,10.0,304,773,177,62,65,304,196,177,62,65,303,28,176,62,65,273,11,161,55,57,94,7,35,31,28,222,81,41,135,89,-27
union_of_two_undifferentiated_heads,development_main,38,threshold,token_differentiation_d0|L2|sign-1|threshold|k215 OR selected_mass|L2|sign+1|threshold|k430,218,116,487,643,10.0,314,329,178,62,74,312,49,176,62,74,311,29,175,62,74,268,11,153,51,64,71,7,30,18,23,222,89,41,134,89,-27
single_undifferentiated,external_8b,38,threshold,token_differentiation_d0|L2|sign-1|threshold|k215,241,143,564,215,10.0,168,47,73,49,46,168,30,73,49,46,168,20,73,49,46,161,6,70,49,42,56,0,11,31,14,0,168,0,73,0,49
drop_head_only,external_8b,38,threshold,hb_entropy_action|L2|sign-1|threshold|k860,241,143,564,867,11.0,177,690,103,32,42,176,182,103,32,41,172,37,102,32,38,158,14,89,32,37,64,6,34,10,20,274,-102,50,52,112,-80
grasp_head_only,external_8b,38,threshold,token_differentiation_d0|L2|sign-1|threshold|k215,241,143,564,215,10.0,168,47,73,49,46,168,30,73,49,46,168,20,73,49,46,161,6,70,49,42,56,0,11,31,14,0,168,0,73,0,49
union_of_two_mode_heads,external_8b,38,threshold,hb_entropy_action|L2|sign-1|threshold|k860 OR token_differentiation_d0|L2|sign-1|threshold|k215,241,143,564,1063,11.0,327,736,171,77,79,326,211,171,77,78,323,56,170,77,76,303,20,154,77,72,112,6,42,38,32,274,49,50,120,112,-35
union_of_two_undifferentiated_heads,external_8b,38,threshold,token_differentiation_d0|L2|sign-1|threshold|k215 OR selected_mass|L2|sign+1|threshold|k430,241,143,564,632,10.0,352,280,175,78,99,351,131,174,78,99,346,108,173,77,96,315,36,150,76,89,107,14,31,34,42,274,72,50,123,112,-35
single_undifferentiated,development_main,38,change_point,token_differentiation_d0|L2|sign-1|change_point|k304,218,116,487,304,9.0,227,77,99,61,67,227,57,99,61,67,226,34,99,60,67,186,11,81,49,56,66,8,10,30,26,222,4,41,58,89,-29
drop_head_only,development_main,38,change_point,mobility|L13|sign-1|change_point|k215,218,116,487,215,8.0,190,25,132,23,35,180,21,124,21,35,147,17,101,16,30,89,12,58,4,27,34,6,19,3,12,0,147,0,101,0,16
