cohort,suite,chunk,phase,cap,n_risk,n_safe,safe_alive,risk_alive,survival_prior,frontier_routing,frontier_null_control,frontier_length_leak,union_routing,union_null_control,survival_baseline_recall,fpr_if_all_survivors_alarm
external_8b,libero_goal,24,0.833333,30,106,3894,5,106,0.954955,0.943396,1,1,0.0377358,0.0471698,1,0.00128403
external_8b,libero_goal,25,0.866667,30,106,3894,2,106,0.981481,0.943396,1,1,0.0377358,0.0471698,1,0.000513611
external_8b,libero_goal,26,0.9,30,106,3894,1,106,0.990654,0.943396,1,1,0.0377358,0.0471698,1,0.000256805
external_8b,libero_goal,27,0.933333,30,106,3894,1,106,0.990654,0.943396,1,1,0.0377358,0.0471698,1,0.000256805
external_8b,libero_goal,28,0.966667,30,106,3894,1,106,0.990654,0.943396,1,1,0.0377358,0.0471698,1,0.000256805
external_8b,libero_goal,29,1,30,106,3894,1,106,0.990654,0.943396,1,1,0.0377358,0.0471698,1,0.000256805
development_main,libero_long,4,0.0961538,52,222,2578,2578,222,0.0792857,0.018018,0.018018,1,0.018018,0.018018,0.005,1
development_main,libero_long,5,0.115385,52,222,2578,2578,222,0.0792857,0.018018,0.018018,1,0.0225225,0.018018,0.005,1
development_main,libero_long,6,0.134615,52,222,2578,2578,222,0.0792857,0.027027,0.018018,1,0.0225225,0.018018,0.005,1
development_main,libero_long,7,0.153846,52,222,2578,2578,222,0.0792857,0.027027,0.018018,1,0.0225225,0.018018,0.005,1
development_main,libero_long,8,0.173077,52,222,2578,2578,222,0.0792857,0.027027,0.018018,1,0.0225225,0.018018,0.005,1
development_main,libero_long,9,0.192308,52,222,2578,2578,222,0.0792857,0.027027,0.018018,1,0.0225225,0.018018,0.005,1
development_main,libero_long,10,0.211538,52,222,2578,2578,222,0.0792857,0.0315315,0.018018,1,0.0225225,0.018018,0.005,1
development_main,libero_long,11,0.230769,52,222,2578,2578,222,0.0792857,0.0315315,0.018018,1,0.0225225,0.018018,0.005,1
development_main,libero_long,12,0.25,52,222,2578,2578,222,0.0792857,0.0315315,0.018018,1,0.0225225,0.018018,0.005,1
development_main,libero_long,13,0.269231,52,222,2578,2578,222,0.0792857,0.0315315,0.018018,1,0.0225225,0.018018,0.005,1
development_main,libero_long,14,0.288462,52,222,2578,2577,222,0.079314,0.0405405,0.018018,1,0.0225225,0.018018,0.00500194,0.999612
development_main,libero_long,15,0.307692,52,222,2578,2556,222,0.0799136,0.045045,0.018018,1,0.0225225,0.018018,0.00504304,0.991466
development_main,libero_long,16,0.326923,52,222,2578,2497,222,0.0816477,0.045045,0.027027,1,0.0225225,0.018018,0.00516219,0.96858
development_main,libero_long,17,0.346154,52,222,2578,2410,222,0.0843465,0.045045,0.027027,1,0.0225225,0.018018,0.00534855,0.934833
development_main,libero_long,18,0.365385,52,222,2578,2329,222,0.0870247,0.045045,0.027027,1,0.0225225,0.018018,0.00553456,0.903413
development_main,libero_long,19,0.384615,52,222,2578,2277,222,0.0888355,0.045045,0.027027,1,0.0225225,0.018018,0.00566096,0.883243
development_main,libero_long,20,0.403846,52,222,2578,2244,222,0.0900243,0.045045,0.027027,1,0.0225225,0.018018,0.00574421,0.870442
development_main,libero_long,21,0.423077,52,222,2578,2055,222,0.0974967,0.045045,0.027027,1,0.0225225,0.018018,0.00627251,0.79713
development_main,libero_long,22,0.442308,52,222,2578,1639,222,0.119291,0.0585586,0.027027,1,0.0225225,0.018018,0.00786455,0.635764
development_main,libero_long,23,0.461538,52,222,2578,1270,222,0.148794,0.0585586,0.027027,1,0.0225225,0.018018,0.0101496,0.49263
development_main,libero_long,24,0.480769,52,222,2578,942,222,0.190722,0.0675676,0.0315315,1,0.0225225,0.018018,0.0136837,0.3654
development_main,libero_long,25,0.5,52,222,2578,592,222,0.272727,0.0945946,0.036036,1,0.0225225,0.018018,0.0217736,0.229635
development_main,libero_long,26,0.519231,52,222,2578,453,222,0.328889,0.108108,0.036036,1,0.0225225,0.018018,0.0284547,0.175718
development_main,libero_long,27,0.538462,52,222,2578,379,222,0.369384,0.162162,0.0765766,1,0.0225225,0.018018,0.0340106,0.147013
development_main,libero_long,28,0.557692,52,222,2578,347,222,0.390158,0.243243,0.0765766,1,0.0225225,0.018018,0.037147,0.1346
development_main,libero_long,29,0.576923,52,222,2578,328,222,0.403636,0.324324,0.0765766,1,0.0225225,0.018018,0.0392988,0.12723
development_main,libero_long,30,0.596154,52,222,2578,318,222,0.411111,0.333333,0.0765766,1,0.0225225,0.018018,0.0405346,0.123351
development_main,libero_long,31,0.615385,52,222,2578,303,222,0.422857,0.342342,0.0855856,1,0.0225225,0.018018,0.0425413,0.117533
development_main,libero_long,32,0.634615,52,222,2578,293,222,0.431068,0.427928,0.0855856,1,0.0225225,0.018018,0.0439932,0.113654
development_main,libero_long,33,0.653846,52,222,2578,288,222,0.435294,0.432432,0.0900901,1,0.0225225,0.018018,0.0447569,0.111715
development_main,libero_long,34,0.673077,52,222,2578,285,222,0.43787,0.436937,0.0900901,1,0.0225225,0.018018,0.0452281,0.110551
development_main,libero_long,35,0.692308,52,222,2578,278,222,0.444,0.436937,0.0900901,1,0.0225225,0.018018,0.0463669,0.107836
development_main,libero_long,36,0.711538,52,222,2578,261,222,0.459627,0.436937,0.0900901,1,0.0225225,0.018018,0.049387,0.101241
development_main,libero_long,37,0.730769,52,222,2578,235,222,0.485777,0.436937,0.0900901,1,0.0225225,0.018018,0.0548511,0.0911559
development_main,libero_long,38,0.75,52,222,2578,192,222,0.536232,0.436937,0.103604,1,0.0225225,0.018018,0.0671354,0.0744763
development_main,libero_long,39,0.769231,52,222,2578,101,222,0.687307,0.459459,0.252252,1,0.0225225,0.018018,0.127624,0.0391777
development_main,libero_long,40,0.788462,52,222,2578,54,222,0.804348,0.459459,0.333333,1,0.0225225,0.018018,0.238704,0.0209465
development_main,libero_long,41,0.807692,52,222,2578,28,222,0.888,0.490991,0.373874,1,0.0225225,0.018018,0.460357,0.0108611
development_main,libero_long,42,0.826923,52,222,2578,18,222,0.925,0.725225,0.373874,1,0.0225225,0.018018,0.716111,0.00698216
development_main,libero_long,43,0.846154,52,222,2578,13,222,0.944681,0.914414,0.373874,1,0.0225225,0.018018,0.991538,0.00504267
development_main,libero_long,44,0.865385,52,222,2578,9,222,0.961039,0.968468,1,1,0.0225225,0.018018,1,0.00349108
development_main,libero_long,45,0.884615,52,222,2578,8,222,0.965217,0.968468,1,1,0.0225225,0.018018,1,0.00310318
development_main,libero_long,46,0.903846,52,222,2578,6,222,0.973684,0.968468,1,1,0.0225225,0.018018,1,0.00232739
development_main,libero_long,47,0.923077,52,222,2578,5,222,0.977974,0.968468,1,1,0.0225225,0.018018,1,0.00193949
development_main,libero_long,48,0.942308,52,222,2578,4,222,0.982301,0.968468,1,1,0.0225225,0.018018,1,0.00155159
development_main,libero_long,49,0.961538,52,222,2578,2,222,0.991071,0.968468,1,1,0.0225225,0.018018,1,0.000775795
development_main,libero_long,50,0.980769,52,222,2578,1,222,0.995516,0.972973,1,1,0.0225225,0.018018,1,0.000387898
development_main,libero_long,51,1,52,222,2578,0,222,1,0.990991,1,1,0.0225225,0.018018,0,0
external_8b,libero_long,4,0.0961538,52,274,3726,3726,274,0.0685,0.0145985,0.0109489,1,0.0145985,0.0109489,0.005,1
external_8b,libero_long,5,0.115385,52,274,3726,3726,274,0.0685,0.0291971,0.0109489,1,0.0218978,0.0109489,0.005,1
external_8b,libero_long,6,0.134615,52,274,3726,3726,274,0.0685,0.0437956,0.0109489,1,0.0218978,0.0109489,0.005,1
external_8b,libero_long,7,0.153846,52,274,3726,3726,274,0.0685,0.0437956,0.0109489,1,0.0218978,0.0109489,0.005,1
external_8b,libero_long,8,0.173077,52,274,3726,3726,274,0.0685,0.0437956,0.0109489,1,0.0218978,0.0109489,0.005,1
external_8b,libero_long,9,0.192308,52,274,3726,3726,274,0.0685,0.0437956,0.0109489,1,0.0218978,0.0109489,0.005,1
external_8b,libero_long,10,0.211538,52,274,3726,3726,274,0.0685,0.0437956,0.0109489,1,0.0218978,0.0109489,0.005,1
external_8b,libero_long,11,0.230769,52,274,3726,3726,274,0.0685,0.0437956,0.0109489,1,0.0218978,0.0109489,0.005,1
external_8b,libero_long,12,0.25,52,274,3726,3726,274,0.0685,0.0437956,0.0182482,1,0.0218978,0.0109489,0.005,1
external_8b,libero_long,13,0.269231,52,274,3726,3726,274,0.0685,0.0437956,0.0182482,1,0.0218978,0.0109489,0.005,1
external_8b,libero_long,14,0.288462,52,274,3726,3726,274,0.0685,0.0437956,0.0182482,1,0.0218978,0.0109489,0.005,1
