calibration,score_kind,method,suite,task,query,auc,control_auc,old_ac_auc,delta_control,delta_old_ac,failures,successes
episode,raw_score,relative_soft,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,18,0.4741048593350384,0.8307225063938619,0.8259271099744245,-0.35661764705882354,-0.35182225063938616,51,184
episode,raw_score,layer_consensus,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,18,0.4547634271099744,0.8307225063938619,0.8259271099744245,-0.3759590792838875,-0.3711636828644501,51,184
episode,raw_score,relative_recovery,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,18,0.49014279624893436,0.8307225063938619,0.8259271099744245,-0.34057971014492755,-0.33578431372549017,51,184
episode,raw_score,ac_window_mean,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,18,0.7692881500426257,0.8307225063938619,0.8259271099744245,-0.061434356351236175,-0.056638959931798794,51,184
episode,raw_score,ac_reference,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,19,0.608251633986928,0.608251633986928,0.6021241830065359,0.0,0.006127450980392135,51,48
episode,raw_score,relative_curvature,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,19,0.44281045751633985,0.608251633986928,0.6021241830065359,-0.1654411764705882,-0.15931372549019607,51,48
episode,raw_score,relative_path_mobility,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,19,0.4456699346405229,0.608251633986928,0.6021241830065359,-0.16258169934640515,-0.15645424836601302,51,48
episode,raw_score,relative_state,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,19,0.41421568627450983,0.608251633986928,0.6021241830065359,-0.19403594771241822,-0.1879084967320261,51,48
episode,raw_score,relative_both,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,19,0.5024509803921569,0.608251633986928,0.6021241830065359,-0.1058006535947712,-0.09967320261437906,51,48
episode,raw_score,relative_soft,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,19,0.44281045751633985,0.608251633986928,0.6021241830065359,-0.1654411764705882,-0.15931372549019607,51,48
episode,raw_score,layer_consensus,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,19,0.4736519607843137,0.608251633986928,0.6021241830065359,-0.13459967320261434,-0.1284722222222222,51,48
episode,raw_score,relative_recovery,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,19,0.627859477124183,0.608251633986928,0.6021241830065359,0.019607843137254943,0.02573529411764708,51,48
episode,raw_score,ac_window_mean,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,19,0.6454248366013072,0.608251633986928,0.6021241830065359,0.037173202614379175,0.04330065359477131,51,48
episode,raw_score,ac_reference,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,20,0.26666666666666666,0.26666666666666666,0.2529411764705882,0.0,0.013725490196078438,51,5
episode,raw_score,relative_curvature,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,20,0.5627450980392157,0.26666666666666666,0.2529411764705882,0.296078431372549,0.30980392156862746,51,5
episode,raw_score,relative_path_mobility,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,20,0.592156862745098,0.26666666666666666,0.2529411764705882,0.3254901960784314,0.3392156862745098,51,5
episode,raw_score,relative_state,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,20,0.5058823529411764,0.26666666666666666,0.2529411764705882,0.2392156862745098,0.2529411764705882,51,5
episode,raw_score,relative_both,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,20,0.5705882352941176,0.26666666666666666,0.2529411764705882,0.30392156862745096,0.3176470588235294,51,5
episode,raw_score,relative_soft,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,20,0.5627450980392157,0.26666666666666666,0.2529411764705882,0.296078431372549,0.30980392156862746,51,5
