task,suite,query,feature,auc
libero_goal/put_the_bowl_on_the_plate,libero_goal,22,signed_acc_minus_path,0.5
libero_goal/put_the_bowl_on_the_plate,libero_goal,22,positive_acc_minus_path,0.5
libero_goal/put_the_bowl_on_the_plate,libero_goal,22,signed_path_minus_mobility,0.7222222222222222
libero_goal/put_the_bowl_on_the_plate,libero_goal,23,acceleration,0.7222222222222222
libero_goal/put_the_bowl_on_the_plate,libero_goal,23,path,0.6111111111111112
libero_goal/put_the_bowl_on_the_plate,libero_goal,23,signed_acc_minus_path,0.6111111111111112
libero_goal/put_the_bowl_on_the_plate,libero_goal,23,positive_acc_minus_path,0.5
libero_goal/put_the_bowl_on_the_plate,libero_goal,23,signed_path_minus_mobility,0.7777777777777778
libero_goal/put_the_bowl_on_the_plate,libero_goal,24,acceleration,0.9444444444444444
libero_goal/put_the_bowl_on_the_plate,libero_goal,24,path,1.0
libero_goal/put_the_bowl_on_the_plate,libero_goal,24,signed_acc_minus_path,0.05555555555555555
libero_goal/put_the_bowl_on_the_plate,libero_goal,24,positive_acc_minus_path,0.5
libero_goal/put_the_bowl_on_the_plate,libero_goal,24,signed_path_minus_mobility,0.9444444444444444
libero_goal/put_the_bowl_on_the_stove,libero_goal,8,acceleration,0.7769186712485682
libero_goal/put_the_bowl_on_the_stove,libero_goal,8,path,0.8127147766323024
libero_goal/put_the_bowl_on_the_stove,libero_goal,8,signed_acc_minus_path,0.26918671248568155
libero_goal/put_the_bowl_on_the_stove,libero_goal,8,positive_acc_minus_path,0.4072164948453608
libero_goal/put_the_bowl_on_the_stove,libero_goal,8,signed_path_minus_mobility,0.465922107674685
libero_goal/put_the_bowl_on_the_stove,libero_goal,9,acceleration,0.6476964769647696
libero_goal/put_the_bowl_on_the_stove,libero_goal,9,path,0.5962059620596206
libero_goal/put_the_bowl_on_the_stove,libero_goal,9,signed_acc_minus_path,0.5691056910569106
libero_goal/put_the_bowl_on_the_stove,libero_goal,9,positive_acc_minus_path,0.5
libero_goal/put_the_bowl_on_the_stove,libero_goal,9,signed_path_minus_mobility,0.44986449864498645
libero_goal/put_the_bowl_on_top_of_the_cabinet,libero_goal,8,acceleration,0.6591257668711656
libero_goal/put_the_bowl_on_top_of_the_cabinet,libero_goal,8,path,0.6261503067484663
