relative_query,stored_layer_index,model_layer,layer_group,failed_value,success_mean,success_min,success_max,failed_over_success_mean,relation_to_success_range
6,7,15,back,0.08693394809961319,0.0988054381949561,0.08783227950334549,0.11470972746610641,0.8798498310192309,below_all
7,0,2,front,0.2541560232639313,0.23064916048731124,0.20613537728786469,0.2606283128261566,1.1019160994427866,inside
7,1,3,front,0.502755343914032,0.317237451672554,0.22117900848388672,0.47115129232406616,1.5847919003994702,above_all
7,2,4,front,0.38117238879203796,0.31544015237263273,0.22631150484085083,0.3897322416305542,1.2083825915153472,inside
7,3,5,front,0.7653207778930664,0.6482779468808856,0.5850522518157959,0.7177826762199402,1.1805442119006497,above_all
7,4,12,back,0.09940212219953537,0.11604421905108861,0.09222733229398727,0.12788495421409607,0.856588316181209,inside
7,5,13,back,0.10709957033395767,0.10887101611920766,0.10061170905828476,0.11515391618013382,0.9837289496470727,inside
7,6,14,back,0.13106554746627808,0.11729570584637779,0.10841383039951324,0.1230134442448616,1.1173942517378654,above_all
7,7,15,back,0.09485326707363129,0.08669285689081464,0.07909666746854782,0.09472782164812088,1.0941301333868172,above_all
8,0,2,front,0.2746896743774414,0.21981860058648245,0.2041710615158081,0.24039770662784576,1.2496197939781317,above_all
8,1,3,front,0.5107514262199402,0.33648486861160826,0.21353471279144287,0.5175900459289551,1.5179031031243226,inside
8,2,4,front,0.36091500520706177,0.2835187975849424,0.2236352115869522,0.34972307085990906,1.2729843956781433,above_all
8,3,5,front,0.7575936317443848,0.650571950844356,0.5199346542358398,0.722696840763092,1.1645039887765354,above_all
8,4,12,back,0.09388469159603119,0.10885330608912877,0.08764138072729111,0.12690052390098572,0.8624881959869797,inside
8,5,13,back,0.11008847504854202,0.1070327279823167,0.0900988057255745,0.11320124566555023,1.028549651343374,inside
8,6,14,back,0.1405656486749649,0.11688215391976493,0.10715298354625702,0.13166311383247375,1.2026271245091682,above_all
8,7,15,back,0.09675055742263794,0.09067514751638685,0.07616287469863892,0.10353577882051468,1.0670019302163598,inside
