freeze_level,acceleration_level,periodicity_level,tp,fp,risk_recall,precision,timely_fpr,early4_risk_recall,f1
0.96,0.8,0.75,143,303,0.3961218836565097,0.32062780269058294,0.02902576875179615,0.38227146814404434,0.3543990086741016
0.96,0.8,0.8,143,303,0.3961218836565097,0.32062780269058294,0.02902576875179615,0.38227146814404434,0.3543990086741016
0.96,0.8,0.85,142,303,0.39335180055401664,0.31910112359550563,0.02902576875179615,0.37950138504155123,0.3523573200992556
0.96,0.8,0.9,140,303,0.3878116343490305,0.3160270880361174,0.02902576875179615,0.3739612188365651,0.3482587064676617
0.96,0.8,0.95,137,303,0.37950138504155123,0.31136363636363634,0.02902576875179615,0.3684210526315789,0.34207240948813983
0.96,0.85,0.5,143,303,0.3961218836565097,0.32062780269058294,0.02902576875179615,0.38227146814404434,0.3543990086741016
0.96,0.85,0.55,143,303,0.3961218836565097,0.32062780269058294,0.02902576875179615,0.38227146814404434,0.3543990086741016
0.96,0.85,0.6,143,303,0.3961218836565097,0.32062780269058294,0.02902576875179615,0.38227146814404434,0.3543990086741016
0.96,0.85,0.65,142,303,0.39335180055401664,0.31910112359550563,0.02902576875179615,0.37950138504155123,0.3523573200992556
0.96,0.85,0.7,142,303,0.39335180055401664,0.31910112359550563,0.02902576875179615,0.37950138504155123,0.3523573200992556
0.96,0.85,0.75,142,303,0.39335180055401664,0.31910112359550563,0.02902576875179615,0.37950138504155123,0.3523573200992556
0.96,0.85,0.8,142,303,0.39335180055401664,0.31910112359550563,0.02902576875179615,0.37950138504155123,0.3523573200992556
0.96,0.85,0.85,141,303,0.39058171745152354,0.31756756756756754,0.02902576875179615,0.3767313019390582,0.35031055900621116
0.96,0.85,0.9,139,303,0.3850415512465374,0.31447963800904977,0.02902576875179615,0.37119113573407203,0.34620174346201743
0.96,0.85,0.95,136,303,0.3767313019390582,0.3097949886104784,0.02902576875179615,0.3656509695290859,0.33999999999999997
0.96,0.9,0.5,139,303,0.3850415512465374,0.31447963800904977,0.02902576875179615,0.3739612188365651,0.34620174346201743
0.96,0.9,0.55,139,303,0.3850415512465374,0.31447963800904977,0.02902576875179615,0.3739612188365651,0.34620174346201743
0.96,0.9,0.6,139,303,0.3850415512465374,0.31447963800904977,0.02902576875179615,0.3739612188365651,0.34620174346201743
0.96,0.9,0.65,138,303,0.38227146814404434,0.3129251700680272,0.02902576875179615,0.37119113573407203,0.34413965087281795
0.96,0.9,0.7,138,303,0.38227146814404434,0.3129251700680272,0.02902576875179615,0.37119113573407203,0.34413965087281795
0.96,0.9,0.75,138,303,0.38227146814404434,0.3129251700680272,0.02902576875179615,0.37119113573407203,0.34413965087281795
0.96,0.9,0.8,138,303,0.38227146814404434,0.3129251700680272,0.02902576875179615,0.37119113573407203,0.34413965087281795
0.96,0.9,0.85,137,303,0.37950138504155123,0.31136363636363634,0.02902576875179615,0.3684210526315789,0.34207240948813983
0.96,0.9,0.9,136,303,0.3767313019390582,0.3097949886104784,0.02902576875179615,0.3656509695290859,0.33999999999999997
0.96,0.9,0.95,135,303,0.3739612188365651,0.3082191780821918,0.02902576875179615,0.3628808864265928,0.3379224030037547
0.96,0.925,0.5,139,303,0.3850415512465374,0.31447963800904977,0.02902576875179615,0.3739612188365651,0.34620174346201743
0.96,0.925,0.55,139,303,0.3850415512465374,0.31447963800904977,0.02902576875179615,0.3739612188365651,0.34620174346201743
0.96,0.925,0.6,139,303,0.3850415512465374,0.31447963800904977,0.02902576875179615,0.3739612188365651,0.34620174346201743
0.96,0.925,0.65,138,303,0.38227146814404434,0.3129251700680272,0.02902576875179615,0.37119113573407203,0.34413965087281795
0.96,0.925,0.7,138,303,0.38227146814404434,0.3129251700680272,0.02902576875179615,0.37119113573407203,0.34413965087281795
