calibration,method,suite,task,query,auc,reference_auc,delta,raw_v82_auc,failures,successes
task_init,dynamics_only,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,23,0.6715686274509803,0.75,-0.07843137254901966,0.7352941176470589,51,4
task_init,dynamics_only,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,24,0.6143790849673203,0.7843137254901961,-0.16993464052287577,0.7843137254901961,51,3
task_init,dynamics_only,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,25,0.4803921568627451,0.7303921568627451,-0.24999999999999994,0.7745098039215687,51,2
task_init,dynamics_only,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,26,0.0,0.6274509803921569,-0.6274509803921569,0.6078431372549019,51,1
task_init,dynamics_only,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,27,0.0,0.803921568627451,-0.803921568627451,0.803921568627451,51,1
task_init,dynamics_only,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,28,0.10784313725490197,0.8333333333333334,-0.7254901960784315,0.8627450980392157,51,1
task_init,dynamics_only,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,29,0.8431372549019608,0.9215686274509803,-0.07843137254901955,0.9215686274509803,51,1
task_init,v82_integrated,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,7,0.3960615764930614,0.3960615764930614,0.0,0.4344626102590033,51,349
task_init,v82_integrated,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,8,0.5342154053598517,0.4327209393786168,0.1014944659812349,0.43867633013090623,51,349
task_init,v82_integrated,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,9,0.5962694533400753,0.6085735153660318,-0.012304062025956464,0.6188549918534749,51,349
task_init,v82_integrated,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,10,0.598881959660655,0.5862969829765717,0.012584976684083315,0.5966627338614529,51,349
task_init,v82_integrated,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,11,0.5568852182706894,0.4886229563458621,0.06826226192482726,0.5013202988931963,51,349
