rule,family,mode,pool,level,level_loose,k,window,frames,tp,fp,risk_recall,timely_fpr,precision,low_prior_tp,low_prior_fp,low_prior_precision,low_prior_share,mean_alarm_prior,lift,union_tp,union_coverage_share,median_confirmation_delay,alarms
quorum|per_task|all12|selected|selected|1|0|1,quorum,per_task,all12,selected,selected,1,0,1,406,194,0.8336755646817249,0.013554111646754699,0.6766666666666666,108,152,0.4153846153846154,0.2660098522167488,0.4417093831069176,1.5319273090987897,406,1.0,0.0,600
cascade|per_task|all12|0.9|0.6|2|2|1,cascade,per_task,all12,0.9,0.6,2,2,1,367,222,0.7535934291581109,0.015510375183399707,0.6230899830220713,95,183,0.34172661870503596,0.25885558583106266,0.4171189230000385,1.493794571918795,485,0.756701030927835,2.0,589
cascade|per_task|all12|0.9|0.6|2|2|2,cascade,per_task,all12,0.9,0.6,2,2,2,350,133,0.7186858316221766,0.009292251799063789,0.7246376811594203,85,99,0.46195652173913043,0.24285714285714285,0.4938808524370455,1.4672317778340862,485,0.7216494845360825,2.0,483
cascade|per_task|all12|0.9|0.6|2|4|1,cascade,per_task,all12,0.9,0.6,2,4,1,384,239,0.7885010266940452,0.016698106616362746,0.6163723916532905,100,196,0.33783783783783783,0.2604166666666667,0.4104509721047126,1.5016955337994524,485,0.7917525773195876,2.0,623
cascade|per_task|all12|0.9|0.6|2|4|2,cascade,per_task,all12,0.9,0.6,2,4,2,370,155,0.7597535934291582,0.010829316006427723,0.7047619047619048,93,118,0.44075829383886256,0.25135135135135134,0.4664552978039881,1.5108884132731126,485,0.7628865979381443,2.0,525
cascade|per_task|all12|0.9|0.6|2|8|1,cascade,per_task,all12,0.9,0.6,2,8,1,394,243,0.8090349075975359,0.016977572835883463,0.6185243328100472,101,198,0.3377926421404682,0.2563451776649746,0.4123939263690147,1.4998386088173974,485,0.8123711340206186,2.0,637
cascade|per_task|all12|0.9|0.6|2|8|2,cascade,per_task,all12,0.9,0.6,2,8,2,386,164,0.7926078028747433,0.011458115000349333,0.7018181818181818,97,123,0.4409090909090909,0.25129533678756477,0.4673796500842931,1.501601924028158,485,0.7958762886597938,3.0,550
cascade|per_task|all12|0.9|0.6|2|-1|1,cascade,per_task,all12,0.9,0.6,2,-1,1,413,246,0.8480492813141683,0.017187172500523998,0.6267071320182094,101,199,0.33666666666666667,0.24455205811138014,0.4268710377642523,1.4681416085303038,485,0.8515463917525773,2.0,659
cascade|per_task|all12|0.9|0.6|2|-1|2,cascade,per_task,all12,0.9,0.6,2,-1,2,412,168,0.8459958932238193,0.011737581219870048,0.7103448275862069,97,126,0.4349775784753363,0.2354368932038835,0.48575560950763247,1.4623502306153924,485,0.8494845360824742,3.0,580
cascade|per_task|all12|0.9|0.6|3|0|1,cascade,per_task,all12,0.9,0.6,3,0,1,116,43,0.23819301848049282,0.0030042618598476907,0.7295597484276729,36,35,0.5070422535211268,0.3103448275862069,0.48157196838184846,1.514954765492475,485,0.23917525773195877,2.0,159
cascade|per_task|all12|0.9|0.6|3|0|2,cascade,per_task,all12,0.9,0.6,3,0,2,104,33,0.2135523613963039,0.002305596311045902,0.7591240875912408,29,27,0.5178571428571429,0.27884615384615385,0.5118551862405802,1.4830837080440173,485,0.21443298969072164,2.0,137
cascade|per_task|all12|0.9|0.6|3|1|1,cascade,per_task,all12,0.9,0.6,3,1,1,270,108,0.5544147843942505,0.007545587927059317,0.7142857142857143,67,80,0.4557823129251701,0.24814814814814815,0.5053080604127648,1.413564853294136,485,0.5567010309278351,2.0,378
cascade|per_task|all12|0.9|0.6|3|1|2,cascade,per_task,all12,0.9,0.6,3,1,2,258,93,0.5297741273100616,0.006497589603856634,0.7350427350427351,61,69,0.46923076923076923,0.2364341085271318,0.5238605978122732,1.4031265915252888,485,0.5319587628865979,2.0,351
cascade|per_task|all12|0.9|0.6|3|2|1,cascade,per_task,all12,0.9,0.6,3,2,1,328,134,0.6735112936344969,0.009362118353943967,0.70995670995671,75,103,0.42134831460674155,0.22865853658536586,0.5002455887414403,1.4192163328074086,485,0.6762886597938145,2.0,462
cascade|per_task|all12|0.9|0.6|3|2|2,cascade,per_task,all12,0.9,0.6,3,2,2,322,117,0.6611909650924025,0.008174386920980926,0.7334851936218679,70,88,0.4430379746835443,0.21739130434782608,0.5232330477844581,1.401832695254413,485,0.6639175257731958,2.0,439
cascade|per_task|all12|0.9|0.6|3|4|1,cascade,per_task,all12,0.9,0.6,3,4,1,361,152,0.7412731006160165,0.010619716341787187,0.7037037037037037,88,118,0.42718446601941745,0.24376731301939059,0.47361636953857456,1.4858095052527303,485,0.7443298969072165,2.0,513
cascade|per_task|all12|0.9|0.6|3|4|2,cascade,per_task,all12,0.9,0.6,3,4,2,356,138,0.731006160164271,0.009641584573464682,0.7206477732793523,84,106,0.4421052631578947,0.23595505617977527,0.48913452686498077,1.4733120107022781,485,0.734020618556701,3.0,494
cascade|per_task|all12|0.9|0.6|3|8|1,cascade,per_task,all12,0.9,0.6,3,8,1,377,161,0.7741273100616016,0.011248515335708796,0.7007434944237918,94,123,0.43317972350230416,0.2493368700265252,0.4694119553450879,1.4928113492734558,485,0.777319587628866,3.0,538
cascade|per_task|all12|0.9|0.6|3|8|2,cascade,per_task,all12,0.9,0.6,3,8,2,374,147,0.7679671457905544,0.010270383567386292,0.7178502879078695,92,111,0.45320197044334976,0.24598930481283424,0.4827513951313989,1.4869978526162098,485,0.7711340206185567,3.0,521
cascade|per_task|all12|0.9|0.6|3|-1|1,cascade,per_task,all12,0.9,0.6,3,-1,1,388,165,0.7967145790554415,0.011527981555229511,0.701627486437613,94,125,0.4292237442922374,0.2422680412371134,0.4767043532626836,1.471829408805477,485,0.8,3.0,553
cascade|per_task|all12|0.9|0.6|3|-1|2,cascade,per_task,all12,0.9,0.6,3,-1,2,387,151,0.7946611909650924,0.010549849786907008,0.7193308550185874,92,113,0.44878048780487806,0.23772609819121446,0.49047888515705734,1.4665888314198252,485,0.797938144329897,3.0,538
cascade|per_task|all12|0.9|0.7|2|0|1,cascade,per_task,all12,0.9,0.7,2,0,1,262,122,0.5379876796714579,0.00852371969538182,0.6822916666666666,66,99,0.4,0.25190839694656486,0.4786931583039828,1.4253215339112772,481,0.5446985446985447,1.0,384
cascade|per_task|all12|0.9|0.7|2|0|2,cascade,per_task,all12,0.9,0.7,2,0,2,189,57,0.38809034907597534,0.0039823936281701946,0.7682926829268293,46,42,0.5227272727272727,0.24338624338624337,0.5615930605090828,1.3680594312016139,481,0.39293139293139295,2.0,246
cascade|per_task|all12|0.9|0.7|2|1|1,cascade,per_task,all12,0.9,0.7,2,1,1,349,188,0.7166324435318275,0.013134912317473626,0.6499068901303539,84,154,0.35294117647058826,0.24068767908309455,0.443596379118265,1.4650861024207897,481,0.7255717255717256,1.0,537
cascade|per_task|all12|0.9|0.7|2|1|2,cascade,per_task,all12,0.9,0.7,2,1,2,317,95,0.6509240246406571,0.006637322713616991,0.7694174757281553,71,70,0.5035460992907801,0.22397476340694006,0.5489765431023417,1.401548910232251,481,0.659043659043659,1.5,412
cascade|per_task|all12|0.9|0.7|2|2|1,cascade,per_task,all12,0.9,0.7,2,2,1,371,199,0.7618069815195072,0.013903444421155592,0.6508771929824562,95,163,0.3682170542635659,0.2560646900269542,0.4321751101912435,1.5060496952136693,481,0.7713097713097713,1.0,570
cascade|per_task|all12|0.9|0.7|2|2|2,cascade,per_task,all12,0.9,0.7,2,2,2,352,114,0.7227926078028748,0.007964787256340389,0.7553648068669528,81,83,0.49390243902439024,0.23011363636363635,0.5221988316888564,1.4465080368410792,481,0.7318087318087318,2.0,466
cascade|per_task|all12|0.9|0.7|2|4|1,cascade,per_task,all12,0.9,0.7,2,4,1,384,216,0.7885010266940452,0.015091175854118634,0.64,100,174,0.36496350364963503,0.2604166666666667,0.42542328371269034,1.5043840440858993,481,0.7983367983367984,1.0,600
cascade|per_task|all12|0.9|0.7|2|4|2,cascade,per_task,all12,0.9,0.7,2,4,2,371,130,0.7618069815195072,0.009082652134423252,0.7405189620758483,89,94,0.48633879781420764,0.2398921832884097,0.49972289826869576,1.4818591756379333,481,0.7713097713097713,2.0,501
cascade|per_task|all12|0.9|0.7|2|8|1,cascade,per_task,all12,0.9,0.7,2,8,1,394,221,0.8090349075975359,0.015440508628519528,0.640650406504065,100,177,0.36101083032490977,0.25380710659898476,0.427899727528669,1.4971975098094492,481,0.8191268191268192,1.0,615
cascade|per_task|all12|0.9|0.7|2|8|2,cascade,per_task,all12,0.9,0.7,2,8,2,387,138,0.7946611909650924,0.009641584573464682,0.7371428571428571,94,99,0.48704663212435234,0.24289405684754523,0.4963266070742492,1.4851971396177486,481,0.8045738045738046,2.0,525
cascade|per_task|all12|0.9|0.7|2|-1|1,cascade,per_task,all12,0.9,0.7,2,-1,1,408,224,0.837782340862423,0.015650108293160065,0.6455696202531646,100,177,0.36101083032490977,0.24509803921568626,0.43968748752349057,1.4682465127431552,481,0.8482328482328483,1.0,632
cascade|per_task|all12|0.9|0.7|2|-1|2,cascade,per_task,all12,0.9,0.7,2,-1,2,404,141,0.8295687885010267,0.009851184238105219,0.7412844036697248,94,100,0.4845360824742268,0.23267326732673269,0.5100262678763117,1.4534239711933747,481,0.83991683991684,2.0,545
cascade|per_task|all12|0.9|0.7|3|0|1,cascade,per_task,all12,0.9,0.7,3,0,1,110,37,0.22587268993839835,0.002585062530566618,0.7482993197278912,37,30,0.5522388059701493,0.33636363636363636,0.4888633987829915,1.530692053425878,481,0.2286902286902287,2.0,147
cascade|per_task|all12|0.9|0.7|3|0|2,cascade,per_task,all12,0.9,0.7,3,0,2,93,31,0.19096509240246407,0.0021658632012855447,0.75,27,26,0.5094339622641509,0.2903225806451613,0.5116664166266974,1.465798761905428,481,0.19334719334719336,2.0,124
cascade|per_task|all12|0.9|0.7|3|1|1,cascade,per_task,all12,0.9,0.7,3,1,1,269,93,0.5523613963039015,0.006497589603856634,0.7430939226519337,67,69,0.49264705882352944,0.24907063197026022,0.5312248583547383,1.3988312311915847,481,0.5592515592515592,1.0,362
cascade|per_task|all12|0.9|0.7|3|1|2,cascade,per_task,all12,0.9,0.7,3,1,2,249,79,0.5112936344969199,0.00551945783553413,0.7591463414634146,60,58,0.5084745762711864,0.24096385542168675,0.554136641211778,1.3699623612748733,481,0.5176715176715176,2.0,328
cascade|per_task|all12|0.9|0.7|3|2|1,cascade,per_task,all12,0.9,0.7,3,2,1,321,109,0.6591375770020534,0.007615454481939496,0.7465116279069768,73,78,0.48344370860927155,0.22741433021806853,0.5374765687711692,1.3889193897581873,481,0.6673596673596673,2.0,430
cascade|per_task|all12|0.9|0.7|3|2|2,cascade,per_task,all12,0.9,0.7,3,2,2,310,95,0.6365503080082136,0.006637322713616991,0.7654320987654321,69,66,0.5111111111111111,0.22258064516129034,0.5616122977314084,1.3629190490616725,481,0.6444906444906445,2.0,405
cascade|per_task|all12|0.9|0.7|3|4|1,cascade,per_task,all12,0.9,0.7,3,4,1,357,126,0.7330595482546202,0.008803185914902536,0.7391304347826086,79,92,0.4619883040935672,0.22128851540616246,0.514543526892626,1.4364779579412512,481,0.7422037422037422,2.0,483
cascade|per_task|all12|0.9|0.7|3|4|2,cascade,per_task,all12,0.9,0.7,3,4,2,349,111,0.7166324435318275,0.007755187591699853,0.758695652173913,74,81,0.4774193548387097,0.21203438395415472,0.5333481778003455,1.4225147544385621,481,0.7255717255717256,2.0,460
cascade|per_task|all12|0.9|0.7|3|8|1,cascade,per_task,all12,0.9,0.7,3,8,1,374,133,0.7679671457905544,0.009292251799063789,0.73767258382643,86,95,0.47513812154696133,0.22994652406417113,0.5085453328070355,1.4505542303469245,481,0.7775467775467776,2.0,507
cascade|per_task|all12|0.9|0.7|3|8|2,cascade,per_task,all12,0.9,0.7,3,8,2,371,118,0.7618069815195072,0.008244253475861106,0.7586912065439673,83,84,0.49700598802395207,0.22371967654986524,0.5260111143635495,1.4423482428920738,481,0.7713097713097713,3.0,489
cascade|per_task|all12|0.9|0.7|3|-1|1,cascade,per_task,all12,0.9,0.7,3,-1,1,383,136,0.7864476386036962,0.009501851463704325,0.7379576107899807,86,96,0.4725274725274725,0.2245430809399478,0.512112133709019,1.4410078617845963,481,0.7962577962577962,2.0,519
cascade|per_task|all12|0.9|0.7|3|-1|2,cascade,per_task,all12,0.9,0.7,3,-1,2,381,121,0.7823408624229979,0.008453853140501642,0.7589641434262948,83,85,0.49404761904761907,0.2178477690288714,0.530067448661024,1.4318256013333304,481,0.7920997920997921,3.0,502
cascade|per_task|all12|0.9|0.75|2|0|1,cascade,per_task,all12,0.9,0.75,2,0,1,274,130,0.5626283367556468,0.009082652134423252,0.6782178217821783,71,107,0.398876404494382,0.2591240875912409,0.467133727239788,1.4518708075086966,469,0.5842217484008528,1.0,404
cascade|per_task|all12|0.9|0.75|2|0|2,cascade,per_task,all12,0.9,0.75,2,0,2,202,56,0.41478439425051333,0.003912527073290016,0.7829457364341085,52,42,0.5531914893617021,0.25742574257425743,0.5580836569083625,1.4029182305237589,469,0.43070362473347545,1.0,258
cascade|per_task|all12|0.9|0.75|2|1|1,cascade,per_task,all12,0.9,0.75,2,1,1,351,178,0.7207392197125256,0.012436246768671836,0.6635160680529301,86,148,0.36752136752136755,0.245014245014245,0.4461799478144621,1.4871041858852077,469,0.7484008528784648,1.0,529
cascade|per_task|all12|0.9|0.75|2|1|2,cascade,per_task,all12,0.9,0.75,2,1,2,320,90,0.6570841889117043,0.006287989939216097,0.7804878048780488,72,67,0.5179856115107914,0.225,0.5529272863814588,1.411555956997207,469,0.6823027718550106,1.0,410
cascade|per_task|all12|0.9|0.75|2|2|1,cascade,per_task,all12,0.9,0.75,2,2,1,371,191,0.7618069815195072,0.013344511982114162,0.6601423487544484,95,156,0.3784860557768924,0.2560646900269542,0.4389751712694866,1.5038261659431928,469,0.7910447761194029,1.0,562
cascade|per_task|all12|0.9|0.75|2|2|2,cascade,per_task,all12,0.9,0.75,2,2,2,349,106,0.7166324435318275,0.007405854817298959,0.7670329670329671,80,77,0.5095541401273885,0.22922636103151864,0.5337771691623402,1.4369909605475946,469,0.744136460554371,2.0,455
cascade|per_task|all12|0.9|0.75|2|4|1,cascade,per_task,all12,0.9,0.75,2,4,1,383,202,0.7864476386036962,0.014113044085796129,0.6547008547008547,99,163,0.37786259541984735,0.2584856396866841,0.435107263034412,1.5046884074860303,469,0.8166311300639659,1.0,585
cascade|per_task|all12|0.9|0.75|2|4|2,cascade,per_task,all12,0.9,0.75,2,4,2,371,119,0.7618069815195072,0.008314120030741284,0.7571428571428571,87,86,0.5028901734104047,0.23450134770889489,0.514132986096884,1.4726595601087926,469,0.7910447761194029,2.0,490
cascade|per_task|all12|0.9|0.75|2|8|1,cascade,per_task,all12,0.9,0.75,2,8,1,394,206,0.8090349075975359,0.014392510305316845,0.6566666666666666,99,165,0.375,0.2512690355329949,0.43831428828378693,1.4981639527149233,469,0.8400852878464818,1.0,600
cascade|per_task|all12|0.9|0.75|2|8|2,cascade,per_task,all12,0.9,0.75,2,8,2,387,125,0.7946611909650924,0.008733319360022357,0.755859375,91,90,0.5027624309392266,0.2351421188630491,0.5118635737851174,1.4766813145358009,469,0.8251599147121536,2.0,512
cascade|per_task|all12|0.9|0.75|2|-1|1,cascade,per_task,all12,0.9,0.75,2,-1,1,403,209,0.8275154004106776,0.014602109969957382,0.6584967320261438,99,165,0.375,0.2456575682382134,0.4455299932485912,1.478007635860161,469,0.8592750533049041,1.0,612
cascade|per_task|all12|0.9|0.75|2|-1|2,cascade,per_task,all12,0.9,0.75,2,-1,2,397,127,0.8151950718685832,0.008873052469782716,0.7576335877862596,91,90,0.5027624309392266,0.22921914357682618,0.5197087576228744,1.4578041579511631,469,0.8464818763326226,2.0,524
cascade|per_task|all12|0.9|0.75|3|0|1,cascade,per_task,all12,0.9,0.75,3,0,1,111,34,0.22792607802874743,0.0023754628659260813,0.7655172413793103,40,29,0.5797101449275363,0.36036036036036034,0.47797268847389734,1.6015920152749819,469,0.23667377398720682,2.0,145
cascade|per_task|all12|0.9|0.75|3|0|2,cascade,per_task,all12,0.9,0.75,3,0,2,98,28,0.20123203285420946,0.001956263536645008,0.7777777777777778,31,23,0.5740740740740741,0.3163265306122449,0.5137796282328889,1.5138353781228988,469,0.208955223880597,2.0,126
cascade|per_task|all12|0.9|0.75|3|1|1,cascade,per_task,all12,0.9,0.75,3,1,1,277,84,0.5687885010266941,0.005868790609935024,0.7673130193905817,69,61,0.5307692307692308,0.2490974729241877,0.5508758518248301,1.3928964518026745,469,0.5906183368869936,1.0,361
cascade|per_task|all12|0.9|0.75|3|1|2,cascade,per_task,all12,0.9,0.75,3,1,2,254,71,0.5215605749486653,0.004960525396492699,0.7815384615384615,63,50,0.5575221238938053,0.24803149606299213,0.5684217362677577,1.374927121313169,469,0.5415778251599147,1.0,325
cascade|per_task|all12|0.9|0.75|3|2|1,cascade,per_task,all12,0.9,0.75,3,2,1,323,100,0.6632443531827515,0.006986655488017886,0.7635933806146572,74,71,0.5103448275862069,0.22910216718266255,0.5490756946986439,1.3906887301463047,469,0.6886993603411514,2.0,423
cascade|per_task|all12|0.9|0.75|3|2|2,cascade,per_task,all12,0.9,0.75,3,2,2,310,88,0.6365503080082136,0.00614825682945574,0.7788944723618091,69,60,0.5348837209302325,0.22258064516129034,0.5707817724950287,1.3646099260617033,469,0.6609808102345416,2.0,398
cascade|per_task|all12|0.9|0.75|3|4|1,cascade,per_task,all12,0.9,0.75,3,4,1,360,109,0.7392197125256673,0.007615454481939496,0.767590618336887,79,78,0.5031847133757962,0.21944444444444444,0.5338531257138914,1.4378310838031185,469,0.767590618336887,2.0,469
cascade|per_task|all12|0.9|0.75|3|4|2,cascade,per_task,all12,0.9,0.75,3,4,2,351,95,0.7207392197125256,0.006637322713616991,0.7869955156950673,74,68,0.5211267605633803,0.21082621082621084,0.5528731693151789,1.4234648367362193,469,0.7484008528784648,2.0,446
cascade|per_task|all12|0.9|0.75|3|8|1,cascade,per_task,all12,0.9,0.75,3,8,1,373,117,0.7659137577002053,0.008174386920980926,0.7612244897959184,85,82,0.5089820359281437,0.22788203753351208,0.5288688553452702,1.439344521996773,469,0.7953091684434968,2.0,490
cascade|per_task|all12|0.9|0.75|3|8|2,cascade,per_task,all12,0.9,0.75,3,8,2,368,103,0.75564681724846,0.007196255152658423,0.7813163481953291,81,72,0.5294117647058824,0.22010869565217392,0.5449244401612502,1.4338067640426029,469,0.7846481876332623,2.0,471
cascade|per_task|all12|0.9|0.75|3|-1|1,cascade,per_task,all12,0.9,0.75,3,-1,1,381,118,0.7823408624229979,0.008244253475861106,0.7635270541082164,85,82,0.5089820359281437,0.2230971128608924,0.5324724792011158,1.4339277313519725,469,0.8123667377398721,2.0,499
cascade|per_task|all12|0.9|0.75|3|-1|2,cascade,per_task,all12,0.9,0.75,3,-1,2,377,104,0.7741273100616016,0.007266121707538601,0.7837837837837838,81,72,0.5294117647058824,0.21485411140583555,0.5492276055699837,1.4270655295455872,469,0.8038379530916845,2.0,481
cascade|per_task|all12|0.9|0.8|2|0|1,cascade,per_task,all12,0.9,0.8,2,0,1,272,131,0.5585215605749486,0.00915251868930343,0.674937965260546,71,108,0.39664804469273746,0.2610294117647059,0.4629719339702447,1.457837755892832,464,0.5862068965517241,1.0,403
cascade|per_task|all12|0.9|0.8|2|0|2,cascade,per_task,all12,0.9,0.8,2,0,2,207,48,0.42505133470225875,0.003353594634248585,0.8117647058823529,53,36,0.5955056179775281,0.2560386473429952,0.5774370009920785,1.405806528656256,464,0.44612068965517243,2.0,255
cascade|per_task|all12|0.9|0.8|2|1|1,cascade,per_task,all12,0.9,0.8,2,1,1,356,166,0.731006160164271,0.011597848110109691,0.6819923371647509,85,137,0.38288288288288286,0.23876404494382023,0.4595227804346273,1.4841317257867102,464,0.7672413793103449,1.0,522
cascade|per_task|all12|0.9|0.8|2|1|2,cascade,per_task,all12,0.9,0.8,2,1,2,323,78,0.6632443531827515,0.005449591280653951,0.8054862842892768,73,59,0.553030303030303,0.2260061919504644,0.565556000783904,1.424237888330795,464,0.6961206896551724,1.0,401
cascade|per_task|all12|0.9|0.8|2|2|1,cascade,per_task,all12,0.9,0.8,2,2,1,369,175,0.757700205338809,0.0122266471040313,0.6783088235294118,88,143,0.38095238095238093,0.23848238482384823,0.45843182465843535,1.4796285664390787,464,0.7952586206896551,1.0,544
cascade|per_task|all12|0.9|0.8|2|2|2,cascade,per_task,all12,0.9,0.8,2,2,2,347,90,0.7125256673511293,0.006287989939216097,0.7940503432494279,75,68,0.5244755244755245,0.21613832853025935,0.555897518270232,1.4284113836669898,464,0.7478448275862069,1.0,437
cascade|per_task|all12|0.9|0.8|2|4|1,cascade,per_task,all12,0.9,0.8,2,4,1,382,187,0.784394250513347,0.013065045762593446,0.671353251318102,93,150,0.38271604938271603,0.24345549738219896,0.45281331595973323,1.482627006882904,464,0.8232758620689655,1.0,569
cascade|per_task|all12|0.9|0.8|2|4|2,cascade,per_task,all12,0.9,0.8,2,4,2,369,102,0.757700205338809,0.0071263885977782436,0.7834394904458599,82,77,0.5157232704402516,0.2222222222222222,0.5340817607966827,1.4668905548791136,464,0.7952586206896551,2.0,471
cascade|per_task|all12|0.9|0.8|2|8|1,cascade,per_task,all12,0.9,0.8,2,8,1,390,191,0.8008213552361396,0.013344511982114162,0.6712564543889845,96,151,0.38866396761133604,0.24615384615384617,0.4528417731394137,1.4823200822118696,464,0.8405172413793104,1.0,581
cascade|per_task|all12|0.9|0.8|2|8|2,cascade,per_task,all12,0.9,0.8,2,8,2,382,109,0.784394250513347,0.007615454481939496,0.7780040733197556,86,80,0.5180722891566265,0.225130890052356,0.5299323009194721,1.4681197427857493,464,0.8232758620689655,2.0,491
cascade|per_task|all12|0.9|0.8|2|-1|1,cascade,per_task,all12,0.9,0.8,2,-1,1,397,194,0.8151950718685832,0.013554111646754699,0.6717428087986463,96,151,0.38866396761133604,0.24181360201511334,0.4586301213736981,1.464672243477225,464,0.8556034482758621,1.0,591
cascade|per_task|all12|0.9|0.8|2|-1|2,cascade,per_task,all12,0.9,0.8,2,-1,2,390,111,0.8008213552361396,0.007755187591699853,0.7784431137724551,86,80,0.5180722891566265,0.2205128205128205,0.5363246228038451,1.4514401925140816,464,0.8405172413793104,2.0,501
cascade|per_task|all12|0.9|0.8|3|0|1,cascade,per_task,all12,0.9,0.8,3,0,1,123,28,0.25256673511293637,0.001956263536645008,0.8145695364238411,46,22,0.6764705882352942,0.37398373983739835,0.5085521047791518,1.601742532906403,464,0.2650862068965517,2.0,151
cascade|per_task|all12|0.9|0.8|3|0|2,cascade,per_task,all12,0.9,0.8,3,0,2,107,23,0.21971252566735114,0.0016069307622441137,0.823076923076923,37,17,0.6851851851851852,0.34579439252336447,0.5333258001249498,1.5432910293934574,464,0.23060344827586207,2.0,130
cascade|per_task|all12|0.9|0.8|3|1|1,cascade,per_task,all12,0.9,0.8,3,1,1,270,70,0.5544147843942505,0.00489065884161252,0.7941176470588235,70,50,0.5833333333333334,0.25925925925925924,0.5612056109315257,1.4150208614997546,464,0.5818965517241379,1.0,340
cascade|per_task|all12|0.9|0.8|3|1|2,cascade,per_task,all12,0.9,0.8,3,1,2,253,61,0.5195071868583162,0.00426185984769091,0.8057324840764332,66,41,0.616822429906542,0.2608695652173913,0.5780191395747841,1.3939546788522692,464,0.5452586206896551,1.0,314
cascade|per_task|all12|0.9|0.8|3|2|1,cascade,per_task,all12,0.9,0.8,3,2,1,317,83,0.6509240246406571,0.005798924055054846,0.7925,74,57,0.5648854961832062,0.2334384858044164,0.5621070061198828,1.4098739054516967,464,0.6831896551724138,2.0,400
cascade|per_task|all12|0.9|0.8|3|2|2,cascade,per_task,all12,0.9,0.8,3,2,2,305,72,0.6262833675564682,0.0050303919513728776,0.8090185676392573,69,48,0.5897435897435898,0.2262295081967213,0.5834205776493419,1.3866815786629805,464,0.6573275862068966,2.0,377
cascade|per_task|all12|0.9|0.8|3|4|1,cascade,per_task,all12,0.9,0.8,3,4,1,346,94,0.7104722792607803,0.006567456158736813,0.7863636363636364,77,64,0.5460992907801419,0.22254335260115607,0.5524771643576714,1.423341428560019,464,0.7456896551724138,2.0,440
cascade|per_task|all12|0.9|0.8|3|4|2,cascade,per_task,all12,0.9,0.8,3,4,2,336,83,0.6899383983572895,0.005798924055054846,0.801909307875895,72,56,0.5625,0.21428571428571427,0.5685617405265994,1.4104172875458876,464,0.7241379310344828,2.0,419
cascade|per_task|all12|0.9|0.8|3|8|1,cascade,per_task,all12,0.9,0.8,3,8,1,365,101,0.7494866529774127,0.007056522042898064,0.7832618025751072,79,68,0.5374149659863946,0.21643835616438356,0.5498598411686757,1.42447537341581,464,0.7866379310344828,2.0,466
cascade|per_task|all12|0.9|0.8|3|8|2,cascade,per_task,all12,0.9,0.8,3,8,2,360,90,0.7392197125256673,0.006287989939216097,0.8,75,60,0.5555555555555556,0.20833333333333334,0.5637679608007792,1.4190235267425904,464,0.7758620689655172,2.0,450
cascade|per_task|all12|0.9|0.8|3|-1|1,cascade,per_task,all12,0.9,0.8,3,-1,1,375,102,0.7700205338809035,0.0071263885977782436,0.7861635220125787,79,68,0.5374149659863946,0.21066666666666667,0.5536049263295348,1.4200804303258903,464,0.8081896551724138,2.0,477
cascade|per_task|all12|0.9|0.8|3|-1|2,cascade,per_task,all12,0.9,0.8,3,-1,2,370,91,0.7597535934291582,0.006357856494096276,0.8026030368763557,75,60,0.5555555555555556,0.20270270270270271,0.569643302272198,1.4089572082651125,464,0.7974137931034483,2.0,461
cascade|per_task|all12|0.9|0.85|2|0|1,cascade,per_task,all12,0.9,0.85,2,0,1,280,114,0.5749486652977412,0.007964787256340389,0.7106598984771574,71,93,0.4329268292682927,0.25357142857142856,0.48323287858860314,1.470636477701619,448,0.625,1.0,394
cascade|per_task|all12|0.9|0.85|2|0|2,cascade,per_task,all12,0.9,0.85,2,0,2,217,37,0.4455852156057495,0.002585062530566618,0.8543307086614174,53,29,0.6463414634146342,0.24423963133640553,0.5990874566097787,1.4260534071203126,448,0.484375,2.0,254
cascade|per_task|all12|0.9|0.85|2|1|1,cascade,per_task,all12,0.9,0.85,2,1,1,352,148,0.7227926078028748,0.010340250122266472,0.704,85,117,0.4207920792079208,0.24147727272727273,0.4779207912148405,1.4730474441391894,448,0.7857142857142857,1.0,500
cascade|per_task|all12|0.9|0.85|2|1|2,cascade,per_task,all12,0.9,0.85,2,1,2,312,60,0.6406570841889117,0.004191993292810731,0.8387096774193549,70,45,0.6086956521739131,0.22435897435897437,0.591889398479814,1.4170040544288587,448,0.6964285714285714,1.0,372
cascade|per_task|all12|0.9|0.85|2|2|1,cascade,per_task,all12,0.9,0.85,2,2,1,365,158,0.7494866529774127,0.01103891567106826,0.6978967495219885,85,123,0.40865384615384615,0.2328767123287671,0.4781978475283952,1.459430972199321,448,0.8147321428571429,1.0,523
cascade|per_task|all12|0.9|0.85|2|2|2,cascade,per_task,all12,0.9,0.85,2,2,2,338,71,0.6940451745379876,0.004960525396492699,0.8264058679706602,71,52,0.5772357723577236,0.21005917159763313,0.5879293110809886,1.4056211391318454,448,0.7544642857142857,1.0,409
cascade|per_task|all12|0.9|0.85|2|4|1,cascade,per_task,all12,0.9,0.85,2,4,1,376,164,0.7720739219712526,0.011458115000349333,0.6962962962962963,90,127,0.4147465437788018,0.2393617021276596,0.472848721196042,1.4725561582043774,448,0.8392857142857143,1.0,540
cascade|per_task|all12|0.9|0.85|2|4|2,cascade,per_task,all12,0.9,0.85,2,4,2,362,78,0.7433264887063655,0.005449591280653951,0.8227272727272728,77,56,0.5789473684210527,0.212707182320442,0.5745701954384186,1.4319003652800004,448,0.8080357142857143,1.0,440
