comparison,target,split,window,baseline,candidate,metric,episodes,clusters,baseline_loss,improvement,relative_improvement,ci_low,ci_high,bootstrap_opposite_tail_2x
router_beyond_init,residual_none,heldout_seed,q0_to_q2,task_init,task_init_router,log_loss,1536,48,0.17028127273082486,-0.007780387131466201,-0.04569138465252833,-0.0146448749022055,-0.0014678378071789216,0.013197360527894421
router_beyond_init,stagnation,heldout_seed,q0,task_init,task_init_router,brier,1536,48,0.05228513769674412,-0.002397780761336317,-0.04585970061403569,-0.004703582051135746,-8.402645156293393e-05,0.041591681663667265
router_beyond_init,stagnation,heldout_seed,q0,task_init,task_init_router,log_loss,1536,48,0.17154929361245974,-0.005620377535400752,-0.0327624638787352,-0.014813153337287657,0.005280905215438095,0.28994201159768046
router_beyond_init,stagnation,heldout_seed,q0_to_q2,task_init,task_init_router,brier,1536,48,0.05228513769674412,-0.0040044875228163615,-0.0765894037812915,-0.007557744459356234,-0.0007130049533592947,0.015596880623875225
router_beyond_init,stagnation,heldout_seed,q0_to_q2,task_init,task_init_router,log_loss,1536,48,0.17154929361245974,-0.005618091901555602,-0.032749140397203926,-0.01729094045890045,0.007157978409299523,0.35592881423715256
hidden_beyond_init,active_return,heldout_seed,q0,task_init,task_init_hidden,brier,512,16,0.06252489281322879,-0.004087712603761669,-0.06537736283646704,-0.00862374087782416,-0.0007756460554586968,0.0027994401119776045
hidden_beyond_init,active_return,heldout_seed,q0,task_init,task_init_hidden,log_loss,512,16,0.219704462906776,-0.013173466327618665,-0.05995993960854755,-0.023685875707323882,-0.0038155378278977243,0.0027994401119776045
hidden_beyond_init,active_return,heldout_seed,q0_to_q2,task_init,task_init_hidden,brier,512,16,0.06252489281322879,-0.007118739050912481,-0.11385447828238937,-0.012414308344502096,-0.0027924723039633443,0.0003999200159968006
hidden_beyond_init,active_return,heldout_seed,q0_to_q2,task_init,task_init_hidden,log_loss,512,16,0.219704462906776,-0.02355804207646453,-0.10722605160032898,-0.03699175536759574,-0.010605890168914243,0.0003999200159968006
hidden_beyond_init,any_failure,heldout_seed,q0,task_init,task_init_hidden,brier,2048,64,0.06321815704867077,-0.001101796289242227,-0.01742847847326472,-0.002921939612176589,0.0007177796360112981,0.22875424915016995
hidden_beyond_init,any_failure,heldout_seed,q0,task_init,task_init_hidden,log_loss,2048,64,0.22982872000700053,-0.004934301509219391,-0.021469473045270814,-0.012048254117191346,0.0027019395860533417,0.18316336732653468
hidden_beyond_init,any_failure,heldout_seed,q0_to_q2,task_init,task_init_hidden,brier,2048,64,0.06321815704867077,-0.0037298503982897717,-0.05899966991157639,-0.006440109145201454,-0.0013945996342516365,0.0003999200159968006
hidden_beyond_init,any_failure,heldout_seed,q0_to_q2,task_init,task_init_hidden,log_loss,2048,64,0.22982872000700053,-0.01540930603765343,-0.06704691231445777,-0.02454797503357742,-0.005688657303118108,0.001999600079984003
hidden_beyond_init,goal_regression,heldout_seed,q0,task_init,task_init_hidden,brier,1024,32,0.031082895604353233,-0.0006287718575836826,-0.0202288701022958,-0.0015591823137306208,0.0003059993240155129,0.18236352729454108
hidden_beyond_init,goal_regression,heldout_seed,q0,task_init,task_init_hidden,log_loss,1024,32,0.12417465159441074,-0.0025952891351429456,-0.020900313403897346,-0.00497806016883985,-0.00023324999385412269,0.029194161167766446
hidden_beyond_init,goal_regression,heldout_seed,q0_to_q2,task_init,task_init_hidden,brier,1024,32,0.031082895604353233,-0.002392602306643712,-0.07697488474364088,-0.00458177593180157,-0.0003200823153790809,0.026394721055788842
hidden_beyond_init,goal_regression,heldout_seed,q0_to_q2,task_init,task_init_hidden,log_loss,1024,32,0.12417465159441074,-0.013448966029250534,-0.10830685535707103,-0.025929739457276463,-0.004171332882965694,0.0011997600479904018
hidden_beyond_init,regrasp_or_drop,heldout_seed,q0,task_init,task_init_hidden,brier,2048,64,0.0232254536475947,-0.0007694290473924546,-0.03312869832672306,-0.0013406329376740623,-0.0002113680897679868,0.007198560287942412
hidden_beyond_init,regrasp_or_drop,heldout_seed,q0,task_init,task_init_hidden,log_loss,2048,64,0.1129768415838618,-0.002054056062246485,-0.018181213365942576,-0.005155140767159611,0.0009919299819241877,0.1847630473905219
hidden_beyond_init,regrasp_or_drop,heldout_seed,q0_to_q2,task_init,task_init_hidden,brier,2048,64,0.0232254536475947,-0.0015888237184811661,-0.06840872701944875,-0.0025105675385985555,-0.0006730814077186975,0.0007998400319936012
hidden_beyond_init,regrasp_or_drop,heldout_seed,q0_to_q2,task_init,task_init_hidden,log_loss,2048,64,0.1129768415838618,-0.005049251241552961,-0.04469279872552414,-0.009746712549828408,-0.00040923371101487475,0.036392721455708855
