query,episodes,failures,successes,tp,fp,recall,fpr,precision,recall_ci_low,recall_ci_high,fpr_ci_low,fpr_ci_high,first_query_median,phase_median,lead_median,recall_by_half,recall_by_065,recall_lead3
34,34560,1403,33157,22,0,0.015680684248039915,0.0,1.0,0.010377853886589197,0.02362843624705368,0.0,0.00011584322507208563,23.0,0.8,6.0,0.0,0.0014255167498218105,0.014255167498218105
35,34560,1403,33157,22,0,0.015680684248039915,0.0,1.0,0.010377853886589197,0.02362843624705368,0.0,0.00011584322507208563,23.0,0.8,6.0,0.0,0.0014255167498218105,0.014255167498218105
36,34560,1403,33157,22,0,0.015680684248039915,0.0,1.0,0.010377853886589197,0.02362843624705368,0.0,0.00011584322507208563,23.0,0.8,6.0,0.0,0.0014255167498218105,0.014255167498218105
37,34560,1403,33157,22,0,0.015680684248039915,0.0,1.0,0.010377853886589197,0.02362843624705368,0.0,0.00011584322507208563,23.0,0.8,6.0,0.0,0.0014255167498218105,0.014255167498218105
38,34560,1403,33157,22,0,0.015680684248039915,0.0,1.0,0.010377853886589197,0.02362843624705368,0.0,0.00011584322507208563,23.0,0.8,6.0,0.0,0.0014255167498218105,0.014255167498218105
39,34560,1403,33157,22,0,0.015680684248039915,0.0,1.0,0.010377853886589197,0.02362843624705368,0.0,0.00011584322507208563,23.0,0.8,6.0,0.0,0.0014255167498218105,0.014255167498218105
40,34560,1403,33157,23,0,0.01639344262295082,0.0,1.0,0.01094837207781219,0.024479542352911415,0.0,0.00011584322507208563,23.0,0.8,6.0,0.0,0.0014255167498218105,0.01496792587312901
41,34560,1403,33157,23,0,0.01639344262295082,0.0,1.0,0.01094837207781219,0.024479542352911415,0.0,0.00011584322507208563,23.0,0.8,6.0,0.0,0.0014255167498218105,0.01496792587312901
42,34560,1403,33157,24,0,0.017106200997861726,0.0,1.0,0.011521941357837892,0.025327597369966447,0.0,0.00011584322507208563,23.0,0.8,6.0,0.0,0.0014255167498218105,0.015680684248039915
43,34560,1403,33157,24,0,0.017106200997861726,0.0,1.0,0.011521941357837892,0.025327597369966447,0.0,0.00011584322507208563,23.0,0.8,6.0,0.0,0.0014255167498218105,0.015680684248039915
44,34560,1403,33157,24,0,0.017106200997861726,0.0,1.0,0.011521941357837892,0.025327597369966447,0.0,0.00011584322507208563,23.0,0.8,6.0,0.0,0.0014255167498218105,0.015680684248039915
45,34560,1403,33157,24,0,0.017106200997861726,0.0,1.0,0.011521941357837892,0.025327597369966447,0.0,0.00011584322507208563,23.0,0.8,6.0,0.0,0.0014255167498218105,0.015680684248039915
46,34560,1403,33157,24,0,0.017106200997861726,0.0,1.0,0.011521941357837892,0.025327597369966447,0.0,0.00011584322507208563,23.0,0.8,6.0,0.0,0.0014255167498218105,0.015680684248039915
47,34560,1403,33157,24,0,0.017106200997861726,0.0,1.0,0.011521941357837892,0.025327597369966447,0.0,0.00011584322507208563,23.0,0.8,6.0,0.0,0.0014255167498218105,0.015680684248039915
48,34560,1403,33157,25,0,0.01781895937277263,0.0,1.0,0.012098383212942761,0.02617277981194231,0.0,0.00011584322507208563,23.0,0.8,6.0,0.0,0.0014255167498218105,0.01639344262295082
49,34560,1403,33157,25,0,0.01781895937277263,0.0,1.0,0.012098383212942761,0.02617277981194231,0.0,0.00011584322507208563,23.0,0.8,6.0,0.0,0.0014255167498218105,0.01639344262295082
50,34560,1403,33157,25,0,0.01781895937277263,0.0,1.0,0.012098383212942761,0.02617277981194231,0.0,0.00011584322507208563,23.0,0.8,6.0,0.0,0.0014255167498218105,0.01639344262295082
51,34560,1403,33157,25,0,0.01781895937277263,0.0,1.0,0.012098383212942761,0.02617277981194231,0.0,0.00011584322507208563,23.0,0.8,6.0,0.0,0.0014255167498218105,0.01639344262295082
