task,model,pairs,matched_auroc
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,freeze_unseen_task,0,
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,supervised_moe_unseen_task,0,
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,prior,849,0.5
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,support_current,849,0.8704358068315665
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,support_window4,849,0.8657243816254417
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,support_prefix_mean,849,0.8657243816254417
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,support_prefix_max,849,0.7950530035335689
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,freeze,849,0.03769140164899882
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,supervised_moe,849,0.8751472320376914
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,clock_cap,849,0.5
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,prior_unseen_task,849,0.5
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,support_current_unseen_task,849,0.7338044758539458
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,support_window4_unseen_task,849,0.6702002355712603
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,support_prefix_mean_unseen_task,849,0.6702002355712603
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,support_prefix_max_unseen_task,849,0.607773851590106
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,freeze_unseen_task,849,0.03769140164899882
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,supervised_moe_unseen_task,849,0.8150765606595995
pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,prior,0,
pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,support_current,0,
pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,support_window4,0,
