detector,bundle,name,cohort,alarms_any,alarms_in_window,tp,fp,recall,fpr,precision,task_prior,task_lift,suite_prior,suite_lift,is_baseline,tp_libero_goal,fp_libero_goal,recall_libero_goal,fpr_libero_goal,tp_libero_long,fp_libero_long,recall_libero_long,fpr_libero_long,tp_libero_object,fp_libero_object,recall_libero_object,fpr_libero_object,tp_libero_spatial,fp_libero_spatial,recall_libero_spatial,fpr_libero_spatial,shared_cohorts
moe-two-tier-0906::partial_query_d1|global,moe-two-tier-0906,partial_query_d1|global,development_main,61,55,34,21,0.06981519507186858,0.001467197652483756,0.6181818181818182,0.36803124076500693,1.6796993018767552,0.14407993843264053,4.290547489863255,True,0,0,0.0,0.0,32,18,0.14414414414414414,0.0069821567106283944,0,0,0.0,0.0,2,3,0.015873015873015872,0.0007743933918430562,True
moe-two-tier-0906::partial_query_d1|per_task,moe-two-tier-0906,partial_query_d1|per_task,development_main,171,59,44,15,0.09034907597535935,0.0010479983232026828,0.7457627118644068,0.5488794969523695,1.358700253890377,0.24054826812893398,3.100262237035428,True,21,5,0.20588235294117646,0.0012827090815802976,23,7,0.1036036036036036,0.0027152831652443757,0,0,0.0,0.0,0,3,0.0,0.0007743933918430562,True
moe-two-tier-0906::state_action_alignment|global,moe-two-tier-0906,state_action_alignment|global,development_main,32,16,11,5,0.022587268993839837,0.0003493327744008943,0.6875,0.7052493773178024,0.974832480695968,0.3949636062237925,1.7406667074293722,True,3,0,0.029411764705882353,0.0,8,5,0.036036036036036036,0.001939487975174554,0,0,0.0,0.0,0,0,0.0,0.0,True
moe-two-tier-0906::state_action_alignment|per_task,moe-two-tier-0906,state_action_alignment|per_task,development_main,31,27,22,5,0.045174537987679675,0.0003493327744008943,0.8148148148148148,0.7459185977761883,1.0923642569631957,0.23596810071111185,3.4530718870868324,True,16,1,0.1568627450980392,0.0002565418163160595,5,3,0.02252252252252252,0.0011636927851047323,1,0,0.02702702702702703,0.0,0,1,0.0,0.0002581311306143521,True
moe-two-tier-0906::v7_guard|global,moe-two-tier-0906,v7_guard|global,development_main,449,219,168,51,0.34496919917864477,0.0035631942988891218,0.7671232876712328,0.45649845288138857,1.680451013205413,0.3301424316218104,2.3236131263187616,True,22,0,0.21568627450980393,0.0,136,47,0.6126126126126126,0.018231186966640806,9,4,0.24324324324324326,0.0010093363613424174,1,0,0.007936507936507936,0.0,True
moe-failure-modes-0906::action_consensus|global,moe-failure-modes-0906,action_consensus|global,development_main,21,20,14,6,0.028747433264887063,0.00041919932928107315,0.7,0.66875,1.0467289719626167,0.1755234236046915,3.9880717093150975,True,13,6,0.12745098039215685,0.0015392508978963571,1,0,0.0045045045045045045,0.0,0,0,0.0,0.0,0,0,0.0,0.0,True
moe-failure-modes-0906::action_consensus|per_task,moe-failure-modes-0906,action_consensus|per_task,development_main,145,73,43,30,0.08829568788501027,0.0020959966464053656,0.589041095890411,0.3677687769160965,1.6016615136004217,0.1734230454693921,3.396556059179415,True,22,7,0.21568627450980393,0.0017957927142124167,7,16,0.03153153153153153,0.0062063615205585725,10,4,0.2702702702702703,0.0010093363613424174,4,3,0.031746031746031744,0.0007743933918430562,True
moe-failure-modes-0906::conditional_effective_rank|global,moe-failure-modes-0906,conditional_effective_rank|global,development_main,62,53,33,20,0.06776180698151951,0.0013973310976035773,0.6226415094339622,0.3945325999457791,1.578175059600987,0.15603076874748825,3.9905046577166554,True,0,0,0.0,0.0,33,20,0.14864864864864866,0.007757951900698216,0,0,0.0,0.0,0,0,0.0,0.0,True
moe-failure-modes-0906::conditional_effective_rank|per_task,moe-failure-modes-0906,conditional_effective_rank|per_task,development_main,138,51,32,19,0.06570841889117043,0.0013274645427233983,0.6274509803921569,0.5095975302838048,1.2312677026568735,0.1961023538697149,3.19960963247294,True,20,0,0.19607843137254902,0.0,11,11,0.04954954954954955,0.004266873545384018,0,0,0.0,0.0,1,8,0.007936507936507936,0.002065049044914817,True
moe-failure-modes-0906::conditional_energy|global,moe-failure-modes-0906,conditional_energy|global,development_main,32,16,11,5,0.022587268993839837,0.0003493327744008943,0.6875,0.7052493773178024,0.974832480695968,0.3949636062237925,1.7406667074293722,True,3,0,0.029411764705882353,0.0,8,5,0.036036036036036036,0.001939487975174554,0,0,0.0,0.0,0,0,0.0,0.0,True
