corpus,suite,task,event,event_settling,control_settling,event_responsiveness,control_responsiveness,event_coherence,control_coherence
grid50x8,libero_long,KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,static,0.7425500399540041,9.744879066020395e-06,0.048031754497528154,0.24350243081909373,0.8664074528835097,0.3357792979789121
grid50x8,libero_long,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,loop,0.9744196924516166,0.6686214894073164,0.43967055734476607,0.5246774292806007,0.487721452376776,0.43003176830575535
grid50x8,libero_long,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,loop,0.9998148472977451,0.5861213432341305,0.40510574575888736,0.4768077293893208,0.2619910736907755,0.4449921066479566
grid50x8,libero_long,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,loop,0.8268042643590793,0.7946929388606288,0.6421977886725881,0.4943465506984759,0.487721452376776,0.4269445906176304
grid50x8,libero_long,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,loop,0.9206084702488843,0.80928297179832,0.7263841309565324,0.5014359268908081,0.2619910736907755,0.487721452376776
grid50x8,libero_long,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,loop,0.9810462102165312,0.999990255120934,0.28325709245317854,0.7746517877289791,0.487721452376776,0.7153033580853262
grid50x8,libero_long,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,loop,0.9943382252626245,0.7485772476563565,0.3767564462860777,0.47976881577057995,0.487721452376776,0.39330331910580996
grid50x8,libero_long,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,static,0.407715995244499,0.1034307542814822,0.018287554616504952,0.7381675228502856,0.3357792979789121,0.40089736414942523
grid50x8,libero_long,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,loop,0.11308932156151941,0.534925646572726,0.7186096125048719,0.27999548708691463,0.487721452376776,0.8664074528835097
grid50x8,libero_long,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,loop,0.4004852949774893,0.4731041337776998,0.17533692998830747,0.4743926371139237,0.487721452376776,0.5005262234695668
grid50x8,libero_long,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,loop,0.999990255120934,0.39142255744606214,0.9613017702927239,0.1668376103441438,0.3357792979789121,0.8664074528835096
grid50x8,libero_long,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,loop,0.47945779492876495,0.6024186789841938,0.7321893782436563,0.4171059919177829,0.487721452376776,0.8664074528835096
grid50x8,libero_long,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,loop,0.4839014597828841,0.4885177482090305,0.9958050421547109,0.16148756164961625,0.3357792979789121,0.5418194524491666
grid50x8,libero_long,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,loop,0.02581418464596852,0.18872907287220567,0.7792877802621592,0.6014907265497021,0.2619910736907755,0.14278057595019536
grid50x8,libero_long,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,loop,0.3132101580619384,0.4457794928764934,0.1024944101417465,0.5173849719994256,0.8664074528835097,0.4117503751778441
grid50x8,libero_long,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,loop,0.5143444619852268,0.958165234169444,0.4509528400582576,0.7719235266364438,0.8664074528835097,0.8664074528835097
grid50x8,libero_long,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,loop,0.22166676411545738,0.9579995712253211,0.1913372582001682,0.23479455988840797,0.487721452376776,0.5641992632871426
grid50x8,libero_long,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,loop,0.9859576292658208,0.3416164805394765,0.08920182978112372,0.5597243020369649,0.487721452376776,0.6770644526301428
grid50x8,libero_long,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,loop,0.999990255120934,0.028523261026330626,0.9817739851073868,0.6439003877002605,0.487721452376776,0.06142197275331813
grid50x8,libero_long,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,loop,0.17557348613303714,9.744879066020395e-06,0.9155777554411373,0.2363022831237564,0.2619910736907755,0.19927303202167262
grid50x8,libero_long,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,loop,0.9190687793564482,0.788175563741254,0.32686824345114773,0.43866540852120045,0.8664074528835097,0.8664074528835097
grid50x8,libero_long,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,loop,0.04850026311173483,0.35318365199087876,0.15845453240066462,0.08856591930090874,0.1474497651484145,0.8664074528835097
grid50x8,libero_long,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,loop,0.3207332047009297,9.744879066020395e-06,0.9429424193316785,0.5626884654044185,0.487721452376776,0.487721452376776
grid50x8,libero_long,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,loop,0.9982361768890448,0.8368804693133758,0.942655233953517,0.5798990748528174,0.3357792979789121,0.487721452376776
grid50x8,libero_long,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,loop,0.05699779765733104,0.4674131244031262,0.1133664280292929,0.07595027590309544,0.19927303202167262,0.8664074528835097
grid50x8,libero_long,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,loop,0.999990255120934,9.744879066020395e-06,0.9476809780713451,0.5626884654044185,0.3357792979789121,0.487721452376776
grid50x8,libero_long,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,loop,0.999990255120934,9.744879066020395e-06,0.7631643726025149,0.5626884654044185,0.487721452376776,0.487721452376776
grid50x8,libero_long,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,loop,0.17857490888538075,0.6937476855912218,0.926634392500359,0.18610638166936758,0.487721452376776,0.8664074528835097
grid50x8,libero_long,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,loop,0.0015494357715021279,9.744879066020395e-06,0.5346468645510677,0.07814519272190198,0.1474497651484145,0.8664074528835097
grid50x8,libero_long,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,loop,9.744879066020395e-06,9.744879066020395e-06,0.6630187285893044,0.07049375371802498,0.3357792979789121,0.8664074528835097
grid50x8,libero_long,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,loop,9.744879066020395e-06,0.7576935820226471,0.9382038605920121,0.9429424193316785,0.487721452376776,0.487721452376776
grid50x8,libero_long,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,loop,0.4104835408992574,0.5948891357591587,0.6639007979650865,0.23096884038646948,0.487721452376776,0.8664074528835096
grid50x8,libero_long,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,loop,0.7222806914966186,0.999990255120934,0.7977702106709881,0.26518492687029477,0.3357792979789121,0.487721452376776
grid50x8,libero_long,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,loop,0.7062990898282953,0.6888703736186634,0.9235368930644731,0.16159818662946931,0.3357792979789121,0.7717359527568264
