corpus,event,lead,axis,auc_event_high,events,pairs
main16x32,loop,-8,query|front|token_gram|lag4,0.42258340461933275,89,1169
main16x32,loop,-8,query|front|token_gram|return_advantage,0.5034217279726262,89,1169
main16x32,loop,-8,query|front|token_gram|turn_instability,0.5106928999144568,89,1169
main16x32,loop,-8,query|front|expert_load|d1,0.4632164242942686,89,1169
main16x32,loop,-8,query|front|expert_load|acceleration,0.5094097519247219,89,1169
main16x32,loop,-8,query|front|expert_load|jerk,0.544054747647562,89,1169
main16x32,loop,-8,query|front|expert_load|lag4,0.5410607356715141,89,1169
main16x32,loop,-8,query|front|expert_load|return_advantage,0.48502994011976047,89,1169
main16x32,loop,-8,query|front|expert_load|turn_instability,0.5739948674080411,89,1169
main16x32,loop,-8,query|front|spectrum|d1,0.3575705731394354,89,1169
main16x32,loop,-8,query|front|spectrum|acceleration,0.3798118049615056,89,1169
main16x32,loop,-8,query|front|spectrum|jerk,0.49272882805816937,89,1169
main16x32,loop,-8,query|front|spectrum|lag4,0.4294268605645851,89,1169
main16x32,loop,-8,query|front|spectrum|return_advantage,0.5265183917878529,89,1169
main16x32,loop,-8,query|front|spectrum|turn_instability,0.539349871685201,89,1169
main16x32,loop,-8,query|back|edge_action|d1,0.5008554319931565,89,1169
main16x32,loop,-8,query|back|edge_action|acceleration,0.4833190761334474,89,1169
main16x32,loop,-8,query|back|edge_action|jerk,0.4974337040205304,89,1169
main16x32,loop,-8,query|back|edge_action|lag4,0.5641573994867408,89,1169
main16x32,loop,-8,query|back|edge_action|return_advantage,0.38152266894781867,89,1169
main16x32,loop,-8,query|back|edge_action|turn_instability,0.4328485885372113,89,1169
main16x32,loop,-8,query|back|edge_state|d1,0.39820359281437123,89,1169
main16x32,loop,-8,query|back|edge_state|acceleration,0.4721984602224123,89,1169
main16x32,loop,-8,query|back|edge_state|jerk,0.4828913601368691,89,1169
main16x32,loop,-8,query|back|edge_state|lag4,0.5201026518391788,89,1169
main16x32,loop,-8,query|back|edge_state|return_advantage,0.5111206159110351,89,1169
main16x32,loop,-8,query|back|edge_state|turn_instability,0.5727117194183062,89,1169
main16x32,loop,-8,query|back|token_gram|d1,0.4798973481608212,89,1169
main16x32,loop,-8,query|back|token_gram|acceleration,0.5256629597946963,89,1169
main16x32,loop,-8,query|back|token_gram|jerk,0.5008554319931565,89,1169
main16x32,loop,-8,query|back|token_gram|lag4,0.4482463644140291,89,1169
main16x32,loop,-8,query|back|token_gram|return_advantage,0.539349871685201,89,1169
main16x32,loop,-8,query|back|token_gram|turn_instability,0.5988023952095808,89,1169
main16x32,loop,-8,query|back|expert_load|d1,0.5350727117194183,89,1169
main16x32,loop,-8,query|back|expert_load|acceleration,0.5008554319931565,89,1169
main16x32,loop,-8,query|back|expert_load|jerk,0.525235243798118,89,1169
main16x32,loop,-8,query|back|expert_load|lag4,0.6184773310521814,89,1169
main16x32,loop,-8,query|back|expert_load|return_advantage,0.411890504704876,89,1169
main16x32,loop,-8,query|back|expert_load|turn_instability,0.44610778443113774,89,1169
main16x32,loop,-8,query|back|spectrum|d1,0.5068434559452524,89,1169
main16x32,loop,-8,query|back|spectrum|acceleration,0.504704875962361,89,1169
main16x32,loop,-8,query|back|spectrum|jerk,0.514114627887083,89,1169
main16x32,loop,-8,query|back|spectrum|lag4,0.4345594525235244,89,1169
main16x32,loop,-8,query|back|spectrum|return_advantage,0.5064157399486741,89,1169
main16x32,loop,-8,query|back|spectrum|turn_instability,0.542343883661249,89,1169
main16x32,loop,-8,state|query_response,0.344311377245509,89,1169
main16x32,loop,-8,state|query_acceleration,0.4619332763045338,89,1169
main16x32,loop,-8,state|query_jerk,0.5333618477331052,89,1169
main16x32,loop,-8,state|query_return,0.5209580838323353,89,1169
main16x32,loop,-8,state|query_turn,0.5145423438836613,89,1169
main16x32,loop,-6,flow|all|edge_action|early_speed,0.5018337408312958,116,1636
main16x32,loop,-6,flow|all|edge_action|late_speed,0.5757946210268948,116,1636
main16x32,loop,-6,flow|all|edge_action|path,0.5577628361858191,116,1636
main16x32,loop,-6,flow|all|edge_action|endpoint,0.5641809290953546,116,1636
main16x32,loop,-6,flow|all|edge_action|efficiency,0.5476772616136919,116,1636
main16x32,loop,-6,flow|all|edge_action|curvature,0.51619804400978,116,1636
main16x32,loop,-6,flow|all|edge_action|settling_log_ratio,0.5984107579462102,116,1636
main16x32,loop,-6,flow|all|edge_state|early_speed,0.5,116,1636
main16x32,loop,-6,flow|all|edge_state|late_speed,0.5,116,1636
main16x32,loop,-6,flow|all|edge_state|path,0.5,116,1636
main16x32,loop,-6,flow|all|edge_state|endpoint,0.5,116,1636
main16x32,loop,-6,flow|all|edge_state|efficiency,0.5,116,1636
main16x32,loop,-6,flow|all|edge_state|curvature,0.5,116,1636
main16x32,loop,-6,flow|all|edge_state|settling_log_ratio,0.5,116,1636
main16x32,loop,-6,flow|all|token_gram|early_speed,0.4452933985330073,116,1636
main16x32,loop,-6,flow|all|token_gram|late_speed,0.4786063569682152,116,1636
main16x32,loop,-6,flow|all|token_gram|path,0.43704156479217604,116,1636
main16x32,loop,-6,flow|all|token_gram|endpoint,0.5113080684596577,116,1636
main16x32,loop,-6,flow|all|token_gram|efficiency,0.5568459657701712,116,1636
main16x32,loop,-6,flow|all|token_gram|curvature,0.4202322738386308,116,1636
main16x32,loop,-6,flow|all|token_gram|settling_log_ratio,0.5537897310513448,116,1636
main16x32,loop,-6,flow|all|expert_load|early_speed,0.5006112469437652,116,1636
main16x32,loop,-6,flow|all|expert_load|late_speed,0.5999388753056235,116,1636
main16x32,loop,-6,flow|all|expert_load|path,0.5968826405867971,116,1636
main16x32,loop,-6,flow|all|expert_load|endpoint,0.5959657701711492,116,1636
main16x32,loop,-6,flow|all|expert_load|efficiency,0.5730440097799511,116,1636
main16x32,loop,-6,flow|all|expert_load|curvature,0.5883251833740831,116,1636
main16x32,loop,-6,flow|all|expert_load|settling_log_ratio,0.5837408312958435,116,1636
main16x32,loop,-6,flow|all|spectrum|early_speed,0.4676039119804401,116,1636
main16x32,loop,-6,flow|all|spectrum|late_speed,0.5149755501222494,116,1636
main16x32,loop,-6,flow|all|spectrum|path,0.5207823960880196,116,1636
main16x32,loop,-6,flow|all|spectrum|endpoint,0.5070293398533008,116,1636
main16x32,loop,-6,flow|all|spectrum|efficiency,0.4886919315403423,116,1636
main16x32,loop,-6,flow|all|spectrum|curvature,0.4779951100244499,116,1636
main16x32,loop,-6,flow|all|spectrum|settling_log_ratio,0.5210880195599022,116,1636
main16x32,loop,-6,flow|front|edge_action|early_speed,0.5262836185819071,116,1636
main16x32,loop,-6,flow|front|edge_action|late_speed,0.5871026894865525,116,1636
main16x32,loop,-6,flow|front|edge_action|path,0.5745721271393643,116,1636
main16x32,loop,-6,flow|front|edge_action|endpoint,0.565403422982885,116,1636
main16x32,loop,-6,flow|front|edge_action|efficiency,0.543398533007335,116,1636
main16x32,loop,-6,flow|front|edge_action|curvature,0.546760391198044,116,1636
main16x32,loop,-6,flow|front|edge_action|settling_log_ratio,0.6152200488997555,116,1636
main16x32,loop,-6,flow|front|edge_state|early_speed,0.5,116,1636
main16x32,loop,-6,flow|front|edge_state|late_speed,0.5,116,1636
main16x32,loop,-6,flow|front|edge_state|path,0.5,116,1636
main16x32,loop,-6,flow|front|edge_state|endpoint,0.5,116,1636
main16x32,loop,-6,flow|front|edge_state|efficiency,0.5,116,1636
main16x32,loop,-6,flow|front|edge_state|curvature,0.5,116,1636
main16x32,loop,-6,flow|front|edge_state|settling_log_ratio,0.5,116,1636
main16x32,loop,-6,flow|front|token_gram|early_speed,0.45812958435207823,116,1636
main16x32,loop,-6,flow|front|token_gram|late_speed,0.4896088019559902,116,1636
main16x32,loop,-6,flow|front|token_gram|path,0.4569070904645477,116,1636
main16x32,loop,-6,flow|front|token_gram|endpoint,0.5055012224938875,116,1636
main16x32,loop,-6,flow|front|token_gram|efficiency,0.5372860635696821,116,1636
main16x32,loop,-6,flow|front|token_gram|curvature,0.4254278728606357,116,1636
main16x32,loop,-6,flow|front|token_gram|settling_log_ratio,0.5504278728606357,116,1636
main16x32,loop,-6,flow|front|expert_load|early_speed,0.49816625916870416,116,1636
main16x32,loop,-6,flow|front|expert_load|late_speed,0.6595354523227384,116,1636
main16x32,loop,-6,flow|front|expert_load|path,0.6182762836185819,116,1636
main16x32,loop,-6,flow|front|expert_load|endpoint,0.6194987775061125,116,1636
main16x32,loop,-6,flow|front|expert_load|efficiency,0.5886308068459658,116,1636
main16x32,loop,-6,flow|front|expert_load|curvature,0.597799511002445,116,1636
main16x32,loop,-6,flow|front|expert_load|settling_log_ratio,0.6194987775061125,116,1636
main16x32,loop,-6,flow|front|spectrum|early_speed,0.5082518337408313,116,1636
main16x32,loop,-6,flow|front|spectrum|late_speed,0.5055012224938875,116,1636
main16x32,loop,-6,flow|front|spectrum|path,0.519559902200489,116,1636
main16x32,loop,-6,flow|front|spectrum|endpoint,0.4893031784841076,116,1636
main16x32,loop,-6,flow|front|spectrum|efficiency,0.48135696821515894,116,1636
main16x32,loop,-6,flow|front|spectrum|curvature,0.4798288508557457,116,1636
main16x32,loop,-6,flow|front|spectrum|settling_log_ratio,0.5146699266503667,116,1636
main16x32,loop,-6,flow|back|edge_action|early_speed,0.4712713936430318,116,1636
main16x32,loop,-6,flow|back|edge_action|late_speed,0.5216992665036675,116,1636
main16x32,loop,-6,flow|back|edge_action|path,0.5253667481662592,116,1636
main16x32,loop,-6,flow|back|edge_action|endpoint,0.5345354523227384,116,1636
main16x32,loop,-6,flow|back|edge_action|efficiency,0.534841075794621,116,1636
main16x32,loop,-6,flow|back|edge_action|curvature,0.5027506112469438,116,1636
main16x32,loop,-6,flow|back|edge_action|settling_log_ratio,0.5342298288508558,116,1636
main16x32,loop,-6,flow|back|edge_state|early_speed,0.5,116,1636
main16x32,loop,-6,flow|back|edge_state|late_speed,0.5,116,1636
main16x32,loop,-6,flow|back|edge_state|path,0.5,116,1636
main16x32,loop,-6,flow|back|edge_state|endpoint,0.5,116,1636
main16x32,loop,-6,flow|back|edge_state|efficiency,0.5,116,1636
main16x32,loop,-6,flow|back|edge_state|curvature,0.5,116,1636
main16x32,loop,-6,flow|back|edge_state|settling_log_ratio,0.5,116,1636
main16x32,loop,-6,flow|back|token_gram|early_speed,0.4819682151589242,116,1636
main16x32,loop,-6,flow|back|token_gram|late_speed,0.5198655256723717,116,1636
main16x32,loop,-6,flow|back|token_gram|path,0.53820293398533,116,1636
main16x32,loop,-6,flow|back|token_gram|endpoint,0.5369804400977995,116,1636
main16x32,loop,-6,flow|back|token_gram|efficiency,0.5385085574572127,116,1636
main16x32,loop,-6,flow|back|token_gram|curvature,0.5067237163814181,116,1636
main16x32,loop,-6,flow|back|token_gram|settling_log_ratio,0.5036674816625917,116,1636
main16x32,loop,-6,flow|back|expert_load|early_speed,0.527200488997555,116,1636
main16x32,loop,-6,flow|back|expert_load|late_speed,0.5244498777506112,116,1636
main16x32,loop,-6,flow|back|expert_load|path,0.5452322738386308,116,1636
main16x32,loop,-6,flow|back|expert_load|endpoint,0.5440097799511002,116,1636
main16x32,loop,-6,flow|back|expert_load|efficiency,0.5415647921760391,116,1636
main16x32,loop,-6,flow|back|expert_load|curvature,0.5198655256723717,116,1636
main16x32,loop,-6,flow|back|expert_load|settling_log_ratio,0.48074572127139364,116,1636
main16x32,loop,-6,flow|back|spectrum|early_speed,0.45904645476772615,116,1636
main16x32,loop,-6,flow|back|spectrum|late_speed,0.4758557457212714,116,1636
main16x32,loop,-6,flow|back|spectrum|path,0.5058068459657702,116,1636
main16x32,loop,-6,flow|back|spectrum|endpoint,0.49174816625916873,116,1636
main16x32,loop,-6,flow|back|spectrum|efficiency,0.5027506112469438,116,1636
main16x32,loop,-6,flow|back|spectrum|curvature,0.535757946210269,116,1636
main16x32,loop,-6,flow|back|spectrum|settling_log_ratio,0.511919315403423,116,1636
main16x32,loop,-6,terminal|all|effective_rank_fraction,0.4724938875305624,116,1636
main16x32,loop,-6,terminal|all|token_affinity,0.4724938875305624,116,1636
main16x32,loop,-6,terminal|all|state_action_affinity,0.5638753056234719,116,1636
main16x32,loop,-6,terminal|all|expert_load_entropy,0.46577017114914426,116,1636
main16x32,loop,-6,terminal|front|effective_rank_fraction,0.4404034229828851,116,1636
main16x32,loop,-6,terminal|front|token_affinity,0.44254278728606355,116,1636
main16x32,loop,-6,terminal|front|state_action_affinity,0.5702933985330073,116,1636
main16x32,loop,-6,terminal|front|expert_load_entropy,0.45415647921760394,116,1636
main16x32,loop,-6,terminal|back|effective_rank_fraction,0.5287286063569682,116,1636
main16x32,loop,-6,terminal|back|token_affinity,0.5189486552567237,116,1636
main16x32,loop,-6,terminal|back|state_action_affinity,0.45293398533007334,116,1636
main16x32,loop,-6,terminal|back|expert_load_entropy,0.47096577017114916,116,1636
main16x32,loop,-6,state|flow_nonsettling,0.562958435207824,116,1636
main16x32,loop,-6,state|flow_curvature,0.5113080684596577,116,1636
main16x32,loop,-6,state|flow_directness,0.5516503667481663,116,1636
main16x32,loop,-6,state|flow_late_motion,0.5690709046454768,116,1636
main16x32,loop,-6,state|diversity,0.4724938875305624,116,1636
main16x32,loop,-6,state|token_coherence,0.4724938875305624,116,1636
main16x32,loop,-6,query|all|edge_action|d1,0.4932216905901116,100,1254
main16x32,loop,-6,query|all|edge_action|acceleration,0.46479463537300925,98,1193
