cohort,detector,point,is_baseline,alarms,tp,fp,precision,suite_prior,suite_lift,task_prior,task_lift,lp_suite_tp,lp_suite_fp,lp_suite_precision,lp_suite_lift,lp_task_tp,lp_task_fp,lp_task_precision,lp_task_lift,budget
legacy_main16x32,_control,all_running_at_chunk8,True,2560,307,2253,0.119921875,0.119921875,1.0,0.119921875,1.0,91,1957,0.04443359375,1.0,91,1957,0.04443359375,1.0,
legacy_main16x32,_control,all_running_at_chunk12,True,1625,307,1318,0.18892307692307692,0.18892307692307692,1.0,0.18892307692307692,1.0,91,1022,0.08176100628930817,1.0,79,1000,0.0732159406858202,1.0,
legacy_main16x32,_control,all_running_at_chunk16,True,1077,307,770,0.2850510677808728,0.2850510677808728,1.0,0.2850510677808728,1.0,42,470,0.08203125,1.0,42,470,0.08203125,1.0,
legacy_main16x32,length_leak,length_at_cap,False,309,307,2,0.9935275080906149,0.30958611448220064,3.2092121113130117,0.3170572916666667,3.1335898407129044,91,1,0.9891304347826086,22.11295681063123,91,1,0.9891304347826086,14.16600790513834,
legacy_main16x32,survival_prior,alive_at_window_end,True,916,307,609,0.3351528384279476,0.3351528384279476,1.0,0.3351528384279476,1.0,42,253,0.1423728813559322,1.0,42,253,0.1423728813559322,1.0,
development_main,unified,budget=0.002|cusum_all,True,115,88,27,0.7652173913043478,0.3801680508641006,2.012839820613678,0.48097422515270744,1.5909738012705241,5,5,0.5,2.9974703495002233,3,2,0.6,4.050438169588823,0.002
external_8b,unified,budget=0.002|cusum_all,True,149,119,30,0.7986577181208053,0.36236479591304643,2.2040157518846075,0.4064502380305485,1.9649581754231344,29,9,0.7631578947368421,6.164343563145313,24,11,0.6857142857142857,10.340251403258039,0.002
legacy_main16x32,unified,budget=0.002|cusum_all,True,88,82,6,0.9318181818181818,0.421875,2.2087542087542085,0.421875,2.2087542087542085,0,0,,,0,0,,,0.002
development_main,unified,budget=0.005|cusum_all,True,197,130,67,0.6598984771573604,0.3276622583077443,2.0139593756250553,0.38674568243121943,1.706285311342085,16,30,0.34782608695652173,2.4140010661794964,8,22,0.26666666666666666,2.063344934791182,0.005
external_8b,unified,budget=0.005|cusum_all,True,253,166,87,0.6561264822134387,0.2931350024793849,2.2383082083811594,0.3559608165067188,1.8432547959981833,51,48,0.5151515151515151,4.437836835426488,37,35,0.5138888888888888,5.794577512723141,0.005
legacy_main16x32,unified,budget=0.005|cusum_all,True,129,101,28,0.7829457364341085,0.421875,1.8558713752512201,0.421875,1.8558713752512201,0,0,,,0,0,,,0.005
development_main,unified,budget=0.01|k_of_m,True,303,164,139,0.5412541254125413,0.25468090097558993,2.1252246373371286,0.32677683629148263,1.6563417761035741,61,50,0.5495495495495496,4.350416389701087,54,62,0.46551724137931033,3.4476489387556,0.01
external_8b,unified,budget=0.01|k_of_m,True,343,182,161,0.5306122448979592,0.23555595222330658,2.252595359572743,0.32662295371151995,1.6245405868400993,72,48,0.6,3.9166566734620467,57,81,0.41304347826086957,3.1391801467418476,0.01
legacy_main16x32,unified,budget=0.01|k_of_m,True,177,88,89,0.4971751412429379,0.29643072149671207,1.677205178777168,0.2860682252136579,1.7379600298901041,32,53,0.3764705882352941,2.3433373349339734,32,52,0.38095238095238093,2.7902187902187903,0.01
development_main,unified,budget=0.02|k_of_m,True,499,213,286,0.42685370741482964,0.24848105759981276,1.7178521032468081,0.29809926700496353,1.4319180040376358,74,125,0.37185929648241206,2.9219698522593776,64,141,0.3121951219512195,2.655345001105351,0.02
external_8b,unified,budget=0.02|k_of_m,True,553,245,308,0.4430379746835443,0.23639255238809687,1.8741621519284914,0.3028769367145927,1.4627656350771543,86,104,0.45263157894736844,2.952325857233711,67,171,0.2815126050420168,2.3387264386293993,0.02
legacy_main16x32,unified,budget=0.02|k_of_m,True,314,126,188,0.4012738853503185,0.315390714733215,1.2723072259427515,0.30624577888950494,1.3103001347656131,35,93,0.2734375,1.702008928571429,35,92,0.2755905511811024,2.018514577569695,0.02
development_main,unified,budget=0.05|k_of_m,True,967,286,681,0.2957600827300931,0.21639701575920348,1.3667475112466483,0.24491851568051456,1.207585640915361,98,391,0.20040899795501022,1.8829126033714578,84,415,0.1683366733466934,1.85884952335734,0.05
external_8b,unified,budget=0.05|k_of_m,True,1027,326,701,0.317429406037001,0.21851970756182626,1.4526351402295832,0.2492445899243558,1.2735658821454814,112,309,0.2660332541567696,2.0432728877194974,88,455,0.16206261510128914,1.7791868788184926,0.05
legacy_main16x32,unified,budget=0.05|k_of_m,True,550,183,367,0.3327272727272727,0.32546134500745155,1.0223250098092442,0.31773767562207705,1.0471760142257243,37,166,0.18226600985221675,1.1345129184678797,35,165,0.175,1.281756756756757,0.05
development_main,unified,budget=0.1|k_of_m,True,1749,341,1408,0.1949685534591195,0.12022208400006408,1.6217365975706726,0.1561568687783754,1.2485429234357108,279,1240,0.1836734693877551,1.961945311947805,110,1088,0.09181969949916527,1.8314062697508162,0.1
external_8b,unified,budget=0.1|k_of_m,True,2159,406,1753,0.18805002315886984,0.12943432766302024,1.452860508909618,0.15221260115224625,1.235443200729342,369,1623,0.1852409638554217,1.5856701260366857,153,1442,0.09592476489028214,1.6285549761316607,0.1
legacy_main16x32,unified,budget=0.1|k_of_m,True,768,205,563,0.2669270833333333,0.2661415730072219,1.0029514754768887,0.25890920516696075,1.0309679146448352,41,329,0.11081081081081082,1.1235807851532928,37,328,0.10136986301369863,1.2683693438845145,0.1
