family,level,scope,outcome,method,episodes,alarms,no_alarm,alarm_rate,p25_pct,median_pct,p75_pct,median_query,at_or_after_75pct
frozen,task,libero_goal/put_the_wine_bottle_on_the_rack,failure,v8,1,1,0,1.0,73.33333333333333,73.33333333333333,73.33333333333333,22.0,0
frozen,task,libero_goal/put_the_wine_bottle_on_the_rack,failure,v82,1,1,0,1.0,73.33333333333333,73.33333333333333,73.33333333333333,22.0,0
frozen,task,libero_goal/put_the_wine_bottle_on_the_rack,success,v7,399,0,399,0.0,,,,,0
frozen,task,libero_goal/put_the_wine_bottle_on_the_rack,success,v8,399,0,399,0.0,,,,,0
frozen,task,libero_goal/put_the_wine_bottle_on_the_rack,success,v82,399,0,399,0.0,,,,,0
frozen,task,libero_goal/put_the_wine_bottle_on_top_of_the_cabinet,failure,v7,1,1,0,1.0,50.0,50.0,50.0,15.0,0
frozen,task,libero_goal/put_the_wine_bottle_on_top_of_the_cabinet,failure,v8,1,1,0,1.0,50.0,50.0,50.0,15.0,0
frozen,task,libero_goal/put_the_wine_bottle_on_top_of_the_cabinet,failure,v82,1,1,0,1.0,50.0,50.0,50.0,15.0,0
frozen,task,libero_goal/put_the_wine_bottle_on_top_of_the_cabinet,success,v7,399,0,399,0.0,,,,,0
frozen,task,libero_goal/put_the_wine_bottle_on_top_of_the_cabinet,success,v8,399,0,399,0.0,,,,,0
frozen,task,libero_goal/put_the_wine_bottle_on_top_of_the_cabinet,success,v82,399,0,399,0.0,,,,,0
frozen,task,libero_goal/turn_on_the_stove,failure,v7,0,0,0,,,,,,0
frozen,task,libero_goal/turn_on_the_stove,failure,v8,0,0,0,,,,,,0
frozen,task,libero_goal/turn_on_the_stove,failure,v82,0,0,0,,,,,,0
frozen,task,libero_goal/turn_on_the_stove,success,v7,400,0,400,0.0,,,,,0
frozen,task,libero_goal/turn_on_the_stove,success,v8,400,0,400,0.0,,,,,0
frozen,task,libero_goal/turn_on_the_stove,success,v82,400,0,400,0.0,,,,,0
frozen,task,libero_long/KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,failure,v7,4,4,0,1.0,68.75,73.07692307692307,78.36538461538461,38.0,2
frozen,task,libero_long/KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,failure,v8,4,4,0,1.0,68.75,73.07692307692307,78.36538461538461,38.0,2
frozen,task,libero_long/KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,failure,v82,4,4,0,1.0,68.75,73.07692307692307,78.36538461538461,38.0,2
frozen,task,libero_long/KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,success,v7,396,0,396,0.0,,,,,0
frozen,task,libero_long/KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,success,v8,396,0,396,0.0,,,,,0
frozen,task,libero_long/KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,success,v82,396,0,396,0.0,,,,,0
frozen,task,libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,failure,v7,1,1,0,1.0,55.76923076923077,55.76923076923077,55.76923076923077,29.0,0
frozen,task,libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,failure,v8,1,1,0,1.0,55.76923076923077,55.76923076923077,55.76923076923077,29.0,0
