level,cohort,suite,task,method,clusters,variant,alpha,event_episodes,before,at,after,missed
suite,all,libero_goal,all,c16_union_radius,16,union_radius,0.05,53,3,3,46,1
suite,all,libero_goal,all,c32_centroid_distance,32,centroid_distance,0.05,53,3,3,44,3
suite,all,libero_goal,all,c32_assigned_radius,32,assigned_radius,0.05,53,11,8,34,0
suite,all,libero_goal,all,c32_union_radius,32,union_radius,0.05,53,8,6,38,1
suite,all,libero_goal,all,c64_centroid_distance,64,centroid_distance,0.05,53,4,2,46,1
suite,all,libero_goal,all,c64_assigned_radius,64,assigned_radius,0.05,53,2,2,44,5
suite,all,libero_goal,all,c64_union_radius,64,union_radius,0.05,53,4,2,45,2
suite,all,libero_goal,all,knn20,0,knn20,0.1,53,17,7,29,0
suite,all,libero_goal,all,norm_only,0,norm_only,0.1,53,2,0,44,7
suite,all,libero_goal,all,c1_centroid_distance,1,centroid_distance,0.1,53,2,0,44,7
suite,all,libero_goal,all,c1_assigned_radius,1,assigned_radius,0.1,53,2,0,44,7
suite,all,libero_goal,all,c1_union_radius,1,union_radius,0.1,53,2,0,44,7
suite,all,libero_goal,all,c2_centroid_distance,2,centroid_distance,0.1,53,5,1,44,3
suite,all,libero_goal,all,c2_assigned_radius,2,assigned_radius,0.1,53,5,1,44,3
suite,all,libero_goal,all,c2_union_radius,2,union_radius,0.1,53,5,1,44,3
suite,all,libero_goal,all,c4_centroid_distance,4,centroid_distance,0.1,53,3,2,44,4
suite,all,libero_goal,all,c4_assigned_radius,4,assigned_radius,0.1,53,4,3,44,2
suite,all,libero_goal,all,c4_union_radius,4,union_radius,0.1,53,4,4,42,3
suite,all,libero_goal,all,c8_centroid_distance,8,centroid_distance,0.1,53,7,4,42,0
suite,all,libero_goal,all,c8_assigned_radius,8,assigned_radius,0.1,53,10,4,38,1
suite,all,libero_goal,all,c8_union_radius,8,union_radius,0.1,53,4,4,44,1
suite,all,libero_goal,all,c16_centroid_distance,16,centroid_distance,0.1,53,18,7,28,0
suite,all,libero_goal,all,c16_assigned_radius,16,assigned_radius,0.1,53,28,4,21,0
suite,all,libero_goal,all,c16_union_radius,16,union_radius,0.1,53,23,6,24,0
suite,all,libero_goal,all,c32_centroid_distance,32,centroid_distance,0.1,53,15,7,31,0
suite,all,libero_goal,all,c32_assigned_radius,32,assigned_radius,0.1,53,25,10,18,0
suite,all,libero_goal,all,c32_union_radius,32,union_radius,0.1,53,24,8,21,0
suite,all,libero_goal,all,c64_centroid_distance,64,centroid_distance,0.1,53,19,6,28,0
suite,all,libero_goal,all,c64_assigned_radius,64,assigned_radius,0.1,53,22,7,24,0
suite,all,libero_goal,all,c64_union_radius,64,union_radius,0.1,53,24,6,23,0
suite,all,libero_long,all,knn20,0,knn20,0.02,63,0,0,16,47
suite,all,libero_long,all,norm_only,0,norm_only,0.02,63,0,0,19,44
suite,all,libero_long,all,c1_centroid_distance,1,centroid_distance,0.02,63,0,0,19,44
suite,all,libero_long,all,c1_assigned_radius,1,assigned_radius,0.02,63,0,0,19,44
suite,all,libero_long,all,c1_union_radius,1,union_radius,0.02,63,0,0,19,44
suite,all,libero_long,all,c2_centroid_distance,2,centroid_distance,0.02,63,0,0,19,44
suite,all,libero_long,all,c2_assigned_radius,2,assigned_radius,0.02,63,0,0,20,43
suite,all,libero_long,all,c2_union_radius,2,union_radius,0.02,63,0,0,20,43
suite,all,libero_long,all,c4_centroid_distance,4,centroid_distance,0.02,63,0,0,14,49
suite,all,libero_long,all,c4_assigned_radius,4,assigned_radius,0.02,63,0,0,15,48
suite,all,libero_long,all,c4_union_radius,4,union_radius,0.02,63,0,0,15,48
suite,all,libero_long,all,c8_centroid_distance,8,centroid_distance,0.02,63,0,0,13,50
suite,all,libero_long,all,c8_assigned_radius,8,assigned_radius,0.02,63,2,0,13,48
suite,all,libero_long,all,c8_union_radius,8,union_radius,0.02,63,0,0,14,49
suite,all,libero_long,all,c16_centroid_distance,16,centroid_distance,0.02,63,1,0,12,50
suite,all,libero_long,all,c16_assigned_radius,16,assigned_radius,0.02,63,4,0,10,49
suite,all,libero_long,all,c16_union_radius,16,union_radius,0.02,63,1,0,11,51
suite,all,libero_long,all,c32_centroid_distance,32,centroid_distance,0.02,63,3,0,13,47
suite,all,libero_long,all,c32_assigned_radius,32,assigned_radius,0.02,63,1,0,10,52
suite,all,libero_long,all,c32_union_radius,32,union_radius,0.02,63,0,0,12,51
suite,all,libero_long,all,c64_centroid_distance,64,centroid_distance,0.02,63,3,0,10,50
suite,all,libero_long,all,c64_assigned_radius,64,assigned_radius,0.02,63,3,0,13,47
suite,all,libero_long,all,c64_union_radius,64,union_radius,0.02,63,1,0,14,48
suite,all,libero_long,all,knn20,0,knn20,0.03,63,2,0,28,33
suite,all,libero_long,all,norm_only,0,norm_only,0.03,63,1,0,27,35
suite,all,libero_long,all,c1_centroid_distance,1,centroid_distance,0.03,63,1,0,27,35
suite,all,libero_long,all,c1_assigned_radius,1,assigned_radius,0.03,63,1,0,27,35
suite,all,libero_long,all,c1_union_radius,1,union_radius,0.03,63,1,0,27,35
suite,all,libero_long,all,c2_centroid_distance,2,centroid_distance,0.03,63,1,0,27,35
suite,all,libero_long,all,c2_assigned_radius,2,assigned_radius,0.03,63,1,0,28,34
suite,all,libero_long,all,c2_union_radius,2,union_radius,0.03,63,1,0,28,34
suite,all,libero_long,all,c4_centroid_distance,4,centroid_distance,0.03,63,1,0,28,34
suite,all,libero_long,all,c4_assigned_radius,4,assigned_radius,0.03,63,1,0,32,30
suite,all,libero_long,all,c4_union_radius,4,union_radius,0.03,63,1,0,30,32
suite,all,libero_long,all,c8_centroid_distance,8,centroid_distance,0.03,63,2,0,28,33
suite,all,libero_long,all,c8_assigned_radius,8,assigned_radius,0.03,63,3,0,22,38
suite,all,libero_long,all,c8_union_radius,8,union_radius,0.03,63,0,0,22,41
suite,all,libero_long,all,c16_centroid_distance,16,centroid_distance,0.03,63,5,0,17,41
suite,all,libero_long,all,c16_assigned_radius,16,assigned_radius,0.03,63,4,0,10,49
suite,all,libero_long,all,c16_union_radius,16,union_radius,0.03,63,3,0,20,40
suite,all,libero_long,all,c32_centroid_distance,32,centroid_distance,0.03,63,3,0,16,44
suite,all,libero_long,all,c32_assigned_radius,32,assigned_radius,0.03,63,2,0,11,50
suite,all,libero_long,all,c32_union_radius,32,union_radius,0.03,63,1,0,21,41
suite,all,libero_long,all,c64_centroid_distance,64,centroid_distance,0.03,63,5,0,24,34
suite,all,libero_long,all,c64_assigned_radius,64,assigned_radius,0.03,63,5,0,21,37
suite,all,libero_long,all,c64_union_radius,64,union_radius,0.03,63,3,0,21,39
suite,all,libero_long,all,knn20,0,knn20,0.05,63,6,0,37,20
suite,all,libero_long,all,norm_only,0,norm_only,0.05,63,1,0,38,24
suite,all,libero_long,all,c1_centroid_distance,1,centroid_distance,0.05,63,1,0,39,23
suite,all,libero_long,all,c1_assigned_radius,1,assigned_radius,0.05,63,1,0,39,23
suite,all,libero_long,all,c1_union_radius,1,union_radius,0.05,63,1,0,39,23
suite,all,libero_long,all,c2_centroid_distance,2,centroid_distance,0.05,63,1,0,40,22
suite,all,libero_long,all,c2_assigned_radius,2,assigned_radius,0.05,63,1,0,35,27
suite,all,libero_long,all,c2_union_radius,2,union_radius,0.05,63,1,0,35,27
suite,all,libero_long,all,c4_centroid_distance,4,centroid_distance,0.05,63,1,0,46,16
suite,all,libero_long,all,c4_assigned_radius,4,assigned_radius,0.05,63,2,0,36,25
suite,all,libero_long,all,c4_union_radius,4,union_radius,0.05,63,1,0,33,29
suite,all,libero_long,all,c8_centroid_distance,8,centroid_distance,0.05,63,5,0,32,26
suite,all,libero_long,all,c8_assigned_radius,8,assigned_radius,0.05,63,4,0,30,29
suite,all,libero_long,all,c8_union_radius,8,union_radius,0.05,63,0,0,27,36
suite,all,libero_long,all,c16_centroid_distance,16,centroid_distance,0.05,63,5,0,29,29
suite,all,libero_long,all,c16_assigned_radius,16,assigned_radius,0.05,63,6,0,18,39
suite,all,libero_long,all,c16_union_radius,16,union_radius,0.05,63,3,0,20,40
suite,all,libero_long,all,c32_centroid_distance,32,centroid_distance,0.05,63,8,0,33,22
suite,all,libero_long,all,c32_assigned_radius,32,assigned_radius,0.05,63,8,0,26,29
suite,all,libero_long,all,c32_union_radius,32,union_radius,0.05,63,2,0,28,33
suite,all,libero_long,all,c64_centroid_distance,64,centroid_distance,0.05,63,8,0,32,23
suite,all,libero_long,all,c64_assigned_radius,64,assigned_radius,0.05,63,9,0,36,18
suite,all,libero_long,all,c64_union_radius,64,union_radius,0.05,63,8,0,34,21
suite,all,libero_long,all,knn20,0,knn20,0.1,63,11,0,49,3
suite,all,libero_long,all,norm_only,0,norm_only,0.1,63,8,0,38,17
suite,all,libero_long,all,c1_centroid_distance,1,centroid_distance,0.1,63,8,0,38,17
suite,all,libero_long,all,c1_assigned_radius,1,assigned_radius,0.1,63,8,0,38,17
suite,all,libero_long,all,c1_union_radius,1,union_radius,0.1,63,8,0,38,17
suite,all,libero_long,all,c2_centroid_distance,2,centroid_distance,0.1,63,7,0,42,14
suite,all,libero_long,all,c2_assigned_radius,2,assigned_radius,0.1,63,6,0,41,16
suite,all,libero_long,all,c2_union_radius,2,union_radius,0.1,63,6,0,41,16
suite,all,libero_long,all,c4_centroid_distance,4,centroid_distance,0.1,63,8,0,44,11
suite,all,libero_long,all,c4_assigned_radius,4,assigned_radius,0.1,63,6,0,46,11
suite,all,libero_long,all,c4_union_radius,4,union_radius,0.1,63,5,0,41,17
suite,all,libero_long,all,c8_centroid_distance,8,centroid_distance,0.1,63,9,0,46,8
suite,all,libero_long,all,c8_assigned_radius,8,assigned_radius,0.1,63,7,1,37,18
suite,all,libero_long,all,c8_union_radius,8,union_radius,0.1,63,5,0,42,16
suite,all,libero_long,all,c16_centroid_distance,16,centroid_distance,0.1,63,10,0,45,8
suite,all,libero_long,all,c16_assigned_radius,16,assigned_radius,0.1,63,8,1,35,19
suite,all,libero_long,all,c16_union_radius,16,union_radius,0.1,63,6,1,29,27
suite,all,libero_long,all,c32_centroid_distance,32,centroid_distance,0.1,63,11,0,40,12
suite,all,libero_long,all,c32_assigned_radius,32,assigned_radius,0.1,63,10,0,35,18
suite,all,libero_long,all,c32_union_radius,32,union_radius,0.1,63,10,1,34,18
suite,all,libero_long,all,c64_centroid_distance,64,centroid_distance,0.1,63,10,0,44,9
suite,all,libero_long,all,c64_assigned_radius,64,assigned_radius,0.1,63,15,0,45,3
suite,all,libero_long,all,c64_union_radius,64,union_radius,0.1,63,12,0,42,9
suite,all,libero_object,all,knn20,0,knn20,0.02,17,0,0,11,6
suite,all,libero_object,all,norm_only,0,norm_only,0.02,17,0,0,10,7
suite,all,libero_object,all,c1_centroid_distance,1,centroid_distance,0.02,17,0,0,9,8
suite,all,libero_object,all,c1_assigned_radius,1,assigned_radius,0.02,17,0,0,9,8
suite,all,libero_object,all,c1_union_radius,1,union_radius,0.02,17,0,0,9,8
suite,all,libero_object,all,c2_centroid_distance,2,centroid_distance,0.02,17,0,0,9,8
suite,all,libero_object,all,c2_assigned_radius,2,assigned_radius,0.02,17,0,0,9,8
suite,all,libero_object,all,c2_union_radius,2,union_radius,0.02,17,0,0,9,8
suite,all,libero_object,all,c4_centroid_distance,4,centroid_distance,0.02,17,0,0,9,8
suite,all,libero_object,all,c4_assigned_radius,4,assigned_radius,0.02,17,0,0,9,8
suite,all,libero_object,all,c4_union_radius,4,union_radius,0.02,17,0,0,9,8
suite,all,libero_object,all,c8_centroid_distance,8,centroid_distance,0.02,17,0,0,10,7
suite,all,libero_object,all,c8_assigned_radius,8,assigned_radius,0.02,17,0,0,10,7
suite,all,libero_object,all,c8_union_radius,8,union_radius,0.02,17,0,0,10,7
suite,all,libero_object,all,c16_centroid_distance,16,centroid_distance,0.02,17,0,0,11,6
suite,all,libero_object,all,c16_assigned_radius,16,assigned_radius,0.02,17,0,1,8,8
suite,all,libero_object,all,c16_union_radius,16,union_radius,0.02,17,0,0,9,8
suite,all,libero_object,all,c32_centroid_distance,32,centroid_distance,0.02,17,0,0,10,7
suite,all,libero_object,all,c32_assigned_radius,32,assigned_radius,0.02,17,0,0,10,7
suite,all,libero_object,all,c32_union_radius,32,union_radius,0.02,17,0,0,12,5
suite,all,libero_object,all,c64_centroid_distance,64,centroid_distance,0.02,17,0,0,9,8
suite,all,libero_object,all,c64_assigned_radius,64,assigned_radius,0.02,17,0,1,11,5
suite,all,libero_object,all,c64_union_radius,64,union_radius,0.02,17,0,0,12,5
suite,all,libero_object,all,knn20,0,knn20,0.03,17,0,0,13,4
suite,all,libero_object,all,norm_only,0,norm_only,0.03,17,2,0,10,5
suite,all,libero_object,all,c1_centroid_distance,1,centroid_distance,0.03,17,2,0,10,5
suite,all,libero_object,all,c1_assigned_radius,1,assigned_radius,0.03,17,2,0,10,5
suite,all,libero_object,all,c1_union_radius,1,union_radius,0.03,17,2,0,10,5
suite,all,libero_object,all,c2_centroid_distance,2,centroid_distance,0.03,17,2,0,10,5
suite,all,libero_object,all,c2_assigned_radius,2,assigned_radius,0.03,17,2,0,10,5
suite,all,libero_object,all,c2_union_radius,2,union_radius,0.03,17,2,0,10,5
suite,all,libero_object,all,c4_centroid_distance,4,centroid_distance,0.03,17,2,0,10,5
suite,all,libero_object,all,c4_assigned_radius,4,assigned_radius,0.03,17,2,0,10,5
suite,all,libero_object,all,c4_union_radius,4,union_radius,0.03,17,2,0,10,5
suite,all,libero_object,all,c8_centroid_distance,8,centroid_distance,0.03,17,1,0,10,6
suite,all,libero_object,all,c8_assigned_radius,8,assigned_radius,0.03,17,1,1,10,5
suite,all,libero_object,all,c8_union_radius,8,union_radius,0.03,17,2,0,10,5
suite,all,libero_object,all,c16_centroid_distance,16,centroid_distance,0.03,17,0,0,12,5
suite,all,libero_object,all,c16_assigned_radius,16,assigned_radius,0.03,17,0,2,11,4
suite,all,libero_object,all,c16_union_radius,16,union_radius,0.03,17,1,0,12,4
suite,all,libero_object,all,c32_centroid_distance,32,centroid_distance,0.03,17,1,0,13,3
suite,all,libero_object,all,c32_assigned_radius,32,assigned_radius,0.03,17,1,1,12,3
suite,all,libero_object,all,c32_union_radius,32,union_radius,0.03,17,1,0,14,2
suite,all,libero_object,all,c64_centroid_distance,64,centroid_distance,0.03,17,2,0,13,2
suite,all,libero_object,all,c64_assigned_radius,64,assigned_radius,0.03,17,1,2,14,0
suite,all,libero_object,all,c64_union_radius,64,union_radius,0.03,17,0,0,14,3
suite,all,libero_object,all,knn20,0,knn20,0.05,17,1,1,12,3
suite,all,libero_object,all,norm_only,0,norm_only,0.05,17,2,0,10,5
suite,all,libero_object,all,c1_centroid_distance,1,centroid_distance,0.05,17,2,0,10,5
suite,all,libero_object,all,c1_assigned_radius,1,assigned_radius,0.05,17,2,0,10,5
suite,all,libero_object,all,c1_union_radius,1,union_radius,0.05,17,2,0,10,5
suite,all,libero_object,all,c2_centroid_distance,2,centroid_distance,0.05,17,2,0,11,4
suite,all,libero_object,all,c2_assigned_radius,2,assigned_radius,0.05,17,2,0,12,3
suite,all,libero_object,all,c2_union_radius,2,union_radius,0.05,17,2,0,12,3
suite,all,libero_object,all,c4_centroid_distance,4,centroid_distance,0.05,17,2,0,12,3
suite,all,libero_object,all,c4_assigned_radius,4,assigned_radius,0.05,17,2,0,12,3
suite,all,libero_object,all,c4_union_radius,4,union_radius,0.05,17,2,0,12,3
suite,all,libero_object,all,c8_centroid_distance,8,centroid_distance,0.05,17,1,0,11,5
suite,all,libero_object,all,c8_assigned_radius,8,assigned_radius,0.05,17,2,1,10,4
suite,all,libero_object,all,c8_union_radius,8,union_radius,0.05,17,2,1,10,4
suite,all,libero_object,all,c16_centroid_distance,16,centroid_distance,0.05,17,1,0,13,3
suite,all,libero_object,all,c16_assigned_radius,16,assigned_radius,0.05,17,1,1,11,4
suite,all,libero_object,all,c16_union_radius,16,union_radius,0.05,17,2,0,13,2
suite,all,libero_object,all,c32_centroid_distance,32,centroid_distance,0.05,17,1,0,13,3
suite,all,libero_object,all,c32_assigned_radius,32,assigned_radius,0.05,17,1,1,13,2
suite,all,libero_object,all,c32_union_radius,32,union_radius,0.05,17,2,0,14,1
suite,all,libero_object,all,c64_centroid_distance,64,centroid_distance,0.05,17,2,1,12,2
suite,all,libero_object,all,c64_assigned_radius,64,assigned_radius,0.05,17,1,2,14,0
suite,all,libero_object,all,c64_union_radius,64,union_radius,0.05,17,0,0,14,3
suite,all,libero_object,all,knn20,0,knn20,0.1,17,4,0,12,1
suite,all,libero_object,all,norm_only,0,norm_only,0.1,17,5,0,11,1
suite,all,libero_object,all,c1_centroid_distance,1,centroid_distance,0.1,17,3,0,11,3
suite,all,libero_object,all,c1_assigned_radius,1,assigned_radius,0.1,17,3,0,11,3
suite,all,libero_object,all,c1_union_radius,1,union_radius,0.1,17,3,0,11,3
suite,all,libero_object,all,c2_centroid_distance,2,centroid_distance,0.1,17,4,0,11,2
suite,all,libero_object,all,c2_assigned_radius,2,assigned_radius,0.1,17,3,0,11,3
suite,all,libero_object,all,c2_union_radius,2,union_radius,0.1,17,3,0,11,3
suite,all,libero_object,all,c4_centroid_distance,4,centroid_distance,0.1,17,3,1,11,2
suite,all,libero_object,all,c4_assigned_radius,4,assigned_radius,0.1,17,4,1,10,2
suite,all,libero_object,all,c4_union_radius,4,union_radius,0.1,17,4,1,10,2
suite,all,libero_object,all,c8_centroid_distance,8,centroid_distance,0.1,17,4,1,11,1
suite,all,libero_object,all,c8_assigned_radius,8,assigned_radius,0.1,17,4,1,12,0
suite,all,libero_object,all,c8_union_radius,8,union_radius,0.1,17,4,1,12,0
suite,all,libero_object,all,c16_centroid_distance,16,centroid_distance,0.1,17,4,0,12,1
suite,all,libero_object,all,c16_assigned_radius,16,assigned_radius,0.1,17,3,0,14,0
suite,all,libero_object,all,c16_union_radius,16,union_radius,0.1,17,3,0,12,2
suite,all,libero_object,all,c32_centroid_distance,32,centroid_distance,0.1,17,3,0,13,1
suite,all,libero_object,all,c32_assigned_radius,32,assigned_radius,0.1,17,3,0,14,0
suite,all,libero_object,all,c32_union_radius,32,union_radius,0.1,17,3,1,13,0
suite,all,libero_object,all,c64_centroid_distance,64,centroid_distance,0.1,17,3,0,13,1
suite,all,libero_object,all,c64_assigned_radius,64,assigned_radius,0.1,17,2,1,14,0
suite,all,libero_object,all,c64_union_radius,64,union_radius,0.1,17,2,1,13,1
suite,all,libero_spatial,all,knn20,0,knn20,0.02,83,5,1,77,0
suite,all,libero_spatial,all,norm_only,0,norm_only,0.02,83,4,0,67,12
suite,all,libero_spatial,all,c1_centroid_distance,1,centroid_distance,0.02,83,4,0,69,10
suite,all,libero_spatial,all,c1_assigned_radius,1,assigned_radius,0.02,83,4,0,69,10
suite,all,libero_spatial,all,c1_union_radius,1,union_radius,0.02,83,4,0,69,10
suite,all,libero_spatial,all,c2_centroid_distance,2,centroid_distance,0.02,83,4,0,78,1
suite,all,libero_spatial,all,c2_assigned_radius,2,assigned_radius,0.02,83,5,1,77,0
suite,all,libero_spatial,all,c2_union_radius,2,union_radius,0.02,83,5,1,77,0
suite,all,libero_spatial,all,c4_centroid_distance,4,centroid_distance,0.02,83,2,1,80,0
suite,all,libero_spatial,all,c4_assigned_radius,4,assigned_radius,0.02,83,2,3,77,1
suite,all,libero_spatial,all,c4_union_radius,4,union_radius,0.02,83,1,3,78,1
suite,all,libero_spatial,all,c8_centroid_distance,8,centroid_distance,0.02,83,2,2,79,0
suite,all,libero_spatial,all,c8_assigned_radius,8,assigned_radius,0.02,83,1,4,75,3
suite,all,libero_spatial,all,c8_union_radius,8,union_radius,0.02,83,1,2,77,3
suite,all,libero_spatial,all,c16_centroid_distance,16,centroid_distance,0.02,83,2,4,77,0
suite,all,libero_spatial,all,c16_assigned_radius,16,assigned_radius,0.02,83,1,4,74,4
suite,all,libero_spatial,all,c16_union_radius,16,union_radius,0.02,83,0,1,77,5
suite,all,libero_spatial,all,c32_centroid_distance,32,centroid_distance,0.02,83,4,2,77,0
suite,all,libero_spatial,all,c32_assigned_radius,32,assigned_radius,0.02,83,4,4,74,1
suite,all,libero_spatial,all,c32_union_radius,32,union_radius,0.02,83,3,4,75,1
suite,all,libero_spatial,all,c64_centroid_distance,64,centroid_distance,0.02,83,4,2,77,0
suite,all,libero_spatial,all,c64_assigned_radius,64,assigned_radius,0.02,83,4,2,75,2
suite,all,libero_spatial,all,c64_union_radius,64,union_radius,0.02,83,4,3,74,2
suite,all,libero_spatial,all,knn20,0,knn20,0.03,83,9,4,70,0
suite,all,libero_spatial,all,norm_only,0,norm_only,0.03,83,4,0,70,9
suite,all,libero_spatial,all,c1_centroid_distance,1,centroid_distance,0.03,83,4,0,71,8
suite,all,libero_spatial,all,c1_assigned_radius,1,assigned_radius,0.03,83,4,0,71,8
suite,all,libero_spatial,all,c1_union_radius,1,union_radius,0.03,83,4,0,71,8
suite,all,libero_spatial,all,c2_centroid_distance,2,centroid_distance,0.03,83,4,2,77,0
suite,all,libero_spatial,all,c2_assigned_radius,2,assigned_radius,0.03,83,5,5,73,0
suite,all,libero_spatial,all,c2_union_radius,2,union_radius,0.03,83,5,5,73,0
suite,all,libero_spatial,all,c4_centroid_distance,4,centroid_distance,0.03,83,3,2,78,0
suite,all,libero_spatial,all,c4_assigned_radius,4,assigned_radius,0.03,83,3,6,74,0
suite,all,libero_spatial,all,c4_union_radius,4,union_radius,0.03,83,2,6,75,0
suite,all,libero_spatial,all,c8_centroid_distance,8,centroid_distance,0.03,83,4,3,76,0
suite,all,libero_spatial,all,c8_assigned_radius,8,assigned_radius,0.03,83,5,4,74,0
suite,all,libero_spatial,all,c8_union_radius,8,union_radius,0.03,83,6,1,76,0
suite,all,libero_spatial,all,c16_centroid_distance,16,centroid_distance,0.03,83,6,7,70,0
suite,all,libero_spatial,all,c16_assigned_radius,16,assigned_radius,0.03,83,6,5,72,0
suite,all,libero_spatial,all,c16_union_radius,16,union_radius,0.03,83,6,2,75,0
suite,all,libero_spatial,all,c32_centroid_distance,32,centroid_distance,0.03,83,9,4,70,0
suite,all,libero_spatial,all,c32_assigned_radius,32,assigned_radius,0.03,83,6,3,73,1
suite,all,libero_spatial,all,c32_union_radius,32,union_radius,0.03,83,9,5,69,0
suite,all,libero_spatial,all,c64_centroid_distance,64,centroid_distance,0.03,83,10,4,69,0
suite,all,libero_spatial,all,c64_assigned_radius,64,assigned_radius,0.03,83,7,5,69,2
suite,all,libero_spatial,all,c64_union_radius,64,union_radius,0.03,83,7,4,70,2
suite,all,libero_spatial,all,knn20,0,knn20,0.05,83,12,2,69,0
suite,all,libero_spatial,all,norm_only,0,norm_only,0.05,83,4,1,69,9
suite,all,libero_spatial,all,c1_centroid_distance,1,centroid_distance,0.05,83,4,0,71,8
suite,all,libero_spatial,all,c1_assigned_radius,1,assigned_radius,0.05,83,4,0,71,8
suite,all,libero_spatial,all,c1_union_radius,1,union_radius,0.05,83,4,0,71,8
suite,all,libero_spatial,all,c2_centroid_distance,2,centroid_distance,0.05,83,4,4,75,0
suite,all,libero_spatial,all,c2_assigned_radius,2,assigned_radius,0.05,83,5,8,70,0
suite,all,libero_spatial,all,c2_union_radius,2,union_radius,0.05,83,5,8,70,0
suite,all,libero_spatial,all,c4_centroid_distance,4,centroid_distance,0.05,83,5,5,73,0
suite,all,libero_spatial,all,c4_assigned_radius,4,assigned_radius,0.05,83,4,8,71,0
suite,all,libero_spatial,all,c4_union_radius,4,union_radius,0.05,83,3,8,72,0
suite,all,libero_spatial,all,c8_centroid_distance,8,centroid_distance,0.05,83,6,5,72,0
suite,all,libero_spatial,all,c8_assigned_radius,8,assigned_radius,0.05,83,6,7,70,0
suite,all,libero_spatial,all,c8_union_radius,8,union_radius,0.05,83,7,4,72,0
suite,all,libero_spatial,all,c16_centroid_distance,16,centroid_distance,0.05,83,9,5,69,0
suite,all,libero_spatial,all,c16_assigned_radius,16,assigned_radius,0.05,83,6,10,67,0
suite,all,libero_spatial,all,c16_union_radius,16,union_radius,0.05,83,6,5,72,0
suite,all,libero_spatial,all,c32_centroid_distance,32,centroid_distance,0.05,83,10,3,70,0
suite,all,libero_spatial,all,c32_assigned_radius,32,assigned_radius,0.05,83,6,5,72,0
suite,all,libero_spatial,all,c32_union_radius,32,union_radius,0.05,83,9,5,69,0
suite,all,libero_spatial,all,c64_centroid_distance,64,centroid_distance,0.05,83,10,4,69,0
suite,all,libero_spatial,all,c64_assigned_radius,64,assigned_radius,0.05,83,8,6,68,1
suite,all,libero_spatial,all,c64_union_radius,64,union_radius,0.05,83,9,2,71,1
suite,all,libero_spatial,all,knn20,0,knn20,0.1,83,12,13,58,0
suite,all,libero_spatial,all,norm_only,0,norm_only,0.1,83,5,1,75,2
suite,all,libero_spatial,all,c1_centroid_distance,1,centroid_distance,0.1,83,6,4,72,1
suite,all,libero_spatial,all,c1_assigned_radius,1,assigned_radius,0.1,83,6,4,72,1
suite,all,libero_spatial,all,c1_union_radius,1,union_radius,0.1,83,6,4,72,1
suite,all,libero_spatial,all,c2_centroid_distance,2,centroid_distance,0.1,83,6,10,67,0
suite,all,libero_spatial,all,c2_assigned_radius,2,assigned_radius,0.1,83,11,8,64,0
suite,all,libero_spatial,all,c2_union_radius,2,union_radius,0.1,83,13,7,63,0
suite,all,libero_spatial,all,c4_centroid_distance,4,centroid_distance,0.1,83,7,9,67,0
suite,all,libero_spatial,all,c4_assigned_radius,4,assigned_radius,0.1,83,8,10,65,0
suite,all,libero_spatial,all,c4_union_radius,4,union_radius,0.1,83,10,8,65,0
suite,all,libero_spatial,all,c8_centroid_distance,8,centroid_distance,0.1,83,12,11,60,0
suite,all,libero_spatial,all,c8_assigned_radius,8,assigned_radius,0.1,83,10,10,63,0
suite,all,libero_spatial,all,c8_union_radius,8,union_radius,0.1,83,11,10,62,0
suite,all,libero_spatial,all,c16_centroid_distance,16,centroid_distance,0.1,83,12,7,64,0
suite,all,libero_spatial,all,c16_assigned_radius,16,assigned_radius,0.1,83,6,14,63,0
suite,all,libero_spatial,all,c16_union_radius,16,union_radius,0.1,83,9,13,61,0
suite,all,libero_spatial,all,c32_centroid_distance,32,centroid_distance,0.1,83,11,7,65,0
suite,all,libero_spatial,all,c32_assigned_radius,32,assigned_radius,0.1,83,10,7,66,0
suite,all,libero_spatial,all,c32_union_radius,32,union_radius,0.1,83,11,7,65,0
suite,all,libero_spatial,all,c64_centroid_distance,64,centroid_distance,0.1,83,13,14,56,0
suite,all,libero_spatial,all,c64_assigned_radius,64,assigned_radius,0.1,83,10,7,66,0
suite,all,libero_spatial,all,c64_union_radius,64,union_radius,0.1,83,10,5,68,0
