level,cohort,suite,task,method,clusters,variant,alpha,failure,episodes,progress_bin,alarms,count
all,all,all,all,c1_centroid_distance,1,centroid_distance,0.03,False,30904,"[75,100%)",1405,873
all,all,all,all,c1_centroid_distance,1,centroid_distance,0.03,True,1096,"[0,25%)",787,20
all,all,all,all,c1_centroid_distance,1,centroid_distance,0.03,True,1096,"[25,50%)",787,91
all,all,all,all,c1_centroid_distance,1,centroid_distance,0.03,True,1096,"[50,75%)",787,385
all,all,all,all,c1_centroid_distance,1,centroid_distance,0.03,True,1096,"[75,100%)",787,291
all,all,all,all,c1_assigned_radius,1,assigned_radius,0.03,False,30904,"[0,25%)",1405,1
all,all,all,all,c1_assigned_radius,1,assigned_radius,0.03,False,30904,"[25,50%)",1405,58
all,all,all,all,c1_assigned_radius,1,assigned_radius,0.03,False,30904,"[50,75%)",1405,473
all,all,all,all,c1_assigned_radius,1,assigned_radius,0.03,False,30904,"[75,100%)",1405,873
all,all,all,all,c1_assigned_radius,1,assigned_radius,0.03,True,1096,"[0,25%)",787,20
all,all,all,all,c1_assigned_radius,1,assigned_radius,0.03,True,1096,"[25,50%)",787,91
all,all,all,all,c1_assigned_radius,1,assigned_radius,0.03,True,1096,"[50,75%)",787,385
all,all,all,all,c1_assigned_radius,1,assigned_radius,0.03,True,1096,"[75,100%)",787,291
all,all,all,all,c1_union_radius,1,union_radius,0.03,False,30904,"[0,25%)",1405,1
all,all,all,all,c1_union_radius,1,union_radius,0.03,False,30904,"[25,50%)",1405,58
all,all,all,all,c1_union_radius,1,union_radius,0.03,False,30904,"[50,75%)",1405,473
all,all,all,all,c1_union_radius,1,union_radius,0.03,False,30904,"[75,100%)",1405,873
all,all,all,all,c1_union_radius,1,union_radius,0.03,True,1096,"[0,25%)",787,20
all,all,all,all,c1_union_radius,1,union_radius,0.03,True,1096,"[25,50%)",787,91
all,all,all,all,c1_union_radius,1,union_radius,0.03,True,1096,"[50,75%)",787,385
all,all,all,all,c1_union_radius,1,union_radius,0.03,True,1096,"[75,100%)",787,291
all,all,all,all,c2_centroid_distance,2,centroid_distance,0.03,False,30904,"[0,25%)",1544,1
all,all,all,all,c2_centroid_distance,2,centroid_distance,0.03,False,30904,"[25,50%)",1544,38
