level,cohort,suite,task,method,clusters,variant,calibration,alpha,episodes,failures,successes,tp,fn,fp,tn,recall,fpr,precision
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,c1_union_radius,1,union_radius,task_init,0.03,800,0,800,0,0,29,771,,0.03625,0.0
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,c2_centroid_distance,2,centroid_distance,task_init,0.03,800,0,800,0,0,47,753,,0.05875,0.0
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,c2_assigned_radius,2,assigned_radius,task_init,0.03,800,0,800,0,0,46,754,,0.0575,0.0
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,c2_union_radius,2,union_radius,task_init,0.03,800,0,800,0,0,46,754,,0.0575,0.0
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,c4_centroid_distance,4,centroid_distance,task_init,0.03,800,0,800,0,0,12,788,,0.015,0.0
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,c4_assigned_radius,4,assigned_radius,task_init,0.03,800,0,800,0,0,4,796,,0.005,0.0
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,c4_union_radius,4,union_radius,task_init,0.03,800,0,800,0,0,8,792,,0.01,0.0
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,c8_centroid_distance,8,centroid_distance,task_init,0.03,800,0,800,0,0,61,739,,0.07625,0.0
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,c8_assigned_radius,8,assigned_radius,task_init,0.03,800,0,800,0,0,34,766,,0.0425,0.0
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,c8_union_radius,8,union_radius,task_init,0.03,800,0,800,0,0,59,741,,0.07375,0.0
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,c16_centroid_distance,16,centroid_distance,task_init,0.03,800,0,800,0,0,76,724,,0.095,0.0
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,c16_assigned_radius,16,assigned_radius,task_init,0.03,800,0,800,0,0,123,677,,0.15375,0.0
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,c16_union_radius,16,union_radius,task_init,0.03,800,0,800,0,0,66,734,,0.0825,0.0
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,c32_centroid_distance,32,centroid_distance,task_init,0.03,800,0,800,0,0,162,638,,0.2025,0.0
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,c32_assigned_radius,32,assigned_radius,task_init,0.03,800,0,800,0,0,125,675,,0.15625,0.0
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,c32_union_radius,32,union_radius,task_init,0.03,800,0,800,0,0,99,701,,0.12375,0.0
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,c64_centroid_distance,64,centroid_distance,task_init,0.03,800,0,800,0,0,231,569,,0.28875,0.0
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,c64_assigned_radius,64,assigned_radius,task_init,0.03,800,0,800,0,0,182,618,,0.2275,0.0
