method,clusters,variant,calibration,alpha,threshold,units,rank,exceedances,fold,suite
c16_assigned_radius,16,assigned_radius,task_init,0.1,1.6695568561553955,69,63,6,libero_long_full_0,libero_long
c16_union_radius,16,union_radius,episode,0.02,1.4812158346176147,518,509,9,libero_long_full_0,libero_long
c16_union_radius,16,union_radius,episode,0.03,1.4462884664535522,518,504,14,libero_long_full_0,libero_long
c16_union_radius,16,union_radius,episode,0.05,1.3855507373809814,518,494,24,libero_long_full_0,libero_long
c16_union_radius,16,union_radius,episode,0.1,1.3239365816116333,518,468,50,libero_long_full_0,libero_long
c16_union_radius,16,union_radius,task_init,0.02,1.8794275522232056,69,69,0,libero_long_full_0,libero_long
c16_union_radius,16,union_radius,task_init,0.03,1.7249970436096191,69,68,1,libero_long_full_0,libero_long
c16_union_radius,16,union_radius,task_init,0.05,1.7095880508422852,69,67,2,libero_long_full_0,libero_long
c16_union_radius,16,union_radius,task_init,0.1,1.513647437095642,69,63,6,libero_long_full_0,libero_long
c32_centroid_distance,32,centroid_distance,episode,0.02,3.884520769119263,518,509,9,libero_long_full_0,libero_long
c32_centroid_distance,32,centroid_distance,episode,0.03,3.6084492206573486,518,504,14,libero_long_full_0,libero_long
c32_centroid_distance,32,centroid_distance,episode,0.05,3.106898784637451,518,494,24,libero_long_full_0,libero_long
c32_centroid_distance,32,centroid_distance,episode,0.1,2.7802159786224365,518,468,50,libero_long_full_0,libero_long
c32_centroid_distance,32,centroid_distance,task_init,0.02,6.2025980949401855,69,69,0,libero_long_full_0,libero_long
c32_centroid_distance,32,centroid_distance,task_init,0.03,6.00059175491333,69,68,1,libero_long_full_0,libero_long
c32_centroid_distance,32,centroid_distance,task_init,0.05,4.388052463531494,69,67,2,libero_long_full_0,libero_long
c32_centroid_distance,32,centroid_distance,task_init,0.1,3.829387664794922,69,63,6,libero_long_full_0,libero_long
c32_assigned_radius,32,assigned_radius,episode,0.02,1.6949913501739502,518,509,9,libero_long_full_0,libero_long
c32_assigned_radius,32,assigned_radius,episode,0.03,1.6097981929779053,518,504,14,libero_long_full_0,libero_long
c32_assigned_radius,32,assigned_radius,episode,0.05,1.5174685716629028,518,494,24,libero_long_full_0,libero_long
c32_assigned_radius,32,assigned_radius,episode,0.1,1.3711974620819092,518,468,50,libero_long_full_0,libero_long
c32_assigned_radius,32,assigned_radius,task_init,0.02,3.2661778926849365,69,69,0,libero_long_full_0,libero_long
c32_assigned_radius,32,assigned_radius,task_init,0.03,3.1598048210144043,69,68,1,libero_long_full_0,libero_long
c32_assigned_radius,32,assigned_radius,task_init,0.05,2.0164873600006104,69,67,2,libero_long_full_0,libero_long
c32_assigned_radius,32,assigned_radius,task_init,0.1,1.7273755073547363,69,63,6,libero_long_full_0,libero_long
c32_union_radius,32,union_radius,episode,0.02,1.5074412822723389,518,509,9,libero_long_full_0,libero_long
c32_union_radius,32,union_radius,episode,0.03,1.4361523389816284,518,504,14,libero_long_full_0,libero_long
c32_union_radius,32,union_radius,episode,0.05,1.3730252981185913,518,494,24,libero_long_full_0,libero_long
c32_union_radius,32,union_radius,episode,0.1,1.2971348762512207,518,468,50,libero_long_full_0,libero_long
c32_union_radius,32,union_radius,task_init,0.02,3.2661778926849365,69,69,0,libero_long_full_0,libero_long
c32_union_radius,32,union_radius,task_init,0.03,2.741604804992676,69,68,1,libero_long_full_0,libero_long
c32_union_radius,32,union_radius,task_init,0.05,1.9669160842895508,69,67,2,libero_long_full_0,libero_long
c32_union_radius,32,union_radius,task_init,0.1,1.5649689435958862,69,63,6,libero_long_full_0,libero_long
c64_centroid_distance,64,centroid_distance,episode,0.02,3.370095014572144,518,509,9,libero_long_full_0,libero_long
c64_centroid_distance,64,centroid_distance,episode,0.03,3.1564621925354004,518,504,14,libero_long_full_0,libero_long
c64_centroid_distance,64,centroid_distance,episode,0.05,2.7903196811676025,518,494,24,libero_long_full_0,libero_long
c64_centroid_distance,64,centroid_distance,episode,0.1,2.409083366394043,518,468,50,libero_long_full_0,libero_long
c64_centroid_distance,64,centroid_distance,task_init,0.02,5.216874599456787,69,69,0,libero_long_full_0,libero_long
c64_centroid_distance,64,centroid_distance,task_init,0.03,4.017561435699463,69,68,1,libero_long_full_0,libero_long
c64_centroid_distance,64,centroid_distance,task_init,0.05,4.010446071624756,69,67,2,libero_long_full_0,libero_long
c64_centroid_distance,64,centroid_distance,task_init,0.1,3.370095014572144,69,63,6,libero_long_full_0,libero_long
c64_assigned_radius,64,assigned_radius,episode,0.02,1.8535465002059937,518,509,9,libero_long_full_0,libero_long
c64_assigned_radius,64,assigned_radius,episode,0.03,1.7196162939071655,518,504,14,libero_long_full_0,libero_long
c64_assigned_radius,64,assigned_radius,episode,0.05,1.5632612705230713,518,494,24,libero_long_full_0,libero_long
c64_assigned_radius,64,assigned_radius,episode,0.1,1.410486102104187,518,468,50,libero_long_full_0,libero_long
c64_assigned_radius,64,assigned_radius,task_init,0.02,3.063467502593994,69,69,0,libero_long_full_0,libero_long
c64_assigned_radius,64,assigned_radius,task_init,0.03,2.359203577041626,69,68,1,libero_long_full_0,libero_long
c64_assigned_radius,64,assigned_radius,task_init,0.05,2.015931367874145,69,67,2,libero_long_full_0,libero_long
c64_assigned_radius,64,assigned_radius,task_init,0.1,1.7640923261642456,69,63,6,libero_long_full_0,libero_long
c64_union_radius,64,union_radius,episode,0.02,1.7137856483459473,518,509,9,libero_long_full_0,libero_long
c64_union_radius,64,union_radius,episode,0.03,1.5774513483047483,518,504,14,libero_long_full_0,libero_long
c64_union_radius,64,union_radius,episode,0.05,1.469987392425537,518,494,24,libero_long_full_0,libero_long
c64_union_radius,64,union_radius,episode,0.1,1.317638874053955,518,468,50,libero_long_full_0,libero_long
c64_union_radius,64,union_radius,task_init,0.02,3.063467502593994,69,69,0,libero_long_full_0,libero_long
c64_union_radius,64,union_radius,task_init,0.03,2.359203577041626,69,68,1,libero_long_full_0,libero_long
c64_union_radius,64,union_radius,task_init,0.05,1.909795999526977,69,67,2,libero_long_full_0,libero_long
c64_union_radius,64,union_radius,task_init,0.1,1.706186056137085,69,63,6,libero_long_full_0,libero_long
knn20,0,knn20,episode,0.02,3.2289655208587646,547,538,9,libero_long_full_1,libero_long
knn20,0,knn20,episode,0.03,3.1228840351104736,547,532,15,libero_long_full_1,libero_long
knn20,0,knn20,episode,0.05,2.6460964679718018,547,521,26,libero_long_full_1,libero_long
knn20,0,knn20,episode,0.1,2.1880807876586914,547,494,53,libero_long_full_1,libero_long
knn20,0,knn20,task_init,0.02,5.159893035888672,70,70,0,libero_long_full_1,libero_long
knn20,0,knn20,task_init,0.03,4.967926502227783,70,69,1,libero_long_full_1,libero_long
knn20,0,knn20,task_init,0.05,3.934082984924317,70,68,2,libero_long_full_1,libero_long
knn20,0,knn20,task_init,0.1,3.253626823425293,70,64,6,libero_long_full_1,libero_long
norm_only,0,norm_only,episode,0.02,11.412464141845703,547,538,9,libero_long_full_1,libero_long
norm_only,0,norm_only,episode,0.03,10.418375968933104,547,532,15,libero_long_full_1,libero_long
norm_only,0,norm_only,episode,0.05,8.70171070098877,547,521,26,libero_long_full_1,libero_long
norm_only,0,norm_only,episode,0.1,7.525957584381103,547,494,53,libero_long_full_1,libero_long
norm_only,0,norm_only,task_init,0.02,13.806565284729004,70,70,0,libero_long_full_1,libero_long
norm_only,0,norm_only,task_init,0.03,13.255078315734863,70,69,1,libero_long_full_1,libero_long
norm_only,0,norm_only,task_init,0.05,13.135553359985352,70,68,2,libero_long_full_1,libero_long
norm_only,0,norm_only,task_init,0.1,10.586585998535156,70,64,6,libero_long_full_1,libero_long
c1_centroid_distance,1,centroid_distance,episode,0.02,11.211688041687012,547,538,9,libero_long_full_1,libero_long
c1_centroid_distance,1,centroid_distance,episode,0.03,10.20706844329834,547,532,15,libero_long_full_1,libero_long
c1_centroid_distance,1,centroid_distance,episode,0.05,8.566692352294922,547,521,26,libero_long_full_1,libero_long
c1_centroid_distance,1,centroid_distance,episode,0.1,7.535316467285156,547,494,53,libero_long_full_1,libero_long
c1_centroid_distance,1,centroid_distance,task_init,0.02,13.602694511413574,70,70,0,libero_long_full_1,libero_long
c1_centroid_distance,1,centroid_distance,task_init,0.03,13.04848861694336,70,69,1,libero_long_full_1,libero_long
c1_centroid_distance,1,centroid_distance,task_init,0.05,12.959930419921877,70,68,2,libero_long_full_1,libero_long
c1_centroid_distance,1,centroid_distance,task_init,0.1,10.382143020629885,70,64,6,libero_long_full_1,libero_long
c1_assigned_radius,1,assigned_radius,episode,0.02,2.251950025558472,547,538,9,libero_long_full_1,libero_long
c1_assigned_radius,1,assigned_radius,episode,0.03,2.0501649379730225,547,532,15,libero_long_full_1,libero_long
c1_assigned_radius,1,assigned_radius,episode,0.05,1.720683217048645,547,521,26,libero_long_full_1,libero_long
c1_assigned_radius,1,assigned_radius,episode,0.1,1.5135239362716677,547,494,53,libero_long_full_1,libero_long
c1_assigned_radius,1,assigned_radius,task_init,0.02,2.73220157623291,70,70,0,libero_long_full_1,libero_long
c1_assigned_radius,1,assigned_radius,task_init,0.03,2.620885133743286,70,69,1,libero_long_full_1,libero_long
c1_assigned_radius,1,assigned_radius,task_init,0.05,2.603097677230835,70,68,2,libero_long_full_1,libero_long
c1_assigned_radius,1,assigned_radius,task_init,0.1,2.085330009460449,70,64,6,libero_long_full_1,libero_long
c1_union_radius,1,union_radius,episode,0.02,2.251950025558472,547,538,9,libero_long_full_1,libero_long
c1_union_radius,1,union_radius,episode,0.03,2.0501649379730225,547,532,15,libero_long_full_1,libero_long
c1_union_radius,1,union_radius,episode,0.05,1.720683217048645,547,521,26,libero_long_full_1,libero_long
c1_union_radius,1,union_radius,episode,0.1,1.5135239362716677,547,494,53,libero_long_full_1,libero_long
c1_union_radius,1,union_radius,task_init,0.02,2.73220157623291,70,70,0,libero_long_full_1,libero_long
c1_union_radius,1,union_radius,task_init,0.03,2.620885133743286,70,69,1,libero_long_full_1,libero_long
c1_union_radius,1,union_radius,task_init,0.05,2.603097677230835,70,68,2,libero_long_full_1,libero_long
c1_union_radius,1,union_radius,task_init,0.1,2.085330009460449,70,64,6,libero_long_full_1,libero_long
c2_centroid_distance,2,centroid_distance,episode,0.02,8.784187316894531,547,538,9,libero_long_full_1,libero_long
c2_centroid_distance,2,centroid_distance,episode,0.03,7.851313591003418,547,532,15,libero_long_full_1,libero_long
c2_centroid_distance,2,centroid_distance,episode,0.05,6.742631435394287,547,521,26,libero_long_full_1,libero_long
c2_centroid_distance,2,centroid_distance,episode,0.1,5.625016689300537,547,494,53,libero_long_full_1,libero_long
c2_centroid_distance,2,centroid_distance,task_init,0.02,11.10264492034912,70,70,0,libero_long_full_1,libero_long
c2_centroid_distance,2,centroid_distance,task_init,0.03,11.03334140777588,70,69,1,libero_long_full_1,libero_long
c2_centroid_distance,2,centroid_distance,task_init,0.05,10.491548538208008,70,68,2,libero_long_full_1,libero_long
c2_centroid_distance,2,centroid_distance,task_init,0.1,8.092693328857422,70,64,6,libero_long_full_1,libero_long
c2_assigned_radius,2,assigned_radius,episode,0.02,2.254376173019409,547,538,9,libero_long_full_1,libero_long
c2_assigned_radius,2,assigned_radius,episode,0.03,2.091275691986084,547,532,15,libero_long_full_1,libero_long
c2_assigned_radius,2,assigned_radius,episode,0.05,1.9588892459869385,547,521,26,libero_long_full_1,libero_long
c2_assigned_radius,2,assigned_radius,episode,0.1,1.6664083003997805,547,494,53,libero_long_full_1,libero_long
c2_assigned_radius,2,assigned_radius,task_init,0.02,2.80306077003479,70,70,0,libero_long_full_1,libero_long
c2_assigned_radius,2,assigned_radius,task_init,0.03,2.785563707351685,70,69,1,libero_long_full_1,libero_long
c2_assigned_radius,2,assigned_radius,task_init,0.05,2.6487784385681152,70,68,2,libero_long_full_1,libero_long
c2_assigned_radius,2,assigned_radius,task_init,0.1,2.2177248001098637,70,64,6,libero_long_full_1,libero_long
c2_union_radius,2,union_radius,episode,0.02,2.254376173019409,547,538,9,libero_long_full_1,libero_long
c2_union_radius,2,union_radius,episode,0.03,2.091275691986084,547,532,15,libero_long_full_1,libero_long
c2_union_radius,2,union_radius,episode,0.05,1.9588892459869385,547,521,26,libero_long_full_1,libero_long
c2_union_radius,2,union_radius,episode,0.1,1.6664083003997805,547,494,53,libero_long_full_1,libero_long
c2_union_radius,2,union_radius,task_init,0.02,2.80306077003479,70,70,0,libero_long_full_1,libero_long
c2_union_radius,2,union_radius,task_init,0.03,2.785563707351685,70,69,1,libero_long_full_1,libero_long
c2_union_radius,2,union_radius,task_init,0.05,2.6487784385681152,70,68,2,libero_long_full_1,libero_long
c2_union_radius,2,union_radius,task_init,0.1,2.2177248001098637,70,64,6,libero_long_full_1,libero_long
c4_centroid_distance,4,centroid_distance,episode,0.02,6.527392864227295,547,538,9,libero_long_full_1,libero_long
c4_centroid_distance,4,centroid_distance,episode,0.03,5.641563415527344,547,532,15,libero_long_full_1,libero_long
c4_centroid_distance,4,centroid_distance,episode,0.05,5.090331554412842,547,521,26,libero_long_full_1,libero_long
c4_centroid_distance,4,centroid_distance,episode,0.1,4.20789909362793,547,494,53,libero_long_full_1,libero_long
c4_centroid_distance,4,centroid_distance,task_init,0.02,8.875299453735352,70,70,0,libero_long_full_1,libero_long
c4_centroid_distance,4,centroid_distance,task_init,0.03,8.082029342651367,70,69,1,libero_long_full_1,libero_long
c4_centroid_distance,4,centroid_distance,task_init,0.05,7.481288433074951,70,68,2,libero_long_full_1,libero_long
c4_centroid_distance,4,centroid_distance,task_init,0.1,5.8704752922058105,70,64,6,libero_long_full_1,libero_long
c4_assigned_radius,4,assigned_radius,episode,0.02,1.9929221868515012,547,538,9,libero_long_full_1,libero_long
c4_assigned_radius,4,assigned_radius,episode,0.03,1.8850852251052856,547,532,15,libero_long_full_1,libero_long
c4_assigned_radius,4,assigned_radius,episode,0.05,1.6805514097213743,547,521,26,libero_long_full_1,libero_long
c4_assigned_radius,4,assigned_radius,episode,0.1,1.4946810007095337,547,494,53,libero_long_full_1,libero_long
c4_assigned_radius,4,assigned_radius,task_init,0.02,2.631014585494995,70,70,0,libero_long_full_1,libero_long
c4_assigned_radius,4,assigned_radius,task_init,0.03,2.390565156936645,70,69,1,libero_long_full_1,libero_long
c4_assigned_radius,4,assigned_radius,task_init,0.05,2.1838085651397705,70,68,2,libero_long_full_1,libero_long
c4_assigned_radius,4,assigned_radius,task_init,0.1,1.9929221868515012,70,64,6,libero_long_full_1,libero_long
c4_union_radius,4,union_radius,episode,0.02,1.9366841316223145,547,538,9,libero_long_full_1,libero_long
c4_union_radius,4,union_radius,episode,0.03,1.760708928108215,547,532,15,libero_long_full_1,libero_long
c4_union_radius,4,union_radius,episode,0.05,1.657085657119751,547,521,26,libero_long_full_1,libero_long
c4_union_radius,4,union_radius,episode,0.1,1.482323408126831,547,494,53,libero_long_full_1,libero_long
c4_union_radius,4,union_radius,task_init,0.02,2.390565156936645,70,70,0,libero_long_full_1,libero_long
c4_union_radius,4,union_radius,task_init,0.03,2.176897525787353,70,69,1,libero_long_full_1,libero_long
c4_union_radius,4,union_radius,task_init,0.05,2.1288461685180664,70,68,2,libero_long_full_1,libero_long
c4_union_radius,4,union_radius,task_init,0.1,1.9366841316223145,70,64,6,libero_long_full_1,libero_long
c8_centroid_distance,8,centroid_distance,episode,0.02,5.5542426109313965,547,538,9,libero_long_full_1,libero_long
c8_centroid_distance,8,centroid_distance,episode,0.03,5.023952484130859,547,532,15,libero_long_full_1,libero_long
c8_centroid_distance,8,centroid_distance,episode,0.05,4.2876176834106445,547,521,26,libero_long_full_1,libero_long
c8_centroid_distance,8,centroid_distance,episode,0.1,3.562345504760742,547,494,53,libero_long_full_1,libero_long
c8_centroid_distance,8,centroid_distance,task_init,0.02,8.193181037902832,70,70,0,libero_long_full_1,libero_long
c8_centroid_distance,8,centroid_distance,task_init,0.03,7.304766178131103,70,69,1,libero_long_full_1,libero_long
c8_centroid_distance,8,centroid_distance,task_init,0.05,6.982008934020996,70,68,2,libero_long_full_1,libero_long
c8_centroid_distance,8,centroid_distance,task_init,0.1,5.331693172454834,70,64,6,libero_long_full_1,libero_long
c8_assigned_radius,8,assigned_radius,episode,0.02,1.922799825668335,547,538,9,libero_long_full_1,libero_long
c8_assigned_radius,8,assigned_radius,episode,0.03,1.8052228689193728,547,532,15,libero_long_full_1,libero_long
c8_assigned_radius,8,assigned_radius,episode,0.05,1.584705471992493,547,521,26,libero_long_full_1,libero_long
c8_assigned_radius,8,assigned_radius,episode,0.1,1.467348337173462,547,494,53,libero_long_full_1,libero_long
c8_assigned_radius,8,assigned_radius,task_init,0.02,3.071861267089844,70,70,0,libero_long_full_1,libero_long
c8_assigned_radius,8,assigned_radius,task_init,0.03,2.242128372192383,70,69,1,libero_long_full_1,libero_long
c8_assigned_radius,8,assigned_radius,task_init,0.05,2.1756751537323,70,68,2,libero_long_full_1,libero_long
c8_assigned_radius,8,assigned_radius,task_init,0.1,1.8540520668029783,70,64,6,libero_long_full_1,libero_long
c8_union_radius,8,union_radius,episode,0.02,1.724736571311951,547,538,9,libero_long_full_1,libero_long
c8_union_radius,8,union_radius,episode,0.03,1.6178538799285889,547,532,15,libero_long_full_1,libero_long
c8_union_radius,8,union_radius,episode,0.05,1.5557658672332764,547,521,26,libero_long_full_1,libero_long
c8_union_radius,8,union_radius,episode,0.1,1.436667799949646,547,494,53,libero_long_full_1,libero_long
c8_union_radius,8,union_radius,task_init,0.02,2.1771488189697266,70,70,0,libero_long_full_1,libero_long
c8_union_radius,8,union_radius,task_init,0.03,2.1756751537323,70,69,1,libero_long_full_1,libero_long
c8_union_radius,8,union_radius,task_init,0.05,2.0384857654571533,70,68,2,libero_long_full_1,libero_long
c8_union_radius,8,union_radius,task_init,0.1,1.722909450531006,70,64,6,libero_long_full_1,libero_long
c16_centroid_distance,16,centroid_distance,episode,0.02,4.508907318115234,547,538,9,libero_long_full_1,libero_long
c16_centroid_distance,16,centroid_distance,episode,0.03,4.109088897705078,547,532,15,libero_long_full_1,libero_long
c16_centroid_distance,16,centroid_distance,episode,0.05,3.494741439819336,547,521,26,libero_long_full_1,libero_long
c16_centroid_distance,16,centroid_distance,episode,0.1,3.089373588562012,547,494,53,libero_long_full_1,libero_long
c16_centroid_distance,16,centroid_distance,task_init,0.02,6.390984535217285,70,70,0,libero_long_full_1,libero_long
c16_centroid_distance,16,centroid_distance,task_init,0.03,5.553717613220215,70,69,1,libero_long_full_1,libero_long
c16_centroid_distance,16,centroid_distance,task_init,0.05,5.201339244842529,70,68,2,libero_long_full_1,libero_long
c16_centroid_distance,16,centroid_distance,task_init,0.1,4.1304545402526855,70,64,6,libero_long_full_1,libero_long
c16_assigned_radius,16,assigned_radius,episode,0.02,1.9875212907791135,547,538,9,libero_long_full_1,libero_long
c16_assigned_radius,16,assigned_radius,episode,0.03,1.8232054710388184,547,532,15,libero_long_full_1,libero_long
c16_assigned_radius,16,assigned_radius,episode,0.05,1.6368416547775269,547,521,26,libero_long_full_1,libero_long
c16_assigned_radius,16,assigned_radius,episode,0.1,1.4651216268539429,547,494,53,libero_long_full_1,libero_long
c16_assigned_radius,16,assigned_radius,task_init,0.02,3.1650047302246094,70,70,0,libero_long_full_1,libero_long
c16_assigned_radius,16,assigned_radius,task_init,0.03,2.8386948108673096,70,69,1,libero_long_full_1,libero_long
c16_assigned_radius,16,assigned_radius,task_init,0.05,2.265251874923706,70,68,2,libero_long_full_1,libero_long
c16_assigned_radius,16,assigned_radius,task_init,0.1,1.9875212907791135,70,64,6,libero_long_full_1,libero_long
c16_union_radius,16,union_radius,episode,0.02,1.8206127882003784,547,538,9,libero_long_full_1,libero_long
c16_union_radius,16,union_radius,episode,0.03,1.646564483642578,547,532,15,libero_long_full_1,libero_long
c16_union_radius,16,union_radius,episode,0.05,1.570618748664856,547,521,26,libero_long_full_1,libero_long
c16_union_radius,16,union_radius,episode,0.1,1.4051032066345217,547,494,53,libero_long_full_1,libero_long
c16_union_radius,16,union_radius,task_init,0.02,2.1331303119659424,70,70,0,libero_long_full_1,libero_long
c16_union_radius,16,union_radius,task_init,0.03,2.004004001617432,70,69,1,libero_long_full_1,libero_long
c16_union_radius,16,union_radius,task_init,0.05,1.9875212907791135,70,68,2,libero_long_full_1,libero_long
c16_union_radius,16,union_radius,task_init,0.1,1.791412115097046,70,64,6,libero_long_full_1,libero_long
c32_centroid_distance,32,centroid_distance,episode,0.02,3.5233395099639893,547,538,9,libero_long_full_1,libero_long
c32_centroid_distance,32,centroid_distance,episode,0.03,3.256335020065308,547,532,15,libero_long_full_1,libero_long
c32_centroid_distance,32,centroid_distance,episode,0.05,2.925458669662476,547,521,26,libero_long_full_1,libero_long
c32_centroid_distance,32,centroid_distance,episode,0.1,2.6679835319519043,547,494,53,libero_long_full_1,libero_long
c32_centroid_distance,32,centroid_distance,task_init,0.02,5.60045337677002,70,70,0,libero_long_full_1,libero_long
c32_centroid_distance,32,centroid_distance,task_init,0.03,4.758440017700195,70,69,1,libero_long_full_1,libero_long
c32_centroid_distance,32,centroid_distance,task_init,0.05,3.9478743076324463,70,68,2,libero_long_full_1,libero_long
c32_centroid_distance,32,centroid_distance,task_init,0.1,3.461564540863037,70,64,6,libero_long_full_1,libero_long
c32_assigned_radius,32,assigned_radius,episode,0.02,1.776547908782959,547,538,9,libero_long_full_1,libero_long
c32_assigned_radius,32,assigned_radius,episode,0.03,1.6541149616241455,547,532,15,libero_long_full_1,libero_long
c32_assigned_radius,32,assigned_radius,episode,0.05,1.5933070182800293,547,521,26,libero_long_full_1,libero_long
c32_assigned_radius,32,assigned_radius,episode,0.1,1.4477956295013428,547,494,53,libero_long_full_1,libero_long
c32_assigned_radius,32,assigned_radius,task_init,0.02,3.111163854598999,70,70,0,libero_long_full_1,libero_long
c32_assigned_radius,32,assigned_radius,task_init,0.03,2.730964422225952,70,69,1,libero_long_full_1,libero_long
c32_assigned_radius,32,assigned_radius,task_init,0.05,2.1185343265533447,70,68,2,libero_long_full_1,libero_long
c32_assigned_radius,32,assigned_radius,task_init,0.1,1.8588130474090576,70,64,6,libero_long_full_1,libero_long
c32_union_radius,32,union_radius,episode,0.02,1.658355951309204,547,538,9,libero_long_full_1,libero_long
c32_union_radius,32,union_radius,episode,0.03,1.5981056690216064,547,532,15,libero_long_full_1,libero_long
c32_union_radius,32,union_radius,episode,0.05,1.5158624649047852,547,521,26,libero_long_full_1,libero_long
c32_union_radius,32,union_radius,episode,0.1,1.3890594244003296,547,494,53,libero_long_full_1,libero_long
c32_union_radius,32,union_radius,task_init,0.02,2.4176812171936035,70,70,0,libero_long_full_1,libero_long
c32_union_radius,32,union_radius,task_init,0.03,2.293994188308716,70,69,1,libero_long_full_1,libero_long
c32_union_radius,32,union_radius,task_init,0.05,2.107677459716797,70,68,2,libero_long_full_1,libero_long
c32_union_radius,32,union_radius,task_init,0.1,1.6208038330078125,70,64,6,libero_long_full_1,libero_long
c64_centroid_distance,64,centroid_distance,episode,0.02,3.1346640586853027,547,538,9,libero_long_full_1,libero_long
c64_centroid_distance,64,centroid_distance,episode,0.03,2.9128217697143555,547,532,15,libero_long_full_1,libero_long
c64_centroid_distance,64,centroid_distance,episode,0.05,2.6407229900360107,547,521,26,libero_long_full_1,libero_long
c64_centroid_distance,64,centroid_distance,episode,0.1,2.394784927368164,547,494,53,libero_long_full_1,libero_long
c64_centroid_distance,64,centroid_distance,task_init,0.02,5.130836486816406,70,70,0,libero_long_full_1,libero_long
c64_centroid_distance,64,centroid_distance,task_init,0.03,4.407184600830078,70,69,1,libero_long_full_1,libero_long
c64_centroid_distance,64,centroid_distance,task_init,0.05,3.670947551727295,70,68,2,libero_long_full_1,libero_long
c64_centroid_distance,64,centroid_distance,task_init,0.1,3.2109298706054688,70,64,6,libero_long_full_1,libero_long
c64_assigned_radius,64,assigned_radius,episode,0.02,1.9016474485397337,547,538,9,libero_long_full_1,libero_long
c64_assigned_radius,64,assigned_radius,episode,0.03,1.7783207893371582,547,532,15,libero_long_full_1,libero_long
c64_assigned_radius,64,assigned_radius,episode,0.05,1.6594492197036743,547,521,26,libero_long_full_1,libero_long
c64_assigned_radius,64,assigned_radius,episode,0.1,1.514148473739624,547,494,53,libero_long_full_1,libero_long
c64_assigned_radius,64,assigned_radius,task_init,0.02,3.2392258644104004,70,70,0,libero_long_full_1,libero_long
c64_assigned_radius,64,assigned_radius,task_init,0.03,2.7823665142059326,70,69,1,libero_long_full_1,libero_long
c64_assigned_radius,64,assigned_radius,task_init,0.05,2.027140855789185,70,68,2,libero_long_full_1,libero_long
c64_assigned_radius,64,assigned_radius,task_init,0.1,1.8518651723861692,70,64,6,libero_long_full_1,libero_long
c64_union_radius,64,union_radius,episode,0.02,1.7376257181167605,547,538,9,libero_long_full_1,libero_long
c64_union_radius,64,union_radius,episode,0.03,1.666331171989441,547,532,15,libero_long_full_1,libero_long
c64_union_radius,64,union_radius,episode,0.05,1.5612239837646484,547,521,26,libero_long_full_1,libero_long
c64_union_radius,64,union_radius,episode,0.1,1.4301140308380127,547,494,53,libero_long_full_1,libero_long
c64_union_radius,64,union_radius,task_init,0.02,2.7823665142059326,70,70,0,libero_long_full_1,libero_long
c64_union_radius,64,union_radius,task_init,0.03,2.6213083267211914,70,69,1,libero_long_full_1,libero_long
c64_union_radius,64,union_radius,task_init,0.05,1.9740376472473145,70,68,2,libero_long_full_1,libero_long
c64_union_radius,64,union_radius,task_init,0.1,1.7744895219802856,70,64,6,libero_long_full_1,libero_long
knn20,0,knn20,episode,0.02,2.8389265537261963,515,506,9,libero_long_full_2,libero_long
knn20,0,knn20,episode,0.03,2.6353766918182373,515,501,14,libero_long_full_2,libero_long
knn20,0,knn20,episode,0.05,2.333570003509521,515,491,24,libero_long_full_2,libero_long
knn20,0,knn20,episode,0.1,2.03090763092041,515,465,50,libero_long_full_2,libero_long
knn20,0,knn20,task_init,0.02,6.398590087890625,68,68,0,libero_long_full_2,libero_long
knn20,0,knn20,task_init,0.03,4.840559482574463,68,67,1,libero_long_full_2,libero_long
knn20,0,knn20,task_init,0.05,3.875976085662842,68,66,2,libero_long_full_2,libero_long
knn20,0,knn20,task_init,0.1,2.967848539352417,68,63,5,libero_long_full_2,libero_long
norm_only,0,norm_only,episode,0.02,9.396918296813965,515,506,9,libero_long_full_2,libero_long
norm_only,0,norm_only,episode,0.03,9.14271640777588,515,501,14,libero_long_full_2,libero_long
norm_only,0,norm_only,episode,0.05,8.800275802612305,515,491,24,libero_long_full_2,libero_long
norm_only,0,norm_only,episode,0.1,7.500967025756836,515,465,50,libero_long_full_2,libero_long
norm_only,0,norm_only,task_init,0.02,14.33917236328125,68,68,0,libero_long_full_2,libero_long
norm_only,0,norm_only,task_init,0.03,13.402685165405272,68,67,1,libero_long_full_2,libero_long
norm_only,0,norm_only,task_init,0.05,10.923628807067873,68,66,2,libero_long_full_2,libero_long
norm_only,0,norm_only,task_init,0.1,9.524643898010254,68,63,5,libero_long_full_2,libero_long
c1_centroid_distance,1,centroid_distance,episode,0.02,9.09835433959961,515,506,9,libero_long_full_2,libero_long
c1_centroid_distance,1,centroid_distance,episode,0.03,8.870468139648438,515,501,14,libero_long_full_2,libero_long
c1_centroid_distance,1,centroid_distance,episode,0.05,8.520325660705566,515,491,24,libero_long_full_2,libero_long
c1_centroid_distance,1,centroid_distance,episode,0.1,7.347621440887451,515,465,50,libero_long_full_2,libero_long
c1_centroid_distance,1,centroid_distance,task_init,0.02,14.061068534851074,68,68,0,libero_long_full_2,libero_long
c1_centroid_distance,1,centroid_distance,task_init,0.03,13.260089874267578,68,67,1,libero_long_full_2,libero_long
c1_centroid_distance,1,centroid_distance,task_init,0.05,10.679107666015623,68,66,2,libero_long_full_2,libero_long
