cohort,subset,base,candidate,structurally_nested,subset_episodes,base_detects,base_misses,candidate_detects,both_detect,candidate_only,candidate_only_frac_of_base_misses,candidate_only_ci_low,candidate_only_ci_high,earlier,earlier_frac_of_base_detects,redundant,redundant_frac_of_base_detects,later,later_frac_of_base_detects,base_only,base_only_frac_of_base_detects,redundant_frac_of_both_detect,median_lead_gain_chunks,median_lead_gain_steps,timely_episodes,base_timely_alarms,candidate_timely_alarms,added_false_alarms,added_false_alarms_frac_timely,added_false_alarms_frac_base_silent_timely,added_false_alarms_ci_low,added_false_alarms_ci_high
development_main,all_risk,v7_turbulence,v7_guard_or_progress_ratio,True,487,138,349,407,138,269,0.7707736389684814,0.7028227251015047,0.8394521087224428,33,0.2391304347826087,105,0.7608695652173914,0,0.0,0,0.0,0.7608695652173914,0.0,0.0,14313.0,24.0,125.0,101.0,0.007056522042898064,0.007068374273916999,0.003467777172231266,0.011276694638404543
development_main,loop,v7_turbulence,v7_guard_or_progress_ratio,True,256,79,177,195,79,116,0.655367231638418,0.5027574727298485,0.8345368333432428,10,0.12658227848101267,69,0.8734177215189873,0,0.0,0,0.0,0.8734177215189873,0.0,0.0,,,,,,,,
development_main,static,v7_turbulence,v7_guard_or_progress_ratio,True,135,30,105,133,30,103,0.9809523809523809,0.8774872448979592,1.0,17,0.5666666666666667,13,0.43333333333333335,0,0.0,0,0.0,0.43333333333333335,2.5,25.0,,,,,,,,
development_main,pure_phantom,v7_turbulence,v7_guard_or_progress_ratio,True,22,3,19,18,3,15,0.7894736842105263,0.3333333333333333,1.0,0,0.0,3,1.0,0,0.0,0,0.0,1.0,0.0,0.0,,,,,,,,
development_main,all_risk,v7_guard,v4,False,487,382,105,372,319,53,0.5047619047619047,0.2931853029169783,0.7638927902621722,36,0.09424083769633508,163,0.42670157068062825,120,0.31413612565445026,63,0.1649214659685864,0.5109717868338558,-1.0,-10.0,14313.0,67.0,67.0,28.0,0.001956263536645008,0.0019654639898918995,0.0008360098534553999,0.003417074954669812
development_main,loop,v7_guard,v4,False,256,171,85,171,128,43,0.5058823529411764,0.2641350076491586,0.8245723684210525,21,0.12280701754385964,78,0.45614035087719296,29,0.1695906432748538,43,0.25146198830409355,0.609375,0.0,0.0,,,,,,,,
development_main,static,v7_guard,v4,False,135,132,3,132,131,1,0.3333333333333333,0.0,0.5,4,0.030303030303030304,45,0.3409090909090909,82,0.6212121212121212,1,0.007575757575757576,0.3435114503816794,-2.0,-20.0,,,,,,,,
development_main,pure_phantom,v7_guard,v4,False,22,18,4,12,12,0,0.0,0.0,0.0,1,0.05555555555555555,9,0.5,2,0.1111111111111111,6,0.3333333333333333,0.75,-1.0,-10.0,,,,,,,,
development_main,all_risk,v7_guard,v7_freeze,True,487,382,105,309,309,0,0.0,0.0,0.0,0,0.0,292,0.7643979057591623,17,0.04450261780104712,73,0.19109947643979058,0.9449838187702265,0.0,0.0,14313.0,67.0,52.0,0.0,0.0,0.0,0.0,0.0
development_main,loop,v7_guard,v7_freeze,True,256,171,85,113,113,0,0.0,0.0,0.0,0,0.0,108,0.631578947368421,5,0.029239766081871343,58,0.3391812865497076,0.9557522123893806,0.0,0.0,,,,,,,,
development_main,static,v7_guard,v7_freeze,True,135,132,3,130,130,0,0.0,0.0,0.0,0,0.0,123,0.9318181818181818,7,0.05303030303030303,2,0.015151515151515152,0.9461538461538461,0.0,0.0,,,,,,,,
development_main,pure_phantom,v7_guard,v7_freeze,True,22,18,4,15,15,0,0.0,0.0,0.0,0,0.0,15,0.8333333333333334,0,0.0,3,0.16666666666666666,1.0,0.0,0.0,,,,,,,,
development_main,all_risk,v7_guard,v7_turbulence,True,487,382,105,138,138,0,0.0,0.0,0.0,0,0.0,107,0.2801047120418848,31,0.08115183246073299,244,0.6387434554973822,0.7753623188405797,0.0,0.0,14313.0,67.0,24.0,0.0,0.0,0.0,0.0,0.0
development_main,loop,v7_guard,v7_turbulence,True,256,171,85,79,79,0,0.0,0.0,0.0,0,0.0,71,0.4152046783625731,8,0.04678362573099415,92,0.5380116959064327,0.8987341772151899,0.0,0.0,,,,,,,,
development_main,static,v7_guard,v7_turbulence,True,135,132,3,30,30,0,0.0,0.0,0.0,0,0.0,13,0.09848484848484848,17,0.12878787878787878,102,0.7727272727272727,0.43333333333333335,-2.5,-25.0,,,,,,,,
development_main,pure_phantom,v7_guard,v7_turbulence,True,22,18,4,3,3,0,0.0,0.0,0.0,0,0.0,3,0.16666666666666666,0,0.0,15,0.8333333333333334,1.0,0.0,0.0,,,,,,,,
development_main,all_risk,v7_guard,progress_ratio,False,487,382,105,36,11,25,0.23809523809523808,0.08888888888888889,0.4889062499999999,5,0.013089005235602094,3,0.007853403141361256,3,0.007853403141361256,371,0.9712041884816754,0.2727272727272727,1.0,10.0,14313.0,67.0,58.0,58.0,0.004052260183050374,0.004071318264776078,0.001607792934629743,0.0069326159145171274
development_main,loop,v7_guard,progress_ratio,False,256,171,85,35,11,24,0.2823529411764706,0.10783523086654018,0.5918556311413453,5,0.029239766081871343,3,0.017543859649122806,3,0.017543859649122806,160,0.935672514619883,0.2727272727272727,1.0,10.0,,,,,,,,
development_main,static,v7_guard,progress_ratio,False,135,132,3,2,1,1,0.3333333333333333,0.0,1.0,1,0.007575757575757576,0,0.0,0,0.0,131,0.9924242424242424,0.0,16.0,160.0,,,,,,,,
development_main,pure_phantom,v7_guard,progress_ratio,False,22,18,4,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,18,1.0,,,,,,,,,,,
development_main,all_risk,v7_guard,v7_guard_or_progress_ratio,True,487,382,105,407,382,25,0.23809523809523808,0.08888888888888889,0.4889062499999999,5,0.013089005235602094,377,0.9869109947643979,0,0.0,0,0.0,0.9869109947643979,0.0,0.0,14313.0,67.0,125.0,58.0,0.004052260183050374,0.004071318264776078,0.001607792934629743,0.0069326159145171274
development_main,loop,v7_guard,v7_guard_or_progress_ratio,True,256,171,85,195,171,24,0.2823529411764706,0.10783523086654018,0.5918556311413453,5,0.029239766081871343,166,0.9707602339181286,0,0.0,0,0.0,0.9707602339181286,0.0,0.0,,,,,,,,
development_main,static,v7_guard,v7_guard_or_progress_ratio,True,135,132,3,133,132,1,0.3333333333333333,0.0,1.0,1,0.007575757575757576,131,0.9924242424242424,0,0.0,0,0.0,0.9924242424242424,0.0,0.0,,,,,,,,
development_main,pure_phantom,v7_guard,v7_guard_or_progress_ratio,True,22,18,4,18,18,0,0.0,0.0,0.0,0,0.0,18,1.0,0,0.0,0,0.0,1.0,0.0,0.0,,,,,,,,
development_main,all_risk,progress_ratio,v4,False,487,36,451,372,25,347,0.7694013303769401,0.6691861145943625,0.9188585727833736,4,0.1111111111111111,2,0.05555555555555555,19,0.5277777777777778,11,0.3055555555555556,0.08,-4.0,-40.0,14313.0,58.0,67.0,67.0,0.0046810591769719835,0.0047001052262364085,0.0017388311273623398,0.008400082759505514
development_main,loop,progress_ratio,v4,False,256,35,221,171,25,146,0.6606334841628959,0.4236526252690662,0.9281452479656073,4,0.11428571428571428,2,0.05714285714285714,19,0.5428571428571428,10,0.2857142857142857,0.08,-4.0,-40.0,,,,,,,,
development_main,static,progress_ratio,v4,False,135,2,133,132,1,131,0.9849624060150376,0.967741935483871,1.0,0,0.0,0,0.0,1,0.5,1,0.5,0.0,-18.0,-180.0,,,,,,,,
development_main,pure_phantom,progress_ratio,v4,False,22,0,22,12,0,12,0.5454545454545454,0.14285714285714285,1.0,0,,0,,0,,0,,,,,,,,,,,,
development_main,all_risk,progress_ratio,v7_freeze,False,487,36,451,309,4,305,0.6762749445676275,0.5960219017175719,0.7586206896551724,1,0.027777777777777776,0,0.0,3,0.08333333333333333,32,0.8888888888888888,0.0,-6.5,-65.0,14313.0,58.0,52.0,52.0,0.0036330608537693005,0.0036478428621536303,0.0009713385757592918,0.007026000030788352
development_main,loop,progress_ratio,v7_freeze,False,256,35,221,113,4,109,0.49321266968325794,0.3450606832484267,0.6978368176538906,1,0.02857142857142857,0,0.0,3,0.08571428571428572,31,0.8857142857142857,0.0,-6.5,-65.0,,,,,,,,
development_main,static,progress_ratio,v7_freeze,False,135,2,133,130,1,129,0.9699248120300752,0.8888497652582159,1.0,0,0.0,0,0.0,1,0.5,1,0.5,0.0,-16.0,-160.0,,,,,,,,
