method,alpha,cohort,query_cutoff,episodes,failures,successes,tp,fp,fn,tn,recall,fpr,precision,tp_with_four_later_queries,median_first_tp,median_first_fp
c4_assigned_radius,0.02,all,10,32000,1096,30904,17,132,1079,30772,0.01551094890510949,0.004271291742169298,0.11409395973154363,17,10.0,10.0
c4_assigned_radius,0.02,all,13,32000,1096,30904,97,350,999,30554,0.0885036496350365,0.011325394770903443,0.21700223713646533,97,12.0,11.0
c4_assigned_radius,0.02,all,20,32000,1096,30904,388,384,708,30520,0.354014598540146,0.012425575977219777,0.5025906735751295,314,15.0,11.0
c4_assigned_radius,0.02,all,51,32000,1096,30904,721,401,375,30503,0.6578467153284672,0.012975666580377944,0.642602495543672,583,19.0,11.0
c4_assigned_radius,0.02,A,7,16000,532,15468,0,0,532,15468,0.0,0.0,,0,,
c4_assigned_radius,0.02,A,10,16000,532,15468,10,60,522,15408,0.018796992481203006,0.003878975950349108,0.14285714285714285,10,10.0,10.0
c4_assigned_radius,0.02,A,13,16000,532,15468,46,156,486,15312,0.08646616541353383,0.01008533747090768,0.22772277227722773,46,12.0,11.0
c4_assigned_radius,0.02,A,20,16000,532,15468,186,170,346,15298,0.34962406015037595,0.010990431859322473,0.5224719101123596,150,15.0,11.0
c4_assigned_radius,0.02,A,51,16000,532,15468,352,178,180,15290,0.6616541353383458,0.011507628652702353,0.6641509433962264,281,19.0,11.0
c4_assigned_radius,0.02,B,7,16000,564,15436,0,0,564,15436,0.0,0.0,,0,,
c4_assigned_radius,0.02,B,10,16000,564,15436,7,72,557,15364,0.012411347517730497,0.00466442083441306,0.08860759493670886,7,9.0,10.0
c4_assigned_radius,0.02,B,13,16000,564,15436,51,194,513,15242,0.09042553191489362,0.012568022803835191,0.20816326530612245,51,12.0,11.0
c4_assigned_radius,0.02,B,20,16000,564,15436,202,214,362,15222,0.35815602836879434,0.013863695257838819,0.4855769230769231,164,15.0,11.0
c4_assigned_radius,0.02,B,51,16000,564,15436,369,223,195,15213,0.6542553191489362,0.01444674786214045,0.6233108108108109,302,19.0,11.0
c32_assigned_radius,0.02,all,7,32000,1096,30904,0,1,1096,30903,0.0,3.235827077400984e-05,0.0,0,,7.0
c32_assigned_radius,0.02,all,10,32000,1096,30904,25,673,1071,30231,0.02281021897810219,0.02177711623090862,0.03581661891117478,25,10.0,10.0
c32_assigned_radius,0.02,all,13,32000,1096,30904,137,929,959,29975,0.125,0.030060833549055137,0.12851782363977485,137,12.0,10.0
c32_assigned_radius,0.02,all,20,32000,1096,30904,386,972,710,29932,0.3521897810218978,0.03145223919233756,0.28424153166421207,340,14.0,10.0
c32_assigned_radius,0.02,all,51,32000,1096,30904,711,995,385,29909,0.6487226277372263,0.03219647942013979,0.4167643610785463,602,19.0,10.0
c32_assigned_radius,0.02,A,7,16000,532,15468,0,0,532,15468,0.0,0.0,,0,,
c32_assigned_radius,0.02,A,10,16000,532,15468,14,320,518,15148,0.02631578947368421,0.02068787173519524,0.041916167664670656,14,10.0,10.0
c32_assigned_radius,0.02,A,13,16000,532,15468,69,445,463,15023,0.12969924812030076,0.028769071631755884,0.13424124513618677,69,12.0,10.0
c32_assigned_radius,0.02,A,20,16000,532,15468,187,464,345,15004,0.35150375939849626,0.029997414016033102,0.2872503840245776,162,14.0,10.0
c32_assigned_radius,0.02,A,51,16000,532,15468,336,474,196,14994,0.631578947368421,0.03064391000775795,0.4148148148148148,276,18.0,10.0
c32_assigned_radius,0.02,B,7,16000,564,15436,0,1,564,15435,0.0,6.47836227001814e-05,0.0,0,,7.0
c32_assigned_radius,0.02,B,10,16000,564,15436,11,353,553,15083,0.01950354609929078,0.022868618813164033,0.03021978021978022,11,10.0,9.0
c32_assigned_radius,0.02,B,13,16000,564,15436,68,484,496,14952,0.12056737588652482,0.031355273386887796,0.12318840579710146,68,12.0,10.0
c32_assigned_radius,0.02,B,20,16000,564,15436,199,508,365,14928,0.3528368794326241,0.03291008033169215,0.2814710042432815,178,14.0,10.0
c32_assigned_radius,0.02,B,51,16000,564,15436,375,521,189,14915,0.6648936170212766,0.033752267426794505,0.4185267857142857,326,19.0,10.0
c32_union_radius,0.02,all,7,32000,1096,30904,0,0,1096,30904,0.0,0.0,,0,,
c32_union_radius,0.02,all,10,32000,1096,30904,23,318,1073,30586,0.020985401459854013,0.010289930106135128,0.06744868035190615,23,10.0,10.0
c32_union_radius,0.02,all,13,32000,1096,30904,122,619,974,30285,0.11131386861313869,0.02002976960911209,0.16464237516869096,122,12.0,10.0
c32_union_radius,0.02,all,20,32000,1096,30904,398,668,698,30236,0.36313868613138683,0.021615324877038572,0.37335834896810505,336,15.0,11.0
c32_union_radius,0.02,all,51,32000,1096,30904,753,686,343,30218,0.6870437956204379,0.022197773750970748,0.5232800555941626,630,19.0,11.0
c32_union_radius,0.02,A,7,16000,532,15468,0,0,532,15468,0.0,0.0,,0,,
c32_union_radius,0.02,A,10,16000,532,15468,14,133,518,15335,0.02631578947368421,0.008598396689940523,0.09523809523809523,14,10.0,10.0
c32_union_radius,0.02,A,13,16000,532,15468,59,280,473,15188,0.11090225563909774,0.018101887768295837,0.17404129793510326,59,12.0,11.0
c32_union_radius,0.02,A,20,16000,532,15468,190,300,342,15168,0.35714285714285715,0.019394879751745538,0.3877551020408163,156,15.0,11.0
c32_union_radius,0.02,A,51,16000,532,15468,359,306,173,15162,0.674812030075188,0.01978277734678045,0.5398496240601504,289,19.0,11.0
c32_union_radius,0.02,B,7,16000,564,15436,0,0,564,15436,0.0,0.0,,0,,
c32_union_radius,0.02,B,10,16000,564,15436,9,185,555,15251,0.015957446808510637,0.011984970199533557,0.04639175257731959,9,9.0,10.0
c32_union_radius,0.02,B,13,16000,564,15436,63,339,501,15097,0.11170212765957446,0.021961648095361493,0.15671641791044777,63,12.0,10.0
c32_union_radius,0.02,B,20,16000,564,15436,208,368,356,15068,0.36879432624113473,0.023840373153666754,0.3611111111111111,180,14.0,10.0
c32_union_radius,0.02,B,51,16000,564,15436,394,380,170,15056,0.6985815602836879,0.02461777662606893,0.5090439276485789,341,20.0,11.0
cosine_knn20,0.02,all,7,32000,1096,30904,0,19,1096,30885,0.0,0.0006148071447061869,0.0,0,,7.0
cosine_knn20,0.02,all,10,32000,1096,30904,1,48,1095,30856,0.0009124087591240876,0.001553196997152472,0.02040816326530612,1,8.0,8.0
cosine_knn20,0.02,all,13,32000,1096,30904,3,102,1093,30802,0.002737226277372263,0.0033005436189490036,0.02857142857142857,3,11.0,11.0
cosine_knn20,0.02,all,20,32000,1096,30904,10,231,1086,30673,0.009124087591240875,0.007474760548796273,0.04149377593360996,10,14.0,14.0
cosine_knn20,0.02,all,51,32000,1096,30904,10,243,1086,30661,0.009124087591240875,0.00786305979808439,0.039525691699604744,10,14.0,14.0
cosine_knn20,0.02,A,7,16000,532,15468,0,7,532,15461,0.0,0.0004525471942073959,0.0,0,,7.0
cosine_knn20,0.02,A,10,16000,532,15468,1,18,531,15450,0.0018796992481203006,0.0011636927851047323,0.05263157894736842,1,8.0,8.0
cosine_knn20,0.02,A,13,16000,532,15468,2,39,530,15429,0.0037593984962406013,0.00252133436772692,0.04878048780487805,2,9.5,11.0
cosine_knn20,0.02,A,20,16000,532,15468,5,96,527,15372,0.009398496240601503,0.0062063615205585725,0.04950495049504951,5,14.0,14.0
cosine_knn20,0.02,A,51,16000,532,15468,5,101,527,15367,0.009398496240601503,0.006529609516420998,0.04716981132075472,5,14.0,14.0
cosine_knn20,0.02,B,7,16000,564,15436,0,12,564,15424,0.0,0.0007774034724021767,0.0,0,,7.0
cosine_knn20,0.02,B,10,16000,564,15436,0,30,564,15406,0.0,0.0019435086810054417,0.0,0,,8.0
cosine_knn20,0.02,B,13,16000,564,15436,1,63,563,15373,0.0017730496453900709,0.0040813682301114275,0.015625,1,11.0,11.0
cosine_knn20,0.02,B,20,16000,564,15436,5,135,559,15301,0.008865248226950355,0.008745789064524489,0.03571428571428571,5,14.0,14.0
cosine_knn20,0.02,B,51,16000,564,15436,5,142,559,15294,0.008865248226950355,0.009199274423425758,0.034013605442176874,5,14.0,14.0
v7_calibrated,0.05,all,7,32000,1096,30904,2,205,1094,30699,0.0018248175182481751,0.006633445508672017,0.00966183574879227,2,7.0,7.0
v7_calibrated,0.05,all,10,32000,1096,30904,24,835,1072,30069,0.021897810218978103,0.027019156096298215,0.027939464493597205,24,9.0,8.0
v7_calibrated,0.05,all,13,32000,1096,30904,57,1144,1039,29760,0.05200729927007299,0.03701786176546725,0.04746044962531224,57,11.0,8.0
v7_calibrated,0.05,all,20,32000,1096,30904,370,1183,726,29721,0.3375912408759124,0.038279834325653635,0.23824855119124275,296,16.0,8.0
v7_calibrated,0.05,all,51,32000,1096,30904,797,1221,299,29683,0.7271897810218978,0.03950944861506601,0.3949454905847374,685,23.0,8.0
v7_calibrated,0.05,A,7,16000,532,15468,2,101,530,15367,0.0037593984962406013,0.006529609516420998,0.019417475728155338,2,7.0,7.0
v7_calibrated,0.05,A,10,16000,532,15468,10,414,522,15054,0.018796992481203006,0.026764934057408846,0.02358490566037736,10,9.0,8.0
v7_calibrated,0.05,A,13,16000,532,15468,23,569,509,14899,0.043233082706766915,0.03678562192914404,0.03885135135135135,23,11.0,8.0
v7_calibrated,0.05,A,20,16000,532,15468,179,589,353,14879,0.33646616541353386,0.03807861391259374,0.23307291666666666,145,16.0,8.0
v7_calibrated,0.05,A,51,16000,532,15468,394,607,138,14861,0.7406015037593985,0.03924230669769847,0.3936063936063936,340,23.0,8.0
v7_calibrated,0.05,B,7,16000,564,15436,0,104,564,15332,0.0,0.006737496760818865,0.0,0,,7.0
v7_calibrated,0.05,B,10,16000,564,15436,14,421,550,15015,0.024822695035460994,0.027273905156776367,0.03218390804597701,14,9.0,8.0
v7_calibrated,0.05,B,13,16000,564,15436,34,575,530,14861,0.06028368794326241,0.0372505830526043,0.05582922824302135,34,11.0,8.0
v7_calibrated,0.05,B,20,16000,564,15436,191,594,373,14842,0.33865248226950356,0.03848147188390775,0.24331210191082803,151,16.0,8.0
v7_calibrated,0.05,B,51,16000,564,15436,403,614,161,14822,0.7145390070921985,0.03977714433791137,0.39626352015732547,345,22.0,8.0
v8_calibrated,0.05,all,7,32000,1096,30904,1,4,1095,30900,0.0009124087591240876,0.00012943308309603936,0.2,1,7.0,7.0
v8_calibrated,0.05,all,10,32000,1096,30904,44,486,1052,30418,0.040145985401459854,0.01572611959616878,0.0830188679245283,44,9.0,10.0
v8_calibrated,0.05,all,13,32000,1096,30904,122,903,974,30001,0.11131386861313869,0.029219518508930883,0.11902439024390243,122,11.0,10.0
v8_calibrated,0.05,all,20,32000,1096,30904,463,946,633,29958,0.42244525547445255,0.030610924152213306,0.32860184528034064,412,15.0,10.0
v8_calibrated,0.05,all,51,32000,1096,30904,878,997,218,29907,0.801094890510949,0.032261195961687805,0.46826666666666666,798,19.0,11.0
v8_calibrated,0.05,A,7,16000,532,15468,1,3,531,15465,0.0018796992481203006,0.0001939487975174554,0.25,1,7.0,7.0
v8_calibrated,0.05,A,10,16000,532,15468,21,231,511,15237,0.039473684210526314,0.014934057408844065,0.08333333333333333,21,9.0,10.0
v8_calibrated,0.05,A,13,16000,532,15468,55,453,477,15015,0.10338345864661654,0.029286268425135764,0.10826771653543307,55,11.0,10.0
v8_calibrated,0.05,A,20,16000,532,15468,223,470,309,14998,0.4191729323308271,0.03038531161106801,0.3217893217893218,200,16.0,11.0
v8_calibrated,0.05,A,51,16000,532,15468,431,494,101,14974,0.8101503759398496,0.031936901991207654,0.46594594594594596,392,19.0,11.0
v8_calibrated,0.05,B,7,16000,564,15436,0,1,564,15435,0.0,6.47836227001814e-05,0.0,0,,7.0
v8_calibrated,0.05,B,10,16000,564,15436,23,255,541,15181,0.040780141843971635,0.016519823788546256,0.08273381294964029,23,10.0,10.0
v8_calibrated,0.05,B,13,16000,564,15436,67,450,497,14986,0.11879432624113476,0.02915263021508163,0.12959381044487428,67,11.0,10.0
v8_calibrated,0.05,B,20,16000,564,15436,240,476,324,14960,0.425531914893617,0.030837004405286344,0.33519553072625696,212,15.0,10.0
v8_calibrated,0.05,B,51,16000,564,15436,447,503,117,14933,0.7925531914893617,0.032586162218191245,0.4705263157894737,406,19.0,10.0
v82_calibrated,0.05,all,7,32000,1096,30904,1,1,1095,30903,0.0009124087591240876,3.235827077400984e-05,0.5,1,7.0,7.0
v82_calibrated,0.05,all,10,32000,1096,30904,49,468,1047,30436,0.04470802919708029,0.015143670722236604,0.09477756286266925,49,9.0,10.0
v82_calibrated,0.05,all,13,32000,1096,30904,128,874,968,30030,0.11678832116788321,0.0282811286564846,0.1277445109780439,128,11.0,10.0
v82_calibrated,0.05,all,20,32000,1096,30904,471,929,625,29975,0.42974452554744524,0.030060833549055137,0.3364285714285714,420,15.0,10.0
v82_calibrated,0.05,all,51,32000,1096,30904,893,984,203,29920,0.8147810218978102,0.03184053844162568,0.4757591901971231,809,19.0,11.0
v82_calibrated,0.05,A,7,16000,532,15468,1,1,531,15467,0.0018796992481203006,6.464959917248513e-05,0.5,1,7.0,7.0
v82_calibrated,0.05,A,10,16000,532,15468,25,231,507,15237,0.046992481203007516,0.014934057408844065,0.09765625,25,9.0,10.0
v82_calibrated,0.05,A,13,16000,532,15468,57,440,475,15028,0.10714285714285714,0.028445823635893458,0.11468812877263582,57,11.0,10.0
v82_calibrated,0.05,A,20,16000,532,15468,228,464,304,15004,0.42857142857142855,0.029997414016033102,0.32947976878612717,204,16.0,11.0
v82_calibrated,0.05,A,51,16000,532,15468,434,490,98,14978,0.8157894736842105,0.03167830359451771,0.4696969696969697,394,19.0,11.0
v82_calibrated,0.05,B,7,16000,564,15436,0,0,564,15436,0.0,0.0,,0,,
