fold,calibration,alpha,method,tp,fp,utility,eligible,selected
deploy,task_init,0.01,reference_confirm3,62,10,0.13871393276897287,False,False
deploy,task_init,0.01,recent4_confirm2,71,11,0.17912756572498983,False,False
deploy,task_init,0.02,v82_reference,79,14,0.21682618094120545,True,True
deploy,task_init,0.02,recent4,79,14,0.21682618094120545,True,False
deploy,task_init,0.02,absolute_gate,59,10,0.16750730616421702,False,False
deploy,task_init,0.02,recovery,59,10,0.16750730616421702,False,False
deploy,task_init,0.02,recovery_fixed,59,8,0.16421299685751878,False,False
deploy,task_init,0.02,recovery_confirm2,66,15,0.17220023806149107,False,False
deploy,task_init,0.02,recovery_confirm3,63,13,0.15660544911783877,False,False
deploy,task_init,0.02,reference_confirm3,71,11,0.17783196960282646,False,False
deploy,task_init,0.02,recent4_confirm2,74,12,0.1907023763975834,False,False
deploy,task_init,0.05,v82_reference,94,47,0.2824015385144876,True,True
deploy,task_init,0.05,recent4,94,47,0.2824015385144876,True,False
deploy,task_init,0.05,absolute_gate,85,55,0.26059813955207684,False,False
deploy,task_init,0.05,recovery,85,55,0.26059813955207684,False,False
deploy,task_init,0.05,recovery_fixed,85,53,0.26163407206015016,False,False
deploy,task_init,0.05,recovery_confirm2,84,47,0.24008512657822817,False,False
deploy,task_init,0.05,recovery_confirm3,88,50,0.2508764684428109,False,False
deploy,task_init,0.05,reference_confirm3,95,42,0.2567265278765007,True,False
deploy,task_init,0.05,recent4_confirm2,92,37,0.25523355342296267,False,False
