record_index,candidate,outcome,relative_query,current_query,stored_layer,model_layer,route_replay_mean_h,route_replay_max_h,route_replay_state_h,route_replay_action_h,action_replay_rms
15,3,success,0,29,3,5,0.0025002399925142527,0.008038124069571495,0.004606408998370171,0.0022896232549101114,0.0014261112082749605
15,3,success,0,29,4,12,0.00216481601819396,0.004421574994921684,0.003366649616509676,0.0020446323323994875,0.0014261112082749605
15,3,success,0,29,5,13,0.002148002851754427,0.0046579064801335335,0.004415797535330057,0.0019212232436984777,0.0014261112082749605
15,3,success,0,29,6,14,0.002300985623151064,0.0036945180036127567,0.0030539336148649454,0.002225690521299839,0.0014261112082749605
15,3,success,0,29,7,15,0.002563381101936102,0.00480901263654232,0.0029169940389692783,0.002528020180761814,0.0014261112082749605
16,3,success,1,30,0,2,0.0064934189431369305,0.034633565694093704,0.034633569419384,0.003679404268041253,0.009182294830679893
16,3,success,1,30,1,3,0.005895137321203947,0.02714466117322445,0.027136752381920815,0.00377097656019032,0.009182294830679893
16,3,success,1,30,2,4,0.006181868724524975,0.020669931545853615,0.020650599151849747,0.004734995309263468,0.009182294830679893
16,3,success,1,30,3,5,0.0066965860314667225,0.022175174206495285,0.0221566092222929,0.0051505835726857185,0.009182294830679893
16,3,success,1,30,4,12,0.006864589639008045,0.012624691240489483,0.01079445518553257,0.006471602246165276,0.009182294830679893
16,3,success,1,30,5,13,0.0074815815314650536,0.017352886497974396,0.017031844705343246,0.0065265558660030365,0.009182294830679893
16,3,success,1,30,6,14,0.007903024554252625,0.013434391468763351,0.01310721505433321,0.007382605690509081,0.009182294830679893
16,3,success,1,30,7,15,0.009466566145420074,0.019724084064364433,0.012569921091198921,0.00915622990578413,0.009182294830679893
17,3,success,2,31,0,2,0.0016696189995855093,0.00415756506845355,0.00415756506845355,0.0014208245556801558,0.0029339410830289125
17,3,success,2,31,1,3,0.00178397202398628,0.004702480509877205,0.002949962392449379,0.0016673729987815022,0.0029339410830289125
17,3,success,2,31,2,4,0.002023465931415558,0.00529847014695406,0.0032517369836568832,0.0019006386864930391,0.0029339410830289125
17,3,success,2,31,3,5,0.0024363838601857424,0.00619078241288662,0.00370182772167027,0.002309839241206646,0.0029339410830289125
17,3,success,2,31,4,12,0.002211616840213537,0.003996754065155983,0.0028847944922745228,0.0021442987490445375,0.0029339410830289125
17,3,success,2,31,5,13,0.0024393252097070217,0.0047088139690458775,0.002829431090503931,0.002400314202532172,0.0029339410830289125
17,3,success,2,31,6,14,0.002463113982230425,0.0040190620347857475,0.002959811594337225,0.0024134444538503885,0.0029339410830289125
17,3,success,2,31,7,15,0.00278003909625113,0.0038135985378175974,0.0029521880205720663,0.002762824296951294,0.0029339410830289125
18,3,success,3,32,0,2,0.0013375038979575038,0.0018593196291476488,0.0014850494917482138,0.0013227493036538363,0.002172945998609066
18,3,success,3,32,1,3,0.0016156963538378477,0.004291600547730923,0.0028261321131139994,0.0014946528244763613,0.002172945998609066
18,3,success,3,32,2,4,0.0018922645831480622,0.005940197966992855,0.002629475202411413,0.0018185435328632593,0.002172945998609066
18,3,success,3,32,3,5,0.0019884274806827307,0.005910018924623728,0.0018302149837836623,0.0020042487885802984,0.002172945998609066
18,3,success,3,32,4,12,0.0019007711671292782,0.003365246346220374,0.0017400598153471947,0.0019168423023074865,0.002172945998609066
18,3,success,3,32,5,13,0.0019199294038116932,0.0037266449071466923,0.002538807224482298,0.0018580416217446327,0.002172945998609066
18,3,success,3,32,6,14,0.002070861868560314,0.0044751716777682304,0.002066691406071186,0.0020712788682430983,0.002172945998609066
18,3,success,3,32,7,15,0.002436663955450058,0.004541278351098299,0.001952972263097763,0.002485032193362713,0.002172945998609066
19,3,success,4,33,0,2,0.001634911517612636,0.00405596848577261,0.00405596848577261,0.001392805832438171,0.002265852876007557
19,3,success,4,33,1,3,0.001753308461047709,0.004200354218482971,0.004200354218482971,0.0015086040366441011,0.002265852876007557
19,3,success,4,33,2,4,0.0017947859596461058,0.004214520566165447,0.0019377451390028,0.0017804899252951145,0.002265852876007557
19,3,success,4,33,3,5,0.0022730212658643723,0.005869538523256779,0.0034868582151830196,0.0021516375709325075,0.002265852876007557
19,3,success,4,33,4,12,0.0018613365245983005,0.0038756122812628746,0.0023743712808936834,0.001810033223591745,0.002265852876007557
19,3,success,4,33,5,13,0.0019091510912403464,0.0036457970272749662,0.0022791563533246517,0.0018721504602581263,0.002265852876007557
19,3,success,4,33,6,14,0.0022746259346604347,0.0047088139690458775,0.002216289285570383,0.0022804592736065388,0.002265852876007557
19,3,success,4,33,7,15,0.0027800779789686203,0.004593478515744209,0.003162363078445196,0.002741849049925804,0.002265852876007557
20,3,success,5,34,0,2,0.0018007992766797543,0.004696138668805361,0.004696138668805361,0.001511265174485743,0.004420050419867039
20,3,success,5,34,1,3,0.0018728647846728563,0.00473406258970499,0.002618116792291403,0.0017983396537601948,0.004420050419867039
20,3,success,5,34,2,4,0.002561297733336687,0.006181146949529648,0.005315317772328854,0.0022858958691358566,0.004420050419867039
20,3,success,5,34,3,5,0.0025966386310756207,0.006587274372577667,0.0027032122015953064,0.0025859815068542957,0.004420050419867039
20,3,success,5,34,4,12,0.002662968821823597,0.005091956350952387,0.004994670860469341,0.00242979871109128,0.004420050419867039
20,3,success,5,34,5,13,0.0032278073485940695,0.00578257767483592,0.005302943754941225,0.003020293777808547,0.004420050419867039
20,3,success,5,34,6,14,0.0036720680072903633,0.0057567511685192585,0.005620730575174093,0.003477201797068119,0.004420050419867039
20,3,success,5,34,7,15,0.003931722138077021,0.006482381839305162,0.006373546086251736,0.003687539603561163,0.004420050419867039
21,3,success,6,35,0,2,0.0016730495262891054,0.0030395262874662876,0.0030395262874662876,0.0015364019200205803,0.002039636019617319
21,3,success,6,35,1,3,0.0019783065654337406,0.004235681612044573,0.0031925528310239315,0.0018568820087239146,0.002039636019617319
21,3,success,6,35,2,4,0.002113167429342866,0.0046258047223091125,0.0027404718566685915,0.0020504372660070658,0.002039636019617319
