method,clusters,variant,calibration,alpha,threshold,units,rank,exceedances
c16_centroid_distance,16,centroid_distance,task_init,0.05,2.847245216369629,70,68,2
c16_centroid_distance,16,centroid_distance,task_init,0.1,2.477327346801758,70,64,6
c16_assigned_radius,16,assigned_radius,episode,0.02,1.5198949575424194,554,544,10
c16_assigned_radius,16,assigned_radius,episode,0.03,1.4233238697052002,554,539,15
c16_assigned_radius,16,assigned_radius,episode,0.05,1.342325210571289,554,528,26
c16_assigned_radius,16,assigned_radius,episode,0.1,1.2317606210708618,554,500,54
c16_assigned_radius,16,assigned_radius,task_init,0.02,2.2009294033050537,70,70,0
c16_assigned_radius,16,assigned_radius,task_init,0.03,1.6853407621383667,70,69,1
c16_assigned_radius,16,assigned_radius,task_init,0.05,1.680927038192749,70,68,2
c16_assigned_radius,16,assigned_radius,task_init,0.1,1.5198949575424194,70,64,6
c16_union_radius,16,union_radius,episode,0.02,1.4735169410705566,554,544,10
c16_union_radius,16,union_radius,episode,0.03,1.4122300148010254,554,539,15
c16_union_radius,16,union_radius,episode,0.05,1.2836507558822632,554,528,26
c16_union_radius,16,union_radius,episode,0.1,1.1947548389434814,554,500,54
c16_union_radius,16,union_radius,task_init,0.02,2.0196053981781006,70,70,0
c16_union_radius,16,union_radius,task_init,0.03,1.680464267730713,70,69,1
c16_union_radius,16,union_radius,task_init,0.05,1.6508971452713013,70,68,2
c16_union_radius,16,union_radius,task_init,0.1,1.4735169410705566,70,64,6
c32_centroid_distance,32,centroid_distance,episode,0.02,2.190129041671753,554,544,10
c32_centroid_distance,32,centroid_distance,episode,0.03,2.1140692234039307,554,539,15
c32_centroid_distance,32,centroid_distance,episode,0.05,1.9771876335144043,554,528,26
c32_centroid_distance,32,centroid_distance,episode,0.1,1.8355251550674438,554,500,54
c32_centroid_distance,32,centroid_distance,task_init,0.02,3.1205809116363525,70,70,0
c32_centroid_distance,32,centroid_distance,task_init,0.03,3.025963306427002,70,69,1
c32_centroid_distance,32,centroid_distance,task_init,0.05,2.3758978843688965,70,68,2
c32_centroid_distance,32,centroid_distance,task_init,0.1,2.2476117610931396,70,64,6
c32_assigned_radius,32,assigned_radius,episode,0.02,1.489321231842041,554,544,10
c32_assigned_radius,32,assigned_radius,episode,0.03,1.4258939027786255,554,539,15
c32_assigned_radius,32,assigned_radius,episode,0.05,1.337473750114441,554,528,26
c32_assigned_radius,32,assigned_radius,episode,0.1,1.2708836793899536,554,500,54
c32_assigned_radius,32,assigned_radius,task_init,0.02,2.1026253700256348,70,70,0
c32_assigned_radius,32,assigned_radius,task_init,0.03,1.9947482347488403,70,69,1
c32_assigned_radius,32,assigned_radius,task_init,0.05,1.8917913436889648,70,68,2
c32_assigned_radius,32,assigned_radius,task_init,0.1,1.5562390089035034,70,64,6
c32_union_radius,32,union_radius,episode,0.02,1.447306513786316,554,544,10
c32_union_radius,32,union_radius,episode,0.03,1.3730882406234741,554,539,15
c32_union_radius,32,union_radius,episode,0.05,1.3146851062774658,554,528,26
c32_union_radius,32,union_radius,episode,0.1,1.229684591293335,554,500,54
c32_union_radius,32,union_radius,task_init,0.02,1.9287587404251099,70,70,0
c32_union_radius,32,union_radius,task_init,0.03,1.8917913436889648,70,69,1
c32_union_radius,32,union_radius,task_init,0.05,1.805740475654602,70,68,2
c32_union_radius,32,union_radius,task_init,0.1,1.489321231842041,70,64,6
c64_centroid_distance,64,centroid_distance,episode,0.02,2.0401227474212646,554,544,10
c64_centroid_distance,64,centroid_distance,episode,0.03,1.937064528465271,554,539,15
c64_centroid_distance,64,centroid_distance,episode,0.05,1.8416109085083008,554,528,26
c64_centroid_distance,64,centroid_distance,episode,0.1,1.6660690307617188,554,500,54
c64_centroid_distance,64,centroid_distance,task_init,0.02,3.014608383178711,70,70,0
c64_centroid_distance,64,centroid_distance,task_init,0.03,2.6458654403686523,70,69,1
c64_centroid_distance,64,centroid_distance,task_init,0.05,2.368257999420166,70,68,2
c64_centroid_distance,64,centroid_distance,task_init,0.1,2.0572922229766846,70,64,6
c64_assigned_radius,64,assigned_radius,episode,0.02,1.562806248664856,554,544,10
c64_assigned_radius,64,assigned_radius,episode,0.03,1.4793466329574585,554,539,15
c64_assigned_radius,64,assigned_radius,episode,0.05,1.406795859336853,554,528,26
c64_assigned_radius,64,assigned_radius,episode,0.1,1.2899324893951416,554,500,54
c64_assigned_radius,64,assigned_radius,task_init,0.02,2.0626392364501953,70,70,0
c64_assigned_radius,64,assigned_radius,task_init,0.03,1.913597822189331,70,69,1
c64_assigned_radius,64,assigned_radius,task_init,0.05,1.7463408708572388,70,68,2
c64_assigned_radius,64,assigned_radius,task_init,0.1,1.6748485565185547,70,64,6
c64_union_radius,64,union_radius,episode,0.02,1.490186095237732,554,544,10
c64_union_radius,64,union_radius,episode,0.03,1.4193085432052612,554,539,15
c64_union_radius,64,union_radius,episode,0.05,1.3354551792144775,554,528,26
c64_union_radius,64,union_radius,episode,0.1,1.2457181215286255,554,500,54
c64_union_radius,64,union_radius,task_init,0.02,2.0626392364501953,70,70,0
c64_union_radius,64,union_radius,task_init,0.03,1.913597822189331,70,69,1
c64_union_radius,64,union_radius,task_init,0.05,1.7463408708572388,70,68,2
c64_union_radius,64,union_radius,task_init,0.1,1.6089733839035034,70,64,6
