suite,method,scope,task,episodes,failures,successes,tp,fp,fn,tn,recall,fpr,precision
libero_long,cosine,unseen,libero_long/LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,400,30,370,1,18,29,352,0.03333333333333333,0.04864864864864865,0.05263157894736842
libero_long,cosine,unseen,libero_long/LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,400,4,396,0,1,4,395,0.0,0.0025252525252525255,0.0
libero_long,cosine,unseen,libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,400,47,353,0,3,47,350,0.0,0.0084985835694051,0.0
libero_long,euclidean,seen,libero_long/KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,160,1,159,1,0,0,159,1.0,0.0,1.0
libero_long,euclidean,seen,libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,160,1,159,1,4,0,155,1.0,0.025157232704402517,0.2
libero_long,euclidean,seen,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,160,43,117,29,4,14,113,0.6744186046511628,0.03418803418803419,0.8787878787878788
libero_long,euclidean,seen,libero_long/LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,160,8,152,4,0,4,152,0.5,0.0,1.0
libero_long,euclidean,seen,libero_long/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,240,0,240,0,0,0,240,,0.0,
libero_long,euclidean,seen,libero_long/LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,160,2,158,1,5,1,153,0.5,0.03164556962025317,0.16666666666666666
libero_long,euclidean,seen,libero_long/LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate,240,19,221,6,2,13,219,0.3157894736842105,0.00904977375565611,0.75
libero_long,euclidean,seen,libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,160,27,133,7,2,20,131,0.25925925925925924,0.015037593984962405,0.7777777777777778
libero_long,euclidean,seen,libero_long/STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,240,8,232,8,8,0,224,1.0,0.034482758620689655,0.5
libero_long,euclidean,unseen,libero_long/KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,400,4,396,4,0,0,396,1.0,0.0,1.0
libero_long,euclidean,unseen,libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,1200,3,1197,3,8,0,1189,1.0,0.006683375104427736,0.2727272727272727
