method,task,query,successes,failures,success_zero_fraction,failure_zero_fraction,zero_cross_class_tie_fraction
leaky_ac,libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,11,399,1,0.9523809523809523,1.0,0.9523809523809523
leaky_ac,libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,12,399,1,0.9849624060150376,1.0,0.9849624060150376
leaky_ac,libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,13,399,1,1.0,1.0,1.0
leaky_ac,libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,14,399,1,1.0,1.0,1.0
leaky_ac,libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,15,399,1,0.9172932330827067,1.0,0.9172932330827067
leaky_ac,libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,16,399,1,0.731829573934837,0.0,0.0
leaky_ac,libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,17,399,1,0.7142857142857143,0.0,0.0
leaky_ac,libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,18,399,1,0.8295739348370927,0.0,0.0
leaky_ac,libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,19,399,1,0.9147869674185464,0.0,0.0
leaky_ac,libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,20,392,1,0.9311224489795918,0.0,0.0
leaky_ac,libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,21,297,1,0.9225589225589226,0.0,0.0
leaky_ac,libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,22,116,1,0.8017241379310345,0.0,0.0
leaky_ac,libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,23,32,1,0.4375,0.0,0.0
leaky_ac,libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,24,23,1,0.4782608695652174,0.0,0.0
leaky_ac,libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,25,18,1,0.3333333333333333,1.0,0.3333333333333333
leaky_ac,libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,26,11,1,0.0,0.0,0.0
leaky_ac,libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,27,10,1,0.1,0.0,0.0
leaky_ac,libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,28,9,1,0.3333333333333333,0.0,0.0
