worker,init_state_id,snapshot,candidate,episode_id,recorded_success,replayed_success,on__moka_pot_1__flat_stove_1_cook_region,on__moka_pot_2__flat_stove_1_cook_region,turnon__flat_stove_1
2,3,3,0,300000300,False,False,False,True,True
2,3,3,1,300000301,True,True,True,True,True
2,3,3,2,300000302,False,False,False,True,True
2,3,3,3,300000303,False,False,False,True,True
2,3,3,4,300000304,True,True,True,True,True
2,3,3,5,300000305,False,False,False,True,True
2,3,3,6,300000306,False,False,False,True,True
2,3,3,7,300000307,False,False,False,True,True
2,3,3,8,300000308,False,False,False,True,True
2,3,3,9,300000309,False,False,False,True,True
2,3,3,10,300000310,False,False,False,True,True
2,3,3,11,300000311,False,False,False,False,True
2,3,3,12,300000312,False,False,False,True,True
2,3,3,13,300000313,False,False,False,True,True
2,3,3,14,300000314,False,False,False,True,True
2,3,3,15,300000315,False,False,False,True,True
2,3,4,0,300000400,False,False,False,True,True
2,3,4,1,300000401,False,False,False,True,True
2,3,4,2,300000402,False,False,False,True,True
2,3,4,3,300000403,False,False,False,True,True
2,3,4,4,300000404,False,False,False,True,True
2,3,4,5,300000405,False,False,False,True,True
2,3,4,6,300000406,False,False,False,True,True
2,3,4,7,300000407,False,False,False,True,True
2,3,4,8,300000408,False,False,False,True,True
2,3,4,9,300000409,False,False,False,True,True
2,3,4,10,300000410,False,False,False,True,True
2,3,4,11,300000411,False,False,False,True,True
2,3,4,12,300000412,False,False,False,True,True
2,3,4,13,300000413,False,False,False,True,True
2,3,4,14,300000414,False,False,False,True,True
2,3,4,15,300000415,False,False,False,True,True
3,7,0,0,400000000,True,True,True,True,True
3,7,0,1,400000001,True,True,True,True,True
3,7,0,2,400000002,False,False,False,True,True
3,7,0,3,400000003,True,True,True,True,True
3,7,0,4,400000004,True,True,True,True,True
3,7,0,5,400000005,True,True,True,True,True
3,7,0,6,400000006,True,True,True,True,True
3,7,0,7,400000007,True,True,True,True,True
3,7,0,8,400000008,True,True,True,True,True
3,7,0,9,400000009,True,True,True,True,True
3,7,0,10,400000010,True,True,True,True,True
3,7,0,11,400000011,True,True,True,True,True
3,7,0,12,400000012,True,True,True,True,True
3,7,0,13,400000013,True,True,True,True,True
3,7,0,14,400000014,True,True,True,True,True
3,7,0,15,400000015,True,True,True,True,True
3,7,1,0,400000100,True,True,True,True,True
3,7,1,1,400000101,True,True,True,True,True
3,7,1,2,400000102,True,True,True,True,True
3,7,1,3,400000103,True,True,True,True,True
3,7,1,4,400000104,True,True,True,True,True
3,7,1,5,400000105,True,True,True,True,True
3,7,1,6,400000106,True,True,True,True,True
3,7,1,7,400000107,True,True,True,True,True
3,7,1,8,400000108,True,True,True,True,True
3,7,1,9,400000109,True,True,True,True,True
3,7,1,10,400000110,True,True,True,True,True
3,7,1,11,400000111,True,True,True,True,True
3,7,1,12,400000112,True,True,True,True,True
3,7,1,13,400000113,False,False,False,True,True
3,7,1,14,400000114,True,True,True,True,True
3,7,1,15,400000115,True,True,True,True,True
3,7,2,0,400000200,True,True,True,True,True
3,7,2,1,400000201,True,True,True,True,True
3,7,2,2,400000202,True,True,True,True,True
3,7,2,3,400000203,True,True,True,True,True
3,7,2,4,400000204,True,True,True,True,True
3,7,2,5,400000205,True,True,True,True,True
3,7,2,6,400000206,True,True,True,True,True
3,7,2,7,400000207,True,True,True,True,True
3,7,2,8,400000208,True,True,True,True,True
3,7,2,9,400000209,True,True,True,True,True
3,7,2,10,400000210,True,True,True,True,True
3,7,2,11,400000211,True,True,True,True,True
3,7,2,12,400000212,True,True,True,True,True
3,7,2,13,400000213,False,False,False,True,True
3,7,2,14,400000214,True,True,True,True,True
3,7,2,15,400000215,True,True,True,True,True
3,7,3,0,400000300,True,True,True,True,True
