stage,corpus,contrast,block,denoise,channel,bins,variant,group,auc,n_pos,n_neg,p_marg,p_fwer,note
grid,B,loop_vs_other,front,9,state,5,main,,0.6820809248554913,41,47,,,
grid,B,loop_vs_other,front,9,state,8,main,,0.7052023121387283,41,47,,,
grid,B,loop_vs_other,front,9,state,10,main,,0.6820809248554913,41,47,,,
grid,B,loop_vs_other,front,9,action,3,main,,0.5260115606936416,41,47,,,
grid,B,loop_vs_other,front,9,action,5,main,,0.6011560693641619,41,47,,,
grid,B,loop_vs_other,front,9,action,8,main,,0.5028901734104047,41,47,,,
grid,B,loop_vs_other,front,9,action,10,main,,0.5895953757225434,41,47,,,
grid,B,loop_vs_other,front,9,both,3,main,,0.6647398843930635,41,47,,,
grid,B,loop_vs_other,front,9,both,5,main,,0.6705202312138728,41,47,,,
grid,B,loop_vs_other,front,9,both,8,main,,0.6473988439306358,41,47,,,
grid,B,loop_vs_other,front,9,both,10,main,,0.7052023121387283,41,47,,,
grid,B,loop_vs_other,front,0,state,3,main,,0.7630057803468208,41,47,,,
grid,B,loop_vs_other,front,0,state,5,main,,0.6820809248554913,41,47,,,
grid,B,loop_vs_other,front,0,state,8,main,,0.7052023121387283,41,47,,,
grid,B,loop_vs_other,front,0,state,10,main,,0.6820809248554913,41,47,,,
grid,B,loop_vs_other,front,0,action,3,main,,0.5953757225433526,41,47,,,
grid,B,loop_vs_other,front,0,action,5,main,,0.5895953757225434,41,47,,,
grid,B,loop_vs_other,front,0,action,8,main,,0.49710982658959535,41,47,,,
grid,B,loop_vs_other,front,0,action,10,main,,0.5722543352601156,41,47,,,
grid,B,loop_vs_other,front,0,both,3,main,,0.7456647398843931,41,47,,,
grid,B,loop_vs_other,front,0,both,5,main,,0.7167630057803468,41,47,,,
grid,B,loop_vs_other,front,0,both,8,main,,0.6820809248554913,41,47,,,
grid,B,loop_vs_other,front,0,both,10,main,,0.6936416184971098,41,47,,,
grid,Bstrict,stagnation_vs_loop,back,9,state,3,strict_stag,,1.0,101,43,,,
grid,Bstrict,stagnation_vs_loop,back,9,state,5,strict_stag,,1.0,101,43,,,
grid,Bstrict,stagnation_vs_loop,back,9,state,8,strict_stag,,1.0,101,43,,,
grid,Bstrict,stagnation_vs_loop,back,9,state,10,strict_stag,,1.0,101,43,,,
grid,Bstrict,stagnation_vs_loop,back,9,action,3,strict_stag,,1.0,101,43,,,
grid,Bstrict,stagnation_vs_loop,back,9,action,5,strict_stag,,1.0,101,43,,,
grid,Bstrict,stagnation_vs_loop,back,9,action,8,strict_stag,,1.0,101,43,,,
grid,Bstrict,stagnation_vs_loop,back,9,action,10,strict_stag,,1.0,101,43,,,
grid,Bstrict,stagnation_vs_loop,back,9,both,3,strict_stag,,1.0,101,43,,,
grid,Bstrict,stagnation_vs_loop,back,9,both,5,strict_stag,,1.0,101,43,,,
grid,Bstrict,stagnation_vs_loop,back,9,both,8,strict_stag,,1.0,101,43,,,
grid,Bstrict,stagnation_vs_loop,back,9,both,10,strict_stag,,1.0,101,43,,,
grid,Bstrict,stagnation_vs_loop,back,0,state,3,strict_stag,,1.0,101,43,,,
grid,Bstrict,stagnation_vs_loop,back,0,state,5,strict_stag,,1.0,101,43,,,
grid,Bstrict,stagnation_vs_loop,back,0,state,8,strict_stag,,1.0,101,43,,,
grid,Bstrict,stagnation_vs_loop,back,0,state,10,strict_stag,,1.0,101,43,,,
grid,Bstrict,stagnation_vs_loop,back,0,action,3,strict_stag,,1.0,101,43,,,
grid,Bstrict,stagnation_vs_loop,back,0,action,5,strict_stag,,1.0,101,43,,,
grid,Bstrict,stagnation_vs_loop,back,0,action,8,strict_stag,,1.0,101,43,,,
grid,Bstrict,stagnation_vs_loop,back,0,action,10,strict_stag,,1.0,101,43,,,
grid,Bstrict,stagnation_vs_loop,back,0,both,3,strict_stag,,1.0,101,43,,,
grid,Bstrict,stagnation_vs_loop,back,0,both,5,strict_stag,,1.0,101,43,,,
grid,Bstrict,stagnation_vs_loop,back,0,both,8,strict_stag,,1.0,101,43,,,
grid,Bstrict,stagnation_vs_loop,back,0,both,10,strict_stag,,1.0,101,43,,,
grid,Bstrict,stagnation_vs_loop,front,9,state,3,strict_stag,,1.0,101,43,,,
grid,Bstrict,stagnation_vs_loop,front,9,state,5,strict_stag,,1.0,101,43,,,
grid,Bstrict,stagnation_vs_loop,front,9,state,8,strict_stag,,1.0,101,43,,,
grid,Bstrict,stagnation_vs_loop,front,9,state,10,strict_stag,,1.0,101,43,,,
grid,Bstrict,stagnation_vs_loop,front,9,action,3,strict_stag,,1.0,101,43,,,
grid,Bstrict,stagnation_vs_loop,front,9,action,5,strict_stag,,1.0,101,43,,,
grid,Bstrict,stagnation_vs_loop,front,9,action,8,strict_stag,,1.0,101,43,,,
grid,Bstrict,stagnation_vs_loop,front,9,action,10,strict_stag,,1.0,101,43,,,
grid,Bstrict,stagnation_vs_loop,front,9,both,3,strict_stag,,1.0,101,43,,,
grid,Bstrict,stagnation_vs_loop,front,9,both,5,strict_stag,,1.0,101,43,,,
