cohort,quantity,layer,chunk,alive,alive_risk,prior,auc_pooled,auc_within_suite,auc_within_task
external_8b,size,L2,12,9146,564,0.06166630220861579,0.7442395513618311,0.7538098780926368,0.6254816057668406
external_8b,size,L2,14,5753,564,0.09803580740483227,0.6793578614882273,0.6325488021890565,0.6506213881211466
external_8b,size,L2,16,4793,564,0.11767160442311704,0.5859914403921589,0.3853621807091117,0.6776409005037783
external_8b,size,L2,18,4300,564,0.13116279069767442,0.5861087065469953,0.407543955099937,0.5825436737562175
external_8b,size,L2,20,3995,564,0.1411764705882353,0.6094350426131372,0.5089995508283884,0.5552894999938286
external_8b,size,L2,24,2174,424,0.19503219871205152,0.46273180592991914,0.4754976997072355,0.5089205821661401
external_8b,size,L2,28,769,380,0.494148244473342,0.452259504803139,0.5411208630118964,0.3611936507936508
external_8b,size,L2,32,569,274,0.48154657293497366,0.7065569714215019,0.7065569714215019,0.6001476637485498
external_8b,size,L3,4,15600,564,0.036153846153846154,0.44513191979910155,0.42494574176082067,0.46651681183853144
external_8b,size,L3,6,15600,564,0.036153846153846154,0.4230990422041474,0.40325441481831936,0.48400247676729835
external_8b,size,L3,8,14456,564,0.03901494189263974,0.4619815374122154,0.3904552155675857,0.5318869487498092
external_8b,size,L3,10,11342,564,0.04972667959795451,0.6489986826329969,0.5704320320479133,0.6039353294198668
external_8b,size,L3,12,9146,564,0.06166630220861579,0.7009886683492251,0.6642946684274053,0.5790454884414616
external_8b,size,L3,14,5753,564,0.09803580740483227,0.6387164473675219,0.5993651020754902,0.5950057016950463
external_8b,size,L3,16,4793,564,0.11767160442311704,0.579688288732477,0.4444605413648494,0.6234847292191436
external_8b,size,L3,18,4300,564,0.13116279069767442,0.5787203669111729,0.46320166575306604,0.5631087149868786
external_8b,size,L3,20,3995,564,0.1411764705882353,0.6298264054687032,0.5988199036752554,0.5719522581122947
external_8b,size,L3,24,2174,424,0.19503219871205152,0.3579177897574124,0.3543245503973233,0.49431164514891984
external_8b,size,L3,28,769,380,0.494148244473342,0.3952239209849817,0.4633520645003665,0.36904126984126984
external_8b,size,L3,32,569,274,0.48154657293497366,0.45361870592601755,0.45361870592601755,0.3114914038603523
external_8b,size,L4,4,15600,564,0.036153846153846154,0.4467803866465164,0.43174796954028816,0.503985722164986
external_8b,size,L4,6,15600,564,0.036153846153846154,0.43472238731064355,0.41186040049714817,0.4826678322042188
external_8b,size,L4,8,14456,564,0.03901494189263974,0.4737604733986396,0.46062114611075583,0.5797582455910885
external_8b,size,L4,10,11342,564,0.04972667959795451,0.639008210841891,0.6105910817162292,0.5974321975535368
external_8b,size,L4,12,9146,564,0.06166630220861579,0.6538755865401938,0.6041221082854202,0.5510579791200596
external_8b,size,L4,14,5753,564,0.09803580740483227,0.5856939256392067,0.5042167058634165,0.5940586404839676
external_8b,size,L4,16,4793,564,0.11767160442311704,0.5207034676138583,0.35033072817384675,0.6264168765743073
external_8b,size,L4,18,4300,564,0.13116279069767442,0.5135161814509392,0.3691205707413256,0.5377773873705709
external_8b,size,L4,20,3995,564,0.1411764705882353,0.5757915418658828,0.5096883522708956,0.5741863019785483
external_8b,size,L4,24,2174,424,0.19503219871205152,0.31913611859838276,0.33502300292764536,0.5505560526652179
external_8b,size,L4,28,769,380,0.494148244473342,0.2997564605601407,0.3963521208818057,0.31344761904761903
external_8b,size,L4,32,569,274,0.48154657293497366,0.5619571941110973,0.5619571941110973,0.4453907815631262
external_8b,size,L5,4,15600,564,0.036153846153846154,0.44120128240685713,0.4170426255730909,0.4826834420821496
external_8b,size,L5,6,15600,564,0.036153846153846154,0.4029157445299131,0.38822943537637195,0.4815283111152737
external_8b,size,L5,8,14456,564,0.03901494189263974,0.41176257369413083,0.39885032622631367,0.5551086695877749
external_8b,size,L5,10,11342,564,0.04972667959795451,0.6338190219372534,0.567399032216482,0.6195192339225396
external_8b,size,L5,12,9146,564,0.06166630220861579,0.6920325156892787,0.6758069283217317,0.5275447427293065
external_8b,size,L5,14,5753,564,0.09803580740483227,0.630046648051183,0.5919457385830151,0.524275691451323
external_8b,size,L5,16,4793,564,0.11767160442311704,0.5514226323141966,0.39301944338543654,0.5433721662468514
external_8b,size,L5,18,4300,564,0.13116279069767442,0.5335678732516288,0.43751176090389193,0.5214059051530091
external_8b,size,L5,20,3995,564,0.1411764705882353,0.5893501264027815,0.5881934489717409,0.5207667337291253
external_8b,size,L5,24,2174,424,0.19503219871205152,0.40354851752021564,0.3974215809284818,0.5717937948540018
external_8b,size,L5,28,769,380,0.494148244473342,0.43008388580706264,0.4982333815707869,0.433015873015873
external_8b,size,L5,32,569,274,0.48154657293497366,0.45700853643449213,0.45700853643449213,0.2964086066870583
external_8b,size,L12,4,15600,564,0.036153846153846154,0.4016841849065788,0.4168323514281745,0.5027265253452384
external_8b,size,L12,6,15600,564,0.036153846153846154,0.371234686869716,0.3632861342975905,0.4783751157732613
external_8b,size,L12,8,14456,564,0.03901494189263974,0.37473210256221756,0.3574112273095312,0.5243770845595448
external_8b,size,L12,10,11342,564,0.04972667959795451,0.48511513471755574,0.39540426776666104,0.5962155248745614
external_8b,size,L12,12,9146,564,0.06166630220861579,0.547695696584142,0.46116960017937403,0.5369904300273428
external_8b,size,L12,14,5753,564,0.09803580740483227,0.5991937390743376,0.5028346850995716,0.5558959392334603
external_8b,size,L12,16,4793,564,0.11767160442311704,0.5377585365485528,0.35201391536408694,0.5857013539042821
external_8b,size,L12,18,4300,564,0.13116279069767442,0.45812593967834525,0.26220679555253745,0.4845892855182107
external_8b,size,L12,20,3995,564,0.1411764705882353,0.4570494097413859,0.31915469771180377,0.4573001394734568
external_8b,size,L12,24,2174,424,0.19503219871205152,0.31516172506738543,0.2595922208281054,0.41135114406238016
external_8b,size,L12,28,769,380,0.494148244473342,0.45658232986064134,0.448946606777049,0.3473777777777778
external_8b,size,L12,32,569,274,0.48154657293497366,0.40478782630211557,0.40478782630211557,0.22476532011391204
external_8b,size,L13,4,15600,564,0.036153846153846154,0.4294830704182303,0.4508188488241545,0.4955615913750221
external_8b,size,L13,6,15600,564,0.036153846153846154,0.37788209007601614,0.38152319211171565,0.4776622646810902
external_8b,size,L13,8,14456,564,0.03901494189263974,0.406834486096391,0.39932072465378177,0.5618446580777363
external_8b,size,L13,10,11342,564,0.04972667959795451,0.5305692315183674,0.4086195698519569,0.608893844488899
external_8b,size,L13,12,9146,564,0.06166630220861579,0.5556754529933177,0.4502346276314621,0.5337590106885409
external_8b,size,L13,14,5753,564,0.09803580740483227,0.5941284687056225,0.48105500362160086,0.511442045652216
external_8b,size,L13,16,4793,564,0.11767160442311704,0.5468176924276651,0.3498641822340831,0.5634544238035264
external_8b,size,L13,18,4300,564,0.13116279069767442,0.48481209280605037,0.269572189450776,0.5273022739999781
external_8b,size,L13,20,3995,564,0.1411764705882353,0.494852936616705,0.32041194839469506,0.5073007566126464
external_8b,size,L13,24,2174,424,0.19503219871205152,0.3325754716981132,0.26836679213718106,0.41710341301291065
external_8b,size,L13,28,769,380,0.494148244473342,0.5054458124746313,0.48769944934127685,0.4132571428571429
external_8b,size,L13,32,569,274,0.48154657293497366,0.4060868489422244,0.4060868489422244,0.2462293007066765
external_8b,size,L14,4,15600,564,0.036153846153846154,0.4113873747922244,0.42493917069379206,0.5006243951172302
external_8b,size,L14,6,15600,564,0.036153846153846154,0.3866111403553458,0.39816676617139596,0.4900252880022478
external_8b,size,L14,8,14456,564,0.03901494189263974,0.39130256099229516,0.3921091164216091,0.5447485448956902
external_8b,size,L14,10,11342,564,0.04972667959795451,0.4775743272676545,0.37574864401233526,0.5745580953005608
external_8b,size,L14,12,9146,564,0.06166630220861579,0.502851093580329,0.3869681567426143,0.5002485707183694
external_8b,size,L14,14,5753,564,0.09803580740483227,0.5486182582085125,0.4397267256257321,0.5363845455072576
external_8b,size,L14,16,4793,564,0.11767160442311704,0.5030727549896108,0.3251248570339306,0.5501908847607053
external_8b,size,L14,18,4300,564,0.13116279069767442,0.4344650287788358,0.2520106032218741,0.4414151285232725
external_8b,size,L14,20,3995,564,0.1411764705882353,0.4302717608124505,0.31722691333137043,0.44259988397783234
external_8b,size,L14,24,2174,424,0.19503219871205152,0.2792735849056604,0.24850062735257214,0.4092511093661547
external_8b,size,L14,28,769,380,0.494148244473342,0.4502705993776214,0.4508071942716458,0.3390984126984127
