experiment,unit,event,leg,signal,lead,effect,ci_lo,ci_hi,p_maxT,n_groups,n_groups_pos,n_groups_neg,n_events_used,n_pairs
E2,U2_grid_S8,loop,raw,D_tok,-1,0.19588,0.014386,0.377374,0.278361,19,13,5,52,161
E2,U2_grid_S8,loop,raw,D_tok,0,0.259496,0.123215,0.395777,0.042479,18,14,4,51,159
E2,U2_grid_S8,loop,raw,D_tok,1,0.209848,0.041793,0.377904,0.191404,18,13,4,51,155
E2,U2_grid_S8,loop,raw,D_tok,2,0.244597,0.078749,0.410446,0.074963,17,14,2,49,143
E2,U2_grid_S8,loop,raw,C,-4,-0.235552,-0.375141,-0.095963,0.094953,20,3,17,56,175
E2,U2_grid_S8,loop,raw,C,-3,-0.27369,-0.423826,-0.123555,0.024988,20,3,16,55,168
E2,U2_grid_S8,loop,raw,C,-2,-0.175496,-0.359649,0.008658,0.448276,19,4,15,54,166
E2,U2_grid_S8,loop,raw,C,-1,-0.200665,-0.38264,-0.01869,0.247876,19,5,13,52,161
E2,U2_grid_S8,loop,raw,C,0,-0.262274,-0.40392,-0.120627,0.03948,18,3,14,51,159
E2,U2_grid_S8,loop,raw,C,1,-0.204293,-0.379886,-0.028699,0.221389,18,4,13,51,155
E2,U2_grid_S8,loop,raw,C,2,-0.249499,-0.417093,-0.081906,0.062969,17,2,14,49,143
E2,U2_grid_S8,loop,raw,S_ent,-4,-0.220271,-0.382038,-0.058503,0.138931,20,5,15,56,175
E2,U2_grid_S8,loop,raw,S_ent,-3,-0.260693,-0.422478,-0.098907,0.04098,20,4,15,55,168
E2,U2_grid_S8,loop,raw,S_ent,-2,-0.207371,-0.381518,-0.033224,0.205897,19,4,15,54,166
E2,U2_grid_S8,loop,raw,S_ent,-1,-0.211734,-0.389255,-0.034213,0.183408,19,4,15,52,161
E2,U2_grid_S8,loop,raw,S_ent,0,-0.237759,-0.392588,-0.082929,0.089455,18,2,16,51,159
E2,U2_grid_S8,loop,raw,S_ent,1,-0.186568,-0.333829,-0.039307,0.342829,18,4,12,51,155
E2,U2_grid_S8,loop,raw,S_ent,2,-0.205505,-0.376197,-0.034812,0.213393,17,3,13,49,143
E2,U2_grid_S8,loop,raw,S_margin,-4,0.107992,-0.024337,0.240321,0.970515,20,12,5,56,175
E2,U2_grid_S8,loop,raw,S_margin,-3,0.194838,0.072577,0.317098,0.287356,20,15,5,55,168
E2,U2_grid_S8,loop,raw,S_margin,-2,0.190932,0.068164,0.313699,0.315342,19,14,4,54,166
E2,U2_grid_S8,loop,raw,S_margin,-1,0.215767,0.039391,0.392142,0.16042,19,15,4,52,161
E2,U2_grid_S8,loop,raw,S_margin,0,0.205772,0.064426,0.347118,0.210395,18,13,4,51,159
E2,U2_grid_S8,loop,raw,S_margin,1,0.116065,-0.056404,0.288535,0.943028,18,12,5,51,155
E2,U2_grid_S8,loop,raw,S_margin,2,0.251163,0.110973,0.391353,0.056472,17,14,2,49,143
E2,U2_grid_S8,loop,raw,V,-4,0.213409,0.056023,0.370795,0.171414,20,15,5,56,175
E2,U2_grid_S8,loop,raw,V,-3,0.30369,0.154573,0.452808,0.009495,20,16,4,55,168
E2,U2_grid_S8,loop,raw,V,-2,0.192082,0.001092,0.383073,0.309345,19,14,5,54,166
E2,U2_grid_S8,loop,raw,V,-1,0.246093,0.068676,0.423509,0.072964,19,14,5,52,161
E2,U2_grid_S8,loop,raw,V,0,0.19592,0.036368,0.355471,0.277861,18,13,4,51,159
E2,U2_grid_S8,loop,raw,V,1,0.179097,0.024936,0.333257,0.408796,18,14,3,51,155
E2,U2_grid_S8,loop,raw,V,2,0.192844,0.057741,0.327947,0.305347,17,13,2,49,143
E2,U2_grid_S8,loop,raw,A,-4,0.244481,0.075779,0.413182,0.074963,20,16,4,56,175
E2,U2_grid_S8,loop,raw,A,-3,0.334167,0.180635,0.487698,0.001499,20,17,3,55,168
E2,U2_grid_S8,loop,raw,A,-2,0.190226,-0.001713,0.382164,0.32084,19,14,5,54,166
E2,U2_grid_S8,loop,raw,A,-1,0.244737,0.077257,0.412217,0.074463,19,14,4,52,161
