direction,event_kind,horizon,predicted_probability,observed_probability,target_events,target_support,absolute_calibration_error
B_to_A,loop,0,0.059322033898,0.034482758620689655,1,29,0.024839275277310342
B_to_A,loop,0,0.088235294118,0.0625,3,48,0.025735294118000004
B_to_A,loop,0,0.131944444444,0.14634146341463414,6,41,0.01439701897063414
B_to_A,loop,2,0.00227032735,0.02560791908758339,119,4647,0.023337591737583388
B_to_A,loop,2,0.005980528512,0.08148148148148149,121,1485,0.07550095296948149
B_to_A,loop,2,0.01629889669,0.15971515768056968,157,983,0.14341626099056967
B_to_A,loop,2,0.036585365854,0.0,0,7,0.036585365854
B_to_A,loop,2,0.039473684211,0.18181818181818182,2,11,0.14234449760718182
B_to_A,loop,2,0.045454545455,0.11627906976744186,10,86,0.07082452431244185
B_to_A,loop,2,0.048076923077,0.21875,7,32,0.170673076923
B_to_A,loop,2,0.054383116883,0.18461538461538463,60,325,0.1302322677323846
B_to_A,loop,2,0.1375,0.07692307692307693,2,26,0.060576923076923084
B_to_A,loop,2,0.145833333333,0.21951219512195122,9,41,0.07367886178895122
B_to_A,loop,2,0.194915254237,0.2413793103448276,7,29,0.046464056107827584
B_to_A,loop,2,0.264705882353,0.14583333333333334,7,48,0.11887254901966668
B_to_A,loop,2,0.344444444444,0.13043478260869565,3,23,0.21400966183530437
B_to_A,loop,2,0.390625,0.2,3,15,0.190625
B_to_A,loop,4,0.00586061246,0.04970948999354422,231,4647,0.043848877533544224
B_to_A,loop,4,0.011265646732,0.15151515151515152,225,1485,0.1402495047831515
B_to_A,loop,4,0.027833500502,0.2441505595116989,240,983,0.2163170590096989
B_to_A,loop,4,0.067307692308,0.21875,7,32,0.151442307692
B_to_A,loop,4,0.07711038961,0.24,78,325,0.16288961039
B_to_A,loop,4,0.085365853659,0.14285714285714285,1,7,0.05749128919814285
B_to_A,loop,4,0.092105263158,0.2727272727272727,3,11,0.1806220095692727
B_to_A,loop,4,0.118181818182,0.20930232558139536,18,86,0.09112050739939535
B_to_A,loop,4,0.1375,0.15384615384615385,4,26,0.016346153846153844
B_to_A,loop,4,0.145833333333,0.21951219512195122,9,41,0.07367886178895122
B_to_A,loop,4,0.245762711864,0.27586206896551724,8,29,0.030099357101517232
B_to_A,loop,4,0.303921568627,0.14583333333333334,7,48,0.15808823529366664
B_to_A,loop,4,0.433333333333,0.17391304347826086,4,23,0.25942028985473914
B_to_A,loop,4,0.453125,0.2,3,15,0.253125
B_to_A,static,0,6.0856865e-05,0.0009279665932026447,8,8621,0.0008671097282026447
B_to_A,static,0,0.006734434562,0.01111699311805188,21,1889,0.00438255855605188
B_to_A,static,0,0.008620689655,0.13333333333333333,2,15,0.12471264367833333
B_to_A,static,0,0.009615384615,0.08333333333333333,1,12,0.07371794871833333
B_to_A,static,0,0.00987862441,0.09523809523809523,2,21,0.08535947082809524
B_to_A,static,0,0.011111111111,0.0,0,13,0.011111111111
B_to_A,static,0,0.03529079616,0.0216998191681736,12,553,0.0135909769918264
B_to_A,static,0,0.035714285714,0.0,0,37,0.035714285714
B_to_A,static,0,0.056792873051,0.03731343283582089,5,134,0.019479440215179104
B_to_A,static,0,0.120967741935,0.08695652173913043,2,23,0.034011220195869565
B_to_A,static,0,0.132352941176,0.0,0,11,0.132352941176
B_to_A,static,0,0.329268292683,0.0625,1,16,0.266768292683
B_to_A,static,2,6.0856865e-05,0.0026679039554576033,23,8621,0.002607047090457603
B_to_A,static,2,0.011111111111,0.15384615384615385,2,13,0.14273504273515386
B_to_A,static,2,0.021219822109,0.03811540497617787,72,1889,0.016895582867177874
B_to_A,static,2,0.029568442347,0.14285714285714285,3,21,0.11328870051014285
