direction,horizon,score_bin,score_low,score_high,persistence,raw_events,raw_support,mapping_level,mapped_events,mapped_support,posterior_mean,ci_low,ci_high
A_to_B,4,2,0.75,0.9,3,0,0,score_bin_backoff,1329,2502,0.531162604874151,0.5147445356726121,0.5475523557248263
A_to_B,4,3,0.9,0.95,0,575,905,score_bin_x_persistence,575,905,0.6352097130242825,0.6087480981234424,0.6613317561407402
A_to_B,4,3,0.9,0.95,1,0,0,score_bin_backoff,575,905,0.6352097130242825,0.6087480981234424,0.6613317561407402
A_to_B,4,3,0.9,0.95,2,0,0,score_bin_backoff,575,905,0.6352097130242825,0.6087480981234424,0.6613317561407402
A_to_B,4,3,0.9,0.95,3,0,0,score_bin_backoff,575,905,0.6352097130242825,0.6087480981234424,0.6613317561407402
A_to_B,4,4,0.95,0.975,0,0,0,score_bin_backoff,318,486,0.6540041067761807,0.6182229657197593,0.6890653596429911
A_to_B,4,4,0.95,0.975,1,151,243,score_bin_x_persistence,151,243,0.6209016393442623,0.5693445272915327,0.6713295366656786
A_to_B,4,4,0.95,0.975,2,76,113,score_bin_x_persistence,76,113,0.6710526315789473,0.5972707854162682,0.7414071904089272
A_to_B,4,4,0.95,0.975,3,91,130,score_bin_x_persistence,91,130,0.6984732824427481,0.6310517801890397,0.7624364337738326
A_to_B,4,5,0.975,0.99,0,0,0,score_bin_backoff,184,294,0.6254237288135593,0.5786590016351241,0.6712198889442922
A_to_B,4,5,0.975,0.99,1,18,47,score_bin_x_persistence,18,47,0.3854166666666667,0.2737086402297995,0.5026116823858755
A_to_B,4,5,0.975,0.99,2,33,63,score_bin_x_persistence,33,63,0.5234375,0.42101685062907773,0.6250184394741868
A_to_B,4,5,0.975,0.99,3,133,184,score_bin_x_persistence,133,184,0.7216216216216216,0.666213317708533,0.7742985893873021
A_to_B,4,6,0.99,0.995,0,0,0,score_bin_backoff,62,98,0.6313131313131313,0.5504145018144653,0.7091796599104847
A_to_B,4,6,0.99,0.995,1,5,11,score_bin_backoff,62,98,0.6313131313131313,0.5504145018144653,0.7091796599104847
A_to_B,4,6,0.99,0.995,2,10,22,score_bin_backoff,62,98,0.6313131313131313,0.5504145018144653,0.7091796599104847
A_to_B,4,6,0.99,0.995,3,47,65,score_bin_x_persistence,47,65,0.7196969696969697,0.6256928663414489,0.8060765739610632
A_to_B,4,7,0.995,1.0000001,0,0,0,score_bin_backoff,66,103,0.6394230769230769,0.5607926802412847,0.7149897139241166
A_to_B,4,7,0.995,1.0000001,1,0,1,score_bin_backoff,66,103,0.6394230769230769,0.5607926802412847,0.7149897139241166
A_to_B,4,7,0.995,1.0000001,2,7,21,score_bin_backoff,66,103,0.6394230769230769,0.5607926802412847,0.7149897139241166
A_to_B,4,7,0.995,1.0000001,3,59,81,score_bin_x_persistence,59,81,0.725609756097561,0.641955221601212,0.8029712853955498
B_to_A,0,0,0.0,0.5,0,107,5166,score_bin_x_persistence,107,5166,0.020805109347784016,0.017648100861990923,0.02417293928453362
B_to_A,0,0,0.0,0.5,1,0,0,score_bin_backoff,107,5166,0.020805109347784016,0.017648100861990923,0.02417293928453362
B_to_A,0,0,0.0,0.5,2,0,0,score_bin_backoff,107,5166,0.020805109347784016,0.017648100861990923,0.02417293928453362
B_to_A,0,0,0.0,0.5,3,0,0,score_bin_backoff,107,5166,0.020805109347784016,0.017648100861990923,0.02417293928453362
B_to_A,0,1,0.5,0.75,0,323,4695,score_bin_x_persistence,323,4695,0.06888841567291312,0.06291606830155598,0.07506952675363847
B_to_A,0,1,0.5,0.75,1,0,0,score_bin_backoff,323,4695,0.06888841567291312,0.06291606830155598,0.07506952675363847
B_to_A,0,1,0.5,0.75,2,0,0,score_bin_backoff,323,4695,0.06888841567291312,0.06291606830155598,0.07506952675363847
B_to_A,0,1,0.5,0.75,3,0,0,score_bin_backoff,323,4695,0.06888841567291312,0.06291606830155598,0.07506952675363847
B_to_A,0,2,0.75,0.9,0,977,3949,score_bin_x_persistence,977,3949,0.24746835443037973,0.23624866019502497,0.2588334510258747
B_to_A,0,2,0.75,0.9,1,0,0,score_bin_backoff,977,3949,0.24746835443037973,0.23624866019502497,0.2588334510258747
B_to_A,0,2,0.75,0.9,2,0,0,score_bin_backoff,977,3949,0.24746835443037973,0.23624866019502497,0.2588334510258747
B_to_A,0,2,0.75,0.9,3,0,0,score_bin_backoff,977,3949,0.24746835443037973,0.23624866019502497,0.2588334510258747
B_to_A,0,3,0.9,0.95,0,565,1471,score_bin_x_persistence,565,1471,0.3841711956521739,0.363414257306869,0.4051071393008038
B_to_A,0,3,0.9,0.95,1,0,0,score_bin_backoff,565,1471,0.3841711956521739,0.363414257306869,0.4051071393008038
B_to_A,0,3,0.9,0.95,2,0,0,score_bin_backoff,565,1471,0.3841711956521739,0.363414257306869,0.4051071393008038
B_to_A,0,3,0.9,0.95,3,0,0,score_bin_backoff,565,1471,0.3841711956521739,0.363414257306869,0.4051071393008038
B_to_A,0,4,0.95,0.975,0,0,0,score_bin_backoff,287,744,0.3859060402684564,0.3567616904902208,0.4153989001207842
B_to_A,0,4,0.95,0.975,1,77,358,score_bin_x_persistence,77,358,0.21587743732590528,0.18112639404766673,0.25243040998849997
B_to_A,0,4,0.95,0.975,2,36,133,score_bin_x_persistence,36,133,0.27238805970149255,0.21132814434162397,0.33732446260790466
B_to_A,0,4,0.95,0.975,3,174,253,score_bin_x_persistence,174,253,0.687007874015748,0.6384057290043437,0.7339324283171595
B_to_A,0,5,0.975,0.99,0,0,0,score_bin_backoff,174,425,0.4096244131455399,0.3707162839851533,0.4490155841314059
B_to_A,0,5,0.975,0.99,1,13,86,score_bin_x_persistence,13,86,0.15517241379310345,0.09647413455054844,0.2229176651803447
B_to_A,0,5,0.975,0.99,2,26,116,score_bin_x_persistence,26,116,0.2264957264957265,0.16585672521489037,0.29247064248878646
B_to_A,0,5,0.975,0.99,3,135,223,score_bin_x_persistence,135,223,0.6049107142857143,0.5507571295345716,0.6579967307896706
B_to_A,0,6,0.99,0.995,0,0,0,score_bin_backoff,86,146,0.5884353741496599,0.5211867718501331,0.654310970202908
B_to_A,0,6,0.99,0.995,1,0,8,score_bin_backoff,86,146,0.5884353741496599,0.5211867718501331,0.654310970202908
B_to_A,0,6,0.99,0.995,2,6,26,score_bin_backoff,86,146,0.5884353741496599,0.5211867718501331,0.654310970202908
B_to_A,0,6,0.99,0.995,3,80,112,score_bin_x_persistence,80,112,0.7123893805309734,0.6405323233224733,0.7799538317533028
B_to_A,0,7,0.995,1.0000001,0,0,0,score_bin_backoff,93,143,0.6493055555555556,0.582929044178542,0.7133157900178456
B_to_A,0,7,0.995,1.0000001,1,0,1,score_bin_backoff,93,143,0.6493055555555556,0.582929044178542,0.7133157900178456
B_to_A,0,7,0.995,1.0000001,2,3,15,score_bin_backoff,93,143,0.6493055555555556,0.582929044178542,0.7133157900178456
B_to_A,0,7,0.995,1.0000001,3,90,127,score_bin_x_persistence,90,127,0.70703125,0.6392882337732169,0.771082051046243
B_to_A,2,0,0.0,0.5,0,117,5166,score_bin_x_persistence,117,5166,0.022740468356880202,0.019437722685511426,0.026253193075334986
B_to_A,2,0,0.0,0.5,1,0,0,score_bin_backoff,117,5166,0.022740468356880202,0.019437722685511426,0.026253193075334986
B_to_A,2,0,0.0,0.5,2,0,0,score_bin_backoff,117,5166,0.022740468356880202,0.019437722685511426,0.026253193075334986
B_to_A,2,0,0.0,0.5,3,0,0,score_bin_backoff,117,5166,0.022740468356880202,0.019437722685511426,0.026253193075334986
B_to_A,2,1,0.5,0.75,0,375,4695,score_bin_x_persistence,375,4695,0.07996166950596252,0.0735551583786366,0.08657158686346282
B_to_A,2,1,0.5,0.75,1,0,0,score_bin_backoff,375,4695,0.07996166950596252,0.0735551583786366,0.08657158686346282
B_to_A,2,1,0.5,0.75,2,0,0,score_bin_backoff,375,4695,0.07996166950596252,0.0735551583786366,0.08657158686346282
B_to_A,2,1,0.5,0.75,3,0,0,score_bin_backoff,375,4695,0.07996166950596252,0.0735551583786366,0.08657158686346282
B_to_A,2,2,0.75,0.9,0,1121,3949,score_bin_x_persistence,1121,3949,0.2839240506329114,0.2721871154690167,0.29578539851038116
B_to_A,2,2,0.75,0.9,1,0,0,score_bin_backoff,1121,3949,0.2839240506329114,0.2721871154690167,0.29578539851038116
B_to_A,2,2,0.75,0.9,2,0,0,score_bin_backoff,1121,3949,0.2839240506329114,0.2721871154690167,0.29578539851038116
B_to_A,2,2,0.75,0.9,3,0,0,score_bin_backoff,1121,3949,0.2839240506329114,0.2721871154690167,0.29578539851038116
B_to_A,2,3,0.9,0.95,0,634,1471,score_bin_x_persistence,634,1471,0.4310461956521739,0.4098746003942591,0.452324354770417
B_to_A,2,3,0.9,0.95,1,0,0,score_bin_backoff,634,1471,0.4310461956521739,0.4098746003942591,0.452324354770417
B_to_A,2,3,0.9,0.95,2,0,0,score_bin_backoff,634,1471,0.4310461956521739,0.4098746003942591,0.452324354770417
B_to_A,2,3,0.9,0.95,3,0,0,score_bin_backoff,634,1471,0.4310461956521739,0.4098746003942591,0.452324354770417
B_to_A,2,4,0.95,0.975,0,0,0,score_bin_backoff,328,744,0.44093959731543625,0.41112676014504035,0.4709328418477474
B_to_A,2,4,0.95,0.975,1,96,358,score_bin_x_persistence,96,358,0.26880222841225626,0.23110810861001513,0.30796280773173157
B_to_A,2,4,0.95,0.975,2,49,133,score_bin_x_persistence,49,133,0.3694029850746269,0.30217145445192695,0.4388594280984695
B_to_A,2,4,0.95,0.975,3,183,253,score_bin_x_persistence,183,253,0.7224409448818898,0.6753266635632016,0.7675599216947612
B_to_A,2,5,0.975,0.99,0,0,0,score_bin_backoff,219,425,0.5152582159624414,0.4754292265440133,0.55500565149263
B_to_A,2,5,0.975,0.99,1,18,86,score_bin_x_persistence,18,86,0.21264367816091953,0.14480841131791097,0.2880264286879796
B_to_A,2,5,0.975,0.99,2,43,116,score_bin_x_persistence,43,116,0.3717948717948718,0.2998444761248194,0.4462481942829518
B_to_A,2,5,0.975,0.99,3,158,223,score_bin_x_persistence,158,223,0.7075892857142857,0.6566598001743278,0.7564066861770603
B_to_A,2,6,0.99,0.995,0,0,0,score_bin_backoff,105,146,0.717687074829932,0.655155097661611,0.7768403762105639
B_to_A,2,6,0.99,0.995,1,0,8,score_bin_backoff,105,146,0.717687074829932,0.655155097661611,0.7768403762105639
B_to_A,2,6,0.99,0.995,2,11,26,score_bin_backoff,105,146,0.717687074829932,0.655155097661611,0.7768403762105639
B_to_A,2,6,0.99,0.995,3,94,112,score_bin_x_persistence,94,112,0.8362831858407079,0.7760488829661223,0.8897291422234803
B_to_A,2,7,0.995,1.0000001,0,0,0,score_bin_backoff,99,143,0.6909722222222222,0.6263431659197527,0.7525749866487306
B_to_A,2,7,0.995,1.0000001,1,0,1,score_bin_backoff,99,143,0.6909722222222222,0.6263431659197527,0.7525749866487306
B_to_A,2,7,0.995,1.0000001,2,4,15,score_bin_backoff,99,143,0.6909722222222222,0.6263431659197527,0.7525749866487306
B_to_A,2,7,0.995,1.0000001,3,95,127,score_bin_x_persistence,95,127,0.74609375,0.6809076019074861,0.8068919062679007
B_to_A,4,0,0.0,0.5,0,140,5166,score_bin_x_persistence,140,5166,0.027191794077801434,0.023577328941617806,0.031014295590356733
B_to_A,4,0,0.0,0.5,1,0,0,score_bin_backoff,140,5166,0.027191794077801434,0.023577328941617806,0.031014295590356733
B_to_A,4,0,0.0,0.5,2,0,0,score_bin_backoff,140,5166,0.027191794077801434,0.023577328941617806,0.031014295590356733
B_to_A,4,0,0.0,0.5,3,0,0,score_bin_backoff,140,5166,0.027191794077801434,0.023577328941617806,0.031014295590356733
B_to_A,4,1,0.5,0.75,0,511,4695,score_bin_x_persistence,511,4695,0.10892248722316865,0.10154115643061078,0.11649320697604136
B_to_A,4,1,0.5,0.75,1,0,0,score_bin_backoff,511,4695,0.10892248722316865,0.10154115643061078,0.11649320697604136
B_to_A,4,1,0.5,0.75,2,0,0,score_bin_backoff,511,4695,0.10892248722316865,0.10154115643061078,0.11649320697604136
B_to_A,4,1,0.5,0.75,3,0,0,score_bin_backoff,511,4695,0.10892248722316865,0.10154115643061078,0.11649320697604136
