dataset,key,family,query,layer_group,metric,denoise_step,feature_kind,failure_mean,success_mean,adjusted_difference,residual_sd,effect_sigma,effect_ci95_low,effect_ci95_high,permutation_p_raw,permutation_p_max_family,permutation_p_max_global
rolling_star,q1|action|back_12_15|entropy|d8,q1_level,1,back_12_15,entropy,8,level,0.9980996251106262,0.9982318878173828,-1.8324315421393977e-07,6.609204357126666e-05,-0.002772544837660372,,,0.9905047476261869,1.0,1.0
rolling_star,q1|action|back_12_15|entropy|d9,q1_level,1,back_12_15,entropy,9,level,0.9976330399513245,0.9977840185165405,-1.853818346740334e-06,9.357765771296969e-05,-0.01981048032241352,,,0.9185407296351824,1.0,1.0
rolling_star,q1|action|back_12_15|top1|d0,q1_level,1,back_12_15,top1,0,level,0.03559122234582901,0.03562593460083008,3.252186339878479e-06,0.0002858723743595208,0.011376357534248628,,,0.9540229885057471,1.0,1.0
rolling_star,q1|action|back_12_15|top1|d1,q1_level,1,back_12_15,top1,1,level,0.03569747135043144,0.03571511059999466,9.073336033304786e-07,0.0002943031357179969,0.003082989928452177,,,0.9830084957521239,1.0,1.0
rolling_star,q1|action|back_12_15|top1|d2,q1_level,1,back_12_15,top1,2,level,0.035881154239177704,0.03586174175143242,-7.617649189226187e-06,0.00028957670713690865,-0.026306153089946722,,,0.9030484757621189,1.0,1.0
rolling_star,q1|action|back_12_15|top1|d3,q1_level,1,back_12_15,top1,3,level,0.036130160093307495,0.036060020327568054,6.422005008486932e-06,0.00029479492881885584,0.02178465224696282,,,0.9145427286356822,1.0,1.0
rolling_star,q1|action|back_12_15|top1|d4,q1_level,1,back_12_15,top1,4,level,0.03647671267390251,0.036349326372146606,2.995334296722574e-05,0.0002873756121620001,0.10423063648957229,,,0.5997001499250375,1.0,1.0
rolling_star,q1|action|back_12_15|top1|d5,q1_level,1,back_12_15,top1,5,level,0.03682708367705345,0.036658383905887604,5.2716464373716124e-05,0.0002657948884580497,0.1983351323253018,,,0.3148425787106447,1.0,1.0
rolling_star,q1|action|back_12_15|top1|d6,q1_level,1,back_12_15,top1,6,level,0.03732527792453766,0.037159692496061325,5.8933815695424494e-05,0.0002898284486344651,0.20334034140917784,,,0.2933533233383308,1.0,1.0
rolling_star,q1|action|back_12_15|top1|d7,q1_level,1,back_12_15,top1,7,level,0.03792628273367882,0.037792108952999115,7.705424463419904e-05,0.000301352110663285,0.255695055410763,,,0.17091454272863568,0.9970014992503748,1.0
rolling_star,q1|action|back_12_15|top1|d8,q1_level,1,back_12_15,top1,8,level,0.03880743309855461,0.03868071734905243,6.266241999948101e-05,0.0003384919438500021,0.18512233788124946,,,0.3193403298350825,1.0,1.0
rolling_star,q1|action|back_12_15|top1|d9,q1_level,1,back_12_15,top1,9,level,0.03986614942550659,0.039723724126815796,4.3257762482211846e-05,0.00039734989748223113,0.10886566916541426,,,0.55872063968016,1.0,1.0
rolling_star,q1|action|back_12_15|top4|d0,q1_level,1,back_12_15,top4,0,level,0.13804610073566437,0.13813407719135284,9.916548769438595e-06,0.0006025262373455093,0.016458285390403844,,,0.9385307346326837,1.0,1.0
rolling_star,q1|action|back_12_15|top4|d1,q1_level,1,back_12_15,top4,1,level,0.1383385807275772,0.13834601640701294,3.731788596782968e-05,0.0005982756682032129,0.06237573739193773,,,0.7481259370314842,1.0,1.0
rolling_star,q1|action|back_12_15|top4|d2,q1_level,1,back_12_15,top4,2,level,0.1389021873474121,0.1387854516506195,3.4980206985635616e-05,0.0005845909417885998,0.05983706637432844,,,0.7706146926536732,1.0,1.0
rolling_star,q1|action|back_12_15|top4|d3,q1_level,1,back_12_15,top4,3,level,0.13964731991291046,0.1393662989139557,5.956930592814322e-05,0.0005784126154087986,0.10298756344731874,,,0.6191904047976012,1.0,1.0
rolling_star,q1|action|back_12_15|top4|d4,q1_level,1,back_12_15,top4,4,level,0.14065855741500854,0.14018303155899048,9.468678709301473e-05,0.0005727697069723429,0.16531388783378315,,,0.4197901049475262,1.0,1.0
rolling_star,q1|action|back_12_15|top4|d5,q1_level,1,back_12_15,top4,5,level,0.1417548805475235,0.14110252261161804,0.00012107282054398977,0.0005327796994705484,0.22724743578688583,,,0.27786106946526734,1.0,1.0
