dataset,key,family,query,layer_group,metric,denoise_step,feature_kind,failure_mean,success_mean,adjusted_difference,residual_sd,effect_sigma,effect_ci95_low,effect_ci95_high,permutation_p_raw,permutation_p_max_family,permutation_p_max_global
right16x32_pooled,q2|action|back_12_15|top1|d1,q2_level,2,back_12_15,top1,1,level,0.03579537197947502,0.037281960248947144,-3.562731129490085e-05,0.00031476029075909424,-0.11318871007832644,,,0.15792103948025987,0.9970014992503748,1.0
right16x32_pooled,q2|action|back_12_15|top1|d2,q2_level,2,back_12_15,top1,2,level,0.03593630716204643,0.03749455139040947,-3.836816730398483e-05,0.0003129257999687405,-0.12261107044487093,,,0.12893553223388307,0.9890054972513743,1.0
right16x32_pooled,q2|action|back_12_15|top1|d3,q2_level,2,back_12_15,top1,3,level,0.036127977073192596,0.03777692839503288,-4.27352291589684e-05,0.0003157947908769879,-0.13532594708192996,,,0.10044977511244378,0.9585207396301849,1.0
right16x32_pooled,q2|action|back_12_15|top1|d4,q2_level,2,back_12_15,top1,4,level,0.036357756704092026,0.03808978572487831,-3.0221750706316142e-05,0.0003203369300436293,-0.09434363594044556,,,0.24687656171914044,1.0,1.0
right16x32_pooled,q2|action|back_12_15|top1|d5,q2_level,2,back_12_15,top1,5,level,0.036651842296123505,0.03849772363901138,-2.7548434161132045e-05,0.0003273802342012026,-0.08414812894354894,,,0.30484757621189407,1.0,1.0
right16x32_pooled,q2|action|back_12_15|top1|d6,q2_level,2,back_12_15,top1,6,level,0.03703835979104042,0.039006564766168594,-9.364909350950779e-06,0.00034817665315030983,-0.02689700548907251,,,0.7471264367816092,1.0,1.0
right16x32_pooled,q2|action|back_12_15|top1|d7,q2_level,2,back_12_15,top1,7,level,0.03758019953966141,0.03971714898943901,-6.718374542704976e-06,0.00036013401837865555,-0.018655206672647844,,,0.8235882058970515,1.0,1.0
right16x32_pooled,q2|action|back_12_15|top1|d8,q2_level,2,back_12_15,top1,8,level,0.03847748041152954,0.04069172218441963,-1.1389452565456477e-05,0.0003779048639402386,-0.030138412209633772,,,0.6991504247876063,1.0,1.0
right16x32_pooled,q2|action|back_12_15|top1|d9,q2_level,2,back_12_15,top1,9,level,0.03975911810994148,0.04207092523574829,-3.445390685703827e-05,0.0004233764826848904,-0.08137888679726582,,,0.26786606696651677,1.0,1.0
right16x32_pooled,q2|action|back_12_15|top4|d0,q2_level,2,back_12_15,top4,0,level,0.13851284980773926,0.14256170392036438,-7.98819677675416e-05,0.0006846598369037516,-0.11667395027696255,,,0.17041479260369816,0.9960019990004998,1.0
right16x32_pooled,q2|action|back_12_15|top4|d1,q2_level,2,back_12_15,top4,1,level,0.1386100798845291,0.14275403320789337,-8.308758351415435e-05,0.0006561555942997928,-0.12662786728629524,,,0.14492753623188406,0.9805097451274363,1.0
right16x32_pooled,q2|action|back_12_15|top4|d2,q2_level,2,back_12_15,top4,2,level,0.1390242725610733,0.14334215223789215,-7.536016020781141e-05,0.000640773157245744,-0.1176081728075727,,,0.1714142928535732,0.9960019990004998,1.0
right16x32_pooled,q2|action|back_12_15|top4|d3,q2_level,2,back_12_15,top4,3,level,0.1395847350358963,0.1441257745027542,-6.789909171302221e-05,0.0006290441535751741,-0.10794010456518441,,,0.2063968015992004,0.999000499750125,1.0
right16x32_pooled,q2|action|back_12_15|top4|d4,q2_level,2,back_12_15,top4,4,level,0.1403249353170395,0.14505380392074585,-2.1386890619245198e-05,0.0006181514813006413,-0.03459813858933967,,,0.6911544227886057,1.0,1.0
right16x32_pooled,q2|action|back_12_15|top4|d5,q2_level,2,back_12_15,top4,5,level,0.14126381278038025,0.14625097811222076,6.149356872276397e-07,0.0006256712784264943,0.0009828414831093836,,,0.9870064967516242,1.0,1.0
right16x32_pooled,q2|action|back_12_15|top4|d6,q2_level,2,back_12_15,top4,6,level,0.14241333305835724,0.14769324660301208,2.775572565146765e-06,0.0006517551797238851,0.004258612208226149,,,0.9560219890054973,1.0,1.0
right16x32_pooled,q2|action|back_12_15|top4|d7,q2_level,2,back_12_15,top4,7,level,0.14407339692115784,0.14972221851348877,-1.5435118813810763e-05,0.0006939421542423911,-0.02224265916034745,,,0.7886056971514243,1.0,1.0
right16x32_pooled,q2|action|back_12_15|top4|d8,q2_level,2,back_12_15,top4,8,level,0.14678004384040833,0.15250559151172638,3.477745988409932e-06,0.0007457259628283039,0.004663571019064344,,,0.9535232383808095,1.0,1.0
right16x32_pooled,q2|action|back_12_15|top4|d9,q2_level,2,back_12_15,top4,9,level,0.15046429634094238,0.1564696878194809,-4.701926182251783e-05,0.0008261535847284964,-0.05691346341851199,,,0.4877561219390305,1.0,1.0
right16x32_pooled,q2|action|back_12_15|p4p5_gap|d0,q2_level,2,back_12_15,p4p5_gap,0,level,0.00031565979588776827,0.0004222682910040021,-5.196323912791278e-06,6.95421376703202e-05,-0.07472194682058228,,,0.3453273363318341,1.0,1.0
right16x32_pooled,q2|action|back_12_15|p4p5_gap|d1,q2_level,2,back_12_15,p4p5_gap,1,level,0.0003162682696711272,0.0004276721447240561,-6.078585468372883e-06,7.21325805115139e-05,-0.08426962442308036,,,0.31134432783608196,1.0,1.0
right16x32_pooled,q2|action|back_12_15|p4p5_gap|d2,q2_level,2,back_12_15,p4p5_gap,2,level,0.00032936810748651624,0.00044211753993295133,-3.67110351819048e-06,7.374809010184853e-05,-0.04977896394497221,,,0.5362318840579711,1.0,1.0
right16x32_pooled,q2|action|back_12_15|p4p5_gap|d3,q2_level,2,back_12_15,p4p5_gap,3,level,0.0003412833611946553,0.0004615381476469338,-5.369629726137429e-06,7.991661258454228e-05,-0.06719040700651568,,,0.391304347826087,1.0,1.0
right16x32_pooled,q2|action|back_12_15|p4p5_gap|d4,q2_level,2,back_12_15,p4p5_gap,4,level,0.0003575131995603442,0.00048180369776673615,1.0802179096387195e-06,7.851519889344168e-05,0.013758073912603301,,,0.8700649675162418,1.0,1.0
right16x32_pooled,q2|action|back_12_15|p4p5_gap|d5,q2_level,2,back_12_15,p4p5_gap,5,level,0.000384929240681231,0.0005131212528795004,7.365399033053873e-06,8.497012643181136e-05,0.08668221812008972,,,0.2768615692153923,1.0,1.0
right16x32_pooled,q2|action|back_12_15|p4p5_gap|d6,q2_level,2,back_12_15,p4p5_gap,6,level,0.0004066608380526304,0.0005488526076078415,1.1549503440984687e-05,8.805219163535148e-05,0.13116656413067354,,,0.11044477761119441,0.9725137431284357,1.0
right16x32_pooled,q2|action|back_12_15|p4p5_gap|d7,q2_level,2,back_12_15,p4p5_gap,7,level,0.0004321727028582245,0.0006040644366294146,-1.4773083021378333e-05,9.31017261893572e-05,-0.15867678963687248,,,0.05247376311844078,0.8445777111444278,1.0
right16x32_pooled,q2|action|back_12_15|p4p5_gap|d8,q2_level,2,back_12_15,p4p5_gap,8,level,0.0005164075992070138,0.0006654913304373622,-6.844516806802718e-06,0.00010247626726491967,-0.06679123849338116,,,0.3933033483258371,1.0,1.0
right16x32_pooled,q2|action|back_12_15|p4p5_gap|d9,q2_level,2,back_12_15,p4p5_gap,9,level,0.0006132342386990786,0.0007605073624290526,3.7418973593403005e-06,0.00011295247580060037,0.03312806853340714,,,0.6926536731634183,1.0,1.0
