quantity,frame,representation,direction,quantile,mode,tp,fp,risk_recall,timely_fpr,precision,low_prior_tp,low_prior_fp,low_prior_precision,low_prior_share,mean_alarm_prior,lift
mobility,adjacent_query,L3,high,0.75,per_task,65,246,0.13347022587268995,0.017187172500523998,0.2090032154340836,36,234,0.13333333333333333,0.5538461538461539,0.11681436933852123,1.7891909755417543
mobility,adjacent_query,L3,high,0.75,global,80,1666,0.16427104722792607,0.11639768043037797,0.045819014891179836,56,1660,0.03263403263403263,0.7,0.04418151768394406,1.037062946070566
mobility,adjacent_query,L3,high,0.8,per_task,56,205,0.11498973305954825,0.014322643750436665,0.21455938697318008,32,194,0.1415929203539823,0.5714285714285714,0.1191176617528963,1.8012390758498342
mobility,adjacent_query,L3,high,0.8,global,60,1223,0.12320328542094455,0.08544679661845875,0.04676539360872954,43,1220,0.034045922406967535,0.7166666666666667,0.04322085686773186,1.0820098674083434
mobility,adjacent_query,L3,high,0.85,per_task,51,156,0.10472279260780287,0.010899182561307902,0.2463768115942029,28,144,0.16279069767441862,0.5490196078431373,0.15188436483800477,1.6221341272156677
mobility,adjacent_query,L3,high,0.85,global,31,600,0.06365503080082136,0.04191993292810731,0.0491283676703645,21,598,0.033925686591276254,0.6774193548387096,0.04526216476635694,1.0854179848437404
mobility,adjacent_query,L3,high,0.9,per_task,39,117,0.08008213552361396,0.008174386920980926,0.25,24,106,0.18461538461538463,0.6153846153846154,0.1629838891026681,1.5338939411521715
mobility,adjacent_query,L3,high,0.9,global,15,159,0.030800821355236138,0.011108782225948438,0.08620689655172414,11,157,0.06547619047619048,0.7333333333333333,0.056448548287834695,1.5271765026117192
mobility,adjacent_query,L3,high,0.925,per_task,34,96,0.06981519507186858,0.00670718926849717,0.26153846153846155,22,91,0.19469026548672566,0.6470588235294118,0.1496780873108318,1.7473396823633431
mobility,adjacent_query,L3,high,0.925,global,10,65,0.02053388090349076,0.004541326067211626,0.13333333333333333,7,64,0.09859154929577464,0.7,0.07149143978890149,1.8650251516410548
mobility,adjacent_query,L3,high,0.95,per_task,26,49,0.053388090349075976,0.003423461189128764,0.3466666666666667,17,48,0.26153846153846155,0.6538461538461539,0.13952413756584328,2.484635796462602
mobility,adjacent_query,L3,high,0.95,global,7,36,0.014373716632443531,0.0025151959756864388,0.16279069767441862,3,35,0.07894736842105263,0.42857142857142855,0.1335685779323385,1.2187798971467907
mobility,adjacent_query,L3,high,0.96,per_task,25,42,0.0513347022587269,0.002934395304967512,0.373134328358209,16,41,0.2807017543859649,0.64,0.1463681801380597,2.5492858352563745
mobility,adjacent_query,L3,high,0.96,global,7,32,0.014373716632443531,0.0022357297561657235,0.1794871794871795,3,32,0.08571428571428572,0.42857142857142855,0.1348854650645722,1.330663607092548
mobility,adjacent_query,L3,high,0.975,per_task,17,18,0.03490759753593429,0.0012575979878432194,0.4857142857142857,9,17,0.34615384615384615,0.5294117647058824,0.23519870515103883,2.0651231281327505
mobility,adjacent_query,L3,high,0.975,global,6,25,0.012320328542094456,0.0017466638720044715,0.1935483870967742,2,25,0.07407407407407407,0.3333333333333333,0.13858091157369906,1.3966453597315438
mobility,adjacent_query,L3,high,0.98,per_task,16,9,0.03285420944558522,0.0006287989939216097,0.64,9,8,0.5294117647058824,0.5625,0.3000514422659387,2.132967584380952
mobility,adjacent_query,L3,high,0.98,global,5,23,0.01026694045174538,0.0016069307622441137,0.17857142857142858,2,23,0.08,0.4,0.1195086868643335,1.4942129585453752
mobility,adjacent_query,L3,high,0.99,per_task,14,5,0.028747433264887063,0.0003493327744008943,0.7368421052631579,9,5,0.6428571428571429,0.6428571428571429,0.3060169608707338,2.4078472747607313
