candidate,episode_id,outcome,relative_query,query,layer_group,within_flow_wj,late_flow_wj,route_acceleration,gate_entropy,top12_margin,state_action_gap,chunk_jump_full_h,chunk_jump_d9_h
6,100000006,failed_grasp,-1,30,front,0.025236675050109625,0.03649936616420746,0.012700434853502389,0.9961358793499846,0.00508495990652591,0.24694984406232834,0.04112368170171976,0.043766772374510765
6,100000006,failed_grasp,-1,30,back,0.01772064110264182,0.028561432845890522,0.007814645404301764,0.9975891671463054,0.001900519710034132,0.10328896716237068,0.026814759243279696,0.03278147988021374
6,100000006,failed_grasp,0,31,front,0.024562131613492966,0.03672872018069029,0.013112504591393397,0.9959592634865075,0.004358016361948103,0.2133498340845108,0.04388777259737253,0.056367937475442886
6,100000006,failed_grasp,0,31,back,0.020246497821062803,0.03352581104263663,0.009325428494405368,0.9973397458672387,0.003245541680371389,0.10186014138162136,0.03320065047591925,0.04603566229343414
6,100000006,failed_grasp,1,32,front,0.020572619512677193,0.02681070053949952,0.011699335907346805,0.9981878181160408,0.0015800420078448951,0.33593909069895744,0.04562874883413315,0.05378822609782219
6,100000006,failed_grasp,1,32,back,0.01692129811272025,0.025287094060331583,0.007247147473361815,0.9968498446871237,0.0024559159064665437,0.10578267090022564,0.049063743092119694,0.06728111114352942
6,100000006,failed_grasp,2,33,front,0.020646821707487106,0.027386247646063566,0.011647565418668506,0.9980710504952377,0.0017578247061464936,0.44197241216897964,0.03477925714105368,0.030368801206350327
6,100000006,failed_grasp,2,33,back,0.016869687009602785,0.02640652982518077,0.007331637416646983,0.9971867174243275,0.0023307850933633745,0.0903454888612032,0.04376092180609703,0.057628853246569633
6,100000006,failed_grasp,3,34,front,0.022225841414183378,0.029701820574700832,0.011791998387976038,0.9977507844028008,0.0017128012259490788,0.4639117941260338,0.033784760162234306,0.02477747155353427
6,100000006,failed_grasp,3,34,back,0.01722625084221363,0.02705603651702404,0.007457614676118299,0.9968175962202602,0.002436821989249438,0.09967328980565071,0.030473700258880854,0.041208372451364994
6,100000006,failed_grasp,4,35,front,0.02230612374842167,0.029503537341952324,0.01205249455845946,0.997336622662299,0.0018493493262212723,0.4849042594432831,0.03346283873543143,0.02531515434384346
6,100000006,failed_grasp,4,35,back,0.017353602685034275,0.02704083686694503,0.007625563281989131,0.9967301258440313,0.001968398311873898,0.10590427182614803,0.02694794861599803,0.03559604613110423
6,100000006,failed_grasp,5,36,front,0.024200063198804855,0.032525829039514065,0.012319219242899382,0.996889617394962,0.002238476532511413,0.48000960052013397,0.03580647986382246,0.02810501167550683
6,100000006,failed_grasp,5,36,back,0.01820841757580638,0.02757059969007969,0.007722100309231081,0.9964496101016886,0.0024681720533408225,0.10277897119522095,0.02937319641932845,0.03696394059807062
6,100000006,failed_grasp,6,37,front,0.022254034876823425,0.029768613632768393,0.011529896192073771,0.9970603308138615,0.002212554740253836,0.46060800924897194,0.03946150932461023,0.027302343398332596
6,100000006,failed_grasp,6,37,back,0.01751071074977517,0.02724943682551384,0.007382251665805391,0.9963476742646956,0.0023689715890213847,0.10574237257242203,0.03133240668103099,0.040600077249109745
6,100000006,failed_grasp,7,38,front,0.022042528726160526,0.02959216758608818,0.011901321715384978,0.99739501421192,0.0029045201372355223,0.4758511334657669,0.03512324579060078,0.026482784654945135
6,100000006,failed_grasp,7,38,back,0.017754596658051014,0.028256281279027462,0.007637432888201012,0.9963120446189164,0.0029205114697106183,0.1081051267683506,0.02616746397688985,0.03338702395558357
6,100000006,failed_grasp,8,39,front,0.02317823376506567,0.032217154279351234,0.012046287117927216,0.9967852136069293,0.0037216132041066885,0.47598743438720703,0.035641131922602654,0.029141838662326336
6,100000006,failed_grasp,8,39,back,0.018794915173202753,0.030641778372228146,0.008246054618758705,0.9966944875991196,0.002672567090485245,0.11032234318554401,0.029162281192839146,0.03970115166157484
3,100000003,success,-8,21,front,0.0212154695764184,0.028165928088128567,0.01156087955872147,0.9983904274373694,0.0019630200404208153,0.27652767673134804,0.0334744555875659,0.02856040233746171
3,100000003,success,-8,21,back,0.014712227042764425,0.02293669106438756,0.006710016676046219,0.998099262529285,0.0013297991536092013,0.1257347445935011,0.027340959757566452,0.037726047448813915
3,100000003,success,-7,22,front,0.021074492018669844,0.028330768458545208,0.01169149823988505,0.9984496135468373,0.0015380851982627064,0.2548501007258892,0.032099390868097544,0.024744550231844187
3,100000003,success,-7,22,back,0.014420864870771766,0.022590353153645992,0.006533051278772087,0.9982730131617987,0.00128935843531508,0.12052354961633682,0.02486603008583188,0.03412168240174651
3,100000003,success,-6,23,front,0.021284238435328007,0.028088800609111786,0.011688104595399287,0.9982530855320434,0.0017730480467434973,0.2507500499486923,0.03457276336848736,0.028327544685453176
3,100000003,success,-6,23,back,0.014182426268234849,0.022061162162572145,0.006526836264978,0.9983034747289197,0.0020973141363356262,0.1110107246786356,0.027139244601130486,0.03764732088893652
3,100000003,success,-5,24,front,0.021997570525854826,0.03007916547358036,0.011963918346502261,0.9978282866645857,0.0017005656845867634,0.24096819013357162,0.03684922121465206,0.029676866251975298
3,100000003,success,-5,24,back,0.013836745405569673,0.021415666211396456,0.0063873117571607175,0.9981174393756548,0.001726528993458487,0.10589444451034069,0.025792524218559265,0.0344853401184082
