level,cohort,suite,task,method,failure,episodes,cutoff_query,detected,recall
suite,all,libero_object,all,euclidean_neighbors_cosine_score,True,81,19,0,0.0
suite,all,libero_object,all,euclidean_neighbors_cosine_score,True,81,29,0,0.0
suite,all,libero_object,all,euclidean_neighbors_cosine_score,True,81,39,0,0.0
suite,all,libero_object,all,euclidean_neighbors_cosine_score,True,81,51,0,0.0
suite,all,libero_object,all,cosine_without_center,True,81,7,0,0.0
suite,all,libero_object,all,cosine_without_center,True,81,10,1,0.012345679012345678
suite,all,libero_object,all,cosine_without_center,True,81,14,13,0.16049382716049382
suite,all,libero_object,all,cosine_without_center,True,81,19,23,0.2839506172839506
suite,all,libero_object,all,cosine_without_center,True,81,29,27,0.3333333333333333
suite,all,libero_object,all,cosine_without_center,True,81,39,27,0.3333333333333333
suite,all,libero_object,all,cosine_without_center,True,81,51,27,0.3333333333333333
suite,all,libero_object,all,norm_only,True,81,7,0,0.0
suite,all,libero_object,all,norm_only,True,81,10,3,0.037037037037037035
suite,all,libero_object,all,norm_only,True,81,14,12,0.14814814814814814
suite,all,libero_object,all,norm_only,True,81,19,38,0.4691358024691358
suite,all,libero_object,all,norm_only,True,81,29,67,0.8271604938271605
suite,all,libero_object,all,norm_only,True,81,39,67,0.8271604938271605
suite,all,libero_object,all,norm_only,True,81,51,67,0.8271604938271605
suite,all,libero_spatial,all,euclidean,True,266,7,0,0.0
suite,all,libero_spatial,all,euclidean,True,266,10,29,0.10902255639097744
suite,all,libero_spatial,all,euclidean,True,266,14,207,0.7781954887218046
suite,all,libero_spatial,all,euclidean,True,266,19,266,1.0
suite,all,libero_spatial,all,euclidean,True,266,29,266,1.0
suite,all,libero_spatial,all,euclidean,True,266,39,266,1.0
suite,all,libero_spatial,all,euclidean,True,266,51,266,1.0
suite,all,libero_spatial,all,cosine,True,266,7,2,0.007518796992481203
suite,all,libero_spatial,all,cosine,True,266,10,5,0.018796992481203006
suite,all,libero_spatial,all,cosine,True,266,14,5,0.018796992481203006
suite,all,libero_spatial,all,cosine,True,266,19,5,0.018796992481203006
suite,all,libero_spatial,all,cosine,True,266,29,5,0.018796992481203006
suite,all,libero_spatial,all,cosine,True,266,39,5,0.018796992481203006
suite,all,libero_spatial,all,cosine,True,266,51,5,0.018796992481203006
suite,all,libero_spatial,all,cosine_neighbors_euclidean_score,True,266,7,3,0.011278195488721804
suite,all,libero_spatial,all,cosine_neighbors_euclidean_score,True,266,10,9,0.03383458646616541
suite,all,libero_spatial,all,cosine_neighbors_euclidean_score,True,266,14,60,0.22556390977443608
suite,all,libero_spatial,all,cosine_neighbors_euclidean_score,True,266,19,250,0.9398496240601504
suite,all,libero_spatial,all,cosine_neighbors_euclidean_score,True,266,29,264,0.9924812030075187
suite,all,libero_spatial,all,cosine_neighbors_euclidean_score,True,266,39,264,0.9924812030075187
suite,all,libero_spatial,all,cosine_neighbors_euclidean_score,True,266,51,264,0.9924812030075187
suite,all,libero_spatial,all,euclidean_neighbors_cosine_score,True,266,7,0,0.0
suite,all,libero_spatial,all,euclidean_neighbors_cosine_score,True,266,10,2,0.007518796992481203
suite,all,libero_spatial,all,euclidean_neighbors_cosine_score,True,266,14,2,0.007518796992481203
suite,all,libero_spatial,all,euclidean_neighbors_cosine_score,True,266,19,2,0.007518796992481203
suite,all,libero_spatial,all,euclidean_neighbors_cosine_score,True,266,29,2,0.007518796992481203
suite,all,libero_spatial,all,euclidean_neighbors_cosine_score,True,266,39,2,0.007518796992481203
suite,all,libero_spatial,all,euclidean_neighbors_cosine_score,True,266,51,2,0.007518796992481203
suite,all,libero_spatial,all,cosine_without_center,True,266,7,3,0.011278195488721804
suite,all,libero_spatial,all,cosine_without_center,True,266,10,6,0.022556390977443608
suite,all,libero_spatial,all,cosine_without_center,True,266,14,16,0.06015037593984962
suite,all,libero_spatial,all,cosine_without_center,True,266,19,33,0.12406015037593984
suite,all,libero_spatial,all,cosine_without_center,True,266,29,34,0.12781954887218044
suite,all,libero_spatial,all,cosine_without_center,True,266,39,34,0.12781954887218044
suite,all,libero_spatial,all,cosine_without_center,True,266,51,34,0.12781954887218044
suite,all,libero_spatial,all,norm_only,True,266,7,0,0.0
suite,all,libero_spatial,all,norm_only,True,266,10,7,0.02631578947368421
suite,all,libero_spatial,all,norm_only,True,266,14,40,0.15037593984962405
suite,all,libero_spatial,all,norm_only,True,266,19,227,0.8533834586466166
suite,all,libero_spatial,all,norm_only,True,266,29,240,0.9022556390977443
suite,all,libero_spatial,all,norm_only,True,266,39,240,0.9022556390977443
suite,all,libero_spatial,all,norm_only,True,266,51,240,0.9022556390977443
