level,cohort,suite,task,method,failure,episodes,progress_bin,count,alarms,fraction_of_alarms
suite,all,libero_spatial,all,euclidean_neighbors_cosine_score,False,7734,"[25,50%)",0,88,0.0
suite,all,libero_spatial,all,euclidean_neighbors_cosine_score,False,7734,"[50,75%)",58,88,0.6590909090909091
suite,all,libero_spatial,all,euclidean_neighbors_cosine_score,False,7734,"[75,100%)",30,88,0.3409090909090909
suite,all,libero_spatial,all,euclidean_neighbors_cosine_score,True,266,"[0,25%)",0,2,0.0
suite,all,libero_spatial,all,euclidean_neighbors_cosine_score,True,266,"[25,50%)",2,2,1.0
suite,all,libero_spatial,all,euclidean_neighbors_cosine_score,True,266,"[50,75%)",0,2,0.0
suite,all,libero_spatial,all,euclidean_neighbors_cosine_score,True,266,"[75,100%)",0,2,0.0
suite,all,libero_spatial,all,cosine_without_center,False,7734,"[0,25%)",0,93,0.0
suite,all,libero_spatial,all,cosine_without_center,False,7734,"[25,50%)",0,93,0.0
suite,all,libero_spatial,all,cosine_without_center,False,7734,"[50,75%)",16,93,0.17204301075268819
suite,all,libero_spatial,all,cosine_without_center,False,7734,"[75,100%)",77,93,0.8279569892473119
suite,all,libero_spatial,all,cosine_without_center,True,266,"[0,25%)",0,34,0.0
suite,all,libero_spatial,all,cosine_without_center,True,266,"[25,50%)",6,34,0.17647058823529413
suite,all,libero_spatial,all,cosine_without_center,True,266,"[50,75%)",16,34,0.47058823529411764
suite,all,libero_spatial,all,cosine_without_center,True,266,"[75,100%)",12,34,0.35294117647058826
suite,all,libero_spatial,all,norm_only,False,7734,"[0,25%)",0,289,0.0
suite,all,libero_spatial,all,norm_only,False,7734,"[25,50%)",0,289,0.0
suite,all,libero_spatial,all,norm_only,False,7734,"[50,75%)",10,289,0.03460207612456748
suite,all,libero_spatial,all,norm_only,False,7734,"[75,100%)",279,289,0.9653979238754326
suite,all,libero_spatial,all,norm_only,True,266,"[0,25%)",0,240,0.0
suite,all,libero_spatial,all,norm_only,True,266,"[25,50%)",7,240,0.029166666666666667
suite,all,libero_spatial,all,norm_only,True,266,"[50,75%)",103,240,0.42916666666666664
suite,all,libero_spatial,all,norm_only,True,266,"[75,100%)",130,240,0.5416666666666666
