task,scene,successes,mixed,balanced16,action_auk8_route,action_auk8_hidden,action_auk8_noise7,action_auk8_noise24,action_auk8_top4_weighted,action_auk8_top4_jaccard,success_auk8_route,mst_action_gain,mst_success_gain,balanced_cut_action_between_within_ratio,balanced_cut_success_gap,balanced_cut_min_size,union_components_k4,union_largest_k4,mutual_components_k4,mutual_largest_k4,union_lambda2_k4,route_neighbor_radius_k4
long-t08,0,14,True,True,0.19889043898809522,0.36733258928571433,0.3266582961309524,0.15332000248015865,0.15635943700396826,0.13123697916666666,0.016121031746031744,0.27311827956989254,0.024193548387096753,1.0483226376046533,0.28148148148148144,5,1,32,12,20,0.3830960871007177,0.034689047265495834
long-t08,3,5,True,True,0.22309058779761903,0.3317354910714286,0.2938650173611111,0.13264725942460323,0.03881789434523816,0.016869419642857084,0.1189814814814815,0.2440860215053765,0.11088709677419362,1.0714947970541522,0.39285714285714285,4,1,32,12,19,0.38837908414995825,0.03484542042671378
long-t08,7,29,True,False,0.2573105778769842,0.3400341021825397,0.29948753720238097,0.15707062251984122,0.2109657118055555,0.2273592509920635,-0.125,0.12473118279569884,-0.08266129032258063,1.1015105813972559,0.11111111111111116,5,1,32,12,19,0.3670754106499789,0.03476172115699008
long-t08,10,9,True,True,0.19295665922619043,0.35743706597222225,0.3272054811507936,0.1849556671626983,0.16394283234126983,0.13878875248015868,0.00905797101449276,0.196774193548387,-0.002016129032258007,1.0191837507893629,0.0980392156862745,15,1,32,13,19,0.40748937821554726,0.03457836782087739
long-t08,13,9,True,True,0.1643808903769841,0.3109939236111111,0.29503410218253967,0.1413203745039682,0.052334759424603236,0.004063120039682566,-0.11805555555555555,0.19354838709677413,0.094758064516129,1.0312232916597903,0.14074074074074078,5,1,32,12,20,0.39177265259129035,0.03434147334729926
long-t08,16,28,True,True,0.2141375248015873,0.3500378224206349,0.31163256448412696,0.15833488343253965,0.08287109375000008,0.09550998263888896,-0.1863839285714286,0.22043010752688164,0.0,1.0368248198135135,0.1428571428571429,4,1,32,14,19,0.3833653654705384,0.034859282646278605
long-t08,20,23,True,True,0.20392020089285706,0.35282893105158725,0.3361873759920635,0.17666635664682534,0.06285032242063487,0.0821053447420634,-0.08091787439613526,0.21612903225806435,0.030241935483870996,1.0716230212381852,0.0357142857142857,4,1,32,12,20,0.37262672766844174,0.034667620068715335
long-t08,23,29,True,False,0.26281560019841277,0.3748856026785714,0.3512468998015873,0.18330171130952377,0.09371341765873022,0.08771949404761904,-0.04741379310344827,0.2892473118279568,-0.08266129032258063,1.023657319301229,0.15000000000000002,12,1,32,12,19,0.3862443436097221,0.03472490484868493
long-t08,26,9,True,True,0.14945560515873013,0.24115699404761898,0.22011005704365075,0.04140842013888889,0.03971292162698413,0.04709046378968253,0.027173913043478257,0.20645161290322567,0.12701612903225812,0.9588358989174123,0.25,4,1,32,12,20,0.37462648989495534,0.03504225307785683
long-t08,29,28,True,True,0.23082217261904758,0.3810184151785715,0.3626317584325397,0.17863653273809516,0.11210410466269839,0.0670743427579365,-0.0703125,0.20322580645161292,-0.09677419354838712,1.0097453374818564,0.04858299595141702,13,1,32,12,20,0.3761778723869594,0.03498740071874054
long-t08,33,32,False,False,0.2025452628968254,0.29953342013888884,0.2628989955357143,0.10637400793650785,0.07006572420634925,0.052229042658730185,nan,0.1483870967741936,0.0,1.0671424948873838,0.0,4,1,32,13,20,0.38895046254119736,0.03467117296283791
long-t08,36,32,False,False,0.19101097470238093,0.356396019345238,0.32754774305555545,0.1879386780753968,0.08584139384920635,0.08352244543650796,nan,0.15591397849462374,0.0,1.0023833336642785,0.0,15,1,32,13,19,0.3931767632112448,0.03459663644406122
long-t08,39,4,True,True,0.21098710317460317,0.3103137400793651,0.2869407242063492,0.15114831349206342,0.10281125992063499,0.09904451884920633,0.11718749999999997,0.2021505376344086,-0.09677419354838712,1.0542057619167546,0.14285714285714285,4,1,32,13,19,0.40512990732212933,0.03478215699268419
long-t08,42,14,True,True,0.17181082589285707,0.3716313244047619,0.34949590773809525,0.16892237103174607,0.08990110367063485,0.042379092261904755,-0.16319444444444445,0.06559139784946233,-0.13709677419354838,1.0345488876052331,0.2142857142857143,4,1,32,13,19,0.39126265373327973,0.03424792760011634
long-t08,46,31,True,False,0.24247147817460316,0.3473198784722221,0.33273313492063494,0.15911954365079367,0.042815600198412726,0.05433593749999997,-0.0907258064516129,0.2655913978494624,-0.03427419354838712,1.05956097326599,0.25,4,1,32,12,20,0.4121760954917358,0.0347450330319181
long-t08,49,0,False,False,0.1797064112103175,0.38732576884920633,0.3448735119047619,0.15462952628968252,0.10693235367063493,0.10434275793650791,nan,0.13548387096774184,0.0,1.0324859461569036,0.0,5,1,32,12,19,0.39700771262820234,0.03449793914352828
spatial-ramekin,0,32,False,False,0.23128658234126986,0.40862351190476187,0.35922991071428567,0.24059926835317458,0.12612971230158726,0.08921781994047615,nan,0.32150537634408594,0.0,1.056851358128372,0.0,4,1,32,8,23,0.29877516000168014,0.039791508311141394
spatial-ramekin,3,32,False,False,0.28107793898809524,0.45516927083333336,0.4034908234126983,0.20829861111111106,0.1237233382936508,0.08961092509920637,nan,0.3462365591397851,0.0,1.0070040146792558,0.0,4,1,32,8,23,0.3516794696301145,0.03941068954424787
spatial-ramekin,7,32,False,False,0.279917224702381,0.47300688244047623,0.42278428819444447,0.23071273561507938,0.2152380952380953,0.18004278273809526,nan,0.3204301075268816,0.0,1.0265327676681961,0.0,4,1,32,9,20,0.3236182108030009,0.03910602403282967
spatial-ramekin,10,31,True,False,0.27729507688492067,0.47049138144841274,0.43353577628968254,0.23883432539682536,0.16595796130952373,0.15279978918650783,-0.06653225806451613,0.32688172043010755,0.030241935483870996,1.0227059411931358,0.0357142857142857,4,1,32,8,21,0.31905421117644817,0.03957850772067106
spatial-ramekin,13,31,True,False,0.28495411706349205,0.45291759672619053,0.3987670510912698,0.17210441468253973,0.19632099454365076,0.18499472966269837,-0.08467741935483872,0.3505376344086022,0.030241935483870996,1.0331918382241538,0.0357142857142857,4,1,32,7,23,0.34459061016314163,0.03946676803221591
spatial-ramekin,16,30,True,False,0.2567646329365079,0.47580946180555556,0.4316849578373016,0.23116660466269834,0.1468421378968254,0.1319066220238095,-0.027083333333333327,0.22043010752688164,0.056451612903225756,1.0285811963587541,0.2142857142857143,4,1,32,5,26,0.3319902495012195,0.03882759851897103
spatial-ramekin,20,31,True,False,0.3163420758928571,0.5060401165674604,0.469578373015873,0.24709232390873018,0.2719137524801587,0.28429098462301583,0.0,0.3526881720430106,0.030241935483870996,1.01223522628863,0.0357142857142857,4,1,32,7,23,0.3409041693989477,0.039637687131145495
spatial-ramekin,23,32,False,False,0.2220359002976191,0.42142082093253974,0.37913814484126973,0.1974373759920634,0.0881581721230158,0.09946924603174602,nan,0.22688172043010746,0.0,1.0359205930729423,0.0,4,1,32,8,23,0.36418392909866065,0.03913484040737117
spatial-ramekin,26,31,True,False,0.23129123263888884,0.4089282614087302,0.34519934275793646,0.18262586805555553,0.14030722966269843,0.12297712053571426,-0.02620967741935485,0.2924731182795699,0.030241935483870996,1.0183158034347237,0.04761904761904767,11,1,32,8,23,0.3496243577284687,0.039705295487549835
spatial-ramekin,29,32,False,False,0.22951326884920625,0.4362152777777778,0.38178137400793655,0.17631603422619047,0.15822265624999995,0.16197854662698413,nan,0.21935483870967742,0.0,0.9961345117320978,0.0,11,1,32,8,23,0.34280051764068126,0.03942282410644109
spatial-ramekin,33,32,False,False,0.23528304811507936,0.46569196428571424,0.42664992559523807,0.21565972222222218,0.03823040674603177,0.026839037698412616,nan,0.24193548387096775,0.0,1.032308603724425,0.0,15,1,32,7,24,0.33884743769517267,0.039195150946803224
spatial-ramekin,36,32,False,False,0.28330574156746036,0.42797619047619045,0.3872956969246032,0.18990327380952382,0.2204017857142857,0.2378884548611111,nan,0.4526881720430108,0.0,1.0333367406586305,0.0,4,1,32,8,23,0.3638316683378189,0.03940202909505254
spatial-ramekin,39,31,True,False,0.2938070436507936,0.44007285466269846,0.39455016121031744,0.2260875496031745,0.17304129464285709,0.176824466765873,-0.05645161290322581,0.31075268817204316,0.030241935483870996,0.999510594414508,0.04761904761904767,11,1,32,9,22,0.3335160454729337,0.03905563047807198
spatial-ramekin,42,31,True,False,0.28630859375,0.4337974330357143,0.3967209201388888,0.21370194692460315,0.18640904017857135,0.2221062748015872,-0.1350806451612903,0.3827956989247312,-0.06653225806451613,1.0246733705059652,0.0357142857142857,4,1,32,9,20,0.34810792295840665,0.03981239530285169
spatial-ramekin,46,28,True,True,0.2869304935515873,0.4457440476190476,0.3976559399801587,0.20115947420634916,0.14070343501984128,0.11372705853174601,-0.02511160714285715,0.25161290322580643,-0.09677419354838712,0.9926091690030842,0.08658008658008653,11,1,32,8,23,0.365706721325643,0.039147313302466985
spatial-ramekin,49,32,False,False,0.21081690228174602,0.4034058779761905,0.3648744419642857,0.21730251736111106,0.08364738343253961,0.0671338665674602,nan,0.21075268817204296,0.0,1.03645198481271,0.0,4,1,32,7,24,0.33670949212211077,0.03926832969729928
spatial-stove,0,31,True,False,0.2538507564484127,0.40574466765873013,0.3537196180555556,0.23705543154761896,0.1754752604166666,0.18509827628968242,-0.008064516129032258,0.24838709677419368,0.030241935483870996,1.0369694311880875,0.0357142857142857,4,1,32,8,23,0.3667160962320271,0.039629229572785786
spatial-stove,3,31,True,False,0.2283705357142857,0.41542844742063495,0.3672411334325396,0.2622119915674604,0.18487723214285712,0.1861737351190476,-0.11491935483870969,0.24516129032258072,-0.03427419354838712,1.0207804954844064,0.0357142857142857,4,1,32,9,21,0.36421851757431273,0.03917506682545459
spatial-stove,7,31,True,False,0.20893508184523807,0.40178106398809516,0.3489598834325396,0.25387493799603167,0.13805648561507936,0.12475539434523811,0.0,0.20107526881720417,0.030241935483870996,1.0057219338694101,0.04761904761904767,11,1,32,9,22,0.3349949247723666,0.039314706024823357
spatial-stove,10,30,True,False,0.24658947172619047,0.44171875,0.3952545262896826,0.26289744543650795,0.11600508432539683,0.11277033730158732,-0.13541666666666666,0.2806451612903226,-0.008064516129032251,1.0077716553348623,0.015873015873015817,14,1,32,10,19,0.3834629514120317,0.03877235080246876
spatial-stove,13,30,True,False,0.2518644593253968,0.4382319568452381,0.38358506944444437,0.26903118799603165,0.1473152281746031,0.11282459077380956,-0.023958333333333325,0.27849462365591393,-0.040322580645161255,1.00181334005639,0.10526315789473684,13,1,32,7,24,0.35148326784605355,0.039235131759506915
spatial-stove,16,32,False,False,0.2200412326388888,0.43486452132936504,0.3762354290674603,0.20716455853174603,0.10599485367063477,0.08743954613095228,nan,0.27311827956989243,0.0,1.00822376994133,0.0,4,1,32,10,21,0.34402375539119523,0.03915014380494656
spatial-stove,20,25,True,True,0.24509300595238093,0.4157059151785714,0.36822048611111113,0.2187893725198412,0.1537468998015873,0.1511117311507936,0.14821428571428574,0.2924731182795699,0.0625,1.0141959601291328,0.0357142857142857,4,1,32,8,24,0.30619445487035346,0.0393409218034766
spatial-stove,23,30,True,False,0.15184585813492057,0.3787620907738095,0.33761842757936505,0.2317943948412698,0.10674696180555554,0.1314074900793651,-0.071875,0.2064516129032259,-0.040322580645161255,1.003354676692387,0.0714285714285714,4,1,32,10,20,0.36577709718232987,0.039190864491313857
spatial-stove,26,31,True,False,0.22598493303571426,0.468125,0.412890625,0.2545672123015873,0.15839347718253968,0.16931051587301588,0.0,0.23763440860215068,0.030241935483870996,1.011737837493376,0.0357142857142857,4,1,32,8,22,0.36276071028812423,0.03900606765686745
spatial-stove,29,30,True,False,0.23559151785714286,0.46145058283730156,0.40216455853174604,0.24105003720238094,0.10763764880952384,0.09605654761904753,-0.16875,0.3301075268817205,-0.008064516129032251,1.0155902979963334,0.2142857142857143,4,1,32,8,23,0.29656819139290236,0.03898132048514556
spatial-stove,33,16,True,True,0.21025452628968255,0.3886517237103174,0.3203878348214285,0.2627216641865079,0.16533420138888888,0.16548084077380945,0.033935546875,0.2129032258064517,0.06451612903225801,1.0084370730808998,0.2857142857142857,4,1,32,7,25,0.3640586816896809,0.039014255211293515
spatial-stove,36,31,True,False,0.18385602678571425,0.35348338293650794,0.30063647073412697,0.24128813244047612,0.188997085813492,0.1984759424603174,-0.07661290322580645,0.23010752688172031,0.030241935483870996,1.015047575648456,0.0357142857142857,4,1,32,7,25,0.3480062925426819,0.039802773184745094
spatial-stove,39,32,False,False,0.24076977926587306,0.4373291790674603,0.3883928571428571,0.21899398561507938,0.14931981646825399,0.1494391741071428,nan,0.24193548387096775,0.0,1.033489849647949,0.0,4,1,32,6,25,0.3402068887841212,0.03962910579682367
spatial-stove,42,31,True,False,0.2507676091269842,0.44429625496031744,0.3911712549603174,0.2549823288690476,0.18157552083333325,0.1438833085317459,-0.08064516129032259,0.19462365591397857,-0.0020161290322581182,1.010899365970494,0.07692307692307687,13,1,32,11,19,0.34320441465725865,0.03875223652927645
spatial-stove,46,32,False,False,0.26292813740079357,0.4570833333333333,0.3852703373015872,0.2652802579365079,0.058514384920634904,0.055813492063491996,nan,0.28924731182795704,0.0,1.0129034433248563,0.0,11,1,32,10,19,0.36977787882316143,0.03905438045352119
spatial-stove,49,32,False,False,0.24059709821428577,0.439884052579365,0.38942832341269834,0.24968905009920628,0.20631014384920632,0.16474671378968256,nan,0.2666666666666666,0.0,1.0186646257952685,0.0,11,1,32,8,24,0.33286158070922633,0.038880359663955116
