window,target,scope,model,control_reference,worker,n,positive,brier,brier_gain_vs_rate,brier_gain_vs_controls
fixed_q0_q7,eventual_stagnation_or_loop,within_snapshot,moe_nontrap,controls,1,80,78,0.31969129550873465,-0.014260391529495865,0.0008590497846034841
fixed_q0_q7,eventual_stagnation_or_loop,within_snapshot,moe_nontrap,controls,2,80,63,0.2508613736389417,-0.000861373638941626,-0.004384695693874649
fixed_q0_q7,eventual_stagnation_or_loop,within_snapshot,moe_nontrap,controls,3,96,6,0.6009500139985443,-0.06431366145948177,0.009069881962762691
fixed_q0_q7,eventual_stagnation_or_loop,within_snapshot,moe_full,controls,0,96,52,0.2607570509428046,-0.011433523924575422,0.038742134696323045
fixed_q0_q7,eventual_stagnation_or_loop,within_snapshot,moe_full,controls,1,80,78,0.31940267559496105,-0.013971771615722292,0.0011476696983770602
fixed_q0_q7,eventual_stagnation_or_loop,within_snapshot,moe_full,controls,2,80,63,0.2628539496833612,-0.01285394968336121,-0.016377271738294237
fixed_q0_q7,eventual_stagnation_or_loop,within_snapshot,moe_full,controls,3,96,6,0.5999363005988244,-0.06329994805976197,0.01008359536248249
fixed_q0_q7,eventual_stagnation_or_loop,within_snapshot,controls+moe,controls,0,96,52,0.2648079548370443,-0.015484427818815117,0.03469123080208334
fixed_q0_q7,eventual_stagnation_or_loop,within_snapshot,controls+moe,controls,1,80,78,0.31659074728199665,-0.01115984330275793,0.003959598011341418
fixed_q0_q7,eventual_stagnation_or_loop,within_snapshot,controls+moe,controls,2,80,63,0.25813831104493223,-0.008138311044932177,-0.0116616330998652
fixed_q0_q7,eventual_stagnation_or_loop,within_snapshot,controls+moe,controls,3,96,6,0.6045043823457131,-0.06786802980665053,0.005515513615593908
fixed_q0_q7,eventual_stagnation_or_loop,within_snapshot,controls_sparse_base,controls,0,96,52,0.2930938087815178,-0.04377028176328864,0.006405376857609827
fixed_q0_q7,eventual_stagnation_or_loop,within_snapshot,controls_sparse_base,controls,1,80,78,0.32147231072147503,-0.016041406742236246,-0.0009219654281368974
fixed_q0_q7,eventual_stagnation_or_loop,within_snapshot,controls_sparse_base,controls,2,80,63,0.24798820959328322,0.002011790406716758,-0.0015115316482162647
fixed_q0_q7,eventual_stagnation_or_loop,within_snapshot,controls_sparse_base,controls,3,96,6,0.6095366926380424,-0.07290034009898003,0.00048320332326442264
fixed_q0_q7,eventual_stagnation_or_loop,within_snapshot,moe_sparse_trap,controls,0,96,52,0.2817114495635984,-0.03238792254536923,0.017787736075529238
