episode,init_state_id,flow_noise_seed,success,failure,stratum
292,29,1004,True,False,i29
293,29,1005,False,True,i29
294,29,1006,True,False,i29
295,29,1007,True,False,i29
296,29,1008,True,False,i29
297,29,1009,True,False,i29
298,29,1010,True,False,i29
299,29,1011,True,False,i29
300,29,1012,True,False,i29
301,29,1013,True,False,i29
302,29,1014,True,False,i29
303,29,1015,True,False,i29
304,29,1016,True,False,i29
305,29,1017,True,False,i29
306,29,1018,True,False,i29
307,29,1019,True,False,i29
308,29,1020,True,False,i29
309,29,1021,True,False,i29
310,29,1022,True,False,i29
311,29,1023,True,False,i29
312,29,1024,True,False,i29
313,29,1025,True,False,i29
314,29,1026,False,True,i29
315,29,1027,False,True,i29
316,29,1028,True,False,i29
317,29,1029,True,False,i29
318,29,1030,True,False,i29
319,29,1031,True,False,i29
320,33,1000,True,False,i33
321,33,1001,True,False,i33
322,33,1002,True,False,i33
323,33,1003,True,False,i33
324,33,1004,True,False,i33
325,33,1005,True,False,i33
326,33,1006,True,False,i33
327,33,1007,True,False,i33
328,33,1008,True,False,i33
329,33,1009,True,False,i33
330,33,1010,True,False,i33
331,33,1011,True,False,i33
332,33,1012,True,False,i33
333,33,1013,True,False,i33
334,33,1014,True,False,i33
335,33,1015,True,False,i33
336,33,1016,True,False,i33
337,33,1017,True,False,i33
338,33,1018,True,False,i33
339,33,1019,True,False,i33
340,33,1020,True,False,i33
341,33,1021,True,False,i33
342,33,1022,True,False,i33
343,33,1023,True,False,i33
344,33,1024,True,False,i33
345,33,1025,True,False,i33
346,33,1026,True,False,i33
347,33,1027,True,False,i33
348,33,1028,True,False,i33
349,33,1029,True,False,i33
350,33,1030,True,False,i33
351,33,1031,True,False,i33
352,36,1000,True,False,i36
353,36,1001,True,False,i36
354,36,1002,True,False,i36
355,36,1003,True,False,i36
356,36,1004,True,False,i36
357,36,1005,True,False,i36
358,36,1006,True,False,i36
359,36,1007,True,False,i36
360,36,1008,True,False,i36
361,36,1009,True,False,i36
362,36,1010,True,False,i36
363,36,1011,True,False,i36
364,36,1012,True,False,i36
365,36,1013,True,False,i36
366,36,1014,True,False,i36
367,36,1015,True,False,i36
368,36,1016,True,False,i36
369,36,1017,True,False,i36
370,36,1018,True,False,i36
371,36,1019,True,False,i36
372,36,1020,True,False,i36
373,36,1021,True,False,i36
374,36,1022,True,False,i36
375,36,1023,True,False,i36
376,36,1024,True,False,i36
377,36,1025,True,False,i36
378,36,1026,True,False,i36
379,36,1027,True,False,i36
380,36,1028,True,False,i36
381,36,1029,True,False,i36
