corpus,from_state,to_state,count,probability
B,11,6,3,0.0018359853121175031
B,11,7,1,0.0006119951040391676
B,11,8,34,0.0208078335373317
B,11,9,55,0.033659730722154224
B,11,10,593,0.3629130966952264
B,11,11,732,0.4479804161566707
B,11,12,2,0.0012239902080783353
B,11,13,73,0.04467564259485924
B,11,14,1,0.0006119951040391676
B,11,15,1,0.0006119951040391676
B,12,0,0,0.0
B,12,1,0,0.0
B,12,2,4,0.0273972602739726
B,12,3,6,0.0410958904109589
B,12,4,0,0.0
B,12,5,8,0.0547945205479452
B,12,6,0,0.0
B,12,7,0,0.0
B,12,8,7,0.04794520547945205
B,12,9,2,0.0136986301369863
B,12,10,2,0.0136986301369863
B,12,11,0,0.0
B,12,12,26,0.1780821917808219
B,12,13,88,0.6027397260273972
B,12,14,1,0.00684931506849315
B,12,15,2,0.0136986301369863
B,13,0,1,0.0003874467260751647
B,13,1,27,0.010461061604029445
B,13,2,53,0.02053467648198373
B,13,3,139,0.053855094924447885
B,13,4,1,0.0003874467260751647
B,13,5,148,0.05734211545912437
B,13,6,15,0.00581170089112747
B,13,7,29,0.011235955056179775
B,13,8,9,0.003487020534676482
B,13,9,211,0.08175125920185974
B,13,10,20,0.0077489345215032935
B,13,11,277,0.10732274312282061
B,13,12,68,0.0263463773731112
B,13,13,1394,0.5401007361487795
B,13,14,6,0.002324680356450988
B,13,15,183,0.07090275087175513
B,14,0,0,0.0
B,14,1,2,0.06896551724137931
B,14,2,2,0.06896551724137931
B,14,3,4,0.13793103448275862
B,14,4,0,0.0
B,14,5,1,0.034482758620689655
B,14,6,0,0.0
B,14,7,0,0.0
B,14,8,0,0.0
B,14,9,0,0.0
B,14,10,1,0.034482758620689655
B,14,11,0,0.0
B,14,12,1,0.034482758620689655
B,14,13,17,0.5862068965517241
B,14,14,0,0.0
B,14,15,1,0.034482758620689655
B,15,0,0,0.0
B,15,1,4,0.012345679012345678
B,15,2,22,0.06790123456790123
B,15,3,32,0.09876543209876543
B,15,4,0,0.0
B,15,5,4,0.012345679012345678
B,15,6,2,0.006172839506172839
B,15,7,1,0.0030864197530864196
B,15,8,2,0.006172839506172839
B,15,9,39,0.12037037037037036
B,15,10,7,0.021604938271604937
B,15,11,137,0.4228395061728395
B,15,12,2,0.006172839506172839
B,15,13,61,0.1882716049382716
B,15,14,0,0.0
B,15,15,11,0.033950617283950615
