dataset,snapshot,layer_group,view,flow,median_dispersion,mean_dispersion,candidates
rolling_star_k16,worker0_snapshot000,back,edge_action,4,0.020387226715683937,0.020571233704686165,16
rolling_star_k16,worker0_snapshot000,back,edge_action,5,0.020484106615185738,0.020706793293356895,16
rolling_star_k16,worker0_snapshot000,back,edge_action,6,0.02012726664543152,0.020393654704093933,16
rolling_star_k16,worker0_snapshot000,back,edge_action,7,0.0192269179970026,0.01955597475171089,16
rolling_star_k16,worker0_snapshot000,back,edge_action,8,0.018591228872537613,0.018722793087363243,16
rolling_star_k16,worker0_snapshot000,back,edge_action,9,0.01917991042137146,0.0194682814180851,16
rolling_star_k16,worker0_snapshot000,back,edge_state,0,0.0008555862586945295,0.0007996583008207381,16
rolling_star_k16,worker0_snapshot000,back,edge_state,1,0.0007290482171811163,0.00070392363704741,16
rolling_star_k16,worker0_snapshot000,back,edge_state,2,0.0006789368926547468,0.000572980206925422,16
rolling_star_k16,worker0_snapshot000,back,edge_state,3,0.000772411935031414,0.0006538660963997245,16
rolling_star_k16,worker0_snapshot000,back,edge_state,4,0.0006824894226156175,0.0006184831727296114,16
rolling_star_k16,worker0_snapshot000,back,edge_state,5,0.0009226169204339385,0.0007083367672748864,16
rolling_star_k16,worker0_snapshot000,back,edge_state,6,0.0007687445031479001,0.0006695532938465476,16
rolling_star_k16,worker0_snapshot000,back,edge_state,7,0.0008675219141878188,0.0007378340233117342,16
rolling_star_k16,worker0_snapshot000,back,edge_state,8,0.0007709141937084496,0.0006607044488191605,16
rolling_star_k16,worker0_snapshot000,back,edge_state,9,0.0,0.00022606612765230238,16
rolling_star_k16,worker0_snapshot000,back,token_gram,0,0.000503400107845664,0.0005000422825105488,16
rolling_star_k16,worker0_snapshot000,back,token_gram,1,0.0004950531292706728,0.0004904791712760925,16
rolling_star_k16,worker0_snapshot000,back,token_gram,2,0.0005031414912082255,0.0005008832667954266,16
rolling_star_k16,worker0_snapshot000,back,token_gram,3,0.0005338704795576632,0.0005264857900328934,16
