suite,chunk,series,auc,direction,n_risk,n_safe,deadline,tp@fp10,fp@fp10,tp@fp20,fp@fp20,tp@fp40,fp@fp40,degenerate,gauss_tp@fp20,floor_auc,floor_tp,auc_margin,tp_margin
libero_goal,6,step_endpoint_all,0.6490126151061905,high,102,3898,True,2,11,5,21,8,41,False,2.1824298274955853,0.10145313248522914,4.0,0.047559482620961324,1.0
libero_goal,6,step_endpoint_fbr,0.6309948368552722,low,102,3898,True,0,11,0,21,2,41,False,1.8499618018498512,0.10145313248522914,4.0,0.02954170437004311,-4.0
libero_goal,6,state_mob_back,0.5046840900622771,low,102,3898,True,1,11,1,21,1,41,False,0.5489463558930433,0.10145313248522914,4.0,-0.09676904242295203,-3.0
libero_goal,6,state_mob_all,0.5670676531644222,high,102,3898,True,0,11,0,21,0,41,False,1.0155038437232335,0.10145313248522914,4.0,-0.03438547932080693,-4.0
libero_goal,6,state_mob_fbr,0.6222121679885027,high,102,3898,True,0,11,0,21,0,41,False,1.7059258012883822,0.10145313248522914,4.0,0.020759035503273515,-4.0
libero_goal,6,state_top4mass_back,0.5118299888220578,high,102,3898,True,7,11,7,21,8,41,False,0.5901581018576855,0.10145313248522914,4.0,-0.08962314366317137,3.0
libero_goal,6,state_top4mass_all,0.6009341565976473,high,102,3898,True,0,11,4,21,8,41,False,1.3995246211722756,0.10145313248522914,4.0,-0.000518975887581874,0.0
libero_goal,6,state_top4mass_fbr,0.6239687017618566,high,102,3898,True,0,11,0,21,0,41,False,1.7338560219845787,0.10145313248522914,4.0,0.022515569276627456,-4.0
libero_goal,6,state_set_jacc_back,0.5013440144780965,high,102,3898,True,1,11,1,28,1,55,False,0.5305799269164956,0.10145313248522914,4.0,-0.10010911800713262,-3.0
libero_goal,6,state_set_jacc_all,0.5290759567786235,low,102,3898,True,1,14,1,23,1,41,False,0.7012644312417325,0.10145313248522914,4.0,-0.07237717570660562,-3.0
libero_goal,6,state_set_jacc_fbr,0.5311518603289509,low,102,3898,True,0,11,0,22,0,53,False,0.7158339534021424,0.10145313248522914,4.0,-0.07030127215627824,-4.0
libero_goal,6,mob_back_s9@open,0.6201894927343375,high,102,3898,True,0,11,0,21,1,41,False,1.674289952901057,0.10145313248522914,4.0,0.018736360249108408,-4.0
libero_goal,6,mob_front_s9@open,0.5499813700963432,high,102,3898,True,2,11,5,21,7,41,False,0.861048404849114,0.10145313248522914,4.0,-0.051471762388885955,1.0
libero_goal,6,mob_all_smean@open,0.6126843029754617,high,102,3898,True,2,11,2,21,2,41,False,1.5616683771549633,0.10145313248522914,4.0,0.01123117049023259,-2.0
libero_goal,6,mob_layer_spread@open,0.5644328525043913,high,102,3898,True,0,11,0,21,0,41,False,0.9901421075469856,0.10145313248522914,4.0,-0.03702027998083779,-4.0
libero_goal,6,mob_step_spread@open,0.5791770905413318,high,102,3898,True,0,11,0,21,2,41,False,1.139927071003796,0.10145313248522914,4.0,-0.022276041943897318,-4.0
libero_goal,6,mob_late_early@open,0.5781125246180869,high,102,3898,True,0,11,0,21,0,41,False,1.1284505990982827,0.10145313248522914,4.0,-0.023340607867142205,-4.0
libero_goal,6,mob_front_back@open,0.5467344440304466,high,102,3898,True,1,11,1,21,1,41,False,0.8342439989409628,0.10145313248522914,4.0,-0.05471868845478256,-3.0
libero_goal,6,flow_path_back@open,0.6574493000479055,high,102,3898,True,4,11,7,21,9,41,False,2.3570756460438878,0.10145313248522914,4.0,0.055996167562676336,3.0
libero_goal,6,flow_path_front@open,0.5792569329855751,high,102,3898,True,1,11,2,21,7,41,False,1.1407921347749108,0.10145313248522914,4.0,-0.022196199499654012,-2.0
libero_goal,6,flow_peak_back@open,0.5939745568744345,high,102,3898,True,9,11,9,21,9,41,False,1.3110507263281406,0.10145313248522914,4.0,-0.00747857561079468,5.0
libero_goal,6,flow_tail_back@open,0.6383403417256613,high,102,3898,True,7,11,9,21,9,41,False,1.979211669832697,0.10145313248522914,4.0,0.036887209240432206,5.0
libero_goal,6,flow_head_back@open,0.6562782775323361,high,102,3898,True,3,11,5,21,7,41,False,2.3320555452323837,0.10145313248522914,4.0,0.054825145047107005,1.0
libero_goal,6,flow_tail_head@open,0.5609996274019269,high,102,3898,True,4,11,6,21,8,41,False,0.9579659978482536,0.10145313248522914,4.0,-0.040453505083302255,2.0
libero_goal,6,set_jacc_adj_back@open,0.510858572417097,high,102,3898,True,1,11,1,21,1,41,False,0.5843981098057964,0.10145313248522914,4.0,-0.09059456006813216,-3.0
libero_goal,6,set_jacc_adj_all@open,0.5114440836748816,low,102,3898,True,0,11,0,21,0,41,False,0.5878638339034139,0.10145313248522914,4.0,-0.09000904881034755,-4.0
libero_goal,6,set_jacc_adj_fbr@open,0.5167402991430244,low,102,3898,True,0,11,1,21,2,41,False,0.6200588463412042,0.10145313248522914,4.0,-0.0847128333422047,-3.0
libero_goal,6,set_inflow_back@open,0.542609251077873,high,102,3898,True,0,11,0,21,1,41,False,0.8012835942748187,0.10145313248522914,4.0,-0.05884388140735619,-4.0
libero_goal,6,set_inflow_all@open,0.5134401447809656,high,102,3898,True,0,11,0,21,0,41,False,0.5998174461193779,0.10145313248522914,4.0,-0.08801298770426358,-4.0
libero_goal,6,set_inflow_fbr@open,0.5177649438441476,low,102,3898,True,0,11,0,21,0,41,False,0.6264668536329107,0.10145313248522914,4.0,-0.08368818864108152,-4.0
libero_goal,6,set_outflow_back@open,0.5453771224783095,high,102,3898,True,0,11,0,21,0,41,False,0.8232655163147913,0.10145313248522914,4.0,-0.05607601000691964,-4.0
libero_goal,6,set_outflow_all@open,0.5336668973226167,high,102,3898,True,0,11,0,21,0,41,False,0.7338511760812312,0.10145313248522914,4.0,-0.0677862351626124,-4.0
libero_goal,6,set_outflow_fbr@open,0.5086762122744451,high,102,3898,True,1,11,2,21,2,41,False,0.5716407787589568,0.10145313248522914,4.0,-0.09277692021078399,-2.0
libero_goal,6,set_asym_back@open,0.5112178634161921,low,102,3898,True,0,11,0,21,1,41,False,0.5865226308827722,0.10145313248522914,4.0,-0.090235269069037,-4.0
libero_goal,6,set_asym_all@open,0.521530845797626,low,102,3898,True,0,11,0,21,0,41,False,0.6505321771327564,0.10145313248522914,4.0,-0.07992228668760315,-4.0
libero_goal,6,set_asym_fbr@open,0.5518044392399,low,102,3898,True,1,11,1,21,2,41,False,0.8764397415516169,0.10145313248522914,4.0,-0.04964869324532917,-3.0
libero_goal,6,rank_footrule_adj_back@open,0.5738010326289456,high,102,3898,True,0,11,0,21,0,41,False,1.0830520325493067,0.10145313248522914,4.0,-0.027652099856283585,-4.0
libero_goal,6,rank_footrule_adj_all@open,0.5473199552882312,high,102,3898,True,0,11,0,21,0,41,False,0.8390207595306642,0.10145313248522914,4.0,-0.05413317719699795,-4.0
libero_goal,6,rank_footrule_adj_fbr@open,0.5046308617661148,high,102,3898,True,0,0,0,0,0,0,True,0.548649276055107,0.10145313248522914,4.0,-0.09682227071911431,-4.0
libero_goal,6,tok_disp_back@open,0.6190184702187683,high,102,3898,True,2,11,6,21,9,41,False,1.656228224267083,0.10145313248522914,4.0,0.017565337733539188,2.0
libero_goal,6,tok_disp_all@open,0.6203757917709054,high,102,3898,True,6,11,6,21,11,41,False,1.6771804756907125,0.10145313248522914,4.0,0.01892265928567627,2.0
libero_goal,6,tok_disp_fbr@open,0.5232341512748176,high,102,3898,True,0,11,0,21,0,41,False,0.661687043185889,0.10145313248522914,4.0,-0.07821898121041149,-4.0
libero_goal,6,tok_near_far_back@open,0.6028370681854474,high,102,3898,True,0,11,0,21,0,41,False,1.4246671924827312,0.10145313248522914,4.0,0.0013839357002182195,-4.0
libero_goal,6,tok_near_far_all@open,0.6350934156597647,high,102,3898,True,0,11,0,21,0,41,False,1.921055080175369,0.10145313248522914,4.0,0.0336402831745356,-4.0
libero_goal,6,tok_near_far_fbr@open,0.5002794485548517,low,102,3898,True,0,0,0,0,0,0,True,0.5248422593056224,0.10145313248522914,4.0,-0.1011736839303774,-4.0
libero_goal,6,tok_effrank_back@open,0.5187097461010273,high,102,3898,True,0,11,0,21,0,41,False,0.6324281120812387,0.10145313248522914,4.0,-0.08274338638420187,-4.0
libero_goal,6,tok_effrank_all@open,0.5030606270293287,high,102,3898,True,0,11,0,21,0,41,False,0.5399496612283363,0.10145313248522914,4.0,-0.09839250545590039,-4.0
libero_goal,6,tok_effrank_fbr@open,0.5238728908287646,low,102,3898,True,0,11,0,21,1,41,False,0.6659142549663803,0.10145313248522914,4.0,-0.07758024165646449,-4.0
libero_goal,6,state_action_back@open,0.5265609197849577,low,102,3898,True,0,11,0,21,0,41,False,0.6839713614587022,0.10145313248522914,4.0,-0.07489221270027147,-4.0
libero_goal,6,state_action_all@open,0.569462926491723,high,102,3898,True,0,11,0,21,0,41,False,1.039075900855172,0.10145313248522914,4.0,-0.031990205993506104,-4.0
libero_goal,6,state_action_fbr@open,0.6019321871506893,high,102,3898,True,0,11,0,21,0,41,False,1.4126591414457874,0.10145313248522914,4.0,0.00047905466546016573,-4.0
libero_goal,6,load_top4mass_back@open,0.6357055410656305,high,102,3898,True,4,11,6,21,7,41,False,1.931893147381827,0.10145313248522914,4.0,0.03425240858040135,2.0
libero_goal,6,load_top4mass_all@open,0.6531644222068451,high,102,3898,True,5,11,8,21,9,41,False,2.266761685235376,0.10145313248522914,4.0,0.05171128972161598,4.0
libero_goal,6,load_top4mass_fbr@open,0.5000798424442434,low,102,3898,True,0,0,0,0,0,0,True,0.5237726181216595,0.10145313248522914,4.0,-0.10137329004098572,-4.0
libero_goal,6,load_pr_back@open,0.6747218821525522,low,102,3898,True,0,11,0,21,0,41,False,2.7576634717826916,0.10145313248522914,4.0,0.07326874966732311,-4.0
libero_goal,6,load_pr_all@open,0.7247564805450577,low,102,3898,True,0,11,1,21,1,41,False,4.333410143933416,0.10145313248522914,4.0,0.12330334805982857,-3.0
libero_goal,6,load_pr_fbr@open,0.585670942673125,high,102,3898,True,0,11,0,21,0,41,False,1.2123017531501155,0.10145313248522914,4.0,-0.015782189812104108,-4.0
libero_goal,6,step_endpoint_back@open,0.6539096183531166,high,102,3898,True,1,11,2,21,8,41,False,2.2822256718527925,0.10145313248522914,4.0,0.052456485867887426,-2.0
libero_goal,6,step_endpoint_all@open,0.6454729334114016,high,102,3898,True,2,11,4,21,8,41,False,2.112914101245773,0.10145313248522914,4.0,0.044019800926172414,0.0
libero_goal,6,step_endpoint_fbr@open,0.5090887315697025,high,102,3898,True,0,11,0,21,0,41,False,0.5740329699705482,0.10145313248522914,4.0,-0.09236440091552667,-4.0
libero_goal,6,state_mob_back@open,0.5150636078139139,low,102,3898,True,1,11,1,21,1,41,False,0.6096996943007065,0.10145313248522914,4.0,-0.08638952467131522,-3.0
libero_goal,6,state_mob_all@open,0.5693032416032363,high,102,3898,True,0,11,0,21,0,41,False,1.037488931549274,0.10145313248522914,4.0,-0.032149890881992826,-4.0
libero_goal,6,state_mob_fbr@open,0.6138553254910311,high,102,3898,True,0,11,0,21,0,41,False,1.578758263666434,0.10145313248522914,4.0,0.01240219300580192,-4.0
libero_goal,6,state_top4mass_back@open,0.5041251929525736,low,102,3898,True,1,11,1,21,1,41,False,0.5458341607973791,0.10145313248522914,4.0,-0.0973279395326555,-3.0
libero_goal,6,state_top4mass_all@open,0.5580188428168414,high,102,3898,True,0,11,0,21,0,41,False,0.9308092995867744,0.10145313248522914,4.0,-0.04343428966838769,-4.0
libero_goal,6,state_top4mass_fbr@open,0.5754777239580561,high,102,3898,True,0,11,0,21,0,41,False,1.1005031306243944,0.10145313248522914,4.0,-0.02597540852717306,-4.0
libero_goal,6,state_set_jacc_back@open,0.5269335178580934,low,102,3898,True,0,11,0,21,1,42,False,0.6865088069018184,0.10145313248522914,4.0,-0.07451961462713574,-4.0
libero_goal,6,state_set_jacc_all@open,0.5404668121573428,low,102,3898,True,1,11,1,21,1,41,False,0.7846358907731226,0.10145313248522914,4.0,-0.06098632032788631,-3.0
libero_goal,6,state_set_jacc_fbr@open,0.519082344174163,low,102,3898,True,0,11,0,21,1,41,False,0.6347929918138586,0.10145313248522914,4.0,-0.08237078831106615,-4.0
libero_goal,8,mob_back_s9,0.6229059829059829,low,102,3093,True,2,11,2,21,2,41,False,2.0946670960107276,0.08013602785642227,5.0,0.042769955049560604,-3.0
libero_goal,8,mob_front_s9,0.5403885003885004,low,102,3093,True,0,11,0,21,0,41,False,0.9776774259928076,0.08013602785642227,5.0,-0.03974752746792187,-5.0
libero_goal,8,mob_all_smean,0.5358197358197359,low,102,3093,True,0,11,0,21,2,41,False,0.9358576617512934,0.08013602785642227,5.0,-0.04431629203668641,-5.0
libero_goal,8,mob_layer_spread,0.6309246309246309,low,102,3093,True,1,11,1,21,2,41,False,2.250659172077686,0.08013602785642227,5.0,0.05078860306820865,-4.0
libero_goal,8,mob_step_spread,0.6067443667443668,low,102,3093,True,0,11,1,21,1,41,False,1.8105655972515644,0.08013602785642227,5.0,0.02660833888794456,-4.0
libero_goal,8,mob_late_early,0.5996891996891998,low,102,3093,True,0,11,1,21,2,41,False,1.698182336450879,0.08013602785642227,5.0,0.019553171832777494,-4.0
libero_goal,8,mob_front_back,0.5423776223776223,high,102,3093,True,2,11,2,21,2,41,False,0.996404721137989,0.08013602785642227,5.0,-0.03775840547879994,-3.0
libero_goal,8,flow_path_back,0.5541569541569542,high,102,3093,True,1,11,1,21,1,41,False,1.1141020995110387,0.08013602785642227,5.0,-0.025979073699468058,-4.0
libero_goal,8,flow_path_front,0.5374048174048174,high,102,3093,True,2,11,2,21,3,41,False,0.9501805361250297,0.08013602785642227,5.0,-0.042731210451604884,-3.0
libero_goal,8,flow_peak_back,0.5363170163170163,low,102,3093,True,2,11,2,21,2,41,False,0.9403300689249383,0.08013602785642227,5.0,-0.04381901153940593,-3.0
libero_goal,8,flow_tail_back,0.504087024087024,high,102,3093,True,1,11,1,21,1,41,False,0.6868908303894447,0.08013602785642227,5.0,-0.07604900376939827,-4.0
libero_goal,8,flow_head_back,0.623900543900544,high,102,3093,True,0,11,1,21,3,41,False,2.113446997362303,0.08013602785642227,5.0,0.04376451604412168,-4.0
libero_goal,8,flow_tail_head,0.5831857031857032,low,102,3093,True,0,11,1,21,1,41,False,1.460037194176105,0.08013602785642227,5.0,0.00304967532928091,-4.0
libero_goal,8,set_jacc_adj_back,0.5521522921522921,high,102,3093,True,2,11,2,21,2,41,False,1.0932241069533468,0.08013602785642227,5.0,-0.027983735704130153,-3.0
libero_goal,8,set_jacc_adj_all,0.5647397047397047,high,102,3093,True,1,11,2,21,3,41,False,1.230442140073293,0.08013602785642227,5.0,-0.01539632311671757,-3.0
libero_goal,8,set_jacc_adj_fbr,0.5082517482517482,low,102,3093,True,0,11,0,21,0,41,False,0.7157759261162469,0.08013602785642227,5.0,-0.07188427960467403,-5.0
libero_goal,8,set_inflow_back,0.5884693084693084,low,102,3093,True,2,11,2,21,2,41,False,1.5326940487194767,0.08013602785642227,5.0,0.008333280612886185,-3.0
libero_goal,8,set_inflow_all,0.6165656565656565,low,102,3093,True,2,11,2,21,2,41,False,1.978576430932406,0.08013602785642227,5.0,0.036429628709234274,-3.0
libero_goal,8,set_inflow_fbr,0.5069463869463869,low,102,3093,True,0,11,0,21,1,41,False,0.7066085907590152,0.08013602785642227,5.0,-0.07318964091003533,-5.0
libero_goal,8,set_outflow_back,0.5601554001554001,low,102,3093,True,2,11,2,21,3,41,False,1.1787534164322293,0.08013602785642227,5.0,-0.019980627701022158,-3.0
libero_goal,8,set_outflow_all,0.5618958818958819,low,102,3093,True,2,11,2,21,2,41,False,1.1981401785449413,0.08013602785642227,5.0,-0.018240145960540355,-3.0
libero_goal,8,set_outflow_fbr,0.5052680652680652,high,102,3093,True,1,11,1,21,4,41,False,0.6949751751378516,0.08013602785642227,5.0,-0.07486796258835704,-4.0
libero_goal,8,set_asym_back,0.5462937062937063,low,102,3093,True,0,11,3,21,3,41,False,1.03422253316569,0.08013602785642227,5.0,-0.03384232156271594,-2.0
libero_goal,8,set_asym_all,0.5723232323232323,low,102,3093,True,1,11,1,21,1,41,False,1.3205022994936717,0.08013602785642227,5.0,-0.00781279553318992,-4.0
libero_goal,8,set_asym_fbr,0.5414452214452214,high,102,3093,True,1,11,1,21,2,41,False,0.9875864201583376,0.08013602785642227,5.0,-0.03869080641120082,-4.0
libero_goal,8,set_novel_open_back,0.5174825174825175,high,102,3093,True,0,11,0,26,0,44,False,0.7836769078143939,0.08013602785642227,5.0,-0.06265351037390476,-5.0
libero_goal,8,set_novel_open_all,0.5700699300699301,high,102,3093,True,0,11,0,21,0,43,False,1.2931336076703597,0.08013602785642227,5.0,-0.010066097786492145,-5.0
libero_goal,8,set_novel_open_fbr,0.5421756021756021,high,102,3093,True,0,11,0,21,0,41,False,0.9944880878903618,0.08013602785642227,5.0,-0.03796042568082014,-5.0
libero_goal,8,rank_footrule_adj_back,0.598974358974359,low,102,3093,True,1,11,2,21,2,41,False,1.6871644524593525,0.08013602785642227,5.0,0.018838331117936757,-3.0
libero_goal,8,rank_footrule_adj_all,0.5849883449883451,low,102,3093,True,1,11,1,21,2,41,False,1.4844616635214631,0.08013602785642227,5.0,0.004852317131922801,-4.0
