task,physical_pattern,n,mixed_initial_states,cross_init_status,family,feature,effect_sigma
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,bowl_transport_loss_proxy,1,1,descriptive_only,query_recurrence,soft_denoise_spread|front_2_5|return_advantage_mean,-25.547111095923178
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,bowl_transport_loss_proxy,1,1,descriptive_only,state_action_mismatch,state_action_gap_at_d|back_12_15|d3|query_change,70.66130256943704
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,bowl_transport_loss_proxy,1,1,descriptive_only,state_confidence,state_top1|front_2_5|denoise_mean|phase_late,-14.70923748859168
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,bowl_transport_loss_proxy,1,1,descriptive_only,token_disagreement,action_token_dispersion_at_d|back_12_15|d9|phase_late,211.4226415774016
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,ramekin_displacement_interference_proxy,10,1,descriptive_only,action_confidence,action_top4_at_d|back_12_15|d4|phase_mean,-225.08079624363907
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,ramekin_displacement_interference_proxy,10,1,descriptive_only,denoise_hard_switch,action_hard_switch|back_12_15|denoise_max|phase_mean,32.08387978386768
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,ramekin_displacement_interference_proxy,10,1,descriptive_only,denoise_soft_motion,action_denoise_motion|back_12_15|denoise_std|phase_slope,-63.67391262079189
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,ramekin_displacement_interference_proxy,10,1,descriptive_only,query_persistence,soft_route|back_12_15|adjacent_late,-31.579472135430795
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,ramekin_displacement_interference_proxy,10,1,descriptive_only,query_recurrence,soft_denoise_spread|front_2_5|return_advantage_mean,25.547111095923178
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,ramekin_displacement_interference_proxy,10,1,descriptive_only,state_action_mismatch,state_action_gap_at_d|back_12_15|d3|query_change,-70.66130256943704
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,ramekin_displacement_interference_proxy,10,1,descriptive_only,state_confidence,state_top1|front_2_5|denoise_mean|phase_late,14.70923748859168
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,ramekin_displacement_interference_proxy,10,1,descriptive_only,token_disagreement,action_token_dispersion_at_d|back_12_15|d9|phase_late,-211.4226415774016
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,bowl_never_transported,27,1,descriptive_only,action_confidence,action_top1_at_d|back_12_15|d9|phase_std,-10.695733165811404
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,bowl_never_transported,27,1,descriptive_only,denoise_hard_switch,action_hard_switch|back_12_15|denoise_final|phase_slope,3.701715641084984
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,bowl_never_transported,27,1,descriptive_only,denoise_soft_motion,action_denoise_motion|back_12_15|denoise_final|phase_slope,7.36916494727187
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,bowl_never_transported,27,1,descriptive_only,query_persistence,hard_route|front_2_5|adjacent_delta,3.1275277633406158
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,bowl_never_transported,27,1,descriptive_only,query_recurrence,soft_denoise_spread|front_2_5|return_advantage_mean,2.152940907975976
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,bowl_never_transported,27,1,descriptive_only,state_action_mismatch,state_action_gap|back_12_15|denoise_std|phase_std,5.655772830528268
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,bowl_never_transported,27,1,descriptive_only,state_confidence,state_top4|back_12_15|denoise_mean|late_minus_mid,7.353520165621434
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,bowl_never_transported,27,1,descriptive_only,token_disagreement,action_token_dispersion|front_2_5|denoise_std|query_change,2.8591672991561667
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,bowl_transport_loss_proxy,6,1,descriptive_only,action_confidence,action_top1_at_d|back_12_15|d9|phase_std,10.695733165811404
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,bowl_transport_loss_proxy,6,1,descriptive_only,denoise_hard_switch,action_hard_switch|back_12_15|denoise_final|phase_slope,-3.701715641084984
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,bowl_transport_loss_proxy,6,1,descriptive_only,denoise_soft_motion,action_denoise_motion|back_12_15|denoise_final|phase_slope,-7.36916494727187
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,bowl_transport_loss_proxy,6,1,descriptive_only,query_persistence,hard_route|front_2_5|adjacent_delta,-3.1275277633406158
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,bowl_transport_loss_proxy,6,1,descriptive_only,query_recurrence,soft_denoise_spread|front_2_5|return_advantage_mean,-2.152940907975976
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,bowl_transport_loss_proxy,6,1,descriptive_only,state_action_mismatch,state_action_gap|back_12_15|denoise_std|phase_std,-5.655772830528268
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,bowl_transport_loss_proxy,6,1,descriptive_only,state_confidence,state_top4|back_12_15|denoise_mean|late_minus_mid,-7.353520165621434
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,bowl_transport_loss_proxy,6,1,descriptive_only,token_disagreement,action_token_dispersion|front_2_5|denoise_std|query_change,-2.8591672991561667
