design,scope,layer,token_role,relative_query,metric,n_strata,n_pairs,n_tasks,auc,auc_lo,auc_hi,auc_abs,null_auc,null_lo,null_hi,null_abs_mean,n_strata_null,delta_abs,delta_abs_lo,delta_abs_hi,p_boot,exceeds_null_paired,exceeds_null_disjoint,q_bh,exceeds_null_bh
wide,seed1008_1015,L5,action,1,gate_entropy,109,508,10,0.1926605504587156,0.08614285714285716,0.4193121052631574,0.3073394495412844,0.4998011904761905,0.3974358974358974,0.6076988636363636,0.03967775770628616,105,0.2676616918349982,0.013630952380952337,0.38810021060021066,0.0175,True,False,0.1013793103448276,False
wide,seed1008_1015,L5,action,2,gate_entropy,109,508,10,0.1665137614678899,0.07419354838709678,0.40973310291858656,0.3334862385321101,0.4996460317460317,0.4009313853948288,0.6060671368861024,0.03999264339063069,105,0.29349359514147944,0.008728939029720271,0.3960578878281869,0.0215,True,False,0.11466666666666665,False
wide,seed1008_1015,L5,action,3,gate_entropy,109,508,10,0.3087155963302753,0.09043183259353202,0.5048701298701292,0.1912844036697247,0.4990646825396825,0.396337489212881,0.6015724571078431,0.04036325209604181,105,0.1509211515736829,-0.03310088047887587,0.3635175917046266,0.053,False,False,0.17289320388349513,False
wide,seed1008_1015,L5,action,4,gate_entropy,107,498,10,0.34330218068535834,0.27861844924995127,0.5914144905273936,0.15669781931464166,0.49893390859919323,0.3801457656926407,0.6086273372177232,0.04368389136358088,101,0.11301392795106077,-0.07944617729087872,0.20157704725290201,0.1085,False,False,0.2306086956521739,False
wide,seed1008_1015,L5,action,5,gate_entropy,104,491,10,0.16971153846153844,0.06247259987192749,0.4914898989898987,0.3302884615384616,0.49924006389452896,0.3819430774278215,0.6134378940731396,0.04420776947584185,99,0.2860806920626197,-0.05060566188197768,0.4157767636724337,0.053,False,False,0.17289320388349513,False
wide,seed1008_1015,L12,state,-1,gate_entropy,109,508,10,0.5149847094801224,0.25484375,0.6103719211822659,0.014984709480122427,0.5010238095238095,0.39324839486356344,0.6052896249243798,0.04003961458836168,105,-0.025054905108239253,-0.07149660492683814,0.19575591216216207,0.3405,False,False,0.38319732441471577,False
wide,seed1008_1015,L12,state,0,gate_entropy,109,508,10,0.46391437308868505,0.2588519503546099,0.540224365942029,0.03608562691131495,0.5006269841269841,0.38993194523854896,0.5955905047204066,0.039606553095519234,105,-0.0035209261842042844,-0.07205441150508064,0.2037262482091309,0.393,False,False,0.42323076923076924,False
wide,seed1008_1015,L12,state,1,gate_entropy,109,508,10,0.5376146788990827,0.277325505050505,0.6645547241784038,0.037614678899082654,0.5006599206349206,0.3970546693253572,0.6071428571428571,0.04069822908038065,105,-0.003083550181297995,-0.06308704638571852,0.18913333200127877,0.197,False,False,0.27154285714285714,False
wide,seed1008_1015,L12,state,2,gate_entropy,109,508,10,0.46131498470948024,0.2385785486443381,0.6291692073170732,0.038685015290519764,0.5007174603174603,0.39203909430122114,0.601955359185541,0.041019301941372446,105,-0.002334286650852682,-0.0701977223097416,0.21065972222222215,0.3675,False,False,0.40221498371335507,False
wide,seed1008_1015,L12,state,3,gate_entropy,109,508,10,0.48409785932721716,0.3703654970760234,0.6327349167349167,0.01590214067278284,0.5009817460317461,0.39061814692982455,0.6066584239291866,0.04128104095740001,105,-0.025378900284617173,-0.08269533819467394,0.11437604862181128,0.433,False,False,0.4571285266457681,False
wide,seed1008_1015,L12,state,4,gate_entropy,107,498,10,0.6708722741433022,0.39682001614205,0.7645686195826645,0.1708722741433022,0.50151641693336,0.3920009185548072,0.6125148809523809,0.04262897226316957,101,0.1282433018801326,-0.07692504084967304,0.24411405837635866,0.1215,False,False,0.243,False
wide,seed1008_1015,L12,state,5,gate_entropy,104,491,10,0.6294871794871795,0.447176724137931,0.6920522959183675,0.12948717948717947,0.5011139406501807,0.3956740118784821,0.6229567593252554,0.04346660495589686,99,0.08602057453128262,-0.09589048481711529,0.17462332714473586,0.1585,False,False,0.2564601769911504,False
wide,seed1008_1015,L12,action,-1,gate_entropy,109,508,10,0.45718654434250766,0.23658179689786366,0.6224805735302249,0.04281345565749234,0.5002059523809524,0.3903246923278345,0.605858466081976,0.04072695783299152,105,0.0020864978245008214,-0.07484419371069946,0.21846878408405662,0.323,False,False,0.37040273037542665,False
wide,seed1008_1015,L12,action,0,gate_entropy,109,508,10,0.3253822629969419,0.21353580738098504,0.5593527817631117,0.1746177370030581,0.5000230158730159,0.4,0.6069696162046908,0.04073268111757083,105,0.13388505588548727,-0.09381444041417149,0.2600311021506099,0.2305,False,False,0.2911578947368421,False
wide,seed1008_1015,L12,action,1,gate_entropy,109,508,10,0.35061162079510705,0.19999999999999998,0.49532130921243805,0.14938837920489295,0.5003345238095238,0.39314182194616976,0.6071573751451799,0.040468627479148284,105,0.10891975172574467,-0.030581187412664437,0.24814036098310266,0.067,False,False,0.20807339449541284,False
wide,seed1008_1015,L12,action,2,gate_entropy,109,508,10,0.17033639143730886,0.1269606777493606,0.3107924836601307,0.32966360856269117,0.4993992063492063,0.40416213768115944,0.6007068452380951,0.039697352181282175,105,0.289966256381409,0.10831909937888205,0.35258390678561147,0.0055,True,True,0.072,False
wide,seed1008_1015,L12,action,3,gate_entropy,109,508,10,0.2756880733944954,0.21111111111111114,0.35,0.22431192660550459,0.49978452380952376,0.3860731734399289,0.6046649074609599,0.040612740678147914,105,0.18369918592735668,0.0667594376526817,0.2561344647676883,0.0075,True,True,0.072,False
wide,seed1008_1015,L12,action,4,gate_entropy,107,498,10,0.26028037383177566,0.1154599959179508,0.5257117498854784,0.23971962616822434,0.5001704315014834,0.37993565599497797,0.6131524725274722,0.04407582136959846,101,0.1956438047986259,-0.08579616966726715,0.3517675850172097,0.1325,False,False,0.2515254237288136,False
wide,seed1008_1015,L12,action,5,gate_entropy,104,491,10,0.22275641025641027,0.07499663978494624,0.5318217054263563,0.27724358974358976,0.49990483413296416,0.37719024122807016,0.6136440940012369,0.04513785459609442,99,0.23210573514749533,-0.07395898846960165,0.3967834164770608,0.0985,False,False,0.2306086956521739,False
wide,seed1008_1015,L13,state,-1,gate_entropy,109,508,10,0.6880733944954127,0.37826694603057653,0.7946800505050504,0.18807339449541272,0.5000849206349206,0.401313758934373,0.60297181372549,0.04012437457809465,105,0.14794901991731807,-0.05127370449402679,0.2729260908926497,0.086,False,False,0.22574999999999998,False
wide,seed1008_1015,L13,state,0,gate_entropy,109,508,10,0.5181957186544343,0.19761243386243388,0.7137510434776608,0.018195718654434256,0.50115,0.39129738015607585,0.6017618411000762,0.04063388091043331,105,-0.022438162255999053,-0.04174999791772472,0.2662196512587551,0.1445,False,False,0.25579899497487435,False
wide,seed1008_1015,L13,state,1,gate_entropy,109,508,10,0.5396024464831803,0.26666666666666666,0.6204002548234437,0.03960244648318034,0.49972460317460315,0.40026709401709404,0.6043733451015004,0.040299169844770034,105,-0.000696723361589692,-0.06276779358648754,0.17779605263157888,0.2375,False,False,0.298876404494382,False
wide,seed1008_1015,L13,state,2,gate_entropy,109,508,10,0.48761467889908255,0.3384479166666666,0.5578723436736688,0.012385321100917446,0.501659126984127,0.4001947514674659,0.5988906249999999,0.040008765918606616,105,-0.02762344481768917,-0.0733305993921551,0.1243985433604335,0.4545,False,False,0.4727925696594428,False
wide,seed1008_1015,L13,state,3,gate_entropy,109,508,10,0.4839449541284405,0.29922631342613387,0.5977289438502674,0.01605504587155948,0.500238492063492,0.39959072748028224,0.6038848039215684,0.0404361873306515,105,-0.024381141459092016,-0.07660475457260182,0.1642181678384507,0.3335,False,False,0.3785675675675676,False
wide,seed1008_1015,L13,state,4,gate_entropy,107,498,10,0.6350467289719627,0.3473552631578948,0.819597234205733,0.13504672897196268,0.5003765281528152,0.3888754045307443,0.6157529239766081,0.04330596101959202,101,0.09174076795237066,-0.07855697026479903,0.29208674998438255,0.1275,False,False,0.24860115606936417,False
wide,seed1008_1015,L13,state,5,gate_entropy,104,491,10,0.5516025641025641,0.2595628415300547,0.7185243055555556,0.05160256410256414,0.5000102212366653,0.3899305555555555,0.6186011904761904,0.04403333407486348,99,0.007569230027700664,-0.07898649605814245,0.2086807644110275,0.1635,False,False,0.2564601769911504,False
wide,seed1008_1015,L13,action,-1,gate_entropy,109,508,10,0.2932721712538226,0.1335199720068906,0.5487770655270653,0.2067278287461774,0.5003670634920635,0.39129738015607585,0.6111111111111112,0.04268814950136337,105,0.16403967924481402,-0.08561850385180161,0.33653655395984616,0.2035,False,False,0.27682591093117404,False
wide,seed1008_1015,L13,action,0,gate_entropy,109,508,10,0.4542813455657492,0.3007869328833896,0.7011136363636362,0.04571865443425083,0.49992817460317457,0.39583333333333326,0.6162452539931919,0.04090367302766392,105,0.004814981406586906,-0.06794823232323229,0.18136678382600327,0.183,False,False,0.2644050632911392,False
wide,seed1008_1015,L13,action,1,gate_entropy,109,508,10,0.3463302752293579,0.24782608695652178,0.38111931818181805,0.1536697247706421,0.49920000000000003,0.39879418262150224,0.6019753625134264,0.03992345958076953,105,0.11374626518987258,0.03247685185185185,0.20662563262019787,0.012,True,True,0.08228571428571428,False
wide,seed1008_1015,L13,action,2,gate_entropy,109,508,10,0.12584097859327215,0.05380321285140562,0.2818181818181818,0.37415902140672785,0.49926666666666664,0.4029300053354675,0.6013537994516255,0.03879945923884061,105,0.33535956216788726,0.14793518518518517,0.41671259662904053,0.0005,True,True,0.018666666666666668,True
wide,seed1008_1015,L13,action,3,gate_entropy,109,508,10,0.09480122324159021,0.03147787757817699,0.3101190476190476,0.40519877675840976,0.4998876984126984,0.39654917363803305,0.6048307589626238,0.040615394941087776,105,0.36458338181732197,0.11022565594974137,0.45257756871441523,0.0035,True,True,0.06533333333333333,False
wide,seed1008_1015,L13,action,4,gate_entropy,107,498,10,0.20872274143302177,0.04435138944207849,0.6806972437553829,0.2912772585669782,0.5011117612177884,0.3868132716049382,0.6176604278074865,0.04307391914149015,101,0.24820333942548808,-0.06340220716783221,0.4275396185119815,0.093,False,False,0.2306086956521739,False
wide,seed1008_1015,L13,action,5,gate_entropy,104,491,10,0.17435897435897435,0.06425166536050156,0.578180114638448,0.32564102564102565,0.5005252800251656,0.3819088855421687,0.6158591027874564,0.04399792142206015,99,0.2816431042189655,-0.07125151276920137,0.4141800189393938,0.065,False,False,0.20411214953271029,False
wide,seed1008_1015,L14,state,-1,gate_entropy,109,508,10,0.5501529051987769,0.2794921457983835,0.7033078880407125,0.05015290519877691,0.5006480158730159,0.3922841295609153,0.6059656084656084,0.0414854670017006,105,0.008667438197076306,-0.061071084864392056,0.19438660377071382,0.1655,False,False,0.2564601769911504,False
wide,seed1008_1015,L14,state,0,gate_entropy,109,508,10,0.5181957186544344,0.20187330572289153,0.6904846269216347,0.018195718654434367,0.4994626984126984,0.4010264475108225,0.605026515151515,0.0400545968072421,105,-0.02185887815280773,-0.05490691430053259,0.26110619440833904,0.1725,False,False,0.2564601769911504,False
wide,seed1008_1015,L14,state,1,gate_entropy,109,508,10,0.6535168195718654,0.281483918128655,0.765330154781647,0.15351681957186536,0.4988674603174603,0.38924017401740174,0.6101545329670327,0.04204424248763202,105,0.11147257708423333,-0.07347163619315535,0.2451153019921116,0.1715,False,False,0.2564601769911504,False
wide,seed1008_1015,L14,state,2,gate_entropy,109,508,10,0.48256880733944957,0.32105263157894737,0.529373907979033,0.017431192660550432,0.49937380952380955,0.39772183037269243,0.6082222272782429,0.040886378833754754,105,-0.023455186173204322,-0.08135462268404652,0.1307120800395256,0.5475,False,False,0.5574545454545454,False
wide,seed1008_1015,L14,state,3,gate_entropy,109,508,10,0.34418960244648317,0.2758305966064587,0.4338593749999999,0.15581039755351683,0.4992242063492064,0.393212293361994,0.6058116275110658,0.04114262231522653,105,0.1146677752382903,-0.0036218404704319897,0.193009776857263,0.0295,False,False,0.12872727272727272,False
wide,seed1008_1015,L14,state,4,gate_entropy,107,498,10,0.27819314641744547,0.15483514525040104,0.47833509389671364,0.22180685358255453,0.49887348764043077,0.3802766804076491,0.6218390804597699,0.044273273134136246,101,0.17753358044841827,-0.07183851044788546,0.3150944118093007,0.129,False,False,0.24864,False
wide,seed1008_1015,L14,state,5,gate_entropy,104,491,10,0.30817307692307694,0.24757270622895625,0.4039276960784313,0.19182692307692306,0.5003793850993986,0.3926273148148148,0.6171738497379149,0.04309194580808699,99,0.14873497726883605,0.0014743125144430244,0.22987252273659575,0.0245,True,False,0.1224,False
wide,seed1008_1015,L14,action,-1,gate_entropy,109,508,10,0.48944954128440366,0.34535288012454585,0.6300075757575758,0.010550458715596345,0.5000615079365079,0.39884766477520733,0.6050787540257648,0.03933441525886733,105,-0.028783956543270983,-0.07950017163134897,0.1246474727474024,0.443,False,False,0.46226086956521745,False
wide,seed1008_1015,L14,action,0,gate_entropy,109,508,10,0.3206422018348625,0.24760805860805865,0.4898708474099099,0.17935779816513753,0.5002630952380953,0.4005343561500131,0.6011952153472854,0.03978579879923059,105,0.13957199936590695,-0.054562184343434364,0.23386915542228878,0.0815,False,False,0.22574999999999998,False
wide,seed1008_1015,L14,action,1,gate_entropy,109,508,10,0.291131498470948,0.1929824561403509,0.33425152207001524,0.208868501529052,0.4993285714285714,0.3901633986928104,0.609390625,0.041209901103729865,105,0.16765860042532216,0.08158878096378093,0.2710435358862221,0.0045,True,True,0.06872727272727272,False
wide,seed1008_1015,L14,action,2,gate_entropy,109,508,10,0.20015290519877676,0.08464696223316913,0.28421410669530967,0.29984709480122324,0.49931904761904766,0.39974127128165243,0.6098006566604125,0.04088510924155427,105,0.258961985559669,0.13309425918561693,0.3766104445318647,0.0005,True,True,0.018666666666666668,True
wide,seed1008_1015,L14,action,3,gate_entropy,109,508,10,0.15871559633027524,0.07075,0.22955681818181817,0.3412844036697248,0.4982210317460318,0.3936741698595147,0.6027818627450979,0.04109146042463692,105,0.3001929432450879,0.18024747636830435,0.39801428571428565,0.0005,True,True,0.018666666666666668,True
wide,seed1008_1015,L14,action,4,gate_entropy,107,498,10,0.26152647975077886,0.12291276346604216,0.5766944444444443,0.23847352024922114,0.5004168675617562,0.3817522609819121,0.6160863095238095,0.04383663888429418,101,0.19463688136492696,-0.05563722891716036,0.3414531589669066,0.064,False,False,0.2028679245283019,False
wide,seed1008_1015,L14,action,5,gate_entropy,104,491,10,0.296474358974359,0.1662467554644809,0.41433388157894735,0.20352564102564102,0.5006516557020922,0.38194185323383084,0.6139657912345265,0.04413483988211702,99,0.159390801143524,0.0010462382445141204,0.2921931135257884,0.025,True,False,0.1224,False
wide,seed1008_1015,L15,state,-1,gate_entropy,109,508,10,0.47339449541284406,0.3715868506493507,0.6960242424242422,0.026605504587155937,0.5002575396825397,0.3968722792288557,0.6015697337962963,0.03892268476384184,105,-0.012317180176685906,-0.0742645393497868,0.14765217625511734,0.2775,False,False,0.3347956989247312,False
wide,seed1008_1015,L15,state,0,gate_entropy,109,508,10,0.5220183486238532,0.2836790780141844,0.6539992559523807,0.022018348623853212,0.49894960317460313,0.3922972972972973,0.6025678294573643,0.0407609133701252,105,-0.018742564746271985,-0.07429347826086961,0.1815754933051444,0.3515,False,False,0.3885,False
wide,seed1008_1015,L15,state,1,gate_entropy,109,508,10,0.5189602446483179,0.38729853479853477,0.6579752275025279,0.018960244648317914,0.5005353174603175,0.3999780701754386,0.6037689269256088,0.03982732517711999,105,-0.020867080528802075,-0.0850551158508067,0.1280244857410004,0.437,False,False,0.45885,False
wide,seed1008_1015,L15,state,2,gate_entropy,109,508,10,0.4154434250764527,0.2729452309985097,0.4963963963963963,0.08455657492354729,0.5006345238095238,0.39633630847178036,0.609390625,0.04105715558172828,105,0.04349941934181901,-0.056201773927144406,0.19624314939547324,0.17,False,False,0.2564601769911504,False
wide,seed1008_1015,L15,state,3,gate_entropy,109,508,10,0.4564220183486239,0.2439346590909091,0.584481796829125,0.04357798165137611,0.5007615079365079,0.3974342105263158,0.6092008861981222,0.041835232510925496,105,0.0017427491404506112,-0.0689909948210223,0.21642457124853878,0.317,False,False,0.36602061855670104,False
wide,seed1008_1015,L15,state,4,gate_entropy,107,498,10,0.4802180685358256,0.34686979166666665,0.5471992374401913,0.019781931464174396,0.4998848292745941,0.3908496957964601,0.6157419590643275,0.04251831184970795,101,-0.022736380385533557,-0.09022547537862938,0.1164495960860165,0.471,False,False,0.4869415384615385,False
wide,seed1008_1015,L15,state,5,gate_entropy,104,491,10,0.40288461538461545,0.25197241902834006,0.5004832693947143,0.09711538461538455,0.5011399429749652,0.3781935307017543,0.6156510416666665,0.04505356481574529,99,0.05206181979963926,-0.06428822136392498,0.21251759408701423,0.16,False,False,0.2564601769911504,False
wide,seed1008_1015,L15,action,-1,gate_entropy,109,508,10,0.6340978593272172,0.4492283740942028,0.7142403778248586,0.13409785932721718,0.49999166666666667,0.3941402116402116,0.6086325698757764,0.0400640407186603,105,0.09403381860855689,-0.0562344720496893,0.18529269520308123,0.071,False,False,0.21073684210526314,False
wide,seed1008_1015,L15,action,0,gate_entropy,109,508,10,0.46422018348623856,0.37163646055437105,0.6553953488372093,0.03577981651376144,0.5003396825396825,0.392752401727481,0.6015697337962963,0.04079145934754234,105,-0.005011642833780895,-0.07345823414005946,0.12423276942355865,0.2765,False,False,0.3347956989247312,False
wide,seed1008_1015,L15,action,1,gate_entropy,109,508,10,0.24984709480122322,0.14882840028188865,0.36906695876867734,0.25015290519877675,0.5013948412698412,0.40577948872785824,0.6050971673254281,0.04034454791398638,105,0.20980835728479036,0.06125616475646043,0.30970019967112977,0.0105,True,True,0.08018181818181819,False
wide,seed1008_1015,L15,action,2,gate_entropy,109,508,10,0.17018348623853208,0.12094313063063064,0.30215511324639655,0.3298165137614679,0.5003242063492063,0.40383064516129036,0.6052676333691371,0.03933738439971759,105,0.29047912936175035,0.12568603007688825,0.36457264861158206,0.0015,True,True,0.03876923076923077,True
wide,seed1008_1015,L15,action,3,gate_entropy,109,508,10,0.155045871559633,0.06690563725490198,0.4902328431372546,0.344954128440367,0.49998928571428575,0.3924347355221158,0.604505888376856,0.04029086872832297,105,0.304663259712044,-0.04088527628032349,0.4138250719658377,0.0425,False,False,0.1535483870967742,False
wide,seed1008_1015,L15,action,4,gate_entropy,107,498,10,0.20451713395638627,0.061169523809523806,0.6100579724672548,0.29548286604361373,0.5005960284361769,0.38425729755178906,0.6048566308243727,0.04218686436026519,101,0.25329600168334854,-0.07114132685012478,0.4130972228715298,0.0855,False,False,0.22574999999999998,False
wide,seed1008_1015,L15,action,5,gate_entropy,104,491,10,0.25753205128205126,0.1069453004622496,0.5506098484848484,0.24246794871794874,0.500534823778893,0.3840213815789474,0.6166938405797099,0.04499789537924778,99,0.19747005333870096,-0.09093545313303382,0.3638533632188455,0.1635,False,False,0.2564601769911504,False
wide,seed1008_1015,L2,state,-1,gate_entropy_change,109,508,10,0.6099388379204893,0.4211580086580086,0.6710074168556311,0.10993883792048931,0.4996714285714286,0.39129738015607585,0.6046545206846266,0.041103836575878815,105,0.06883500134461049,-0.08254936120789783,0.15294974334502154,0.198,False,False,0.27154285714285714,False
wide,seed1008_1015,L2,state,0,gate_entropy_change,109,508,10,0.681651376146789,0.48717514124293787,0.7888457281983179,0.18165137614678895,0.499334126984127,0.39655021173623717,0.6069027093596059,0.04094683257738433,105,0.14070454356940462,-0.08243132251227132,0.27031988279808034,0.172,False,False,0.2564601769911504,False
