section,corpus,method,W,rule,dens,whiten,tstd,phi,peak_auc,alpha_nominal,pop,bound_med,n_succ,fa,n_fa,n_pop,det,n_det,phase_mean,phase_p10,phase_p25,phase_p50,phase_p75,phase_p90,t_mean,t_p10,t_p25,t_p50,t_p75,t_p90,t_nmodes,t_dip,hist_8_12,hist_12_16,hist_16_20,hist_20_24,hist_24_28,hist_28_32,hist_32_35,n_delay,delay_mean,frac_early,frac_late,delay_p10,delay_p25,delay_p50,delay_p75,delay_p90,arl0,arl0_expo,arl1,arl1_expo,arl0_mean_alarm_t,arl1_mean_alarm_t
seq_sweep,A,sequential,1,cusum,gauss,none,True,0.0,0.6604159563586771,0.06,all_fail,3.39551273331433,117,0.18803418803418803,22,235,0.5234042553191489,123,0.3924292857802842,0.18,0.2372448979591837,0.4,0.5102040816326531,0.6446666666666667,19.528455284552845,9.0,11.5,20.0,25.0,32.0,3,0.6178991818185992,31,16,9,30,11,11,15,71,-6.267605633802817,0.6901408450704225,0.30985915492957744,-14.0,-13.0,-11.0,3.0,7.0,120.95454545454545,2661.0,37.113821138211385,4565.0,11.772727272727273,19.528455284552845
seq_sweep,A,sequential,1,cusum,gauss,none,True,0.0,0.6604159563586771,0.06,cls_stagnation,3.39551273331433,117,0.18803418803418803,22,49,0.8367346938775511,41,0.4667398746253521,0.19607843137254902,0.40384615384615385,0.4489795918367347,0.625,0.66,23.121951219512194,10.0,20.0,22.0,31.0,32.0,3,0.629170398916653,7,0,2,13,5,6,8,14,-4.285714285714286,0.5714285714285714,0.42857142857142855,-13.0,-11.75,-7.0,3.75,5.700000000000001,120.95454545454545,2661.0,21.390243902439025,877.0,11.772727272727273,23.121951219512194
seq_sweep,A,sequential,1,cusum,gauss,none,True,0.0,0.6604159563586771,0.06,cls_loop,3.39551273331433,117,0.18803418803418803,22,150,0.36666666666666664,55,0.33875976836203914,0.17412765957446807,0.21361236802413275,0.3,0.425531914893617,0.5454117647058824,16.98181818181818,8.4,11.0,15.0,20.5,27.6,3,0.5533796845642937,16,13,4,11,5,3,3,55,-5.963636363636364,0.7090909090909091,0.2909090909090909,-14.0,-12.5,-9.0,3.0,7.0,120.95454545454545,2661.0,56.61818181818182,3114.0,11.772727272727273,16.98181818181818
seq_sweep,A,sequential,1,cusum,gauss,none,True,0.0,0.6604159563586771,0.06,cls_other,3.39551273331433,117,0.18803418803418803,22,36,0.75,27,0.38891407523790267,0.17723076923076922,0.20576923076923076,0.38461538461538464,0.5,0.6533751962323391,19.25925925925926,9.0,10.5,19.0,24.0,32.800000000000004,3,0.5015180494503481,8,3,3,6,1,2,4,2,-28.5,1.0,0.0,-28.9,-28.75,-28.5,-28.25,-28.1,120.95454545454545,2661.0,21.25925925925926,574.0,11.772727272727273,19.25925925925926
seq_sweep,A,sequential,1,cusum,gauss,none,True,0.0,0.6604159563586771,0.07,all_fail,3.139063152992873,117,0.18803418803418803,22,235,0.548936170212766,129,0.38600666324967675,0.18,0.23529411764705882,0.39215686274509803,0.52,0.6411666666666667,19.209302325581394,9.0,12.0,20.0,25.0,32.0,3,0.5918464810558877,32,21,11,27,11,12,15,73,-7.136986301369863,0.726027397260274,0.273972602739726,-15.0,-13.0,-11.0,3.0,5.799999999999997,120.81818181818181,2658.0,34.395348837209305,4437.0,11.636363636363637,19.209302325581394
seq_sweep,A,sequential,1,cusum,gauss,none,True,0.0,0.6604159563586771,0.07,cls_stagnation,3.139063152992873,117,0.18803418803418803,22,49,0.8775510204081632,43,0.46643717815219565,0.19607843137254902,0.39800150829562597,0.4489795918367347,0.6145833333333333,0.6571666666666668,23.13953488372093,10.0,20.0,22.0,30.5,32.800000000000004,3,0.6074036467134292,7,0,2,15,4,7,8,14,-4.428571428571429,0.5714285714285714,0.42857142857142855,-13.0,-11.75,-8.0,3.75,5.700000000000001,120.81818181818181,2658.0,19.906976744186046,856.0,11.636363636363637,23.13953488372093
seq_sweep,A,sequential,1,cusum,gauss,none,True,0.0,0.6604159563586771,0.07,cls_loop,3.139063152992873,117,0.18803418803418803,22,150,0.38,57,0.31872273232375614,0.17608510638297872,0.2,0.2549019607843137,0.4166666666666667,0.5237647058823529,15.982456140350877,8.600000000000001,10.0,13.0,20.0,26.4,3,0.3079209239596584,17,18,5,7,5,2,3,57,-7.052631578947368,0.7543859649122807,0.24561403508771928,-14.399999999999999,-13.0,-11.0,-4.0,5.399999999999999,120.81818181818181,2658.0,53.03508771929825,3023.0,11.636363636363637,15.982456140350877
seq_sweep,A,sequential,1,cusum,gauss,none,True,0.0,0.6604159563586771,0.07,cls_other,3.139063152992873,117,0.18803418803418803,22,36,0.8055555555555556,29,0.39899535021413046,0.17861538461538462,0.21153846153846154,0.3877551020408163,0.5319148936170213,0.6577708006279435,19.724137931034484,9.0,11.0,19.0,25.0,33.2,3,0.4827330005648154,8,3,4,5,2,3,4,2,-28.5,1.0,0.0,-28.9,-28.75,-28.5,-28.25,-28.1,120.81818181818181,2658.0,19.24137931034483,558.0,11.636363636363637,19.724137931034484
seq_sweep,A,sequential,1,cusum,gauss,none,True,0.0,0.6604159563586771,0.08,all_fail,3.12329276887527,117,0.18803418803418803,22,235,0.548936170212766,129,0.3841100738370685,0.18,0.23404255319148937,0.39215686274509803,0.5098039215686274,0.6368589743589743,19.11627906976744,9.0,11.0,19.0,25.0,32.0,3,0.5992565624896268,33,20,12,27,10,13,14,73,-7.191780821917808,0.726027397260274,0.273972602739726,-15.0,-13.0,-11.0,3.0,5.0,120.77272727272727,2657.0,34.30232558139535,4425.0,11.590909090909092,19.11627906976744
seq_sweep,A,sequential,1,cusum,gauss,none,True,0.0,0.6604159563586771,0.08,cls_stagnation,3.12329276887527,117,0.18803418803418803,22,49,0.8775510204081632,43,0.4654974534250955,0.19607843137254902,0.39800150829562597,0.4489795918367347,0.6120833333333333,0.6571666666666668,23.093023255813954,10.0,20.0,22.0,30.5,32.800000000000004,3,0.636839169395206,7,0,2,15,4,8,7,14,-4.428571428571429,0.5714285714285714,0.42857142857142855,-13.0,-11.75,-8.0,3.75,5.700000000000001,120.77272727272727,2657.0,19.86046511627907,854.0,11.590909090909092,23.093023255813954
