cohort,group,detector,episodes,risk_n,timely_n,late_n,persistent_n,alarms,tp,fp,fn,tn,risk_recall,timely_fpr,precision,late_recall,persistent_recall,detected_risk_lead_median,early2_risk_recall,early4_risk_recall,early8_risk_recall,early12_risk_recall
external_8b,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,v4_dual_regime_or,400,51,349,0,51,48,47,1,4,348,0.9215686274509803,0.0028653295128939827,0.9791666666666666,,0.9215686274509803,4.0,0.9215686274509803,0.7843137254901961,0.0196078431372549,0.0
external_8b,libero_goal/push_the_plate_to_the_front_of_the_stove,v4_dual_regime_or,400,1,399,0,1,2,1,1,0,398,1.0,0.002506265664160401,0.5,,1.0,0.0,0.0,0.0,0.0,0.0
external_8b,libero_goal/put_the_bowl_on_the_plate,v4_dual_regime_or,400,18,382,0,18,9,8,1,10,381,0.4444444444444444,0.002617801047120419,0.8888888888888888,,0.4444444444444444,10.5,0.4444444444444444,0.3888888888888889,0.3333333333333333,0.16666666666666666
external_8b,libero_goal/put_the_bowl_on_the_stove,v4_dual_regime_or,400,9,391,0,9,7,7,0,2,391,0.7777777777777778,0.0,1.0,,0.7777777777777778,13.0,0.7777777777777778,0.7777777777777778,0.6666666666666666,0.6666666666666666
external_8b,libero_goal/put_the_bowl_on_top_of_the_cabinet,v4_dual_regime_or,400,16,384,0,16,16,16,0,0,384,1.0,0.0,1.0,,1.0,14.0,1.0,1.0,1.0,1.0
external_8b,libero_goal/put_the_cream_cheese_in_the_bowl,v4_dual_regime_or,400,9,391,0,9,8,7,1,2,390,0.7777777777777778,0.0025575447570332483,0.875,,0.7777777777777778,14.0,0.7777777777777778,0.7777777777777778,0.6666666666666666,0.6666666666666666
external_8b,libero_goal/put_the_wine_bottle_on_the_rack,v4_dual_regime_or,400,1,399,0,1,2,1,1,0,398,1.0,0.002506265664160401,0.5,,1.0,6.0,1.0,1.0,0.0,0.0
external_8b,libero_goal/put_the_wine_bottle_on_top_of_the_cabinet,v4_dual_regime_or,400,1,399,0,1,1,1,0,0,399,1.0,0.0,1.0,,1.0,13.0,1.0,1.0,1.0,1.0
external_8b,libero_goal/turn_on_the_stove,v4_dual_regime_or,400,0,400,0,0,0,0,0,0,400,,0.0,,,,,,,,
external_8b,libero_long/KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,v4_dual_regime_or,400,4,396,0,4,8,4,4,0,392,1.0,0.010101010101010102,0.5,,1.0,25.5,1.0,1.0,1.0,1.0
external_8b,libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,v4_dual_regime_or,400,1,399,0,1,7,1,6,0,393,1.0,0.015037593984962405,0.14285714285714285,,1.0,22.0,1.0,1.0,1.0,1.0
external_8b,libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,v4_dual_regime_or,400,1,399,0,1,15,1,14,0,385,1.0,0.03508771929824561,0.06666666666666667,,1.0,18.0,1.0,1.0,1.0,1.0
external_8b,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,v4_dual_regime_or,400,151,249,18,133,94,89,5,62,244,0.5894039735099338,0.020080321285140562,0.9468085106382979,0.4444444444444444,0.6090225563909775,16.0,0.5761589403973509,0.5562913907284768,0.5496688741721855,0.543046357615894
external_8b,libero_long/LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,v4_dual_regime_or,400,30,370,0,30,35,29,6,1,364,0.9666666666666667,0.016216216216216217,0.8285714285714286,,0.9666666666666667,42.0,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9333333333333333
external_8b,libero_long/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,v4_dual_regime_or,400,10,390,4,6,10,8,2,2,388,0.8,0.005128205128205128,0.8,1.0,0.6666666666666666,43.0,0.8,0.8,0.8,0.8
external_8b,libero_long/LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,v4_dual_regime_or,400,4,396,2,2,9,3,6,1,390,0.75,0.015151515151515152,0.3333333333333333,0.5,1.0,18.0,0.75,0.75,0.5,0.5
