cv_scheme,snapshot_key,worker,model,observed_failure_rate,predicted_failure_rate
leave_one_snapshot_out,w03_s001,3,mean_moe_state,0.0625,0.3404091000556946
leave_one_snapshot_out,w03_s002,3,mean_moe_state,0.0625,0.37851482629776
leave_one_snapshot_out,w03_s003,3,mean_moe_state,0.0625,0.15357118844985962
leave_one_snapshot_out,w03_s004,3,mean_moe_state,0.1875,0.2863617539405823
leave_one_snapshot_out,w03_s005,3,mean_moe_state,0.125,0.40947115421295166
leave_one_snapshot_out,w00_s000,0,mean_moe_action+state,0.5625,0.7874524593353271
leave_one_snapshot_out,w00_s001,0,mean_moe_action+state,0.75,0.5200615525245667
leave_one_snapshot_out,w00_s002,0,mean_moe_action+state,0.8125,1.0
leave_one_snapshot_out,w00_s003,0,mean_moe_action+state,0.9375,0.7644251585006714
leave_one_snapshot_out,w00_s004,0,mean_moe_action+state,0.75,0.836593747138977
leave_one_snapshot_out,w00_s005,0,mean_moe_action+state,0.625,0.5928696393966675
leave_one_snapshot_out,w01_s000,1,mean_moe_action+state,1.0,0.8634364008903503
leave_one_snapshot_out,w01_s001,1,mean_moe_action+state,1.0,1.0
leave_one_snapshot_out,w01_s002,1,mean_moe_action+state,1.0,0.5904796123504639
leave_one_snapshot_out,w01_s003,1,mean_moe_action+state,1.0,1.0
leave_one_snapshot_out,w01_s004,1,mean_moe_action+state,1.0,0.8122977018356323
leave_one_snapshot_out,w02_s000,2,mean_moe_action+state,1.0,0.5181193351745605
leave_one_snapshot_out,w02_s001,2,mean_moe_action+state,0.9375,0.7628509402275085
leave_one_snapshot_out,w02_s002,2,mean_moe_action+state,0.875,0.9341131448745728
leave_one_snapshot_out,w02_s003,2,mean_moe_action+state,0.875,0.6659132242202759
leave_one_snapshot_out,w02_s004,2,mean_moe_action+state,1.0,0.7232650518417358
leave_one_snapshot_out,w03_s000,3,mean_moe_action+state,0.0625,0.4641808271408081
leave_one_snapshot_out,w03_s001,3,mean_moe_action+state,0.0625,0.337430477142334
leave_one_snapshot_out,w03_s002,3,mean_moe_action+state,0.0625,0.26989609003067017
leave_one_snapshot_out,w03_s003,3,mean_moe_action+state,0.0625,0.3466588854789734
leave_one_snapshot_out,w03_s004,3,mean_moe_action+state,0.1875,0.33591747283935547
leave_one_snapshot_out,w03_s005,3,mean_moe_action+state,0.125,0.33515265583992004
leave_one_snapshot_out,w00_s000,0,geometry+mean_moe_action+state,0.5625,0.7870848774909973
