kind,alpha,calibration_units,rank,threshold,exceedances,success_calibration_episodes,method,fold
task_init,0.03,70,69,4.469493782319749,1,550,entropy_high__cumsum,libero_goal_20260908
task_init,0.05,70,68,0.017043087007853824,2,550,entropy_high__cumsum,libero_goal_20260908
task_init,0.1,70,64,0.01478439450506726,6,550,entropy_high__cumsum,libero_goal_20260908
task_init,0.15,70,61,0.013611659539295532,9,550,entropy_high__cumsum,libero_goal_20260908
task_init,0.2,70,57,0.007705835673612115,13,550,entropy_high__cumsum,libero_goal_20260908
episode,0.01,550,546,3.30034085675535,4,550,token_js_low__current,libero_goal_20260908
episode,0.03,550,535,3.2065364007686945,15,550,token_js_low__current,libero_goal_20260908
episode,0.05,550,524,3.0463117128185817,26,550,token_js_low__current,libero_goal_20260908
episode,0.1,550,496,2.667764845527034,54,550,token_js_low__current,libero_goal_20260908
episode,0.15,550,469,2.2048809354691126,81,550,token_js_low__current,libero_goal_20260908
episode,0.2,550,441,2.0122060027127864,109,550,token_js_low__current,libero_goal_20260908
task_init,0.01,70,71,inf,0,550,token_js_low__current,libero_goal_20260908
task_init,0.03,70,69,3.3306418938951388,1,550,token_js_low__current,libero_goal_20260908
task_init,0.05,70,68,3.282700893321943,2,550,token_js_low__current,libero_goal_20260908
task_init,0.1,70,64,3.020297446982043,6,550,token_js_low__current,libero_goal_20260908
task_init,0.15,70,61,2.6484800816997445,9,550,token_js_low__current,libero_goal_20260908
task_init,0.2,70,57,2.2622828207017807,13,550,token_js_low__current,libero_goal_20260908
episode,0.01,550,546,5.425348000893814,4,550,token_js_low__cumsum,libero_goal_20260908
episode,0.03,550,535,3.15874350280047,15,550,token_js_low__cumsum,libero_goal_20260908
episode,0.05,550,524,3.0964169276197913,26,550,token_js_low__cumsum,libero_goal_20260908
episode,0.1,550,496,2.9757098240565005,54,550,token_js_low__cumsum,libero_goal_20260908
episode,0.15,550,469,2.1370849401926555,81,550,token_js_low__cumsum,libero_goal_20260908
episode,0.2,550,441,1.548910688538959,109,550,token_js_low__cumsum,libero_goal_20260908
task_init,0.01,70,71,inf,0,550,token_js_low__cumsum,libero_goal_20260908
task_init,0.03,70,69,4.2201064421611445,1,550,token_js_low__cumsum,libero_goal_20260908
task_init,0.05,70,68,3.397569654999326,2,550,token_js_low__cumsum,libero_goal_20260908
task_init,0.1,70,64,3.108495005488016,6,550,token_js_low__cumsum,libero_goal_20260908
task_init,0.15,70,61,2.484879255559453,9,550,token_js_low__cumsum,libero_goal_20260908
task_init,0.2,70,57,1.6507083783160428,13,550,token_js_low__cumsum,libero_goal_20260908
episode,0.01,550,546,4.300521858193711,4,550,freeze__current,libero_goal_20260908
episode,0.03,550,535,3.51047480553364,15,550,freeze__current,libero_goal_20260908
episode,0.05,550,524,3.358271261768696,26,550,freeze__current,libero_goal_20260908
episode,0.1,550,496,2.925003948975434,54,550,freeze__current,libero_goal_20260908
episode,0.15,550,469,2.495780364451767,81,550,freeze__current,libero_goal_20260908
episode,0.2,550,441,2.0470517598146016,109,550,freeze__current,libero_goal_20260908
task_init,0.01,70,71,inf,0,550,freeze__current,libero_goal_20260908
task_init,0.03,70,69,4.300521858193711,1,550,freeze__current,libero_goal_20260908
task_init,0.05,70,68,4.018504608994274,2,550,freeze__current,libero_goal_20260908
task_init,0.1,70,64,3.427864382314567,6,550,freeze__current,libero_goal_20260908
task_init,0.15,70,61,3.2019759943160264,9,550,freeze__current,libero_goal_20260908
task_init,0.2,70,57,2.730384730791167,13,550,freeze__current,libero_goal_20260908
episode,0.01,550,546,3.358271261768696,4,550,freeze__cumsum,libero_goal_20260908
episode,0.03,550,535,3.1139194771002865,15,550,freeze__cumsum,libero_goal_20260908
episode,0.05,550,524,2.7917718501978803,26,550,freeze__cumsum,libero_goal_20260908
episode,0.1,550,496,2.0593064194385,54,550,freeze__cumsum,libero_goal_20260908
episode,0.15,550,469,1.7051976483861115,81,550,freeze__cumsum,libero_goal_20260908
episode,0.2,550,441,1.5085055335329214,109,550,freeze__cumsum,libero_goal_20260908
task_init,0.01,70,71,inf,0,550,freeze__cumsum,libero_goal_20260908
task_init,0.03,70,69,3.566943954623028,1,550,freeze__cumsum,libero_goal_20260908
task_init,0.05,70,68,3.427864382314567,2,550,freeze__cumsum,libero_goal_20260908
task_init,0.1,70,64,2.8106387565580424,6,550,freeze__cumsum,libero_goal_20260908
task_init,0.15,70,61,2.2953077222714233,9,550,freeze__cumsum,libero_goal_20260908
task_init,0.2,70,57,1.8164271476080922,13,550,freeze__cumsum,libero_goal_20260908
episode,0.01,550,546,9.035361230627979,4,550,action_translation_low__current,libero_goal_20260908
episode,0.03,550,535,8.966333114279426,15,550,action_translation_low__current,libero_goal_20260908
episode,0.05,550,524,8.905839857024512,26,550,action_translation_low__current,libero_goal_20260908
episode,0.1,550,496,8.808873293545782,54,550,action_translation_low__current,libero_goal_20260908
episode,0.15,550,469,8.568236825645615,81,550,action_translation_low__current,libero_goal_20260908
episode,0.2,550,441,5.10725385382791,109,550,action_translation_low__current,libero_goal_20260908
task_init,0.01,70,71,inf,0,550,action_translation_low__current,libero_goal_20260908
task_init,0.03,70,69,9.078349345739401,1,550,action_translation_low__current,libero_goal_20260908
task_init,0.05,70,68,9.061684123243767,2,550,action_translation_low__current,libero_goal_20260908
task_init,0.1,70,64,8.909459422500287,6,550,action_translation_low__current,libero_goal_20260908
task_init,0.15,70,61,8.800645800056694,9,550,action_translation_low__current,libero_goal_20260908
task_init,0.2,70,57,6.833846042015095,13,550,action_translation_low__current,libero_goal_20260908
episode,0.01,550,546,9.052693102796466,4,550,action_translation_low__cumsum,libero_goal_20260908
