failure_type,prefix_queries,token_family,layer_group,denoise_step,metric,top_quartile_failure_rate,bottom_quartile_failure_rate,failure_rate_difference,ci95_low,ci95_high,permutation_p_raw,permutation_p_maxT,n_top,n_bottom
stagnation,1,action,front_2_5,4,token_dispersion,0.3125,0.375,-0.0625,-0.38461539149284363,0.1875,0.8955223880597015,1.0,16,16
stagnation,1,state,front_2_5,3,entropy,0.3125,0.25,0.0625,-0.23076923191547394,0.2777777910232544,0.9154228855721394,1.0,16,16
stagnation,1,action,back_12_15,1,top1_mass,0.1875,0.1875,0.0,-0.15414473637938497,0.20000000298023224,1.0,1.0,16,16
stagnation,1,action,back_12_15,2,top1_mass,0.25,0.25,0.0,-0.15789473056793213,0.20000000298023224,1.0,1.0,16,16
stagnation,1,action,back_12_15,4,consensus_distance,0.25,0.25,0.0,-0.15414473637938497,0.20000000298023224,1.0,1.0,16,16
stagnation,1,action,back_12_15,5,consensus_distance,0.3125,0.3125,0.0,-0.15414473637938497,0.20000000298023224,1.0,1.0,16,16
stagnation,1,action,back_12_15,8,entropy,0.25,0.25,0.0,-0.3076923191547394,0.21052631735801697,1.0,1.0,16,16
stagnation,1,action,back_12_15,8,top1_mass,0.3125,0.3125,0.0,-0.3571428656578064,0.29725275933742473,1.0,1.0,16,16
stagnation,1,action,front_2_5,0,token_dispersion,0.3125,0.3125,0.0,-0.23076923191547394,0.1875,1.0,1.0,16,16
stagnation,1,action,front_2_5,1,token_dispersion,0.3125,0.3125,0.0,-0.23076923191547394,0.1875,1.0,1.0,16,16
stagnation,1,action,front_2_5,1,top1_mass,0.3125,0.3125,0.0,-0.2229395620524883,0.15789473056793213,1.0,1.0,16,16
stagnation,1,action,front_2_5,3,entropy,0.3125,0.3125,0.0,-0.31578946113586426,0.38461539149284363,1.0,1.0,16,16
stagnation,1,action,front_2_5,4,consensus_distance,0.3125,0.3125,0.0,-0.25,0.3333333432674408,1.0,1.0,16,16
stagnation,1,action,front_2_5,4,entropy,0.3125,0.3125,0.0,-0.2222222238779068,0.27250001356005643,1.0,1.0,16,16
stagnation,1,action,front_2_5,5,consensus_distance,0.3125,0.3125,0.0,-0.25,0.3333333432674408,1.0,1.0,16,16
stagnation,1,action,front_2_5,6,token_dispersion,0.25,0.25,0.0,-0.23076923191547394,0.1875,1.0,1.0,16,16
stagnation,1,action,front_2_5,7,token_dispersion,0.25,0.25,0.0,-0.23076923191547394,0.1875,1.0,1.0,16,16
stagnation,1,action,front_2_5,7,top1_mass,0.1875,0.1875,0.0,-0.15789473056793213,0.20000000298023224,1.0,1.0,16,16
stagnation,1,action,front_2_5,9,token_dispersion,0.3125,0.3125,0.0,-0.16249999962747097,0.20000000298023224,1.0,1.0,16,16
stagnation,1,state,back_12_15,1,consensus_distance,0.3125,0.3125,0.0,-0.4000000059604645,0.2777777910232544,1.0,1.0,16,16
stagnation,1,state,back_12_15,1,entropy,0.25,0.25,0.0,-0.3436274603009224,0.2666666805744171,1.0,1.0,16,16
stagnation,1,state,back_12_15,3,consensus_distance,0.375,0.375,0.0,-0.3436274603009224,0.4615384638309479,1.0,1.0,16,16
stagnation,1,state,back_12_15,3,top1_mass,0.375,0.375,0.0,-0.20000000298023224,0.16249999962747078,1.0,1.0,16,16
stagnation,1,state,back_12_15,4,entropy,0.25,0.25,0.0,-0.23529411852359772,0.2666666805744171,1.0,1.0,16,16
stagnation,1,state,back_12_15,6,entropy,0.25,0.25,0.0,-0.23529411852359772,0.2666666805744171,1.0,1.0,16,16
stagnation,1,state,back_12_15,7,consensus_distance,0.375,0.375,0.0,-0.375,0.4615384638309479,1.0,1.0,16,16
stagnation,1,state,back_12_15,7,entropy,0.3125,0.3125,0.0,-0.20000000298023224,0.1541447363793848,1.0,1.0,16,16
stagnation,1,state,back_12_15,8,consensus_distance,0.3125,0.3125,0.0,-0.33373162224888797,0.38461539149284363,1.0,1.0,16,16
stagnation,1,state,back_12_15,9,consensus_distance,0.375,0.375,0.0,-0.3436274603009224,0.2666666805744171,1.0,1.0,16,16
stagnation,1,state,back_12_15,9,entropy,0.375,0.375,0.0,-0.3436274603009224,0.2666666805744171,1.0,1.0,16,16
