fold,suite,seed,method,scope,failure,query,count,episodes
libero_goal_20260907,libero_goal,20260907,cosine,unseen,False,27,0,1122
libero_goal_20260907,libero_goal,20260907,cosine,unseen,False,28,0,1122
libero_goal_20260907,libero_goal,20260907,cosine,unseen,False,29,0,1122
libero_goal_20260907,libero_goal,20260907,cosine,unseen,False,30,0,1122
libero_goal_20260907,libero_goal,20260907,cosine,unseen,False,31,0,1122
libero_goal_20260907,libero_goal,20260907,cosine,unseen,False,32,0,1122
libero_goal_20260907,libero_goal,20260907,cosine,unseen,False,33,0,1122
libero_goal_20260907,libero_goal,20260907,cosine,unseen,False,34,0,1122
libero_goal_20260907,libero_goal,20260907,cosine,unseen,False,35,0,1122
libero_goal_20260907,libero_goal,20260907,cosine,unseen,False,36,0,1122
libero_goal_20260907,libero_goal,20260907,cosine,unseen,False,37,0,1122
libero_goal_20260907,libero_goal,20260907,cosine,unseen,False,38,0,1122
libero_goal_20260907,libero_goal,20260907,cosine,unseen,False,39,0,1122
libero_goal_20260907,libero_goal,20260907,cosine,unseen,False,40,0,1122
libero_goal_20260907,libero_goal,20260907,cosine,unseen,False,41,0,1122
libero_goal_20260907,libero_goal,20260907,cosine,unseen,False,42,0,1122
libero_goal_20260907,libero_goal,20260907,cosine,unseen,False,43,0,1122
libero_goal_20260907,libero_goal,20260907,cosine,unseen,False,44,0,1122
libero_goal_20260907,libero_goal,20260907,cosine,unseen,False,45,0,1122
libero_goal_20260907,libero_goal,20260907,cosine,unseen,False,46,0,1122
libero_goal_20260907,libero_goal,20260907,cosine,unseen,False,47,0,1122
libero_goal_20260907,libero_goal,20260907,cosine,unseen,False,48,0,1122
libero_goal_20260907,libero_goal,20260907,cosine,unseen,False,49,0,1122
libero_goal_20260907,libero_goal,20260907,cosine,unseen,False,50,0,1122
libero_goal_20260907,libero_goal,20260907,cosine,unseen,False,51,0,1122
libero_goal_20260907,libero_goal,20260907,cosine,unseen,True,-1,66,78
libero_goal_20260907,libero_goal,20260907,cosine,unseen,True,0,0,78
libero_goal_20260907,libero_goal,20260907,cosine,unseen,True,1,0,78
libero_goal_20260907,libero_goal,20260907,cosine,unseen,True,2,0,78
libero_goal_20260907,libero_goal,20260907,cosine,unseen,True,3,0,78
libero_goal_20260907,libero_goal,20260907,cosine,unseen,True,4,0,78
libero_goal_20260907,libero_goal,20260907,cosine,unseen,True,5,0,78
libero_goal_20260907,libero_goal,20260907,cosine,unseen,True,6,0,78
libero_goal_20260907,libero_goal,20260907,cosine,unseen,True,7,1,78
libero_goal_20260907,libero_goal,20260907,cosine,unseen,True,8,3,78
libero_goal_20260907,libero_goal,20260907,cosine,unseen,True,9,0,78
