failure_group,transition_phase,layer_group,token,metric,failures,matched_percentile_mean,failure_raw_mean,same_run_init_success_mean
all_failures,0.4,back_L12_15,T4,lag2_soft_change,1267,0.5509812831878662,0.04344139248132706,0.04329737275838852
all_failures,0.4,back_L12_15,T5,lag1_soft_change,1267,0.5453877449035645,0.0397605299949646,0.04071713238954544
all_failures,0.4,back_L12_15,T5,lag1_hard_churn,1267,0.43364736437797546,0.865968644618988,0.882204532623291
all_failures,0.4,back_L12_15,T5,lag2_soft_change,1267,0.5488123893737793,0.04276531562209129,0.04260055720806122
all_failures,0.4,back_L12_15,T6,lag1_soft_change,1267,0.5519565939903259,0.03998900577425957,0.04079369083046913
all_failures,0.4,back_L12_15,T6,lag1_hard_churn,1267,0.4056248962879181,0.8599326610565186,0.8839131593704224
all_failures,0.4,back_L12_15,T6,lag2_soft_change,1267,0.5521321296691895,0.04290264844894409,0.04267539083957672
all_failures,0.4,back_L12_15,T7,lag1_soft_change,1267,0.5393118262290955,0.04015452042222023,0.041165441274642944
all_failures,0.4,back_L12_15,T7,lag1_hard_churn,1267,0.43598610162734985,0.8569274544715881,0.8773607611656189
all_failures,0.4,back_L12_15,T7,lag2_soft_change,1267,0.5516586899757385,0.043572425842285156,0.04333403334021568
all_failures,0.4,back_L12_15,T8,lag1_soft_change,1267,0.5369487404823303,0.04134109243750572,0.042352158576250076
all_failures,0.4,back_L12_15,T8,lag1_hard_churn,1267,0.4397035837173462,0.8539037108421326,0.8738124370574951
all_failures,0.4,back_L12_15,T8,lag2_soft_change,1267,0.5646626949310303,0.04501013457775116,0.044728975743055344
all_failures,0.4,back_L12_15,T9,lag1_soft_change,1267,0.539709746837616,0.042670927941799164,0.0440271720290184
all_failures,0.4,back_L12_15,T9,lag1_hard_churn,1267,0.40792015194892883,0.8396685719490051,0.8639223575592041
all_failures,0.4,back_L12_15,T9,lag2_soft_change,1267,0.5402415990829468,0.04735388606786728,0.04748869687318802
all_failures,0.4,back_L12_15,T10,lag1_soft_change,1267,0.5496430397033691,0.046554576605558395,0.04814254492521286
all_failures,0.4,back_L12_15,T10,lag1_hard_churn,1267,0.4277213215827942,0.8097233176231384,0.8311125040054321
all_failures,0.4,back_L12_15,T10,lag2_soft_change,1267,0.5465383529663086,0.05276147648692131,0.05297617241740227
all_failures,0.5,back_L12_15,state,lag1_soft_change,1267,0.19682002067565918,0.08755218237638474,0.11094067990779877
all_failures,0.5,back_L12_15,state,lag1_hard_churn,1267,0.2431148737668991,0.6257466077804565,0.7481902837753296
all_failures,0.5,back_L12_15,state,lag2_soft_change,1267,0.25916987657546997,0.11942563951015472,0.14082352817058563
all_failures,0.5,back_L12_15,T1,lag1_soft_change,1267,0.3303878903388977,0.04176688939332962,0.04837727174162865
all_failures,0.5,back_L12_15,T1,lag1_hard_churn,1267,0.26735907793045044,0.7745352387428284,0.8372166156768799
all_failures,0.5,back_L12_15,T1,lag2_soft_change,1267,0.36742258071899414,0.048788659274578094,0.052983712404966354
all_failures,0.5,back_L12_15,T2,lag1_soft_change,1267,0.3601527512073517,0.039500944316387177,0.04471876472234726
all_failures,0.5,back_L12_15,T2,lag1_hard_churn,1267,0.26462092995643616,0.8113449215888977,0.8697903752326965
all_failures,0.5,back_L12_15,T2,lag2_soft_change,1267,0.4043615162372589,0.045069899410009384,0.0479109100997448
all_failures,0.5,back_L12_15,T3,lag1_soft_change,1267,0.36402007937431335,0.03843388333916664,0.0430169440805912
all_failures,0.5,back_L12_15,T3,lag1_hard_churn,1267,0.24874861538410187,0.8247365355491638,0.8841530680656433
all_failures,0.5,back_L12_15,T3,lag2_soft_change,1267,0.42368996143341064,0.043112728744745255,0.04515766724944115
all_failures,0.5,back_L12_15,T4,lag1_soft_change,1267,0.3551376163959503,0.03750395402312279,0.0419110506772995
all_failures,0.5,back_L12_15,T4,lag1_hard_churn,1267,0.2586320638656616,0.8262845873832703,0.8864437937736511
all_failures,0.5,back_L12_15,T4,lag2_soft_change,1267,0.4248211681842804,0.04177684709429741,0.04369364306330681
all_failures,0.5,back_L12_15,T5,lag1_soft_change,1267,0.3734510540962219,0.03746017813682556,0.04166995733976364
all_failures,0.5,back_L12_15,T5,lag1_hard_churn,1267,0.22152069211006165,0.8277401924133301,0.8904035687446594
all_failures,0.5,back_L12_15,T5,lag2_soft_change,1267,0.45362532138824463,0.04185490682721138,0.0428936667740345
all_failures,0.5,back_L12_15,T6,lag1_soft_change,1267,0.37319180369377136,0.0375635027885437,0.041694093495607376
all_failures,0.5,back_L12_15,T6,lag1_hard_churn,1267,0.23750188946723938,0.8267537951469421,0.8886842131614685
all_failures,0.5,back_L12_15,T6,lag2_soft_change,1267,0.4454515278339386,0.041837263852357864,0.04311242699623108
all_failures,0.5,back_L12_15,T7,lag1_soft_change,1267,0.3730889856815338,0.03810618072748184,0.042144861072301865
all_failures,0.5,back_L12_15,T7,lag1_hard_churn,1267,0.22473756968975067,0.8191174268722534,0.8856338262557983
all_failures,0.5,back_L12_15,T7,lag2_soft_change,1267,0.44028785824775696,0.04267427325248718,0.04400832951068878
all_failures,0.5,back_L12_15,T8,lag1_soft_change,1267,0.3631395399570465,0.038595572113990784,0.043055444955825806
all_failures,0.5,back_L12_15,T8,lag1_hard_churn,1267,0.2132236510515213,0.8125252723693848,0.8797814846038818
all_failures,0.5,back_L12_15,T8,lag2_soft_change,1267,0.444602906703949,0.04401718080043793,0.04550798237323761
all_failures,0.5,back_L12_15,T9,lag1_soft_change,1267,0.34819555282592773,0.039903637021780014,0.04484124481678009
all_failures,0.5,back_L12_15,T9,lag1_hard_churn,1267,0.21512548625469208,0.8055104613304138,0.8712170720100403
all_failures,0.5,back_L12_15,T9,lag2_soft_change,1267,0.42375192046165466,0.04601243883371353,0.04814706742763519
all_failures,0.5,back_L12_15,T10,lag1_soft_change,1267,0.3213672935962677,0.042936936020851135,0.049043718725442886
all_failures,0.5,back_L12_15,T10,lag1_hard_churn,1267,0.19984062016010284,0.7683044075965881,0.8449386954307556
all_failures,0.5,back_L12_15,T10,lag2_soft_change,1267,0.39791688323020935,0.050235897302627563,0.0538308322429657
all_failures,0.6,back_L12_15,state,lag1_soft_change,1267,0.2741253077983856,0.07180071622133255,0.09828231483697891
all_failures,0.6,back_L12_15,state,lag1_hard_churn,1267,0.31015142798423767,0.52327561378479,0.672295093536377
all_failures,0.6,back_L12_15,state,lag2_soft_change,1267,0.23209978640079498,0.09723054617643356,0.13209305703639984
all_failures,0.6,back_L12_15,T1,lag1_soft_change,1267,0.39297521114349365,0.040155477821826935,0.043757423758506775
