method,k,calibration,threshold,units,rank,exceedances,fold,suite
cosine,6,task_init,0.3345780074596405,70,68,2,libero_goal_full_1,libero_goal
cosine,7,episode,0.2295537292957306,547,521,26,libero_goal_full_1,libero_goal
cosine,7,task_init,0.3399994969367981,70,68,2,libero_goal_full_1,libero_goal
cosine,8,episode,0.2345796972513198,547,521,26,libero_goal_full_1,libero_goal
cosine,8,task_init,0.3446874320507049,70,68,2,libero_goal_full_1,libero_goal
cosine,9,episode,0.2392139881849289,547,521,26,libero_goal_full_1,libero_goal
cosine,9,task_init,0.3486721515655517,70,68,2,libero_goal_full_1,libero_goal
cosine,10,episode,0.2440074831247329,547,521,26,libero_goal_full_1,libero_goal
cosine,10,task_init,0.3526429831981659,70,68,2,libero_goal_full_1,libero_goal
cosine,20,episode,0.2869022190570831,547,521,26,libero_goal_full_1,libero_goal
cosine,20,task_init,0.3894838988780975,70,68,2,libero_goal_full_1,libero_goal
cosine_neighbors_euclidean_score,1,episode,3.1512598991394043,547,521,26,libero_goal_full_1,libero_goal
cosine_neighbors_euclidean_score,1,task_init,4.520419597625732,70,68,2,libero_goal_full_1,libero_goal
cosine_neighbors_euclidean_score,2,episode,2.8635094165802,547,521,26,libero_goal_full_1,libero_goal
cosine_neighbors_euclidean_score,2,task_init,3.724609613418579,70,68,2,libero_goal_full_1,libero_goal
cosine_neighbors_euclidean_score,3,episode,2.7739486694335938,547,521,26,libero_goal_full_1,libero_goal
cosine_neighbors_euclidean_score,3,task_init,3.901787042617798,70,68,2,libero_goal_full_1,libero_goal
cosine_neighbors_euclidean_score,4,episode,2.679479122161865,547,521,26,libero_goal_full_1,libero_goal
cosine_neighbors_euclidean_score,4,task_init,3.8143303394317623,70,68,2,libero_goal_full_1,libero_goal
cosine_neighbors_euclidean_score,5,episode,2.686429977416992,547,521,26,libero_goal_full_1,libero_goal
cosine_neighbors_euclidean_score,5,task_init,3.3889496326446533,70,68,2,libero_goal_full_1,libero_goal
cosine_neighbors_euclidean_score,6,episode,2.72175669670105,547,521,26,libero_goal_full_1,libero_goal
cosine_neighbors_euclidean_score,6,task_init,3.385155439376831,70,68,2,libero_goal_full_1,libero_goal
cosine_neighbors_euclidean_score,7,episode,2.705414056777954,547,521,26,libero_goal_full_1,libero_goal
cosine_neighbors_euclidean_score,7,task_init,3.2534964084625244,70,68,2,libero_goal_full_1,libero_goal
cosine_neighbors_euclidean_score,8,episode,2.694751262664795,547,521,26,libero_goal_full_1,libero_goal
cosine_neighbors_euclidean_score,8,task_init,3.178842067718506,70,68,2,libero_goal_full_1,libero_goal
cosine_neighbors_euclidean_score,9,episode,2.664339065551758,547,521,26,libero_goal_full_1,libero_goal
cosine_neighbors_euclidean_score,9,task_init,3.2008793354034424,70,68,2,libero_goal_full_1,libero_goal
cosine_neighbors_euclidean_score,10,episode,2.6498448848724365,547,521,26,libero_goal_full_1,libero_goal
cosine_neighbors_euclidean_score,10,task_init,3.1531753540039062,70,68,2,libero_goal_full_1,libero_goal
cosine_neighbors_euclidean_score,20,episode,2.7646801471710205,547,521,26,libero_goal_full_1,libero_goal
cosine_neighbors_euclidean_score,20,task_init,3.3827483654022217,70,68,2,libero_goal_full_1,libero_goal
euclidean_neighbors_cosine_score,1,episode,0.2778374552726745,547,521,26,libero_goal_full_1,libero_goal
euclidean_neighbors_cosine_score,1,task_init,0.5641398429870605,70,68,2,libero_goal_full_1,libero_goal
euclidean_neighbors_cosine_score,2,episode,0.2837732434272766,547,521,26,libero_goal_full_1,libero_goal
euclidean_neighbors_cosine_score,2,task_init,0.4594331085681915,70,68,2,libero_goal_full_1,libero_goal
euclidean_neighbors_cosine_score,3,episode,0.3130010068416595,547,521,26,libero_goal_full_1,libero_goal
euclidean_neighbors_cosine_score,3,task_init,0.4607808589935303,70,68,2,libero_goal_full_1,libero_goal
euclidean_neighbors_cosine_score,4,episode,0.3073998987674713,547,521,26,libero_goal_full_1,libero_goal
euclidean_neighbors_cosine_score,4,task_init,0.4936535954475403,70,68,2,libero_goal_full_1,libero_goal
euclidean_neighbors_cosine_score,5,episode,0.3239436745643616,547,521,26,libero_goal_full_1,libero_goal
euclidean_neighbors_cosine_score,5,task_init,0.4725649058818817,70,68,2,libero_goal_full_1,libero_goal
euclidean_neighbors_cosine_score,6,episode,0.3391804695129394,547,521,26,libero_goal_full_1,libero_goal
euclidean_neighbors_cosine_score,6,task_init,0.4857586026191711,70,68,2,libero_goal_full_1,libero_goal
euclidean_neighbors_cosine_score,7,episode,0.3517806828022003,547,521,26,libero_goal_full_1,libero_goal
euclidean_neighbors_cosine_score,7,task_init,0.5018544793128967,70,68,2,libero_goal_full_1,libero_goal
euclidean_neighbors_cosine_score,8,episode,0.3567028343677521,547,521,26,libero_goal_full_1,libero_goal
euclidean_neighbors_cosine_score,8,task_init,0.4940142929553985,70,68,2,libero_goal_full_1,libero_goal
euclidean_neighbors_cosine_score,9,episode,0.3675938844680786,547,521,26,libero_goal_full_1,libero_goal
euclidean_neighbors_cosine_score,9,task_init,0.5201090574264526,70,68,2,libero_goal_full_1,libero_goal
euclidean_neighbors_cosine_score,10,episode,0.3771373927593231,547,521,26,libero_goal_full_1,libero_goal
euclidean_neighbors_cosine_score,10,task_init,0.5115317106246948,70,68,2,libero_goal_full_1,libero_goal
euclidean_neighbors_cosine_score,20,episode,0.4259762167930603,547,521,26,libero_goal_full_1,libero_goal
euclidean_neighbors_cosine_score,20,task_init,0.5446472764015198,70,68,2,libero_goal_full_1,libero_goal
cosine_without_center,1,episode,0.1650611460208892,547,521,26,libero_goal_full_1,libero_goal
cosine_without_center,1,task_init,0.2090178579092025,70,68,2,libero_goal_full_1,libero_goal
cosine_without_center,2,episode,0.1796666979789734,547,521,26,libero_goal_full_1,libero_goal
cosine_without_center,2,task_init,0.2186980694532394,70,68,2,libero_goal_full_1,libero_goal
cosine_without_center,3,episode,0.1883181780576706,547,521,26,libero_goal_full_1,libero_goal
cosine_without_center,3,task_init,0.2326966226100921,70,68,2,libero_goal_full_1,libero_goal
