level,cohort,suite,task,calibration,threshold_mode,method,k,episodes,failures,successes,tp,fn,fp,tn,recall,fpr,precision
cohort,A,all,all,task_init,fixed_k20,cosine_neighbors_euclidean_score,7,16000,532,15468,428,104,1011,14457,0.8045112781954887,0.06536074476338247,0.2974287699791522
cohort,A,all,all,task_init,fixed_k20,cosine_neighbors_euclidean_score,8,16000,532,15468,434,98,1010,14458,0.8157894736842105,0.06529609516420998,0.30055401662049863
cohort,A,all,all,task_init,fixed_k20,cosine_neighbors_euclidean_score,9,16000,532,15468,439,93,980,14488,0.825187969924812,0.06335660718903542,0.3093727977448908
cohort,A,all,all,task_init,fixed_k20,cosine_neighbors_euclidean_score,10,16000,532,15468,439,93,982,14486,0.825187969924812,0.0634859063873804,0.30893736805066857
cohort,A,all,all,task_init,fixed_k20,cosine_neighbors_euclidean_score,20,16000,532,15468,446,86,987,14481,0.8383458646616542,0.06380915438324282,0.31123517096999304
cohort,A,all,all,task_init,fixed_k20,euclidean_neighbors_cosine_score,1,16000,532,15468,2,530,52,15416,0.0037593984962406013,0.0033617791569692267,0.037037037037037035
cohort,A,all,all,task_init,fixed_k20,euclidean_neighbors_cosine_score,2,16000,532,15468,2,530,67,15401,0.0037593984962406013,0.004331523144556503,0.028985507246376812
cohort,A,all,all,task_init,fixed_k20,euclidean_neighbors_cosine_score,3,16000,532,15468,3,529,83,15385,0.005639097744360902,0.0053659167313162654,0.03488372093023256
cohort,A,all,all,task_init,fixed_k20,euclidean_neighbors_cosine_score,4,16000,532,15468,6,526,88,15380,0.011278195488721804,0.005689164727178691,0.06382978723404255
cohort,A,all,all,task_init,fixed_k20,euclidean_neighbors_cosine_score,5,16000,532,15468,4,528,100,15368,0.007518796992481203,0.006464959917248513,0.038461538461538464
cohort,A,all,all,task_init,fixed_k20,euclidean_neighbors_cosine_score,6,16000,532,15468,5,527,108,15360,0.009398496240601503,0.0069821567106283944,0.04424778761061947
cohort,A,all,all,task_init,fixed_k20,euclidean_neighbors_cosine_score,7,16000,532,15468,5,527,127,15341,0.009398496240601503,0.00821049909490561,0.03787878787878788
cohort,A,all,all,task_init,fixed_k20,euclidean_neighbors_cosine_score,8,16000,532,15468,6,526,144,15324,0.011278195488721804,0.009309542280837859,0.04
cohort,A,all,all,task_init,fixed_k20,euclidean_neighbors_cosine_score,9,16000,532,15468,6,526,160,15308,0.011278195488721804,0.01034393586759762,0.03614457831325301
cohort,A,all,all,task_init,fixed_k20,euclidean_neighbors_cosine_score,10,16000,532,15468,6,526,175,15293,0.011278195488721804,0.011313679855184899,0.03314917127071823
cohort,A,all,all,task_init,fixed_k20,euclidean_neighbors_cosine_score,20,16000,532,15468,14,518,322,15146,0.02631578947368421,0.020817170933540213,0.041666666666666664
cohort,A,all,all,task_init,fixed_k20,cosine_without_center,1,16000,532,15468,12,520,118,15350,0.022556390977443608,0.0076286527023532455,0.09230769230769231
cohort,A,all,all,task_init,fixed_k20,cosine_without_center,2,16000,532,15468,17,515,150,15318,0.03195488721804511,0.009697439875872769,0.10179640718562874
cohort,A,all,all,task_init,fixed_k20,cosine_without_center,3,16000,532,15468,25,507,173,15295,0.046992481203007516,0.011184380656839927,0.12626262626262627
cohort,A,all,all,task_init,fixed_k20,cosine_without_center,4,16000,532,15468,26,506,213,15255,0.04887218045112782,0.013770364623739333,0.1087866108786611
cohort,A,all,all,task_init,fixed_k20,cosine_without_center,5,16000,532,15468,30,502,239,15229,0.05639097744360902,0.015451254202223947,0.11152416356877323
cohort,A,all,all,task_init,fixed_k20,cosine_without_center,6,16000,532,15468,34,498,260,15208,0.06390977443609022,0.016808895784846133,0.11564625850340136
