level,cohort,suite,task,method,failure,k_count,episodes,count,baseline_k20_alarms,baseline_alarms_with_this_k_count
cohort,B,all,all,cosine,False,4,15436,9,350,3
cohort,B,all,all,cosine,False,5,15436,7,350,4
cohort,B,all,all,cosine,False,6,15436,14,350,9
cohort,B,all,all,cosine,False,7,15436,19,350,12
cohort,B,all,all,cosine,False,8,15436,33,350,26
cohort,B,all,all,cosine,False,9,15436,36,350,29
cohort,B,all,all,cosine,False,10,15436,249,350,228
cohort,B,all,all,cosine,True,0,564,536,21,2
cohort,B,all,all,cosine,True,1,564,1,21,0
cohort,B,all,all,cosine,True,2,564,0,21,0
cohort,B,all,all,cosine,True,3,564,1,21,0
cohort,B,all,all,cosine,True,4,564,3,21,1
cohort,B,all,all,cosine,True,5,564,0,21,0
cohort,B,all,all,cosine,True,6,564,2,21,1
cohort,B,all,all,cosine,True,7,564,0,21,0
cohort,B,all,all,cosine,True,8,564,4,21,4
cohort,B,all,all,cosine,True,9,564,2,21,1
cohort,B,all,all,cosine,True,10,564,15,21,12
cohort,B,all,all,cosine_neighbors_euclidean_score,False,0,15436,14163,980,114
cohort,B,all,all,cosine_neighbors_euclidean_score,False,1,15436,200,980,35
cohort,B,all,all,cosine_neighbors_euclidean_score,False,2,15436,117,980,37
cohort,B,all,all,cosine_neighbors_euclidean_score,False,3,15436,83,980,29
cohort,B,all,all,cosine_neighbors_euclidean_score,False,4,15436,54,980,32
cohort,B,all,all,cosine_neighbors_euclidean_score,False,5,15436,67,980,40
cohort,B,all,all,cosine_neighbors_euclidean_score,False,6,15436,72,980,49
cohort,B,all,all,cosine_neighbors_euclidean_score,False,7,15436,80,980,66
cohort,B,all,all,cosine_neighbors_euclidean_score,False,8,15436,92,980,82
cohort,B,all,all,cosine_neighbors_euclidean_score,False,9,15436,90,980,84
cohort,B,all,all,cosine_neighbors_euclidean_score,False,10,15436,418,980,412
cohort,B,all,all,cosine_neighbors_euclidean_score,True,0,564,103,464,14
cohort,B,all,all,cosine_neighbors_euclidean_score,True,1,564,14,464,9
cohort,B,all,all,cosine_neighbors_euclidean_score,True,2,564,8,464,5
cohort,B,all,all,cosine_neighbors_euclidean_score,True,3,564,8,464,7
cohort,B,all,all,cosine_neighbors_euclidean_score,True,4,564,9,464,8
cohort,B,all,all,cosine_neighbors_euclidean_score,True,5,564,19,464,19
cohort,B,all,all,cosine_neighbors_euclidean_score,True,6,564,22,464,22
cohort,B,all,all,cosine_neighbors_euclidean_score,True,7,564,43,464,43
cohort,B,all,all,cosine_neighbors_euclidean_score,True,8,564,41,464,40
cohort,B,all,all,cosine_neighbors_euclidean_score,True,9,564,30,464,30
cohort,B,all,all,cosine_neighbors_euclidean_score,True,10,564,267,464,267
cohort,B,all,all,euclidean_neighbors_cosine_score,False,0,15436,14954,320,21
cohort,B,all,all,euclidean_neighbors_cosine_score,False,1,15436,80,320,6
cohort,B,all,all,euclidean_neighbors_cosine_score,False,2,15436,41,320,13
cohort,B,all,all,euclidean_neighbors_cosine_score,False,3,15436,35,320,14
cohort,B,all,all,euclidean_neighbors_cosine_score,False,4,15436,24,320,12
cohort,B,all,all,euclidean_neighbors_cosine_score,False,5,15436,18,320,10
cohort,B,all,all,euclidean_neighbors_cosine_score,False,6,15436,25,320,16
cohort,B,all,all,euclidean_neighbors_cosine_score,False,7,15436,28,320,16
cohort,B,all,all,euclidean_neighbors_cosine_score,False,8,15436,35,320,27
cohort,B,all,all,euclidean_neighbors_cosine_score,False,9,15436,43,320,38
cohort,B,all,all,euclidean_neighbors_cosine_score,False,10,15436,153,320,147
cohort,B,all,all,euclidean_neighbors_cosine_score,True,0,564,539,16,1
cohort,B,all,all,euclidean_neighbors_cosine_score,True,1,564,3,16,1
cohort,B,all,all,euclidean_neighbors_cosine_score,True,2,564,2,16,0
cohort,B,all,all,euclidean_neighbors_cosine_score,True,3,564,2,16,1
cohort,B,all,all,euclidean_neighbors_cosine_score,True,4,564,3,16,2
cohort,B,all,all,euclidean_neighbors_cosine_score,True,5,564,1,16,0
cohort,B,all,all,euclidean_neighbors_cosine_score,True,6,564,0,16,0
cohort,B,all,all,euclidean_neighbors_cosine_score,True,7,564,3,16,2
cohort,B,all,all,euclidean_neighbors_cosine_score,True,8,564,2,16,1
cohort,B,all,all,euclidean_neighbors_cosine_score,True,9,564,1,16,0
cohort,B,all,all,euclidean_neighbors_cosine_score,True,10,564,8,16,8
cohort,B,all,all,cosine_without_center,False,0,15436,14714,550,15
cohort,B,all,all,cosine_without_center,False,1,15436,46,550,3
cohort,B,all,all,cosine_without_center,False,2,15436,26,550,7
cohort,B,all,all,cosine_without_center,False,3,15436,29,550,4
cohort,B,all,all,cosine_without_center,False,4,15436,17,550,7
cohort,B,all,all,cosine_without_center,False,5,15436,16,550,10
cohort,B,all,all,cosine_without_center,False,6,15436,20,550,8
cohort,B,all,all,cosine_without_center,False,7,15436,30,550,20
cohort,B,all,all,cosine_without_center,False,8,15436,34,550,20
cohort,B,all,all,cosine_without_center,False,9,15436,35,550,29
cohort,B,all,all,cosine_without_center,False,10,15436,469,550,427
cohort,B,all,all,cosine_without_center,True,0,564,461,82,1
cohort,B,all,all,cosine_without_center,True,1,564,2,82,0
cohort,B,all,all,cosine_without_center,True,2,564,3,82,0
cohort,B,all,all,cosine_without_center,True,3,564,2,82,1
cohort,B,all,all,cosine_without_center,True,4,564,4,82,1
cohort,B,all,all,cosine_without_center,True,5,564,1,82,1
cohort,B,all,all,cosine_without_center,True,6,564,3,82,2
cohort,B,all,all,cosine_without_center,True,7,564,5,82,4
cohort,B,all,all,cosine_without_center,True,8,564,5,82,3
cohort,B,all,all,cosine_without_center,True,9,564,7,82,6
cohort,B,all,all,cosine_without_center,True,10,564,71,82,63
suite,all,libero_goal,all,euclidean,False,0,7792,5723,1927,20
suite,all,libero_goal,all,euclidean,False,1,7792,57,1927,6
suite,all,libero_goal,all,euclidean,False,2,7792,22,1927,4
suite,all,libero_goal,all,euclidean,False,3,7792,22,1927,8
suite,all,libero_goal,all,euclidean,False,4,7792,24,1927,7
suite,all,libero_goal,all,euclidean,False,5,7792,14,1927,8
suite,all,libero_goal,all,euclidean,False,6,7792,15,1927,7
suite,all,libero_goal,all,euclidean,False,7,7792,20,1927,14
suite,all,libero_goal,all,euclidean,False,8,7792,26,1927,19
suite,all,libero_goal,all,euclidean,False,9,7792,37,1927,29
suite,all,libero_goal,all,euclidean,False,10,7792,1832,1927,1805
suite,all,libero_goal,all,euclidean,True,0,208,2,206,0
suite,all,libero_goal,all,euclidean,True,1,208,0,206,0
suite,all,libero_goal,all,euclidean,True,2,208,0,206,0
suite,all,libero_goal,all,euclidean,True,3,208,0,206,0
suite,all,libero_goal,all,euclidean,True,4,208,0,206,0
suite,all,libero_goal,all,euclidean,True,5,208,0,206,0
suite,all,libero_goal,all,euclidean,True,6,208,0,206,0
suite,all,libero_goal,all,euclidean,True,7,208,0,206,0
suite,all,libero_goal,all,euclidean,True,8,208,0,206,0
suite,all,libero_goal,all,euclidean,True,9,208,0,206,0
suite,all,libero_goal,all,euclidean,True,10,208,206,206,206
suite,all,libero_goal,all,cosine,False,0,7792,7438,301,15
suite,all,libero_goal,all,cosine,False,1,7792,15,301,3
suite,all,libero_goal,all,cosine,False,2,7792,15,301,4
suite,all,libero_goal,all,cosine,False,3,7792,17,301,5
suite,all,libero_goal,all,cosine,False,4,7792,6,301,2
suite,all,libero_goal,all,cosine,False,5,7792,5,301,2
suite,all,libero_goal,all,cosine,False,6,7792,12,301,8
suite,all,libero_goal,all,cosine,False,7,7792,9,301,8
suite,all,libero_goal,all,cosine,False,8,7792,21,301,17
suite,all,libero_goal,all,cosine,False,9,7792,21,301,18
suite,all,libero_goal,all,cosine,False,10,7792,233,301,219
suite,all,libero_goal,all,cosine,True,0,208,182,26,1
suite,all,libero_goal,all,cosine,True,1,208,0,26,0
suite,all,libero_goal,all,cosine,True,2,208,0,26,0
suite,all,libero_goal,all,cosine,True,3,208,1,26,1
suite,all,libero_goal,all,cosine,True,4,208,0,26,0
suite,all,libero_goal,all,cosine,True,5,208,0,26,0
suite,all,libero_goal,all,cosine,True,6,208,2,26,1
suite,all,libero_goal,all,cosine,True,7,208,1,26,1
suite,all,libero_goal,all,cosine,True,8,208,2,26,2
suite,all,libero_goal,all,cosine,True,9,208,0,26,0
suite,all,libero_goal,all,cosine,True,10,208,20,26,20
suite,all,libero_goal,all,cosine_neighbors_euclidean_score,False,0,7792,6231,1508,136
suite,all,libero_goal,all,cosine_neighbors_euclidean_score,False,1,7792,137,1508,43
suite,all,libero_goal,all,cosine_neighbors_euclidean_score,False,2,7792,66,1508,35
suite,all,libero_goal,all,cosine_neighbors_euclidean_score,False,3,7792,61,1508,34
suite,all,libero_goal,all,cosine_neighbors_euclidean_score,False,4,7792,51,1508,43
suite,all,libero_goal,all,cosine_neighbors_euclidean_score,False,5,7792,54,1508,44
suite,all,libero_goal,all,cosine_neighbors_euclidean_score,False,6,7792,57,1508,56
suite,all,libero_goal,all,cosine_neighbors_euclidean_score,False,7,7792,126,1508,118
suite,all,libero_goal,all,cosine_neighbors_euclidean_score,False,8,7792,133,1508,127
suite,all,libero_goal,all,cosine_neighbors_euclidean_score,False,9,7792,124,1508,123
suite,all,libero_goal,all,cosine_neighbors_euclidean_score,False,10,7792,752,1508,749
suite,all,libero_goal,all,cosine_neighbors_euclidean_score,True,0,208,18,188,3
suite,all,libero_goal,all,cosine_neighbors_euclidean_score,True,1,208,3,188,1
suite,all,libero_goal,all,cosine_neighbors_euclidean_score,True,2,208,2,188,1
suite,all,libero_goal,all,cosine_neighbors_euclidean_score,True,3,208,2,188,1
suite,all,libero_goal,all,cosine_neighbors_euclidean_score,True,4,208,2,188,2
suite,all,libero_goal,all,cosine_neighbors_euclidean_score,True,5,208,5,188,5
suite,all,libero_goal,all,cosine_neighbors_euclidean_score,True,6,208,2,188,2
suite,all,libero_goal,all,cosine_neighbors_euclidean_score,True,7,208,7,188,6
suite,all,libero_goal,all,cosine_neighbors_euclidean_score,True,8,208,5,188,5
suite,all,libero_goal,all,cosine_neighbors_euclidean_score,True,9,208,9,188,9
suite,all,libero_goal,all,cosine_neighbors_euclidean_score,True,10,208,153,188,153
suite,all,libero_goal,all,euclidean_neighbors_cosine_score,False,0,7792,7250,393,9
suite,all,libero_goal,all,euclidean_neighbors_cosine_score,False,1,7792,60,393,6
suite,all,libero_goal,all,euclidean_neighbors_cosine_score,False,2,7792,36,393,10
suite,all,libero_goal,all,euclidean_neighbors_cosine_score,False,3,7792,33,393,13
suite,all,libero_goal,all,euclidean_neighbors_cosine_score,False,4,7792,27,393,10
suite,all,libero_goal,all,euclidean_neighbors_cosine_score,False,5,7792,20,393,14
suite,all,libero_goal,all,euclidean_neighbors_cosine_score,False,6,7792,19,393,12
suite,all,libero_goal,all,euclidean_neighbors_cosine_score,False,7,7792,31,393,21
suite,all,libero_goal,all,euclidean_neighbors_cosine_score,False,8,7792,35,393,30
suite,all,libero_goal,all,euclidean_neighbors_cosine_score,False,9,7792,67,393,62
suite,all,libero_goal,all,euclidean_neighbors_cosine_score,False,10,7792,214,393,206
suite,all,libero_goal,all,euclidean_neighbors_cosine_score,True,0,208,176,26,2
suite,all,libero_goal,all,euclidean_neighbors_cosine_score,True,1,208,2,26,0
suite,all,libero_goal,all,euclidean_neighbors_cosine_score,True,2,208,2,26,0
suite,all,libero_goal,all,euclidean_neighbors_cosine_score,True,3,208,3,26,2
suite,all,libero_goal,all,euclidean_neighbors_cosine_score,True,4,208,2,26,2
suite,all,libero_goal,all,euclidean_neighbors_cosine_score,True,5,208,3,26,2
suite,all,libero_goal,all,euclidean_neighbors_cosine_score,True,6,208,1,26,0
suite,all,libero_goal,all,euclidean_neighbors_cosine_score,True,7,208,3,26,3
suite,all,libero_goal,all,euclidean_neighbors_cosine_score,True,8,208,1,26,1
suite,all,libero_goal,all,euclidean_neighbors_cosine_score,True,9,208,2,26,1
suite,all,libero_goal,all,euclidean_neighbors_cosine_score,True,10,208,13,26,13
suite,all,libero_goal,all,cosine_without_center,False,0,7792,7054,555,1
