level,cohort,suite,task,calibration,threshold_mode,method,k,episodes,failures,successes,tp,fn,fp,tn,recall,fpr,precision
all,all,all,all,task_init,fixed_k20,cosine,9,32000,1096,30904,20,1076,335,30569,0.01824817518248175,0.010840020709293295,0.056338028169014086
all,all,all,all,task_init,fixed_k20,cosine,10,32000,1096,30904,20,1076,364,30540,0.01824817518248175,0.01177841056173958,0.052083333333333336
all,all,all,all,task_init,fixed_k20,cosine,20,32000,1096,30904,38,1058,672,30232,0.03467153284671533,0.02174475796013461,0.05352112676056338
all,all,all,all,task_init,fixed_k20,cosine_neighbors_euclidean_score,1,32000,1096,30904,912,184,3559,27345,0.8321167883211679,0.11516308568470102,0.20398121225676583
all,all,all,all,task_init,fixed_k20,cosine_neighbors_euclidean_score,2,32000,1096,30904,902,194,2824,28080,0.822992700729927,0.09137975666580378,0.24208266237251744
all,all,all,all,task_init,fixed_k20,cosine_neighbors_euclidean_score,3,32000,1096,30904,902,194,2532,28372,0.822992700729927,0.08193114159979291,0.2626674432149097
all,all,all,all,task_init,fixed_k20,cosine_neighbors_euclidean_score,4,32000,1096,30904,914,182,2418,28486,0.833941605839416,0.07824229873155579,0.2743097238895558
all,all,all,all,task_init,fixed_k20,cosine_neighbors_euclidean_score,5,32000,1096,30904,893,203,2230,28674,0.8147810218978102,0.07215894382604193,0.28594300352225427
all,all,all,all,task_init,fixed_k20,cosine_neighbors_euclidean_score,6,32000,1096,30904,876,220,2148,28756,0.7992700729927007,0.06950556562257312,0.2896825396825397
all,all,all,all,task_init,fixed_k20,cosine_neighbors_euclidean_score,7,32000,1096,30904,879,217,2051,28853,0.802007299270073,0.06636681335749417,0.3
all,all,all,all,task_init,fixed_k20,cosine_neighbors_euclidean_score,8,32000,1096,30904,888,208,2041,28863,0.8102189781021898,0.06604323064975408,0.30317514510071697
all,all,all,all,task_init,fixed_k20,cosine_neighbors_euclidean_score,9,32000,1096,30904,895,201,1985,28919,0.8166058394160584,0.06423116748640953,0.3107638888888889
all,all,all,all,task_init,fixed_k20,cosine_neighbors_euclidean_score,10,32000,1096,30904,897,199,1995,28909,0.8184306569343066,0.06455475019414962,0.31016597510373445
all,all,all,all,task_init,fixed_k20,cosine_neighbors_euclidean_score,20,32000,1096,30904,910,186,1967,28937,0.8302919708029197,0.06364871861247735,0.31630170316301703
all,all,all,all,task_init,fixed_k20,euclidean_neighbors_cosine_score,1,32000,1096,30904,3,1093,120,30784,0.002737226277372263,0.0038829924928811804,0.024390243902439025
all,all,all,all,task_init,fixed_k20,euclidean_neighbors_cosine_score,2,32000,1096,30904,5,1091,141,30763,0.004562043795620438,0.004562516179135387,0.03424657534246575
all,all,all,all,task_init,fixed_k20,euclidean_neighbors_cosine_score,3,32000,1096,30904,6,1090,171,30733,0.005474452554744526,0.005533264302355682,0.03389830508474576
all,all,all,all,task_init,fixed_k20,euclidean_neighbors_cosine_score,4,32000,1096,30904,9,1087,184,30720,0.008211678832116789,0.00595392182241781,0.046632124352331605
all,all,all,all,task_init,fixed_k20,euclidean_neighbors_cosine_score,5,32000,1096,30904,9,1087,214,30690,0.008211678832116789,0.006924669945638105,0.04035874439461883
all,all,all,all,task_init,fixed_k20,euclidean_neighbors_cosine_score,6,32000,1096,30904,10,1086,241,30663,0.009124087591240875,0.00779834325653637,0.0398406374501992
all,all,all,all,task_init,fixed_k20,euclidean_neighbors_cosine_score,7,32000,1096,30904,11,1085,267,30637,0.010036496350364963,0.008639658296660626,0.039568345323741004
all,all,all,all,task_init,fixed_k20,euclidean_neighbors_cosine_score,8,32000,1096,30904,13,1083,300,30604,0.011861313868613138,0.009707481232202952,0.04153354632587859
all,all,all,all,task_init,fixed_k20,euclidean_neighbors_cosine_score,9,32000,1096,30904,15,1081,328,30576,0.013686131386861315,0.010613512813875226,0.043731778425655975
all,all,all,all,task_init,fixed_k20,euclidean_neighbors_cosine_score,10,32000,1096,30904,15,1081,353,30551,0.013686131386861315,0.011422469583225472,0.04076086956521739
all,all,all,all,task_init,fixed_k20,euclidean_neighbors_cosine_score,20,32000,1096,30904,30,1066,642,30262,0.02737226277372263,0.020774009836914315,0.044642857142857144
all,all,all,all,task_init,fixed_k20,cosine_without_center,1,32000,1096,30904,22,1074,241,30663,0.020072992700729927,0.00779834325653637,0.08365019011406843
all,all,all,all,task_init,fixed_k20,cosine_without_center,2,32000,1096,30904,33,1063,291,30613,0.030109489051094892,0.009416256795236862,0.10185185185185185
all,all,all,all,task_init,fixed_k20,cosine_without_center,3,32000,1096,30904,48,1048,335,30569,0.043795620437956206,0.010840020709293295,0.12532637075718014
all,all,all,all,task_init,fixed_k20,cosine_without_center,4,32000,1096,30904,51,1045,413,30491,0.046532846715328466,0.013363965829666064,0.10991379310344827
all,all,all,all,task_init,fixed_k20,cosine_without_center,5,32000,1096,30904,61,1035,459,30445,0.055656934306569344,0.014852446285270516,0.11730769230769231
all,all,all,all,task_init,fixed_k20,cosine_without_center,6,32000,1096,30904,68,1028,508,30396,0.06204379562043796,0.016438001553196996,0.11805555555555555
all,all,all,all,task_init,fixed_k20,cosine_without_center,7,32000,1096,30904,74,1022,553,30351,0.06751824817518248,0.01789412373802744,0.11802232854864433
all,all,all,all,task_init,fixed_k20,cosine_without_center,8,32000,1096,30904,85,1011,602,30302,0.07755474452554745,0.01947967900595392,0.12372634643377002
all,all,all,all,task_init,fixed_k20,cosine_without_center,9,32000,1096,30904,90,1006,644,30260,0.08211678832116788,0.020838726378462336,0.1226158038147139
all,all,all,all,task_init,fixed_k20,cosine_without_center,10,32000,1096,30904,97,999,694,30210,0.0885036496350365,0.022456639917162825,0.12262958280657396
all,all,all,all,task_init,fixed_k20,cosine_without_center,20,32000,1096,30904,158,938,1125,29779,0.14416058394160583,0.036403054620761065,0.12314886983632112
