level,cohort,suite,task,method,k,failure,episodes,both,removed_from_k20,new_vs_k20,neither,earlier,later,same_query
cohort,A,all,all,euclidean,20,True,532,478,0,0,54,0,0,478
cohort,A,all,all,cosine,1,False,15468,214,108,70,15076,4,6,204
cohort,A,all,all,cosine,2,False,15468,241,81,77,15069,3,7,231
cohort,A,all,all,cosine,3,False,15468,260,62,69,15077,2,7,251
cohort,A,all,all,cosine,4,False,15468,269,53,60,15086,2,6,261
cohort,A,all,all,cosine,5,False,15468,276,46,53,15093,2,5,269
cohort,A,all,all,cosine,6,False,15468,280,42,49,15097,2,5,273
cohort,A,all,all,cosine,7,False,15468,284,38,42,15104,3,2,279
cohort,A,all,all,cosine,8,False,15468,287,35,37,15109,3,3,281
cohort,A,all,all,cosine,9,False,15468,293,29,32,15114,1,2,290
cohort,A,all,all,cosine,10,False,15468,297,25,26,15120,1,1,295
cohort,A,all,all,cosine,20,False,15468,322,0,0,15146,0,0,322
cohort,A,all,all,cosine,1,True,532,10,7,2,513,0,1,9
cohort,A,all,all,cosine,2,True,532,12,5,2,513,0,2,10
cohort,A,all,all,cosine,3,True,532,12,5,1,514,0,1,11
cohort,A,all,all,cosine,4,True,532,13,4,1,514,0,2,11
cohort,A,all,all,cosine,5,True,532,13,4,1,514,0,2,11
cohort,A,all,all,cosine,6,True,532,13,4,1,514,0,2,11
cohort,A,all,all,cosine,7,True,532,13,4,1,514,0,2,11
cohort,A,all,all,cosine,8,True,532,14,3,1,514,0,2,12
cohort,A,all,all,cosine,9,True,532,14,3,1,514,0,1,13
cohort,A,all,all,cosine,10,True,532,14,3,1,514,0,0,14
cohort,A,all,all,cosine,20,True,532,17,0,0,515,0,0,17
cohort,A,all,all,cosine_neighbors_euclidean_score,1,False,15468,501,486,158,14323,25,225,251
cohort,A,all,all,cosine_neighbors_euclidean_score,2,False,15468,553,434,133,14348,33,215,305
cohort,A,all,all,cosine_neighbors_euclidean_score,3,False,15468,585,402,72,14409,36,185,364
cohort,A,all,all,cosine_neighbors_euclidean_score,4,False,15468,699,288,85,14396,36,181,482
cohort,A,all,all,cosine_neighbors_euclidean_score,5,False,15468,688,299,75,14406,24,176,488
cohort,A,all,all,cosine_neighbors_euclidean_score,6,False,15468,698,289,109,14372,24,153,521
cohort,A,all,all,cosine_neighbors_euclidean_score,7,False,15468,775,212,91,14390,46,107,622
cohort,A,all,all,cosine_neighbors_euclidean_score,8,False,15468,774,213,97,14384,38,124,612
cohort,A,all,all,cosine_neighbors_euclidean_score,9,False,15468,776,211,61,14420,28,129,619
cohort,A,all,all,cosine_neighbors_euclidean_score,10,False,15468,813,174,83,14398,45,95,673
cohort,A,all,all,cosine_neighbors_euclidean_score,20,False,15468,987,0,0,14481,0,0,987
cohort,A,all,all,cosine_neighbors_euclidean_score,1,True,532,278,168,6,80,25,170,83
cohort,A,all,all,cosine_neighbors_euclidean_score,2,True,532,284,162,5,81,23,148,113
cohort,A,all,all,cosine_neighbors_euclidean_score,3,True,532,310,136,2,84,11,167,132
cohort,A,all,all,cosine_neighbors_euclidean_score,4,True,532,366,80,3,83,15,182,169
cohort,A,all,all,cosine_neighbors_euclidean_score,5,True,532,379,67,2,84,19,180,180
