level,cohort,suite,task,method,k,failure,episodes,scorable,p00,p10,p25,p50,p75,p90,p100
suite,all,libero_object,all,euclidean,6,False,7919,7919,0.2411917664376239,0.3541680785692911,0.3988357783134424,0.47484451905645814,0.5943367735179428,0.7063091642819087,3.0009002765264885
suite,all,libero_object,all,euclidean,7,False,7919,7919,0.24694175557754935,0.3550110485814056,0.39934798103011976,0.474938655996801,0.5946111740118123,0.7056865030934993,2.989754183186198
suite,all,libero_object,all,euclidean,8,False,7919,7919,0.25144541609110665,0.35635904684196307,0.4005757480204984,0.4760684767501806,0.5963945931443181,0.7074810880340723,2.9819594405039753
suite,all,libero_object,all,euclidean,9,False,7919,7919,0.25526781473825233,0.356761323354191,0.4012255732430686,0.4765214693778945,0.596885120939057,0.7078991966891904,2.9760687074011396
suite,all,libero_object,all,euclidean,10,False,7919,7919,0.25570331685291536,0.35694216154731506,0.401207618336905,0.47610610625620664,0.5977045212355775,0.7094482334075661,2.973963047004587
suite,all,libero_object,all,euclidean,20,False,7919,7919,0.21925566577427563,0.3313521726682947,0.37189541657811614,0.4425180148239113,0.5981221215619105,0.713157116770877,2.9746889026906147
suite,all,libero_object,all,euclidean,1,True,81,81,0.6555970018372564,1.1048639192673309,1.605722623198068,2.104932341493331,2.8800868486932383,3.5955802603444718,4.567234914989296
suite,all,libero_object,all,euclidean,2,True,81,81,0.678375307201076,1.1482784527047116,1.671503030878544,2.128217055871264,2.893326412836829,3.5769496565092354,4.44609760559869
suite,all,libero_object,all,euclidean,3,True,81,81,0.684102157218065,1.166346317596262,1.6552697014709181,2.0985750450401834,2.7818556513093693,3.52941386698022,4.35365324881021
suite,all,libero_object,all,euclidean,4,True,81,81,0.6893575736204403,1.1778874682682774,1.6453375908536185,2.0961293349698273,2.7617758105215664,3.4979731036326305,4.286423049216338
suite,all,libero_object,all,euclidean,5,True,81,81,0.6811196000180323,1.1692747631288234,1.644005233171865,2.071987899581027,2.7343334121858236,3.4722674707451837,4.236078430562531
suite,all,libero_object,all,euclidean,6,True,81,81,0.6786985871064805,1.173379691008646,1.6465072962722762,2.0636950766353013,2.714994791347509,3.4509586612245458,4.1980193482954045
suite,all,libero_object,all,euclidean,7,True,81,81,0.6781424658537859,1.1792603031083495,1.6435732900054754,2.0491217723941855,2.6956583775384244,3.4262988314660503,4.155797144037701
suite,all,libero_object,all,euclidean,8,True,81,81,0.6780243106706363,1.1934836366437775,1.641357496072606,2.0370229423601223,2.6922605400001274,3.4085159683083845,4.124782143714707
suite,all,libero_object,all,euclidean,9,True,81,81,0.6750137101723228,1.1973390815196834,1.6391453880108762,2.0271917817620784,2.6928311648993155,3.3793970046606288,4.100562066419044
suite,all,libero_object,all,euclidean,10,True,81,81,0.6732540157443601,1.1942383781008414,1.6326825336712176,2.012283256691045,2.6951498877477786,3.35327900602768,4.067870809133387
suite,all,libero_object,all,euclidean,20,True,81,81,0.6518171123056646,1.105534972721884,1.3686400948854234,1.9009295273898237,2.5010460449960528,3.1223124707701784,3.609477665414797
suite,all,libero_spatial,all,euclidean,1,False,7734,7704,0.16010776686483064,0.4098159337084775,0.4978327604242521,0.6431567055488847,0.833333159037114,1.0051881611536109,8.595965694330033
suite,all,libero_spatial,all,euclidean,2,False,7734,7704,0.22684473148281717,0.4187923440520067,0.49997194676954115,0.6429065406202357,0.8265785223197121,0.9919260364663693,8.391631991332025
suite,all,libero_spatial,all,euclidean,3,False,7734,7704,0.24634235025259502,0.4240620880034469,0.5028922380125023,0.6451817403320048,0.8255410786607346,0.9835963214523415,8.163744264113877
suite,all,libero_spatial,all,euclidean,4,False,7734,7704,0.25062303773610983,0.42161836581690115,0.49971978752548907,0.6357695168639019,0.8163406386771395,0.9729249947562161,8.080724141020962
suite,all,libero_spatial,all,euclidean,5,False,7734,7704,0.23140668097473208,0.4157324523054355,0.49160302330709105,0.6177110789248356,0.8020167457259348,0.9670797167890125,8.012015859619487
suite,all,libero_spatial,all,euclidean,6,False,7734,7704,0.2229972358201743,0.4118295562264265,0.4864940157479836,0.6067519807088253,0.7939843339836561,0.9608590624715901,7.939605491517229
suite,all,libero_spatial,all,euclidean,7,False,7734,7704,0.22257798995508699,0.4122589072205343,0.4858793280425701,0.6055004067315625,0.7930687131324347,0.9595615660166288,7.883947116221077
suite,all,libero_spatial,all,euclidean,8,False,7734,7704,0.22341523612540104,0.4128077255541716,0.4858945622957582,0.6058589603703828,0.7938956944638196,0.960098728805603,7.836453227025957
suite,all,libero_spatial,all,euclidean,9,False,7734,7704,0.22433693011596162,0.4137165728494279,0.48591771262877514,0.6065131523403844,0.7947775793000925,0.9587620237431301,7.785484738950947
suite,all,libero_spatial,all,euclidean,10,False,7734,7704,0.22471123532942475,0.4132597954415868,0.48598319666309964,0.6068500282446707,0.794723517513449,0.9590341221764194,7.7427537891691856
suite,all,libero_spatial,all,euclidean,20,False,7734,7704,0.23146391389279236,0.41440633290815143,0.48647280864148934,0.6090528511700957,0.7931109410634603,0.9497819077674162,7.322011070114002
suite,all,libero_spatial,all,euclidean,1,True,266,266,1.2342120492977768,1.8467464390258663,2.526644010400897,4.090930292829885,6.321811352145346,7.571060866563444,9.806440895353509
suite,all,libero_spatial,all,euclidean,2,True,266,266,1.1881602165978489,1.8468534209751701,2.4675883305465067,4.027875346940619,6.136134089079282,7.439110570508041,9.538131414650572
suite,all,libero_spatial,all,euclidean,3,True,266,266,1.1660650860754695,1.8521346813080575,2.4219026819296787,4.006554603272366,6.083411518392015,7.286004959225766,9.274947289978456
suite,all,libero_spatial,all,euclidean,4,True,266,266,1.2406168261755601,1.862873070402662,2.407325375015123,3.8979305210034942,5.892003772591062,7.153622596502069,9.167250939243665
suite,all,libero_spatial,all,euclidean,5,True,266,266,1.2999243452100842,1.8735864022416118,2.3865966502743463,3.7322958073115324,5.680292402806737,7.051996002080083,9.089248562733776
suite,all,libero_spatial,all,euclidean,6,True,266,266,1.2801290814909,1.8395755604024129,2.371694598492199,3.5934747484129197,5.592861809529369,6.987616439551169,9.006332939222906
suite,all,libero_spatial,all,euclidean,7,True,266,266,1.2651804035908063,1.8363973784335477,2.3703723252374926,3.5826822306018458,5.545597023880186,6.938321998926616,8.943163019362766
suite,all,libero_spatial,all,euclidean,8,True,266,266,1.2625303849715066,1.8289325222682087,2.3689778000646218,3.5582302560753316,5.502803021701822,6.895871612128927,8.885319168290632
suite,all,libero_spatial,all,euclidean,9,True,266,266,1.2607658471435748,1.8215135852968982,2.361413692871339,3.5473102715443097,5.469915944686241,6.850214084328014,8.81898461532897
suite,all,libero_spatial,all,euclidean,10,True,266,266,1.2567018606155225,1.8170307632443055,2.354866840826102,3.5368422412697273,5.434934326172074,6.812885606721652,8.769026639335728
suite,all,libero_spatial,all,euclidean,20,True,266,266,1.2392016854250325,1.8009718877301901,2.3090764126934165,3.4652284658126913,5.204111264327049,6.467112865818389,8.29705563307494
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,euclidean,1,False,800,800,0.4315317194788069,0.6705021301834803,0.7580052144330739,0.8832953068262639,1.0464901552371901,1.209747862365753,1.84775238875269
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,euclidean,2,False,800,800,0.47371060473796694,0.6684913334407542,0.756732470779468,0.8716229812113883,1.0350357587422556,1.1799537358545358,1.7904225711235098
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,euclidean,3,False,800,800,0.49114074354879755,0.6725724564078822,0.7670613509035864,0.8837943927801513,1.042570268773574,1.1830671665100734,1.7767967245598248
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,euclidean,4,False,800,800,0.49728683869290685,0.673341698607763,0.7708904765018956,0.8838439214552665,1.0398480861858663,1.185961754218107,1.7653243758124955
