quantity,representation,direction,quantile,mode,tp,fp,risk_recall,timely_fpr,precision,low_prior_tp,low_prior_fp,low_prior_precision,low_prior_share,mean_alarm_prior,lift
query_hard_churn,L3,high,0.975,global,1,5,0.002053388090349076,0.0003493327744008943,0.16666666666666666,1,4,0.2,1.0,0.10507208361974785,1.5862126354115849
query_hard_churn,L3,high,0.98,per_task,1,2,0.002053388090349076,0.00013973310976035772,0.3333333333333333,1,2,0.3333333333333333,1.0,0.0779765484337512,4.274789536453168
query_hard_churn,L3,high,0.98,global,1,4,0.002053388090349076,0.00027946621952071543,0.2,0,3,0.0,0.0,0.30271786767348163,0.6606811865354594
query_hard_churn,L3,high,0.99,per_task,0,1,0.0,6.986655488017886e-05,0.0,0,1,0.0,0.0,0.17435897435897435,0.0
query_hard_churn,L3,high,0.99,global,1,3,0.002053388090349076,0.00020959966464053657,0.25,0,2,0.0,0.0,0.3678162126570183,0.679687276952961
query_hard_churn,L3,high,0.995,per_task,0,0,0.0,0.0,0.0,0,0,0.0,0.0,,
query_hard_churn,L3,high,0.995,global,0,0,0.0,0.0,0.0,0,0,0.0,0.0,,
query_hard_churn,L4,low,0.5,per_task,322,666,0.6611909650924025,0.04653112555019912,0.3259109311740891,110,605,0.15384615384615385,0.3416149068322981,0.23664273684387127,1.3772276957273102
query_hard_churn,L4,low,0.5,global,435,2079,0.893223819301848,0.14525256759589183,0.1730310262529833,219,1986,0.09931972789115646,0.503448275862069,0.14222970359686368,1.2165604081087238
query_hard_churn,L4,low,0.6,per_task,309,382,0.6344969199178645,0.026689023964228325,0.447178002894356,86,324,0.2097560975609756,0.2783171521035599,0.3298893470946714,1.3555393856535332
query_hard_churn,L4,low,0.6,global,416,1330,0.8542094455852156,0.09292251799063789,0.23825887743413515,177,1205,0.12807525325615052,0.4254807692307692,0.19413336612660376,1.2272948344116952
query_hard_churn,L4,low,0.7,per_task,292,215,0.5995893223819302,0.015021309299238455,0.5759368836291914,70,167,0.29535864978902954,0.23972602739726026,0.42946186562300287,1.341066412948454
query_hard_churn,L4,low,0.7,global,392,840,0.8049281314168378,0.05868790609935024,0.3181818181818182,127,697,0.154126213592233,0.3239795918367347,0.26687665113615044,1.1922429962578247
